OID_,DEM_Large_S3_Regm2,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
86,-13,-4.496143371150471,20.692656407536479,-13.0426273,1.2842151,23.1694260,3.5086055
87,-13,-4.488686731150471,20.692656407536479,-13.0428715,1.2810276,23.5806847,3.5781143
88,-13,-4.481230091150471,20.692656407536479,-13.0431242,1.2795882,23.9910507,3.6543407
89,-13,-4.473773451150471,20.692656407536479,-13.0433788,1.2804745,24.3994255,3.7381363
90,-13,-4.466316811150471,20.692656407536479,-13.0436306,1.2867625,24.8039227,3.8301408
91,-13,-4.458860171150471,20.692656407536479,-13.0438738,1.2989329,25.2051907,3.9305346
92,-13,-4.451403531150471,20.692656407536479,-13.0440998,1.3170218,25.6017113,4.0390277
93,-13,-4.443946891150471,20.692656407536479,-13.0443029,1.3404287,25.9907990,4.1548300
94,-13,-4.436490251150471,20.692656407536479,-13.0444736,1.3771099,26.3671036,4.2766495
95,-13,-4.429033611150471,20.692656407536479,-13.0446062,1.4247124,26.7318954,4.4027987
96,-13,-4.421576971150471,20.692656407536479,-13.0446930,1.4814627,27.0818958,4.5313148
97,-13,-4.414120331150471,20.692656407536479,-13.0447302,1.5469217,27.4182529,4.6600385
98,-13,-4.406663691150471,20.692656407536479,-13.0447111,1.6255791,27.7362919,4.7867126
99,-13,-4.399207051150471,20.692656407536479,-13.0446339,1.7077250,28.0367565,4.9090004
100,-13,-4.391750411150471,20.692656407536479,-13.0444975,1.7912368,28.3149109,5.0246172
101,-13,-4.384293771150471,20.692656407536479,-13.0443020,1.8677318,28.5695496,5.1315475
102,-13,-4.376837131150471,20.692656407536479,-13.0440454,1.9388492,28.7963467,5.2281270
103,-13,-4.369380491150471,20.692656407536479,-13.0437279,2.0039277,28.9989452,5.3129954
104,-13,-4.361923851150471,20.692656407536479,-13.0433502,2.0648968,29.1733971,5.3850389
105,-13,-4.354467211150471,20.692656407536479,-13.0429125,2.1156652,29.3172569,5.4434619
106,-13,-4.347010571150471,20.692656407536479,-13.0424185,2.1552272,29.4292946,5.4879212
107,-13,-4.339553931150471,20.692656407536479,-13.0418701,2.1825521,29.5083160,5.5185051
108,-13,-4.332097291150471,20.692656407536479,-13.0412683,2.1959817,29.5501156,5.5357466
109,-13,-4.324640651150471,20.692656407536479,-13.0406151,2.1937621,29.5547981,5.5405536
110,-13,-4.317184011150471,20.692656407536479,-13.0399132,2.1772895,29.5244217,5.5340657
111,-13,-4.309727371150471,20.692656407536479,-13.0391607,2.1493862,29.4559155,5.5174766
112,-13,-4.302270731150471,20.692656407536479,-13.0383596,2.1151261,29.3511009,5.4918737
113,-13,-4.294814091150471,20.692656407536479,-13.0375109,2.0723031,29.2079334,5.4583216
114,-13,-4.287357451150471,20.692656407536479,-13.0366144,2.0214806,29.0294113,5.4178753
115,-13,-4.279900811150471,20.692656407536479,-13.0356712,1.9655124,28.8178177,5.3716760
116,-13,-4.272444171150471,20.692656407536479,-13.0346813,1.9111310,28.5776424,5.3208613
117,-13,-4.264987531150471,20.692656407536479,-13.0336456,1.8623794,28.3127651,5.2663293
118,-13,-4.257530891150472,20.692656407536479,-13.0325661,1.8223858,28.0268536,5.2088208
119,-13,-4.250074251150471,20.692656407536479,-13.0314465,1.7882624,27.7232838,5.1489058
120,-13,-4.242617611150472,20.692656407536479,-13.0302906,1.7632974,27.4086895,5.0870543
121,-13,-4.235160971150472,20.692656407536479,-13.0291033,1.7525760,27.0843754,5.0235982
122,-13,-4.227704331150472,20.692656407536479,-13.0278902,1.7578928,26.7505608,4.9586320
123,-13,-4.518513291150471,20.685199767536478,-13.0450468,1.4120532,22.9410000,3.5366666
124,-13,-4.511056651150471,20.685199767536478,-13.0453081,1.4106543,23.3453598,3.6063807
125,-13,-4.503600011150471,20.685199767536478,-13.0455885,1.4112524,23.7619152,3.6811738
126,-13,-4.496143371150471,20.685199767536478,-13.0458841,1.4125313,24.1875439,3.7616637
127,-13,-4.488686731150471,20.685199767536478,-13.0461941,1.4169176,24.6190510,3.8483627
128,-13,-4.481230091150471,20.685199767536478,-13.0465117,1.4232075,25.0545235,3.9416325
129,-13,-4.473773451150471,20.685199767536478,-13.0468340,1.4332851,25.4924221,4.0417423
130,-13,-4.466316811150471,20.685199767536478,-13.0471535,1.4470197,25.9338436,4.1487908
131,-13,-4.458860171150471,20.685199767536478,-13.0474653,1.4664283,26.3769989,4.2624812
132,-13,-4.451403531150471,20.685199767536478,-13.0477600,1.4889849,26.8202972,4.3821111
133,-13,-4.443946891150471,20.685199767536478,-13.0480328,1.5167384,27.2591839,4.5066524
134,-13,-4.436490251150471,20.685199767536478,-13.0482721,1.5579035,27.6927452,4.6347718
135,-13,-4.429033611150471,20.685199767536478,-13.0484705,1.6113719,28.1160679,4.7648468
136,-13,-4.421576971150471,20.685199767536478,-13.0486231,1.6736972,28.5274429,4.8950977
137,-13,-4.414120331150471,20.685199767536478,-13.0487213,1.7430122,28.9254398,5.0236607
138,-13,-4.406663691150471,20.685199767536478,-13.0487614,1.8253706,29.3083687,5.1486268
139,-13,-4.399207051150471,20.685199767536478,-13.0487394,1.9123577,29.6687489,5.2680683
140,-13,-4.391750411150471,20.685199767536478,-13.0486546,1.9994936,30.0051403,5.3801198
141,-13,-4.384293771150471,20.685199767536478,-13.0485039,2.0793371,30.3137302,5.4831495
142,-13,-4.376837131150471,20.685199767536478,-13.0482874,2.1551743,30.5921249,5.5759053
143,-13,-4.369380491150471,20.685199767536478,-13.0480042,2.2240915,30.8371010,5.6574965
144,-13,-4.361923851150471,20.685199767536478,-13.0476542,2.2877884,31.0480709,5.7272272
145,-13,-4.354467211150471,20.685199767536478,-13.0472393,2.3406231,31.2221031,5.7845907
146,-13,-4.347010571150471,20.685199767536478,-13.0467606,2.3814139,31.3569126,5.8294816
147,-13,-4.339553931150471,20.685199767536478,-13.0462189,2.4088304,31.4516125,5.8621807
148,-13,-4.332097291150471,20.685199767536478,-13.0456181,2.4239702,31.5026398,5.8833413
149,-13,-4.324640651150471,20.685199767536478,-13.0449581,2.4231327,31.5100098,5.8939428
150,-13,-4.317184011150471,20.685199767536478,-13.0442410,2.4068534,31.4750252,5.8951035
151,-13,-4.309727371150471,20.685199767536478,-13.0434666,2.3812866,31.3976154,5.8879313
152,-13,-4.302270731150471,20.685199767536478,-13.0426359,2.3493135,31.2771397,5.8734050
153,-13,-4.294814091150471,20.685199767536478,-13.0417480,2.3105292,31.1150761,5.8523650
154,-13,-4.287357451150471,20.685199767536478,-13.0408077,2.2641385,30.9146137,5.8254747
155,-13,-4.279900811150471,20.685199767536478,-13.0398130,2.2147107,30.6793575,5.7934136
156,-13,-4.272444171150471,20.685199767536478,-13.0387659,2.1682189,30.4133701,5.7568598
157,-13,-4.264987531150471,20.685199767536478,-13.0376682,2.1274252,30.1208630,5.7162495
158,-13,-4.257530891150472,20.685199767536478,-13.0365238,2.0945103,29.8063393,5.6718807
159,-13,-4.250074251150471,20.685199767536478,-13.0353365,2.0680020,29.4732857,5.6238537
160,-13,-4.242617611150472,20.685199767536478,-13.0341120,2.0491204,29.1264286,5.5721660
161,-13,-4.235160971150472,20.685199767536478,-13.0328550,2.0423448,28.7722168,5.5167575
162,-13,-4.227704331150472,20.685199767536478,-13.0315733,2.0504045,28.4076595,5.4574156
163,-13,-4.220247691150472,20.685199767536478,-13.0302763,2.0653980,28.0343571,5.3937507
164,-13,-4.212791051150472,20.685199767536478,-13.0289736,2.0885754,27.6580563,5.3250813
165,-13,-4.205334411150472,20.685199767536478,-13.0276737,2.1164958,27.2752838,5.2506418
166,-13,-4.533426571150471,20.677743127536480,-13.0477018,1.5163571,23.2299213,3.5878351
167,-13,-4.525969931150471,20.677743127536480,-13.0479736,1.5211891,23.6086407,3.6627581
168,-13,-4.518513291150471,20.677743127536480,-13.0482721,1.5288101,24.0094204,3.7432823
169,-13,-4.511056651150471,20.677743127536480,-13.0485954,1.5326427,24.4280300,3.8296092
170,-13,-4.503600011150471,20.677743127536480,-13.0489407,1.5373853,24.8622551,3.9219425
171,-13,-4.496143371150471,20.677743127536480,-13.0493040,1.5454421,25.3098545,4.0203218
172,-13,-4.488686731150471,20.677743127536480,-13.0496826,1.5572661,25.7677670,4.1245742
173,-13,-4.481230091150471,20.677743127536480,-13.0500727,1.5712332,26.2345295,4.2343397
174,-13,-4.473773451150471,20.677743127536480,-13.0504675,1.5890249,26.7094517,4.3492236
175,-13,-4.466316811150471,20.677743127536480,-13.0508633,1.6099210,27.1919174,4.4687266
176,-13,-4.458860171150471,20.677743127536480,-13.0512514,1.6337363,27.6801128,4.5920706
177,-13,-4.451403531150471,20.677743127536480,-13.0516262,1.6591226,28.1722221,4.7182174
178,-13,-4.443946891150471,20.677743127536480,-13.0519781,1.6907983,28.6645470,4.8459611
179,-13,-4.436490251150471,20.677743127536480,-13.0522976,1.7324336,29.1525631,4.9739771
180,-13,-4.429033611150471,20.677743127536480,-13.0525751,1.7872982,29.6345558,5.1008291
181,-13,-4.421576971150471,20.677743127536480,-13.0528059,1.8512882,30.1065254,5.2250600
182,-13,-4.414120331150471,20.677743127536480,-13.0529795,1.9215351,30.5659714,5.3452077
183,-13,-4.406663691150471,20.677743127536480,-13.0530930,2.0019252,31.0075111,5.4598608
184,-13,-4.399207051150471,20.677743127536480,-13.0531387,2.0878727,31.4288406,5.5676932
185,-13,-4.391750411150471,20.677743127536480,-13.0531178,2.1740937,31.8218822,5.6674924
186,-13,-4.384293771150471,20.677743127536480,-13.0530243,2.2533123,32.1839828,5.7582574
187,-13,-4.376837131150471,20.677743127536480,-13.0528593,2.3290367,32.5105057,5.8393002
188,-13,-4.369380491150471,20.677743127536480,-13.0526199,2.3977127,32.7986870,5.9102960
189,-13,-4.361923851150471,20.677743127536480,-13.0523071,2.4600339,33.0452538,5.9711242
190,-13,-4.354467211150471,20.677743127536480,-13.0519199,2.5110934,33.2499352,6.0217667
191,-13,-4.347010571150471,20.677743127536480,-13.0514612,2.5507820,33.4088936,6.0624628
192,-13,-4.339553931150471,20.677743127536480,-13.0509319,2.5757771,33.5205345,6.0937152
193,-13,-4.332097291150471,20.677743127536480,-13.0503330,2.5895538,33.5842361,6.1163092
194,-13,-4.324640651150471,20.677743127536480,-13.0496664,2.5890679,33.5978432,6.1313047
195,-13,-4.317184011150471,20.677743127536480,-13.0489330,2.5755529,33.5608330,6.1398058
196,-13,-4.309727371150471,20.677743127536480,-13.0481339,2.5515640,33.4786186,6.1427665
197,-13,-4.302270731150471,20.677743127536480,-13.0472679,2.5240519,33.3496819,6.1409297
198,-13,-4.294814091150471,20.677743127536480,-13.0463381,2.4902754,33.1755028,6.1348453
199,-13,-4.287357451150471,20.677743127536480,-13.0453463,2.4520476,32.9595528,6.1247606
200,-13,-4.279900811150471,20.677743127536480,-13.0442934,2.4119711,32.7070351,6.1107736
201,-13,-4.272444171150471,20.677743127536480,-13.0431824,2.3769655,32.4194221,6.0929670
202,-13,-4.264987531150471,20.677743127536480,-13.0420160,2.3473701,32.1039276,6.0712066
203,-13,-4.257530891150472,20.677743127536480,-13.0407982,2.3262184,31.7639332,6.0452375
204,-13,-4.250074251150471,20.677743127536480,-13.0395355,2.3101711,31.4050560,6.0146275
205,-13,-4.242617611150472,20.677743127536480,-13.0382347,2.3000073,31.0321789,5.9788027
206,-13,-4.235160971150472,20.677743127536480,-13.0369015,2.2999976,30.6485634,5.9371972
207,-13,-4.227704331150472,20.677743127536480,-13.0355453,2.3118734,30.2544727,5.8891888
208,-13,-4.220247691150472,20.677743127536480,-13.0341749,2.3281777,29.8512115,5.8340530
209,-13,-4.212791051150472,20.677743127536480,-13.0328016,2.3489189,29.4423294,5.7709184
210,-13,-4.205334411150472,20.677743127536480,-13.0314341,2.3706841,29.0254898,5.6989560
211,-13,-4.197877771150472,20.677743127536480,-13.0300856,2.3865883,28.6043606,5.6173944
212,-13,-4.190421131150472,20.677743127536480,-13.0287628,2.3880239,28.1817436,5.5255332
213,-13,-4.182964491150472,20.677743127536480,-13.0274763,2.3744209,27.7598839,5.4228587
214,-13,-4.548339851150471,20.670286487536480,-13.0504065,1.6309571,23.6345596,3.5963545
215,-13,-4.540883211150471,20.670286487536480,-13.0506744,1.6158872,23.9709454,3.6719699
216,-13,-4.533426571150471,20.670286487536480,-13.0509748,1.6150922,24.3368683,3.7552669
217,-13,-4.525969931150471,20.670286487536480,-13.0513048,1.6230701,24.7297783,3.8459110
218,-13,-4.518513291150471,20.670286487536480,-13.0516653,1.6339097,25.1483345,3.9436073
219,-13,-4.511056651150471,20.670286487536480,-13.0520535,1.6423396,25.5876198,4.0480642
220,-13,-4.503600011150471,20.670286487536480,-13.0524673,1.6535197,26.0466938,4.1588249
221,-13,-4.496143371150471,20.670286487536480,-13.0529032,1.6686933,26.5218792,4.2751694
222,-13,-4.488686731150471,20.670286487536480,-13.0533581,1.6879591,27.0134010,4.3961177
223,-13,-4.481230091150471,20.670286487536480,-13.0538254,1.7094194,27.5176258,4.5205297
224,-13,-4.473773451150471,20.670286487536480,-13.0543022,1.7354766,28.0344124,4.6473265
225,-13,-4.466316811150471,20.670286487536480,-13.0547819,1.7623544,28.5617161,4.7754154
226,-13,-4.458860171150471,20.670286487536480,-13.0552578,1.7915384,29.0989513,4.9035707
227,-13,-4.451403531150471,20.670286487536480,-13.0557222,1.8205583,29.6416149,5.0305171
228,-13,-4.443946891150471,20.670286487536480,-13.0561657,1.8536431,30.1868286,5.1549892
229,-13,-4.436490251150471,20.670286487536480,-13.0565777,1.8952620,30.7304420,5.2757764
230,-13,-4.429033611150471,20.670286487536480,-13.0569477,1.9488684,31.2692204,5.3917222
231,-13,-4.421576971150471,20.670286487536480,-13.0572691,2.0099139,31.7983513,5.5017829
232,-13,-4.414120331150471,20.670286487536480,-13.0575333,2.0766296,32.3132286,5.6050725
233,-13,-4.406663691150471,20.670286487536480,-13.0577335,2.1523907,32.8104744,5.7008677
234,-13,-4.399207051150471,20.670286487536480,-13.0578623,2.2316463,33.2837486,5.7885818
235,-13,-4.391750411150471,20.670286487536480,-13.0579176,2.3102274,33.7288284,5.8677883
236,-13,-4.384293771150471,20.670286487536480,-13.0578957,2.3840632,34.1385765,5.9382887
237,-13,-4.376837131150471,20.670286487536480,-13.0577936,2.4527650,34.5090485,6.0001450
238,-13,-4.369380491150471,20.670286487536480,-13.0576086,2.5158856,34.8351669,6.0537071
239,-13,-4.361923851150471,20.670286487536480,-13.0573406,2.5718625,35.1148567,6.0994916
240,-13,-4.354467211150471,20.670286487536480,-13.0569897,2.6176510,35.3438606,6.1380539
241,-13,-4.347010571150471,20.670286487536480,-13.0565577,2.6507845,35.5240707,6.1700835
242,-13,-4.339553931150471,20.670286487536480,-13.0560436,2.6719811,35.6518517,6.1963935
243,-13,-4.332097291150471,20.670286487536480,-13.0554495,2.6811647,35.7262154,6.2179060
244,-13,-4.324640651150471,20.670286487536480,-13.0547762,2.6798050,35.7449493,6.2357006
245,-13,-4.317184011150471,20.670286487536480,-13.0540257,2.6677136,35.7116318,6.2507977
246,-13,-4.309727371150471,20.670286487536480,-13.0531988,2.6471875,35.6260948,6.2639823
247,-13,-4.302270731150471,20.670286487536480,-13.0522947,2.6247139,35.4931870,6.2757168
248,-13,-4.294814091150471,20.670286487536480,-13.0513182,2.6003177,35.3119850,6.2861509
249,-13,-4.287357451150471,20.670286487536480,-13.0502701,2.5724175,35.0888023,6.2950811
250,-13,-4.279900811150471,20.670286487536480,-13.0491533,2.5455000,34.8258667,6.3019991
251,-13,-4.272444171150471,20.670286487536480,-13.0479708,2.5265815,34.5286980,6.3063211
252,-13,-4.264987531150471,20.670286487536480,-13.0467272,2.5139530,34.2002335,6.3072929
253,-13,-4.257530891150472,20.670286487536480,-13.0454302,2.5083599,33.8467331,6.3039951
254,-13,-4.250074251150471,20.670286487536480,-13.0440845,2.5064564,33.4713669,6.2954011
255,-13,-4.242617611150472,20.670286487536480,-13.0427008,2.5088809,33.0790291,6.2803960
256,-13,-4.235160971150472,20.670286487536480,-13.0412846,2.5185585,32.6742744,6.2578335
257,-13,-4.227704331150472,20.670286487536480,-13.0398455,2.5355830,32.2562675,6.2265759
258,-13,-4.220247691150472,20.670286487536480,-13.0383949,2.5545077,31.8255787,6.1855092
259,-13,-4.212791051150472,20.670286487536480,-13.0369434,2.5744972,31.3857136,6.1335173
260,-13,-4.205334411150472,20.670286487536480,-13.0355015,2.5919654,30.9373245,6.0696163
261,-13,-4.197877771150472,20.670286487536480,-13.0340805,2.5994143,30.4802723,5.9930243
262,-13,-4.190421131150472,20.670286487536480,-13.0326900,2.5907097,30.0190926,5.9031091
263,-13,-4.182964491150472,20.670286487536480,-13.0313368,2.5661991,29.5564213,5.7994242
264,-13,-4.175507851150472,20.670286487536480,-13.0300255,2.5256970,29.0975246,5.6817837
265,-13,-4.168051211150472,20.670286487536480,-13.0287590,2.4747672,28.6449795,5.5503826
266,-13,-4.160594571150471,20.670286487536480,-13.0275393,2.4114721,28.2023754,5.4057822
267,-13,-4.563253131150471,20.662829847536479,-13.0532360,1.7688004,24.1730709,3.5696940
268,-13,-4.555796491150471,20.662829847536479,-13.0534687,1.7386003,24.4495239,3.6389024
269,-13,-4.548339851150471,20.662829847536479,-13.0537462,1.7144862,24.7630863,3.7185080
270,-13,-4.540883211150471,20.662829847536479,-13.0540648,1.7012243,25.1101837,3.8082118
271,-13,-4.533426571150471,20.662829847536479,-13.0544205,1.7030734,25.4899845,3.9074774
272,-13,-4.525969931150471,20.662829847536479,-13.0548115,1.7143703,25.9012375,4.0156302
273,-13,-4.518513291150471,20.662829847536479,-13.0552378,1.7297264,26.3420734,4.1318583
274,-13,-4.511056651150471,20.662829847536479,-13.0556955,1.7444571,26.8087463,4.2550988
275,-13,-4.503600011150471,20.662829847536479,-13.0561838,1.7623327,27.2985268,4.3840299
276,-13,-4.496143371150471,20.662829847536479,-13.0566988,1.7855399,27.8097019,4.5170712
277,-13,-4.488686731150471,20.662829847536479,-13.0572348,1.8129021,28.3393478,4.6523924
278,-13,-4.481230091150471,20.662829847536479,-13.0577898,1.8434633,28.8866615,4.7880936
279,-13,-4.473773451150471,20.662829847536479,-13.0583572,1.8753382,29.4506721,4.9224544
280,-13,-4.466316811150471,20.662829847536479,-13.0589314,1.9093860,30.0287075,5.0538983
281,-13,-4.458860171150471,20.662829847536479,-13.0595055,1.9427675,30.6166649,5.1808729
282,-13,-4.451403531150471,20.662829847536479,-13.0600710,1.9741441,31.2131710,5.3019509
283,-13,-4.443946891150471,20.662829847536479,-13.0606184,2.0057406,31.8126030,5.4159222
284,-13,-4.436490251150471,20.662829847536479,-13.0611362,2.0461540,32.4105339,5.5218382
285,-13,-4.429033611150471,20.662829847536479,-13.0616140,2.0944293,33.0025711,5.6189847
286,-13,-4.421576971150471,20.662829847536479,-13.0620413,2.1498101,33.5832481,5.7068858
287,-13,-4.414120331150471,20.662829847536479,-13.0624094,2.2085781,34.1472588,5.7853556
288,-13,-4.406663691150471,20.662829847536479,-13.0627108,2.2747736,34.6909523,5.8544703
289,-13,-4.399207051150471,20.662829847536479,-13.0629358,2.3418589,35.2082825,5.9144917
290,-13,-4.391750411150471,20.662829847536479,-13.0630827,2.4081011,35.6938057,5.9658589
291,-13,-4.384293771150471,20.662829847536479,-13.0631437,2.4684229,36.1406555,6.0092549
292,-13,-4.376837131150471,20.662829847536479,-13.0631170,2.5255530,36.5434761,6.0455866
293,-13,-4.369380491150471,20.662829847536479,-13.0629969,2.5767970,36.8972549,6.0759921
