OID_,DEM_Large_S3_Regm7,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
1,-13,-6.106777611150472,19.469767447536476,-13.1269350,0.8293052,18.3270760,1.2241436
2,-13,-6.099320971150472,19.469767447536476,-13.1278515,0.7230666,18.3733788,1.1032240
3,-13,-6.091864331150472,19.469767447536476,-13.1288090,0.5965916,18.3898525,0.9913147
4,-13,-6.084407691150472,19.469767447536476,-13.1297960,0.4563913,18.3706341,0.8921246
5,-13,-6.076951051150472,19.469767447536476,-13.1308012,0.3110798,18.3159809,0.8089112
6,-13,-6.069494411150472,19.469767447536476,-13.1318121,0.1687177,18.2266350,0.7439383
7,-13,-6.062037771150472,19.469767447536476,-13.1328163,0.0402087,18.1085300,0.6974359
8,-13,-6.054581131150472,19.469767447536476,-13.1338034,-0.0727282,17.9720535,0.6669059
9,-13,-6.047124491150472,19.469767447536476,-13.1347656,-0.1713353,17.8244419,0.6478735
10,-13,-6.039667851150472,19.469767447536476,-13.1356945,-0.2624986,17.6688232,0.6354486
11,-13,-6.032211211150472,19.469767447536476,-13.1365833,-0.3391622,17.5054932,0.6259264
12,-13,-6.024754571150472,19.469767447536476,-13.1374254,-0.3989306,17.3387012,0.6175005
13,-13,-6.017297931150472,19.469767447536476,-13.1382151,-0.4357150,17.1756668,0.6101288
14,-13,-6.009841291150471,19.469767447536476,-13.1389484,-0.4526306,17.0194473,0.6051672
15,-13,-6.002384651150471,19.469767447536476,-13.1396265,-0.4485961,16.8745308,0.6052625
16,-13,-6.136604171150472,19.462310807536479,-13.1261225,0.9575024,18.3674011,1.5017601
17,-13,-6.129147531150472,19.462310807536479,-13.1268311,0.9048994,18.4726219,1.3689915
18,-13,-6.121690891150472,19.462310807536479,-13.1275921,0.8474714,18.5447807,1.2385830
19,-13,-6.114234251150472,19.462310807536479,-13.1284037,0.7806498,18.5899239,1.1128776
20,-13,-6.106777611150472,19.462310807536479,-13.1292629,0.6995326,18.6105671,0.9948899
21,-13,-6.099320971150472,19.462310807536479,-13.1301661,0.5979983,18.6060009,0.8883826
22,-13,-6.091864331150472,19.462310807536479,-13.1311083,0.4769922,18.5721531,0.7973676
23,-13,-6.084407691150472,19.462310807536479,-13.1320782,0.3433347,18.5075359,0.7253162
24,-13,-6.076951051150472,19.462310807536479,-13.1330662,0.2033705,18.4108410,0.6743308
25,-13,-6.069494411150472,19.462310807536479,-13.1340599,0.0660978,18.2841911,0.6441611
26,-13,-6.062037771150472,19.462310807536479,-13.1350479,-0.0573806,18.1328411,0.6312423
27,-13,-6.054581131150472,19.462310807536479,-13.1360207,-0.1663137,17.9692268,0.6293433
28,-13,-6.047124491150472,19.462310807536479,-13.1369705,-0.2647591,17.7977543,0.6316704
29,-13,-6.039667851150472,19.462310807536479,-13.1378880,-0.3555892,17.6203766,0.6326985
30,-13,-6.032211211150472,19.462310807536479,-13.1387682,-0.4332441,17.4414062,0.6290560
31,-13,-6.024754571150472,19.462310807536479,-13.1396017,-0.4956002,17.2651081,0.6194420
32,-13,-6.017297931150472,19.462310807536479,-13.1403856,-0.5346920,17.0961552,0.6041542
33,-13,-6.009841291150471,19.462310807536479,-13.1411152,-0.5533662,16.9406872,0.5845804
34,-13,-6.002384651150471,19.462310807536479,-13.1417894,-0.5539438,16.8025894,0.5631871
35,-13,-5.994928011150471,19.462310807536479,-13.1424074,-0.5415071,16.6823082,0.5437746
36,-13,-5.987471371150471,19.462310807536479,-13.1429691,-0.5172150,16.5784645,0.5319236
37,-13,-5.980014731150471,19.462310807536479,-13.1434765,-0.4860052,16.4929066,0.5343385
38,-13,-5.972558091150471,19.462310807536479,-13.1439295,-0.4475412,16.4225521,0.5569171
39,-13,-5.965101451150471,19.462310807536479,-13.1443281,-0.3931034,16.3679256,0.6028778
40,-13,-5.957644811150471,19.462310807536479,-13.1446733,-0.3134390,16.3289299,0.6721011
