OID_,DEM_Large_S3_Clip6b,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
193,-13,-4.928628491150471,18.753930007536479,-13.2121143,0.9007602,8.2695169,1.9000481
194,-13,-4.921171851150471,18.753930007536479,-13.2114029,1.0032092,8.1192703,1.9600986
195,-13,-4.913715211150471,18.753930007536479,-13.2107096,1.0992098,7.9307413,2.0189877
196,-13,-4.906258571150471,18.753930007536479,-13.2100439,1.1895908,7.7133098,2.0755906
197,-13,-4.898801931150471,18.753930007536479,-13.2094126,1.2644163,7.4670610,2.1284199
198,-13,-4.891345291150471,18.753930007536479,-13.2088261,1.3162442,7.2071543,2.1761169
199,-13,-4.883888651150471,18.753930007536479,-13.2082882,1.3472385,6.9524555,2.2178085
200,-13,-4.876432011150471,18.753930007536479,-13.2078018,1.3626320,6.7028499,2.2532644
201,-13,-4.868975371150471,18.753930007536479,-13.2073698,1.3570536,6.4617186,2.2828131
202,-13,-4.861518731150471,18.753930007536479,-13.2069921,1.3244199,6.2371750,2.3067873
203,-13,-4.854062091150471,18.753930007536479,-13.2066679,1.2707577,6.0252824,2.3257637
204,-13,-4.846605451150471,18.753930007536479,-13.2063904,1.2004483,5.8180408,2.3408005
205,-13,-4.839148811150471,18.753930007536479,-13.2061548,1.1203077,5.6029119,2.3531423
206,-13,-4.831692171150471,18.753930007536479,-13.2059536,1.0327852,5.3660493,2.3643489
207,-13,-4.824235531150471,18.753930007536479,-13.2057791,0.9368878,5.0987964,2.3755856
208,-13,-4.816778891150471,18.753930007536479,-13.2056236,0.8327875,4.7944422,2.3854342
209,-13,-4.809322251150471,18.753930007536479,-13.2054768,0.7218543,4.4547477,2.3830748
210,-13,-4.801865611150471,18.753930007536479,-13.2053299,0.6091120,4.0872693,2.3501701
211,-13,-4.794408971150471,18.753930007536479,-13.2051716,0.4994118,3.7073462,2.2856522
212,-13,-4.786952331150471,18.753930007536479,-13.2049913,0.4052422,3.3428707,2.1967530
213,-13,-4.779495691150471,18.753930007536479,-13.2047806,0.3360321,3.0332236,2.0951366
214,-13,-4.772039051150471,18.753930007536479,-13.2045326,0.2931949,2.8201125,1.9935313
215,-13,-4.764582411150471,18.753930007536479,-13.2042446,0.2695262,2.7406883,1.9018250
216,-13,-4.757125771150471,18.753930007536479,-13.2039156,0.2631081,2.8162332,1.8230518
217,-13,-4.749669131150471,18.753930007536479,-13.2035437,0.2700139,3.0289152,1.7504225
218,-13,-4.742212491150472,18.753930007536479,-13.2031298,0.2926292,3.3405402,1.6682198
219,-13,-4.734755851150471,18.753930007536479,-13.2026758,0.3328292,3.7068937,1.5568274
220,-13,-4.727299211150472,18.753930007536479,-13.2021847,0.4017707,4.0885525,1.4082915
221,-13,-4.719842571150471,18.753930007536479,-13.2016611,0.5015758,4.4437289,1.2425324
222,-13,-4.712385931150472,18.753930007536479,-13.2011127,0.6246337,4.7359061,1.0777953
223,-13,-4.704929291150471,18.753930007536479,-13.2005529,0.7565419,4.9584723,0.9385754
224,-13,-5.174697611150471,18.746473367536478,-13.2231989,0.2368435,6.9521370,0.9400262
225,-13,-5.167240971150471,18.746473367536478,-13.2232428,0.2238809,6.9145136,0.9768234
226,-13,-5.159784331150471,18.746473367536478,-13.2232714,0.2190552,6.8803864,1.0133893
227,-13,-5.152327691150471,18.746473367536478,-13.2232809,0.2204569,6.8514056,1.0487119
228,-13,-5.144871051150471,18.746473367536478,-13.2232723,0.2287986,6.8269901,1.0817925
229,-13,-5.137414411150471,18.746473367536478,-13.2232428,0.2409468,6.8052135,1.1118145
230,-13,-5.129957771150471,18.746473367536478,-13.2231922,0.2556958,6.7884026,1.1381034
231,-13,-5.122501131150471,18.746473367536478,-13.2231226,0.2740241,6.7769666,1.1600552
232,-13,-5.115044491150471,18.746473367536478,-13.2230339,0.2906461,6.7714696,1.1772542
233,-13,-5.107587851150471,18.746473367536478,-13.2229271,0.3036405,6.7708879,1.1895685
234,-13,-5.100131211150471,18.746473367536478,-13.2228041,0.3091672,6.7793283,1.1972524
235,-13,-5.092674571150471,18.746473367536478,-13.2226648,0.3089279,6.7966404,1.2009187
236,-13,-5.085217931150471,18.746473367536478,-13.2225094,0.3024281,6.8266411,1.2015516
237,-13,-5.077761291150471,18.746473367536478,-13.2223358,0.2947227,6.8702211,1.2004225
238,-13,-5.070304651150471,18.746473367536478,-13.2221460,0.2858462,6.9284167,1.1989717
239,-13,-5.062848011150471,18.746473367536478,-13.2219372,0.2726739,7.0034533,1.1987380
240,-13,-5.055391371150471,18.746473367536478,-13.2217083,0.2556922,7.0967884,1.2011948
241,-13,-5.047934731150471,18.746473367536478,-13.2214584,0.2377972,7.2102599,1.2077452
242,-13,-5.040478091150471,18.746473367536478,-13.2211847,0.2213737,7.3392615,1.2197105
243,-13,-5.033021451150471,18.746473367536478,-13.2208843,0.2032830,7.4814014,1.2383677
244,-13,-5.025564811150471,18.746473367536478,-13.2205544,0.1883175,7.6357651,1.2646697
245,-13,-5.018108171150471,18.746473367536478,-13.2201920,0.1802567,7.7989712,1.2989037
246,-13,-5.010651531150471,18.746473367536478,-13.2197933,0.1802658,7.9689250,1.3405869
247,-13,-5.003194891150471,18.746473367536478,-13.2193575,0.1856499,8.1432915,1.3883338
248,-13,-4.995738251150471,18.746473367536478,-13.2188807,0.1994684,8.3189106,1.4404632
249,-13,-4.988281611150471,18.746473367536478,-13.2183619,0.2235618,8.4930601,1.4953135
250,-13,-4.980824971150471,18.746473367536478,-13.2178001,0.2660056,8.6597385,1.5514885
251,-13,-4.973368331150471,18.746473367536478,-13.2171946,0.3318349,8.8082848,1.6083584
252,-13,-4.965911691150471,18.746473367536478,-13.2165508,0.4173139,8.9280300,1.6657907
253,-13,-4.958455051150471,18.746473367536478,-13.2158728,0.5128484,9.0096855,1.7241031
254,-13,-4.950998411150471,18.746473367536478,-13.2151680,0.6173901,9.0518284,1.7838626
255,-13,-4.943541771150471,18.746473367536478,-13.2144442,0.7296640,9.0499649,1.8454894
256,-13,-4.936085131150471,18.746473367536478,-13.2137098,0.8441069,9.0005121,1.9092491
257,-13,-4.928628491150471,18.746473367536478,-13.2129755,0.9567232,8.9041185,1.9744374
258,-13,-4.921171851150471,18.746473367536478,-13.2122507,1.0644554,8.7627745,2.0392082
259,-13,-4.913715211150471,18.746473367536478,-13.2115450,1.1641519,8.5830498,2.1015329
260,-13,-4.906258571150471,18.746473367536478,-13.2108679,1.2520808,8.3708134,2.1593623
261,-13,-4.898801931150471,18.746473367536478,-13.2102280,1.3225994,8.1321421,2.2106028
262,-13,-4.891345291150471,18.746473367536478,-13.2096338,1.3649609,7.8792467,2.2535992
263,-13,-4.883888651150471,18.746473367536478,-13.2090902,1.3848642,7.6314669,2.2875535
264,-13,-4.876432011150471,18.746473367536478,-13.2085981,1.3843787,7.3914847,2.3127420
265,-13,-4.868975371150471,18.746473367536478,-13.2081614,1.3615140,7.1610498,2.3305213
266,-13,-4.861518731150471,18.746473367536478,-13.2077770,1.3097332,6.9436159,2.3427792
267,-13,-4.854062091150471,18.746473367536478,-13.2074432,1.2374601,6.7354360,2.3517051
268,-13,-4.846605451150471,18.746473367536478,-13.2071533,1.1504871,6.5290217,2.3597538
269,-13,-4.839148811150471,18.746473367536478,-13.2068987,1.0558497,6.3098259,2.3692095
270,-13,-4.831692171150471,18.746473367536478,-13.2066727,0.9581344,6.0684829,2.3821528
271,-13,-4.824235531150471,18.746473367536478,-13.2064667,0.8575738,5.7941837,2.3999846
272,-13,-4.816778891150471,18.746473367536478,-13.2062721,0.7538552,5.4871058,2.4219980
273,-13,-4.809322251150471,18.746473367536478,-13.2060804,0.6488441,5.1468849,2.4376462
274,-13,-4.801865611150471,18.746473367536478,-13.2058802,0.5456479,4.7854137,2.4262857
275,-13,-4.794408971150471,18.746473367536478,-13.2056627,0.4503284,4.4222131,2.3846855
276,-13,-4.786952331150471,18.746473367536478,-13.2054186,0.3727024,4.0849390,2.3177555
277,-13,-4.779495691150471,18.746473367536478,-13.2051392,0.3251382,3.8018007,2.2345743
278,-13,-4.772039051150471,18.746473367536478,-13.2048206,0.3056605,3.6014297,2.1451118
279,-13,-4.764582411150471,18.746473367536478,-13.2044601,0.3068368,3.5039420,2.0569763
280,-13,-4.757125771150471,18.746473367536478,-13.2040586,0.3235463,3.5230806,1.9724224
281,-13,-4.749669131150471,18.746473367536478,-13.2036161,0.3528241,3.6457942,1.8860389
282,-13,-4.742212491150472,18.746473367536478,-13.2031345,0.3928840,3.8510847,1.7852964
283,-13,-4.734755851150471,18.746473367536478,-13.2026167,0.4485247,4.1111364,1.6539612
284,-13,-4.727299211150472,18.746473367536478,-13.2020655,0.5304373,4.3897576,1.4858853
285,-13,-4.719842571150471,18.746473367536478,-13.2014847,0.6405613,4.6465340,1.3020328
286,-13,-4.712385931150472,18.746473367536478,-13.2008858,0.7713599,4.8439126,1.1209375
287,-13,-4.704929291150471,18.746473367536478,-13.2002783,0.9114020,4.9694943,0.9664625
288,-13,-4.697472651150472,18.746473367536478,-13.1996746,1.0497925,5.0204740,0.8693179
289,-13,-4.690016011150472,18.746473367536478,-13.1990852,1.1802844,5.0020843,0.8570324
290,-13,-5.189610891150471,18.739016727536480,-13.2240143,0.3700452,7.3314228,0.9875044
291,-13,-5.182154251150471,18.739016727536480,-13.2240744,0.3332295,7.2989693,1.0240577
292,-13,-5.174697611150471,18.739016727536480,-13.2241268,0.3059746,7.2708797,1.0618899
293,-13,-5.167240971150471,18.739016727536480,-13.2241678,0.2909295,7.2492318,1.1004313
