OID_,DEM_Large_S3_Regm8c,X,Y,DEM_Large_S3_Band_1,MeanCurv_Band_1,Slope_Band_1,SlopeStd_Band_1
142,-13,-5.249264011150471,20.491327127536476,-13.2183046,-0.4209582,26.4470730,1.2984824
143,-13,-5.241807371150471,20.491327127536476,-13.2181635,-0.4252674,26.7775593,1.2709652
144,-13,-5.234350731150471,20.491327127536476,-13.2179956,-0.4359348,27.0943031,1.2504836
145,-13,-5.226894091150471,20.491327127536476,-13.2178011,-0.4572078,27.3976212,1.2373550
146,-13,-5.219437451150471,20.491327127536476,-13.2175770,-0.4923452,27.6916733,1.2310200
147,-13,-5.211980811150471,20.491327127536476,-13.2173185,-0.5382184,27.9809036,1.2302151
148,-13,-5.204524171150471,20.491327127536476,-13.2170191,-0.5870837,28.2675915,1.2333332
149,-13,-5.197067531150471,20.491327127536476,-13.2166719,-0.6331654,28.5531883,1.2385443
150,-13,-5.189610891150471,20.491327127536476,-13.2162704,-0.6695206,28.8380871,1.2438517
151,-13,-5.182154251150471,20.491327127536476,-13.2158079,-0.6939844,29.1200047,1.2472000
152,-13,-5.174697611150471,20.491327127536476,-13.2152834,-0.7123808,29.3950138,1.2466660
153,-13,-5.167240971150471,20.491327127536476,-13.2146940,-0.7274809,29.6635647,1.2407099
154,-13,-5.159784331150471,20.491327127536476,-13.2140379,-0.7374703,29.9226036,1.2282989
155,-13,-5.152327691150471,20.491327127536476,-13.2133141,-0.7356399,30.1682434,1.2090433
156,-13,-5.144871051150471,20.491327127536476,-13.2125206,-0.7224729,30.3966007,1.1831702
157,-13,-5.137414411150471,20.491327127536476,-13.2116623,-0.6964124,30.6026878,1.1513897
158,-13,-5.129957771150471,20.491327127536476,-13.2107420,-0.6643058,30.7844696,1.1145581
159,-13,-5.122501131150471,20.491327127536476,-13.2097645,-0.6271437,30.9389877,1.0737100
160,-13,-5.115044491150471,20.491327127536476,-13.2087374,-0.5920054,31.0655308,1.0302728
161,-13,-5.107587851150472,20.491327127536476,-13.2076654,-0.5621114,31.1643848,0.9858016
162,-13,-5.100131211150471,20.491327127536476,-13.2065525,-0.5383862,31.2414322,0.9418836
163,-13,-5.092674571150472,20.491327127536476,-13.2054014,-0.5151029,31.2949047,0.9000134
164,-13,-5.085217931150471,20.491327127536476,-13.2042170,-0.4933384,31.3273392,0.8614548
165,-13,-5.077761291150471,20.491327127536476,-13.2030010,-0.4731065,31.3401699,0.8273200
166,-13,-5.070304651150471,20.491327127536476,-13.2017574,-0.4543878,31.3367443,0.7984573
167,-13,-5.062848011150471,20.491327127536476,-13.2004890,-0.4384508,31.3168583,0.7756448
168,-13,-5.055391371150471,20.491327127536476,-13.1991987,-0.4258041,31.2848053,0.7596037
169,-13,-5.353656971150471,20.483870487536478,-13.2196140,-0.6598205,20.0443707,1.4511132
170,-13,-5.346200331150471,20.483870487536478,-13.2200470,-0.6487857,20.5031624,1.5063791
171,-13,-5.338743691150471,20.483870487536478,-13.2204342,-0.6341097,20.9766941,1.5468976
172,-13,-5.331287051150471,20.483870487536478,-13.2207785,-0.6139978,21.4604168,1.5738890
173,-13,-5.323830411150471,20.483870487536478,-13.2210798,-0.6010450,21.9486713,1.5885959
174,-13,-5.316373771150471,20.483870487536478,-13.2213421,-0.5941911,22.4356594,1.5920271
175,-13,-5.308917131150471,20.483870487536478,-13.2215643,-0.5929608,22.9166489,1.5852774
176,-13,-5.301460491150471,20.483870487536478,-13.2217464,-0.5898986,23.3877277,1.5695843
177,-13,-5.294003851150471,20.483870487536478,-13.2218885,-0.5818897,23.8454418,1.5464927
178,-13,-5.286547211150471,20.483870487536478,-13.2219906,-0.5642404,24.2894611,1.5179131
179,-13,-5.279090571150471,20.483870487536478,-13.2220554,-0.5439028,24.7159042,1.4858612
180,-13,-5.271633931150471,20.483870487536478,-13.2220860,-0.5276994,25.1228333,1.4523261
181,-13,-5.264177291150471,20.483870487536478,-13.2220860,-0.5179707,25.5077858,1.4192353
182,-13,-5.256720651150471,20.483870487536478,-13.2220545,-0.5136061,25.8730011,1.3886744
183,-13,-5.249264011150471,20.483870487536478,-13.2219944,-0.5133548,26.2179451,1.3627335
184,-13,-5.241807371150471,20.483870487536478,-13.2219057,-0.5178072,26.5436592,1.3431735
185,-13,-5.234350731150471,20.483870487536478,-13.2217884,-0.5285030,26.8523750,1.3311989
186,-13,-5.226894091150471,20.483870487536478,-13.2216415,-0.5513702,27.1482906,1.3272634
187,-13,-5.219437451150471,20.483870487536478,-13.2214642,-0.5877145,27.4340553,1.3309635
188,-13,-5.211980811150471,20.483870487536478,-13.2212505,-0.6362919,27.7125778,1.3411620
189,-13,-5.204524171150471,20.483870487536478,-13.2209949,-0.6904364,27.9877529,1.3562759
190,-13,-5.197067531150471,20.483870487536478,-13.2206907,-0.7432048,28.2612629,1.3743987
191,-13,-5.189610891150471,20.483870487536478,-13.2203302,-0.7856122,28.5328064,1.3933904
192,-13,-5.182154251150471,20.483870487536478,-13.2199078,-0.8182321,28.8012638,1.4110044
193,-13,-5.174697611150471,20.483870487536478,-13.2194223,-0.8449860,29.0662041,1.4250274
194,-13,-5.167240971150471,20.483870487536478,-13.2188692,-0.8679726,29.3263378,1.4335313
195,-13,-5.159784331150471,20.483870487536478,-13.2182474,-0.8836931,29.5789928,1.4350387
196,-13,-5.152327691150471,20.483870487536478,-13.2175541,-0.8898277,29.8228855,1.4286785
197,-13,-5.144871051150471,20.483870487536478,-13.2167892,-0.8809955,30.0525761,1.4141954
198,-13,-5.137414411150471,20.483870487536478,-13.2159548,-0.8573382,30.2647076,1.3918465
199,-13,-5.129957771150471,20.483870487536478,-13.2150545,-0.8243760,30.4531403,1.3621544
200,-13,-5.122501131150471,20.483870487536478,-13.2140942,-0.7858150,30.6169415,1.3258514
201,-13,-5.115044491150471,20.483870487536478,-13.2130795,-0.7459326,30.7546196,1.2841035
202,-13,-5.107587851150472,20.483870487536478,-13.2120152,-0.7107000,30.8678627,1.2383819
203,-13,-5.100131211150471,20.483870487536478,-13.2109070,-0.6794541,30.9577675,1.1903044
204,-13,-5.092674571150472,20.483870487536478,-13.2097578,-0.6469771,31.0270329,1.1415097
205,-13,-5.085217931150471,20.483870487536478,-13.2085714,-0.6147968,31.0744247,1.0935210
206,-13,-5.077761291150471,20.483870487536478,-13.2073498,-0.5835135,31.1013126,1.0478543
207,-13,-5.070304651150471,20.483870487536478,-13.2060986,-0.5538454,31.1081104,1.0058371
208,-13,-5.062848011150471,20.483870487536478,-13.2048197,-0.5264248,31.0981369,0.9687464
209,-13,-5.055391371150471,20.483870487536478,-13.2035179,-0.5035601,31.0723839,0.9379261
210,-13,-5.047934731150471,20.483870487536478,-13.2021942,-0.4875402,31.0328732,0.9144548
211,-13,-5.040478091150471,20.483870487536478,-13.2008533,-0.4793554,30.9826889,0.8991233
212,-13,-5.361113611150471,20.476413847536477,-13.2217255,-0.6993895,19.4541798,1.4015862
213,-13,-5.353656971150471,20.476413847536477,-13.2222776,-0.6938505,19.8874207,1.4694606
214,-13,-5.346200331150471,20.476413847536477,-13.2227869,-0.6891025,20.3376160,1.5229169
215,-13,-5.338743691150471,20.476413847536477,-13.2232513,-0.6786267,20.8011131,1.5627358
216,-13,-5.331287051150471,20.476413847536477,-13.2236729,-0.6649325,21.2755127,1.5902265
217,-13,-5.323830411150471,20.476413847536477,-13.2240534,-0.6557466,21.7526150,1.6067542
218,-13,-5.316373771150471,20.476413847536477,-13.2243929,-0.6548594,22.2288570,1.6133476
219,-13,-5.308917131150471,20.476413847536477,-13.2246914,-0.6570030,22.6981888,1.6109623
220,-13,-5.301460491150471,20.476413847536477,-13.2249479,-0.6596603,23.1587543,1.6006690
221,-13,-5.294003851150471,20.476413847536477,-13.2251625,-0.6553524,23.6065941,1.5838262
222,-13,-5.286547211150471,20.476413847536477,-13.2253342,-0.6431404,24.0413189,1.5621859
223,-13,-5.279090571150471,20.476413847536477,-13.2254667,-0.6261408,24.4586315,1.5375936
224,-13,-5.271633931150471,20.476413847536477,-13.2255621,-0.6143822,24.8577137,1.5118766
225,-13,-5.264177291150471,20.476413847536477,-13.2256222,-0.6074634,25.2364426,1.4868846
226,-13,-5.256720651150471,20.476413847536477,-13.2256498,-0.6055654,25.5953159,1.4646299
227,-13,-5.249264011150471,20.476413847536477,-13.2256441,-0.6072029,25.9329929,1.4471225
228,-13,-5.241807371150471,20.476413847536477,-13.2256069,-0.6132163,26.2515221,1.4361712
229,-13,-5.234350731150471,20.476413847536477,-13.2255383,-0.6246433,26.5516586,1.4331264
230,-13,-5.226894091150471,20.476413847536477,-13.2254381,-0.6482546,26.8369350,1.4385933
231,-13,-5.219437451150471,20.476413847536477,-13.2253046,-0.6877318,27.1110878,1.4523218
232,-13,-5.211980811150471,20.476413847536477,-13.2251348,-0.7391877,27.3769684,1.4733142
233,-13,-5.204524171150471,20.476413847536477,-13.2249212,-0.7964000,27.6370220,1.5000699
234,-13,-5.197067531150471,20.476413847536477,-13.2246571,-0.8541200,27.8940487,1.5306871
235,-13,-5.189610891150471,20.476413847536477,-13.2243366,-0.9039066,28.1505032,1.5629306
236,-13,-5.182154251150471,20.476413847536477,-13.2239523,-0.9421277,28.4043236,1.5943491
237,-13,-5.174697611150471,20.476413847536477,-13.2235022,-0.9741765,28.6547050,1.6224779
238,-13,-5.167240971150471,20.476413847536477,-13.2229843,-1.0035013,28.9017143,1.6450914
239,-13,-5.159784331150471,20.476413847536477,-13.2223949,-1.0266119,29.1450920,1.6603267
240,-13,-5.152327691150471,20.476413847536477,-13.2217321,-1.0380245,29.3831100,1.6668586
241,-13,-5.144871051150471,20.476413847536477,-13.2209940,-1.0331146,29.6120644,1.6639525
242,-13,-5.137414411150471,20.476413847536477,-13.2201843,-1.0121921,29.8259220,1.6513803
243,-13,-5.129957771150471,20.476413847536477,-13.2193041,-0.9790921,30.0208035,1.6292927
244,-13,-5.122501131150471,20.476413847536477,-13.2183609,-0.9383280,30.1956539,1.5981393
245,-13,-5.115044491150471,20.476413847536477,-13.2173586,-0.8953006,30.3470802,1.5588162
246,-13,-5.107587851150472,20.476413847536477,-13.2163048,-0.8558683,30.4752865,1.5126837
247,-13,-5.100131211150471,20.476413847536477,-13.2152033,-0.8176770,30.5835667,1.4613763
248,-13,-5.092674571150472,20.476413847536477,-13.2140579,-0.7798163,30.6724434,1.4066427
249,-13,-5.085217931150471,20.476413847536477,-13.2128706,-0.7407916,30.7404728,1.3502042
250,-13,-5.077761291150471,20.476413847536477,-13.2116470,-0.7016910,30.7882080,1.2938732
251,-13,-5.070304651150471,20.476413847536477,-13.2103891,-0.6628248,30.8146458,1.2393976
252,-13,-5.062848011150471,20.476413847536477,-13.2091026,-0.6282089,30.8211174,1.1884897
253,-13,-5.055391371150471,20.476413847536477,-13.2077894,-0.5974356,30.8099651,1.1430072
254,-13,-5.047934731150471,20.476413847536477,-13.2064533,-0.5746655,30.7807045,1.1046246
255,-13,-5.040478091150471,20.476413847536477,-13.2050982,-0.5631469,30.7368126,1.0747622
256,-13,-5.033021451150471,20.476413847536477,-13.2037230,-0.5571296,30.6809788,1.0544209
257,-13,-5.025564811150471,20.476413847536477,-13.2023306,-0.5495685,30.6114273,1.0439607
258,-13,-5.368570251150471,20.468957207536477,-13.2236071,-0.7461671,18.8828850,1.3500962
259,-13,-5.361113611150471,20.468957207536477,-13.2242746,-0.7376047,19.2892323,1.4283952
260,-13,-5.353656971150471,20.468957207536477,-13.2249012,-0.7374173,19.7159500,1.4936032
261,-13,-5.346200331150471,20.468957207536477,-13.2254868,-0.7358830,20.1588860,1.5456742
262,-13,-5.338743691150471,20.468957207536477,-13.2260284,-0.7306668,20.6132202,1.5854810
263,-13,-5.331287051150471,20.468957207536477,-13.2265282,-0.7220231,21.0753689,1.6144289
264,-13,-5.323830411150471,20.468957207536477,-13.2269850,-0.7172276,21.5404835,1.6339781
265,-13,-5.316373771150471,20.468957207536477,-13.2274017,-0.7200232,22.0039425,1.6451308
266,-13,-5.308917131150471,20.468957207536477,-13.2277756,-0.7266985,22.4603405,1.6486441
267,-13,-5.301460491150471,20.468957207536477,-13.2281065,-0.7331181,22.9081821,1.6453652
268,-13,-5.294003851150471,20.468957207536477,-13.2283926,-0.7318609,23.3435268,1.6364104
269,-13,-5.286547211150471,20.468957207536477,-13.2286339,-0.7237819,23.7652130,1.6232822
270,-13,-5.279090571150471,20.468957207536477,-13.2288332,-0.7094111,24.1713314,1.6075777
271,-13,-5.271633931150471,20.468957207536477,-13.2289915,-0.7000043,24.5584087,1.5909824
272,-13,-5.264177291150471,20.468957207536477,-13.2291117,-0.6956486,24.9264145,1.5752553
273,-13,-5.256720651150471,20.468957207536477,-13.2291956,-0.6965273,25.2739468,1.5622565
274,-13,-5.249264011150471,20.468957207536477,-13.2292442,-0.6988668,25.6009731,1.5539031
275,-13,-5.241807371150471,20.468957207536477,-13.2292566,-0.7057752,25.9072704,1.5520014
276,-13,-5.234350731150471,20.468957207536477,-13.2292356,-0.7181973,26.1965122,1.5579973
277,-13,-5.226894091150471,20.468957207536477,-13.2291803,-0.7420881,26.4685421,1.5726377
278,-13,-5.219437451150471,20.468957207536477,-13.2290897,-0.7822130,26.7268181,1.5958172
279,-13,-5.211980811150471,20.468957207536477,-13.2289600,-0.8370822,26.9759693,1.6266928
280,-13,-5.204524171150471,20.468957207536477,-13.2287855,-0.8995923,27.2184658,1.6638649
281,-13,-5.197067531150471,20.468957207536477,-13.2285595,-0.9620699,27.4551563,1.7055022
282,-13,-5.189610891150471,20.468957207536477,-13.2282743,-1.0178905,27.6915188,1.7493820
283,-13,-5.182154251150471,20.468957207536477,-13.2279253,-1.0635186,27.9261723,1.7929444
284,-13,-5.174697611150471,20.468957207536477,-13.2275095,-1.1019925,28.1579208,1.8335263
285,-13,-5.167240971150471,20.468957207536477,-13.2270231,-1.1367115,28.3875084,1.8686619
286,-13,-5.159784331150471,20.468957207536477,-13.2264633,-1.1659156,28.6182232,1.8962440
287,-13,-5.152327691150471,20.468957207536477,-13.2258282,-1.1833624,28.8469086,1.9145948
