OID_,ClipsFinal_DEM_Large_S3_RegL2,X,Y,DEM_Large_S3_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-3.288167691150471,19.059652247536480,-13.0045900,-0.0004959,20.6611576,-6.6201730,-0.3058224,3.0000000,-2.5077634,1.0368047,15.3155794,1.8961186,15.9884071
2,-13,-3.280711051150471,19.059652247536480,-13.0059471,0.0008264,26.4462814,-6.6082888,-0.4880200,3.0000000,-2.6786280,1.0308795,14.0501900,1.7025878,16.3141289
3,-13,-3.273254411150471,19.059652247536480,-13.0071802,0.0019835,33.0578499,-6.3842750,-0.6346712,3.0000000,-2.8018944,1.0253055,12.7363081,1.5325519,16.2035427
4,-13,-3.295624331150471,19.052195607536479,-13.0047579,-0.0004132,23.1404953,-6.2477255,-0.3026233,4.0000000,-2.7115114,1.0411981,16.1798458,2.1062648,15.4410810
5,-13,-3.288167691150471,19.052195607536479,-13.0060911,0.0009091,28.9256191,-6.4144955,-0.4875013,4.0000000,-2.9252322,1.0350616,14.9531431,1.9502298,16.2253590
6,-13,-3.280711051150471,19.052195607536479,-13.0073147,0.0021488,35.5371895,-6.3697186,-0.6390387,4.0000000,-3.0824699,1.0291581,13.6560602,1.8043927,16.5453949
7,-13,-3.273254411150471,19.052195607536479,-13.0084162,0.0032231,42.1487617,-6.1407495,-0.7572818,4.0000000,-3.1851830,1.0236845,12.3233566,1.6706196,16.3918056
8,-13,-3.265797771150471,19.052195607536479,-13.0093918,0.0043802,49.5867767,-5.7738104,-0.8470076,4.0000000,-3.2425239,1.0187711,10.9807577,1.5485088,15.8558435
9,-13,-3.258341131150471,19.052195607536479,-13.0102367,-0.0045455,0.0000000,-5.3039989,-0.9128650,4.0000000,-3.2629688,1.0144755,9.6444187,1.4372387,15.0222054
10,-13,-3.250884491150471,19.052195607536479,-13.0109501,-0.0036364,0.0000000,-4.7760868,-0.9477827,4.0000000,-3.2406769,1.0108336,8.3391981,1.3451116,13.9120483
11,-13,-3.243427851150471,19.052195607536479,-13.0115328,-0.0028926,0.0000000,-4.2246294,-0.9531911,4.0000000,-3.1741107,1.0078413,7.0878706,1.2677286,12.5954733
12,-13,-3.235971211150471,19.052195607536479,-13.0119886,-0.0023140,0.0000000,-3.6767762,-0.9249353,4.0000000,-3.0462604,1.0054790,5.9116216,1.1963898,11.0940008
