OID_,Clips_DEM_Small_S5_60_Reg1,X,Y,DEM_Small_S5_60_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,580,18.026350423452591,-1.952595961974859,580.1994629,-0.0047107,47.1074371,-0.0203736,-0.0102760,4.0000000,0.0905671,1.0388269,15.7065067,-0.1111191,0.0476401
2,580,17.481480823452589,-2.020704661974860,580.0817261,0.0023967,50.4132233,-0.0147142,-0.0310148,4.0000000,0.0605123,1.0181694,10.8262501,-0.1225420,0.0353291
3,580,17.549589523452589,-2.020704661974860,580.0944214,-0.0004132,48.7603302,-0.0154150,-0.0318689,4.0000000,0.0629265,1.0202576,11.4249353,-0.1266643,0.0372940
4,580,17.617698223452589,-2.020704661974860,580.1078491,-0.0039669,46.2809906,-0.0158799,-0.0325470,4.0000000,0.0650921,1.0225092,12.0341406,-0.1301862,0.0387484
5,580,17.685806923452589,-2.020704661974860,580.1220703,0.0018182,49.5867767,-0.0163009,-0.0325071,4.0000000,0.0673915,1.0248780,12.6376667,-0.1324056,0.0399508
6,580,17.753915623452588,-2.020704661974860,580.1370239,-0.0032231,47.1074371,-0.0164770,-0.0315462,4.0000000,0.0687068,1.0274032,13.2602034,-0.1317993,0.0404247
7,580,17.822024323452588,-2.020704661974860,580.1528320,0.0009917,49.5867767,-0.0168215,-0.0295318,4.0000000,0.0708034,1.0300807,13.8735781,-0.1298670,0.0410526
8,580,17.890133023452588,-2.020704661974860,580.1693726,-0.0054545,46.2809906,-0.0168760,-0.0273610,4.0000000,0.0727404,1.0328802,14.4893751,-0.1274624,0.0410629
9,580,17.958241723452588,-2.020704661974860,580.1867065,-0.0026446,47.9338837,-0.0170270,-0.0245301,4.0000000,0.0756691,1.0357553,15.0950136,-0.1247293,0.0412244
10,580,18.026350423452591,-2.020704661974860,580.2047729,-0.0005785,49.5867767,-0.0171255,-0.0217343,4.0000000,0.0786140,1.0386316,15.6708231,-0.1220825,0.0413536
11,580,18.094459123452591,-2.020704661974860,580.2235718,0.0009917,49.5867767,-0.0172761,-0.0181148,4.0000000,0.0823107,1.0416141,16.2537975,-0.1185402,0.0416028
12,580,18.162567823452591,-2.020704661974860,580.2431030,0.0016529,49.5867767,-0.0167043,-0.0129081,4.0000000,0.0856293,1.0446792,16.8186054,-0.1114456,0.0401457
13,580,17.072828623452590,-2.088813361974859,580.0239868,0.0004959,47.1074371,-0.0056716,-0.0203625,4.0000000,0.0266449,1.0094086,7.8066239,-0.0673699,0.0134220
14,580,17.140937323452590,-2.088813361974859,580.0327759,0.0014050,48.7603302,-0.0064989,-0.0268953,4.0000000,0.0280347,1.0103540,8.1986074,-0.0818252,0.0164330
15,580,17.209046023452590,-2.088813361974859,580.0421143,0.0018182,49.5867767,-0.0075207,-0.0321397,4.0000000,0.0313986,1.0115070,8.6357946,-0.0956780,0.0198756
16,580,17.277154723452590,-2.088813361974859,580.0520630,0.0017355,49.5867767,-0.0084122,-0.0364511,4.0000000,0.0346837,1.0128580,9.1189728,-0.1075860,0.0230213
17,580,17.345263423452590,-2.088813361974859,580.0626221,0.0009091,49.5867767,-0.0092185,-0.0403809,4.0000000,0.0373709,1.0143359,9.6328325,-0.1181328,0.0260473
18,580,17.413372123452589,-2.088813361974859,580.0738525,-0.0004959,48.7603302,-0.0102059,-0.0430236,4.0000000,0.0407684,1.0160158,10.1780777,-0.1268157,0.0291600
19,580,17.481480823452589,-2.088813361974859,580.0858154,-0.0024793,46.2809906,-0.0110006,-0.0445525,4.0000000,0.0436406,1.0179666,10.7686396,-0.1327456,0.0315597
20,580,17.549589523452589,-2.088813361974859,580.0985718,-0.0052893,45.4545441,-0.0114743,-0.0449809,4.0000000,0.0464410,1.0200593,11.3676176,-0.1364028,0.0329138
21,580,17.617698223452589,-2.088813361974859,580.1120605,0.0010744,49.5867767,-0.0120162,-0.0452333,4.0000000,0.0490565,1.0222734,11.9735651,-0.1395231,0.0343829
22,580,17.685806923452589,-2.088813361974859,580.1263428,-0.0031405,47.1074371,-0.0126473,-0.0455016,4.0000000,0.0517726,1.0246828,12.5911751,-0.1427759,0.0360897
23,580,17.753915623452588,-2.088813361974859,580.1414185,0.0018182,49.5867767,-0.0130225,-0.0439431,4.0000000,0.0540127,1.0272601,13.2281237,-0.1418988,0.0366093
24,580,17.822024323452588,-2.088813361974859,580.1572266,-0.0039669,47.1074371,-0.0133846,-0.0418672,4.0000000,0.0564849,1.0299755,13.8548107,-0.1402192,0.0369651
25,580,17.890133023452588,-2.088813361974859,580.1738892,-0.0004959,49.5867767,-0.0135494,-0.0389242,4.0000000,0.0593835,1.0328182,14.4732895,-0.1372319,0.0366538
26,580,17.958241723452588,-2.088813361974859,580.1913452,0.0022314,50.4132233,-0.0137536,-0.0358370,4.0000000,0.0622828,1.0356717,15.0804548,-0.1339569,0.0364833
27,580,18.026350423452591,-2.088813361974859,580.2095337,-0.0057851,47.1074371,-0.0139099,-0.0322561,4.0000000,0.0655012,1.0385618,15.6614590,-0.1300134,0.0361660
28,580,18.094459123452591,-2.088813361974859,580.2284546,-0.0043802,47.1074371,-0.0141415,-0.0285719,4.0000000,0.0694092,1.0415722,16.2454109,-0.1265530,0.0361393
29,580,18.162567823452591,-2.088813361974859,580.2481079,-0.0038017,47.1074371,-0.0136497,-0.0224198,4.0000000,0.0733497,1.0446261,16.8087540,-0.1181893,0.0340971
30,580,18.230676523452590,-2.088813361974859,580.2684937,-0.0038843,47.1074371,-0.0131818,-0.0159905,4.0000000,0.0779645,1.0474380,17.3137188,-0.1099456,0.0323898
31,580,19.865285323452589,-2.088813361974859,580.8613281,0.0034711,51.2396698,-0.0241894,-0.0158068,3.0000000,0.1313829,1.0888516,23.2976990,-0.1629966,0.0680467
32,580,19.933394023452589,-2.088813361974859,580.8911133,0.0034711,52.0661163,-0.0244507,-0.0208835,3.0000000,0.1287313,1.0938270,23.8956909,-0.1704982,0.0703091
33,580,20.001502723452589,-2.088813361974859,580.9216919,0.0028099,51.2396698,-0.0239973,-0.0244720,4.0000000,0.1250984,1.0991727,24.5194740,-0.1740424,0.0706783
34,580,20.069611423452589,-2.088813361974859,580.9532471,0.0009917,49.5867767,-0.0235121,-0.0269520,4.0000000,0.1225275,1.1048385,25.1555119,-0.1764314,0.0709346
35,580,20.137720123452588,-2.088813361974859,580.9856567,-0.0014050,47.9338837,-0.0227799,-0.0281087,4.0000000,0.1204320,1.1106478,25.7917099,-0.1766493,0.0702961
36,581,20.205828823452592,-2.088813361974859,581.0190430,-0.0047107,46.2809906,-0.0221595,-0.0280707,4.0000000,0.1196088,1.1167358,26.4282722,-0.1757502,0.0698017
37,581,20.273937523452588,-2.088813361974859,581.0533447,0.0012397,50.4132233,-0.0211861,-0.0253183,4.0000000,0.1196957,1.1228044,27.0534039,-0.1703323,0.0678326
38,581,20.342046223452591,-2.088813361974859,581.0885620,-0.0037190,47.1074371,-0.0203030,-0.0221283,4.0000000,0.1201203,1.1287887,27.6371193,-0.1643770,0.0660875
39,580,17.072828623452590,-2.156922061974859,580.0275879,-0.0038017,42.1487617,-0.0036188,-0.0295442,4.0000000,0.0127547,1.0092968,7.7784090,-0.0718431,0.0110382
40,580,17.140937323452590,-2.156922061974859,580.0364380,-0.0029752,44.6280975,-0.0042268,-0.0360594,4.0000000,0.0144737,1.0102441,8.1470976,-0.0865926,0.0140678
41,580,17.209046023452590,-2.156922061974859,580.0457764,-0.0025620,45.4545441,-0.0047866,-0.0431151,4.0000000,0.0159272,1.0113769,8.5817766,-0.1021575,0.0175553
42,580,17.277154723452590,-2.156922061974859,580.0557251,-0.0026446,45.4545441,-0.0052285,-0.0484820,4.0000000,0.0174340,1.0126954,9.0697718,-0.1143980,0.0205502
43,580,17.345263423452590,-2.156922061974859,580.0663452,-0.0035537,45.4545441,-0.0057869,-0.0518088,4.0000000,0.0198702,1.0141636,9.5767422,-0.1234879,0.0231641
44,580,17.413372123452589,-2.156922061974859,580.0775757,-0.0050413,45.4545441,-0.0063478,-0.0565922,4.0000000,0.0213900,1.0158838,10.1282187,-0.1345743,0.0265792
45,580,17.481480823452589,-2.156922061974859,580.0895996,-0.0070248,42.9752083,-0.0068923,-0.0584195,4.0000000,0.0240117,1.0178497,10.7360659,-0.1408506,0.0287274
46,580,17.549589523452589,-2.156922061974859,580.1023560,0.0001653,48.7603302,-0.0072466,-0.0587677,4.0000000,0.0263595,1.0199350,11.3373098,-0.1438949,0.0297938
47,580,17.617698223452589,-2.156922061974859,580.1159058,-0.0034711,47.1074371,-0.0079179,-0.0584137,4.0000000,0.0299476,1.0221390,11.9390497,-0.1467751,0.0312174
48,580,17.685806923452589,-2.156922061974859,580.1301880,0.0022314,49.5867767,-0.0085810,-0.0593260,4.0000000,0.0322892,1.0245879,12.5733013,-0.1509412,0.0332930
49,580,17.753915623452588,-2.156922061974859,580.1453247,-0.0028926,47.1074371,-0.0091180,-0.0568016,4.0000000,0.0359387,1.0272555,13.2216854,-0.1495418,0.0334515
50,580,17.822024323452588,-2.156922061974859,580.1613159,0.0012397,50.4132233,-0.0095478,-0.0543029,4.0000000,0.0393289,1.0299677,13.8495445,-0.1479346,0.0334549
51,580,17.890133023452588,-2.156922061974859,580.1780396,-0.0053719,47.1074371,-0.0100078,-0.0509433,4.0000000,0.0432032,1.0327724,14.4648600,-0.1450898,0.0332239
52,580,17.958241723452588,-2.156922061974859,580.1955566,-0.0027273,47.9338837,-0.0104105,-0.0469103,4.0000000,0.0473453,1.0356396,15.0856304,-0.1411660,0.0327187
53,580,18.026350423452591,-2.156922061974859,580.2138062,-0.0008264,48.7603302,-0.0108394,-0.0422185,4.0000000,0.0518863,1.0385793,15.6651125,-0.1363233,0.0321875
54,580,18.094459123452591,-2.156922061974859,580.2328491,0.0004959,49.5867767,-0.0111761,-0.0377897,4.0000000,0.0569862,1.0416052,16.2474155,-0.1325656,0.0317391
55,580,18.162567823452591,-2.156922061974859,580.2526245,0.0010744,49.5867767,-0.0110192,-0.0310771,4.0000000,0.0619809,1.0445740,16.8057480,-0.1241351,0.0297260
56,580,18.230676523452590,-2.156922061974859,580.2730713,0.0009091,49.5867767,-0.0108430,-0.0227131,4.0000000,0.0686569,1.0473377,17.3033028,-0.1140830,0.0277480
57,580,18.298785223452590,-2.156922061974859,580.2941284,0.0000826,49.5867767,-0.0106598,-0.0160213,4.0000000,0.0749808,1.0500493,17.7668495,-0.1070233,0.0265757
58,580,19.797176623452589,-2.156922061974859,580.8324585,0.0015702,50.4132233,-0.0210525,-0.0210989,3.0000000,0.1123644,1.0824863,22.4978867,-0.1545621,0.0584047
59,580,19.865285323452589,-2.156922061974859,580.8610840,0.0028099,51.2396698,-0.0212062,-0.0286500,4.0000000,0.1079040,1.0872030,23.0862484,-0.1652040,0.0609035
60,580,19.933394023452589,-2.156922061974859,580.8905640,0.0030579,52.0661163,-0.0211851,-0.0343540,4.0000000,0.1045176,1.0923129,23.7210808,-0.1732257,0.0631211
61,580,20.001502723452589,-2.156922061974859,580.9208984,0.0026446,51.2396698,-0.0206270,-0.0384226,4.0000000,0.1008661,1.0978349,24.3620911,-0.1777112,0.0637078
62,580,20.069611423452589,-2.156922061974859,580.9522095,0.0010744,49.5867767,-0.0200083,-0.0408513,4.0000000,0.0982360,1.1036371,25.0251408,-0.1799386,0.0637875
63,580,20.137720123452588,-2.156922061974859,580.9844360,-0.0011570,47.9338837,-0.0193846,-0.0430980,4.0000000,0.0958419,1.1096350,25.6826668,-0.1820378,0.0638224
64,581,20.205828823452592,-2.156922061974859,581.0176392,-0.0042975,47.1074371,-0.0186216,-0.0424721,4.0000000,0.0949632,1.1159678,26.3491974,-0.1799074,0.0624905
65,581,20.273937523452588,-2.156922061974859,581.0518188,0.0018182,50.4132233,-0.0176219,-0.0404886,4.0000000,0.0938839,1.1222371,26.9974213,-0.1748611,0.0599500
