OID_,Clips_DEM_Small_S5_60_Reg8,X,Y,DEM_Small_S5_60_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,567,2.157023323452587,-25.586314861974863,567.8531494,0.0002479,48.7603302,-0.0124864,-0.0201269,4.0000000,-0.0418976,1.0679152,20.5189705,0.0016439,0.0348841
2,567,2.225132023452587,-25.586314861974863,567.8696899,-0.0066942,46.2809906,-0.0114274,-0.0325969,4.0000000,-0.0580086,1.0674194,20.4543018,-0.0071852,0.0357699
3,567,2.293240723452587,-25.586314861974863,567.8859253,-0.0032231,47.9338837,-0.0099917,-0.0453600,4.0000000,-0.0746370,1.0674517,20.4466801,-0.0160831,0.0375656
4,567,2.361349423452586,-25.586314861974863,567.9018555,0.0001653,49.5867767,-0.0086358,-0.0570410,4.0000000,-0.0903835,1.0679288,20.5218697,-0.0236986,0.0407663
5,567,2.429458123452587,-25.586314861974863,567.9176636,-0.0063636,46.2809906,-0.0063200,-0.0705528,4.0000000,-0.1085486,1.0689011,20.6567116,-0.0325570,0.0444739
6,567,2.497566823452587,-25.586314861974863,567.9333496,-0.0027273,48.7603302,-0.0048278,-0.0813963,4.0000000,-0.1246085,1.0703775,20.8686543,-0.0381842,0.0501487
7,567,2.565675523452587,-25.586314861974863,567.9490967,-0.0090909,46.2809906,-0.0026242,-0.0928916,4.0000000,-0.1410568,1.0723081,21.1396656,-0.0447265,0.0561296
8,567,2.633784223452587,-25.586314861974863,567.9649048,-0.0055372,47.1074371,-0.0008483,-0.1019311,4.0000000,-0.1544152,1.0746951,21.4699306,-0.0494470,0.0621550
9,567,2.701892923452586,-25.586314861974863,567.9809570,-0.0020661,48.7603302,0.0013643,-0.1115580,4.0000000,-0.1682308,1.0775983,21.8528366,-0.0548851,0.0689760
10,567,2.770001623452587,-25.586314861974863,567.9973145,-0.0088430,46.2809906,0.0030803,-0.1193729,4.0000000,-0.1800604,1.0807772,22.2649460,-0.0586853,0.0760458
11,568,2.838110323452587,-25.586314861974863,568.0139771,-0.0057851,48.7603302,0.0047108,-0.1262611,4.0000000,-0.1909262,1.0843395,22.7348156,-0.0615960,0.0831676
12,568,2.906219023452587,-25.586314861974863,568.0310669,-0.0032231,48.7603302,0.0059009,-0.1312738,4.0000000,-0.1987638,1.0883237,23.2293434,-0.0637839,0.0894358
13,568,2.974327723452586,-25.586314861974863,568.0485840,-0.0112397,46.2809906,0.0072229,-0.1364522,4.0000000,-0.2062956,1.0926300,23.7395363,-0.0666088,0.0961985
14,568,3.042436423452587,-25.586314861974863,568.0665894,-0.0096694,46.2809906,0.0086916,-0.1415258,4.0000000,-0.2136102,1.0972452,24.2879925,-0.0694414,0.1031671
15,568,3.110545123452586,-25.586314861974863,568.0852051,-0.0085124,47.1074371,0.0095433,-0.1447258,4.0000000,-0.2182747,1.1022153,24.8613071,-0.0711769,0.1092315
16,568,3.178653823452587,-25.586314861974863,568.1043701,-0.0080992,47.9338837,0.0099525,-0.1467281,4.0000000,-0.2214460,1.1075019,25.4381657,-0.0720101,0.1148048
17,568,3.246762523452587,-25.586314861974863,568.1241455,-0.0081818,47.9338837,0.0113401,-0.1504334,4.0000000,-0.2256198,1.1130325,26.0308170,-0.0752470,0.1210182
18,568,3.314871223452586,-25.586314861974863,568.1445312,-0.0087603,47.9338837,0.0125125,-0.1535543,4.0000000,-0.2295027,1.1190013,26.6471920,-0.0776059,0.1274620
19,568,3.382979923452587,-25.586314861974863,568.1656494,-0.0100826,47.9338837,0.0129688,-0.1546781,4.0000000,-0.2313287,1.1252331,27.2793522,-0.0780275,0.1325575
20,568,3.451088623452587,-25.586314861974863,568.1874390,-0.0121488,47.1074371,0.0136898,-0.1561800,4.0000000,-0.2331322,1.1316789,27.9036999,-0.0792278,0.1378094
21,568,3.519197323452587,-25.586314861974863,568.2100220,-0.0048760,48.7603302,0.0142222,-0.1571619,4.0000000,-0.2352770,1.1386203,28.5573673,-0.0790467,0.1433581
22,568,3.587306023452586,-25.586314861974863,568.2333374,-0.0084298,47.9338837,0.0143959,-0.1569767,4.0000000,-0.2350773,1.1458638,29.2178059,-0.0788762,0.1474907
23,568,3.655414723452586,-25.586314861974863,568.2574463,-0.0128099,47.1074371,0.0143224,-0.1562833,4.0000000,-0.2353026,1.1533450,29.8727932,-0.0772641,0.1518249
24,568,3.723523423452586,-25.586314861974863,568.2823486,-0.0079339,48.7603302,0.0148828,-0.1568478,4.0000000,-0.2360509,1.1612874,30.5513401,-0.0776447,0.1572623
25,568,3.791632123452587,-25.586314861974863,568.3081055,-0.0138843,47.1074371,0.0147526,-0.1552206,4.0000000,-0.2344656,1.1695471,31.2330990,-0.0759757,0.1600056
26,568,3.859740823452587,-25.586314861974863,568.3347168,-0.0105785,48.7603302,0.0142281,-0.1527098,4.0000000,-0.2326207,1.1781400,31.9181252,-0.0727989,0.1624778
27,568,3.927849523452586,-25.586314861974863,568.3622437,-0.0081818,48.7603302,0.0140587,-0.1508612,4.0000000,-0.2309875,1.1871489,32.6000404,-0.0707350,0.1653506
28,568,3.995958223452587,-25.586314861974863,568.3906860,-0.0065289,49.5867767,0.0133346,-0.1477235,4.0000000,-0.2284544,1.1964310,33.2992363,-0.0669925,0.1675857
29,568,4.064066923452586,-25.586314861974863,568.4200439,-0.0060331,49.5867767,0.0122938,-0.1431181,4.0000000,-0.2239116,1.2060676,33.9925919,-0.0623245,0.1670228
30,568,4.132175623452587,-25.586314861974863,568.4503174,-0.0061157,49.5867767,0.0114146,-0.1389151,4.0000000,-0.2197898,1.2160563,34.6779327,-0.0580404,0.1670329
31,568,4.200284323452586,-25.586314861974863,568.4815674,-0.0073554,49.5867767,0.0106135,-0.1349802,4.0000000,-0.2160290,1.2264051,35.3752556,-0.0539314,0.1678758
32,568,4.268393023452587,-25.586314861974863,568.5137939,-0.0094215,49.5867767,0.0096406,-0.1300447,4.0000000,-0.2108447,1.2370448,36.0676079,-0.0492447,0.1665629
33,568,4.336501723452587,-25.586314861974863,568.5469360,-0.0125620,48.7603302,0.0083589,-0.1238638,4.0000000,-0.2043347,1.2480489,36.7570763,-0.0433928,0.1632697
34,568,4.404610423452587,-25.586314861974863,568.5811157,-0.0066116,49.5867767,0.0075107,-0.1186353,4.0000000,-0.1976770,1.2593189,37.4361992,-0.0395936,0.1599916
35,568,4.472719123452586,-25.586314861974863,568.6163330,-0.0115702,48.7603302,0.0066431,-0.1134820,4.0000000,-0.1913730,1.2706872,38.1016731,-0.0355910,0.1571590
36,568,4.540827823452586,-25.586314861974863,568.6524658,-0.0074380,49.5867767,0.0054869,-0.1074334,4.0000000,-0.1848845,1.2824156,38.7703438,-0.0299823,0.1539657
37,568,4.608936523452586,-25.586314861974863,568.6896973,-0.0144628,47.1074371,0.0045392,-0.1014030,4.0000000,-0.1771414,1.2945137,39.4314041,-0.0256647,0.1489307
38,568,4.677045223452586,-25.586314861974863,568.7279663,-0.0122314,47.9338837,0.0037531,-0.0959670,4.0000000,-0.1697814,1.3066944,40.0751190,-0.0221526,0.1444758
39,568,4.745153923452587,-25.586314861974863,568.7672119,-0.0113223,47.9338837,0.0030169,-0.0901972,4.0000000,-0.1611725,1.3190314,40.7147293,-0.0192219,0.1381225
