OID_,Clips_DEM_Small_S5_60_Reg12,X,Y,DEM_Small_S5_60_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,568,-1.725172576547415,-6.107226661974861,568.8745117,-0.0009091,47.9338837,-0.0033404,-0.0319048,4.0000000,0.0167718,1.1118340,25.9074287,-0.0805813,0.0146326
2,568,-1.657063876547415,-6.107226661974861,568.8947144,-0.0014876,47.9338837,-0.0029130,-0.0392756,4.0000000,0.0147247,1.1114419,25.8835087,-0.0932759,0.0158572
3,568,-1.588955176547415,-6.107226661974861,568.9152832,-0.0023967,47.1074371,-0.0023297,-0.0456163,4.0000000,0.0124759,1.1111608,25.8414764,-0.1037085,0.0167286
4,568,-1.520846476547415,-6.107226661974861,568.9362183,-0.0036364,44.6280975,-0.0016176,-0.0517524,4.0000000,0.0084530,1.1109343,25.8112793,-0.1119577,0.0176448
5,568,-1.861389976547415,-6.175335361974862,568.8080444,-0.0040496,46.2809906,-0.0049066,-0.0241799,4.0000000,0.0241966,1.1145246,26.2038517,-0.0725563,0.0173860
6,568,-1.793281276547416,-6.175335361974862,568.8279419,-0.0042975,46.2809906,-0.0047755,-0.0300953,4.0000000,0.0257177,1.1138541,26.1385117,-0.0859083,0.0183227
7,568,-1.725172576547415,-6.175335361974862,568.8481445,-0.0048760,46.2809906,-0.0044916,-0.0365875,4.0000000,0.0249661,1.1132835,26.0632324,-0.0981410,0.0193917
8,568,-1.657063876547415,-6.175335361974862,568.8687744,-0.0058678,43.8016510,-0.0040243,-0.0437557,4.0000000,0.0227230,1.1127387,25.9989853,-0.1102343,0.0206779
9,568,-1.588955176547415,-6.175335361974862,568.8897095,-0.0071074,42.9752083,-0.0034445,-0.0494288,4.0000000,0.0206211,1.1120485,25.9438763,-0.1194787,0.0214582
10,568,-1.520846476547415,-6.175335361974862,568.9109497,0.0013223,47.9338837,-0.0027296,-0.0549326,4.0000000,0.0169904,1.1114821,25.8782845,-0.1268556,0.0221764
11,568,-2.270042176547415,-6.243444061974862,568.6662598,-0.0001653,47.9338837,-0.0036304,0.0145855,4.0000000,0.0160414,1.1195784,26.7307777,0.0131296,0.0127962
12,568,-2.201933476547415,-6.243444061974862,568.6845703,0.0009917,48.7603302,-0.0042896,0.0055259,4.0000000,0.0173796,1.1192687,26.7016964,-0.0063279,0.0137684
13,568,-2.133824776547415,-6.243444061974862,568.7031860,0.0019835,48.7603302,-0.0049450,-0.0033751,4.0000000,0.0187660,1.1190146,26.6697521,-0.0255161,0.0155151
14,568,-2.065716076547415,-6.243444061974862,568.7221069,0.0028099,47.9338837,-0.0052989,-0.0114230,4.0000000,0.0213694,1.1185976,26.6258125,-0.0442155,0.0169763
15,568,-1.997607376547415,-6.243444061974862,568.7413330,0.0031405,47.1074371,-0.0056423,-0.0179185,4.0000000,0.0249938,1.1179568,26.5625973,-0.0608308,0.0187251
16,568,-1.929498676547415,-6.243444061974862,568.7609253,0.0030579,47.9338837,-0.0058321,-0.0255065,4.0000000,0.0265688,1.1173118,26.4969501,-0.0775819,0.0206446
17,568,-1.861389976547415,-6.243444061974862,568.7808838,0.0026446,47.9338837,-0.0058653,-0.0317122,4.0000000,0.0291748,1.1166281,26.4154758,-0.0925992,0.0221753
18,568,-1.793281276547416,-6.243444061974862,568.8012085,0.0020661,47.9338837,-0.0057692,-0.0371790,4.0000000,0.0312222,1.1157138,26.3258762,-0.1055802,0.0234201
19,568,-1.725172576547415,-6.243444061974862,568.8218384,0.0010744,47.9338837,-0.0055418,-0.0433705,4.0000000,0.0308711,1.1147704,26.2321205,-0.1176120,0.0249242
20,568,-1.657063876547415,-6.243444061974862,568.8428345,-0.0003306,47.1074371,-0.0050960,-0.0488114,4.0000000,0.0298062,1.1140211,26.1440792,-0.1274289,0.0258451
21,568,-1.588955176547415,-6.243444061974862,568.8642578,-0.0019008,44.6280975,-0.0046056,-0.0538481,4.0000000,0.0280941,1.1132060,26.0525169,-0.1357903,0.0267747
22,568,-1.520846476547415,-6.243444061974862,568.8859863,-0.0038843,43.8016510,-0.0039572,-0.0584060,4.0000000,0.0250968,1.1123161,25.9613533,-0.1419087,0.0273157
23,568,-1.452737776547415,-6.243444061974862,568.9080200,-0.0061157,43.8016510,-0.0030883,-0.0637232,4.0000000,0.0198684,1.1115590,25.8907700,-0.1473147,0.0280516
24,568,-2.338150876547415,-6.311552761974862,568.6187134,-0.0026446,47.1074371,-0.0035258,0.0095631,4.0000000,0.0088640,1.1224787,27.0248661,0.0102622,0.0117772
25,568,-2.270042176547415,-6.311552761974862,568.6370239,-0.0014876,47.1074371,-0.0041535,0.0019976,4.0000000,0.0129831,1.1223218,27.0089436,-0.0089879,0.0132526
26,568,-2.201933476547415,-6.311552761974862,568.6555786,-0.0004959,47.1074371,-0.0048019,-0.0062016,4.0000000,0.0155582,1.1219157,26.9641514,-0.0279614,0.0153066
27,568,-2.133824776547415,-6.311552761974862,568.6744385,0.0002479,47.9338837,-0.0055023,-0.0145778,4.0000000,0.0181763,1.1215074,26.9203281,-0.0473319,0.0181642
28,568,-2.065716076547415,-6.311552761974862,568.6936646,0.0007438,47.1074371,-0.0059468,-0.0217866,4.0000000,0.0221253,1.1209886,26.8679142,-0.0656985,0.0205870
29,568,-1.997607376547415,-6.311552761974862,568.7133179,0.0007438,47.1074371,-0.0063148,-0.0286702,4.0000000,0.0261533,1.1202129,26.7920685,-0.0834936,0.0231138
30,568,-1.929498676547415,-6.311552761974862,568.7332764,0.0003306,47.1074371,-0.0066140,-0.0351472,4.0000000,0.0296131,1.1193920,26.7059364,-0.0999075,0.0257128
