OID_,Clips_DEM_Small_S5_60_Reg3,X,Y,DEM_Small_S5_60_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,579,19.865285323452582,-11.283487861974860,579.7214966,0.0009917,48.7603302,-0.0029448,-0.0291568,4.0000000,-0.0820351,1.1605692,30.5097599,0.0237216,0.0208404
2,579,19.933394023452582,-11.283487861974860,579.7415161,0.0009917,48.7603302,-0.0023496,-0.0277296,4.0000000,-0.0730389,1.1639305,30.7858028,0.0175797,0.0176020
3,579,20.001502723452582,-11.283487861974860,579.7620850,0.0005785,48.7603302,-0.0018287,-0.0267466,4.0000000,-0.0640239,1.1669334,31.0318451,0.0105307,0.0147893
4,579,20.069611423452582,-11.283487861974860,579.7832031,-0.0004132,48.7603302,-0.0013850,-0.0256456,4.0000000,-0.0553672,1.1695689,31.2459698,0.0040759,0.0122126
5,579,19.660959223452583,-11.351596561974860,579.6308594,0.0015702,47.9338837,-0.0039804,-0.0325394,4.0000000,-0.1013663,1.1487461,29.4937057,0.0362874,0.0264197
6,579,19.729067923452583,-11.351596561974860,579.6487427,-0.0066116,47.1074371,-0.0033981,-0.0352997,4.0000000,-0.0996126,1.1527401,29.8380184,0.0290132,0.0262050
7,579,19.797176623452582,-11.351596561974860,579.6672974,-0.0052066,47.1074371,-0.0028572,-0.0365391,4.0000000,-0.0952500,1.1567649,30.1799278,0.0221718,0.0250688
8,579,19.865285323452582,-11.351596561974860,579.6865234,-0.0043802,47.1074371,-0.0022308,-0.0363035,4.0000000,-0.0876719,1.1604633,30.4934502,0.0150649,0.0223837
9,579,19.933394023452582,-11.351596561974860,579.7063599,-0.0042149,47.9338837,-0.0017770,-0.0346590,4.0000000,-0.0785722,1.1638781,30.7864170,0.0092541,0.0193289
10,579,20.001502723452582,-11.351596561974860,579.7268066,-0.0044628,47.1074371,-0.0014216,-0.0327571,4.0000000,-0.0690327,1.1669632,31.0378304,0.0035184,0.0164343
11,579,20.069611423452582,-11.351596561974860,579.7478027,-0.0053719,47.1074371,-0.0011145,-0.0306415,4.0000000,-0.0595492,1.1697884,31.2610035,-0.0017339,0.0136548
12,579,20.137720123452581,-11.351596561974860,579.7693481,-0.0066942,47.1074371,-0.0009277,-0.0283125,4.0000000,-0.0500479,1.1721987,31.4587460,-0.0065770,0.0113090
13,579,20.205828823452581,-11.351596561974860,579.7913208,0.0014876,48.7603302,-0.0007893,-0.0240034,4.0000000,-0.0388425,1.1742483,31.6270542,-0.0091643,0.0084321
14,579,19.456633123452583,-11.419705261974860,579.5474243,-0.0044628,47.9338837,-0.0049580,-0.0276699,4.0000000,-0.1032234,1.1361167,28.3395615,0.0478837,0.0259308
15,579,19.524741823452583,-11.419705261974860,579.5631714,-0.0007438,47.9338837,-0.0043988,-0.0332090,4.0000000,-0.1072827,1.1400826,28.7052727,0.0408646,0.0274995
16,579,19.592850523452583,-11.419705261974860,579.5795288,-0.0073554,47.9338837,-0.0037732,-0.0370112,4.0000000,-0.1079381,1.1442310,29.0870533,0.0339158,0.0280514
17,579,19.660959223452583,-11.419705261974860,579.5965576,-0.0045455,47.9338837,-0.0031885,-0.0391167,4.0000000,-0.1059311,1.1482377,29.4373569,0.0276978,0.0276154
18,579,19.729067923452583,-11.419705261974860,579.6141357,-0.0023967,47.9338837,-0.0027082,-0.0410693,4.0000000,-0.1037538,1.1522048,29.7910843,0.0216153,0.0274594
19,579,19.797176623452582,-11.419705261974860,579.6324463,-0.0007438,47.9338837,-0.0021800,-0.0426534,4.0000000,-0.0999146,1.1562084,30.1397724,0.0146078,0.0267263
20,579,19.865285323452582,-11.419705261974860,579.6514282,0.0003306,49.5867767,-0.0017585,-0.0416448,4.0000000,-0.0926387,1.1600692,30.4679680,0.0093491,0.0242835
21,579,19.933394023452582,-11.419705261974860,579.6710815,0.0007438,48.7603302,-0.0013980,-0.0401832,4.0000000,-0.0840435,1.1637321,30.7658234,0.0036772,0.0215623
22,579,20.001502723452582,-11.419705261974860,579.6914062,0.0005785,48.7603302,-0.0011572,-0.0376828,4.0000000,-0.0747125,1.1669965,31.0409279,-0.0006531,0.0185856
