OID_,Clips_DEM_Small_S5_60_Reg11,X,Y,DEM_Small_S5_60_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,565,-7.786846876547412,-11.692140061974866,565.6007690,0.0025620,50.4132233,-0.0358289,-0.0228309,4.0000000,-0.0896288,1.0644202,20.0276661,0.0439670,0.0957204
2,565,-7.718738176547411,-11.692140061974866,565.6240234,-0.0004959,50.4132233,-0.0340614,-0.0182299,4.0000000,-0.1051697,1.0685860,20.6302414,0.0687099,0.0918145
3,565,-7.650629476547412,-11.692140061974866,565.6477661,-0.0041322,48.7603302,-0.0317256,-0.0150899,4.0000000,-0.1188386,1.0725672,21.1808300,0.0886589,0.0865883
4,565,-7.582520776547412,-11.692140061974866,565.6718140,0.0019835,50.4132233,-0.0288035,-0.0118916,4.0000000,-0.1279532,1.0761352,21.6848335,0.1041700,0.0795084
5,565,-7.514412076547412,-11.692140061974866,565.6961060,-0.0021488,48.7603302,-0.0251558,-0.0097530,4.0000000,-0.1326705,1.0795199,22.1272182,0.1131644,0.0703246
6,565,-7.446303376547411,-11.692140061974866,565.7206421,0.0033058,50.4132233,-0.0213700,-0.0084574,4.0000000,-0.1341635,1.0824422,22.5028934,0.1172487,0.0605381
7,565,-7.378194676547412,-11.692140061974866,565.7452393,-0.0013223,49.5867767,-0.0173026,-0.0106388,4.0000000,-0.1325170,1.0847417,22.8045521,0.1112395,0.0502737
8,565,-7.310085976547412,-11.692140061974866,565.7698364,-0.0058678,47.9338837,-0.0135031,-0.0132155,4.0000000,-0.1270081,1.0868435,23.0652733,0.1005770,0.0405777
9,565,-7.241977276547412,-11.692140061974866,565.7944336,-0.0005785,49.5867767,-0.0099435,-0.0183039,4.0000000,-0.1195543,1.0884619,23.2665062,0.0829464,0.0320043
10,565,-7.173868576547412,-11.692140061974866,565.8189697,-0.0055372,46.2809906,-0.0070191,-0.0237540,4.0000000,-0.1092857,1.0895905,23.3975983,0.0617777,0.0252714
11,565,-7.105759876547411,-11.692140061974866,565.8434448,-0.0002479,47.9338837,-0.0043022,-0.0330687,4.0000000,-0.0989790,1.0902151,23.4827442,0.0328416,0.0207116
12,565,-7.037651176547412,-11.692140061974866,565.8677368,-0.0050413,47.1074371,-0.0025042,-0.0425620,4.0000000,-0.0874638,1.0905318,23.5175610,0.0023398,0.0193836
13,565,-6.969542476547412,-11.692140061974866,565.8920288,0.0001653,47.9338837,-0.0012327,-0.0546026,4.0000000,-0.0768430,1.0905468,23.5137463,-0.0323623,0.0217012
14,565,-6.901433776547412,-11.692140061974866,565.9161987,-0.0045455,47.1074371,-0.0011133,-0.0656919,4.0000000,-0.0657794,1.0901047,23.4739819,-0.0656043,0.0277203
15,565,-6.833325076547411,-11.692140061974866,565.9403687,0.0008264,47.9338837,-0.0012138,-0.0787193,4.0000000,-0.0565233,1.0896237,23.3988266,-0.1009152,0.0369392
16,565,-6.765216376547412,-11.692140061974866,565.9645996,-0.0039669,47.1074371,-0.0021540,-0.0914408,4.0000000,-0.0489068,1.0889208,23.3078880,-0.1339749,0.0497438
17,565,-6.697107676547412,-11.692140061974866,565.9888916,-0.0088430,43.8016510,-0.0037920,-0.1032107,4.0000000,-0.0423949,1.0880069,23.2082977,-0.1640266,0.0649534
18,566,-6.628998976547412,-11.692140061974866,566.0133057,-0.0036364,45.4545441,-0.0057425,-0.1143697,4.0000000,-0.0373443,1.0870433,23.0785580,-0.1913950,0.0815740
19,566,-6.560890276547412,-11.692140061974866,566.0379028,-0.0086777,43.8016510,-0.0075189,-0.1257498,4.0000000,-0.0353357,1.0862162,22.9752197,-0.2161638,0.0993675
20,566,-6.492781576547412,-11.692140061974866,566.0628052,-0.0039669,45.4545441,-0.0098216,-0.1343395,4.0000000,-0.0352541,1.0856067,22.8975658,-0.2334248,0.1163721
