OID_,Clips_DEM_Small_S5_60_Reg13,X,Y,DEM_Small_S5_60_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,570,-0.022455076547414,-4.676943961974866,570.0167847,-0.0022314,48.7603302,-0.0123095,-0.0143627,4.0000000,0.0358287,1.1476045,29.3887157,-0.0645540,0.0431117
2,570,0.045653623452586,-4.676943961974866,570.0477295,-0.0033884,47.9338837,-0.0124015,-0.0154762,4.0000000,0.0409097,1.1512514,29.7101421,-0.0718621,0.0439972
3,570,0.113762323452586,-4.676943961974866,570.0794067,-0.0050413,47.1074371,-0.0124083,-0.0155608,4.0000000,0.0474057,1.1548573,30.0162735,-0.0785274,0.0444595
4,569,-0.294889876547414,-4.745052661974865,569.8762817,-0.0017355,48.7603302,-0.0094424,-0.0115463,4.0000000,0.0088610,1.1365756,28.3810349,-0.0319537,0.0320617
5,569,-0.226781176547414,-4.745052661974865,569.9045410,-0.0001653,47.9338837,-0.0098579,-0.0151211,4.0000000,0.0117872,1.1399432,28.6927299,-0.0420294,0.0342243
6,569,-0.158672476547414,-4.745052661974865,569.9334106,0.0007438,48.7603302,-0.0101685,-0.0183887,4.0000000,0.0148236,1.1434183,29.0107632,-0.0516009,0.0361263
7,569,-0.090563776547414,-4.745052661974865,569.9630127,0.0011570,48.7603302,-0.0106496,-0.0222880,4.0000000,0.0186962,1.1470792,29.3344784,-0.0632722,0.0388442
8,569,-0.022455076547414,-4.745052661974865,569.9933472,0.0007438,48.7603302,-0.0108463,-0.0237615,4.0000000,0.0236397,1.1507742,29.6712742,-0.0711627,0.0401639
9,570,0.045653623452586,-4.745052661974865,570.0244141,-0.0004959,48.7603302,-0.0109373,-0.0241140,4.0000000,0.0294364,1.1546030,29.9982529,-0.0776645,0.0408532
10,570,0.113762323452586,-4.745052661974865,570.0562744,-0.0022314,47.9338837,-0.0109636,-0.0238260,4.0000000,0.0359173,1.1582788,30.3137741,-0.0835692,0.0411600
11,570,0.181871023452586,-4.745052661974865,570.0888062,-0.0046281,47.9338837,-0.0110566,-0.0236168,4.0000000,0.0415563,1.1619858,30.6216030,-0.0887899,0.0417642
12,570,0.249979723452586,-4.745052661974865,570.1221313,0.0020661,48.7603302,-0.0112172,-0.0229262,4.0000000,0.0478065,1.1655719,30.9186554,-0.0936588,0.0425358
13,570,0.318088423452586,-4.745052661974865,570.1561279,-0.0018182,48.7603302,-0.0110939,-0.0212477,4.0000000,0.0536012,1.1690125,31.2039680,-0.0960967,0.0421680
14,570,0.386197123452586,-4.745052661974865,570.1908569,0.0034711,49.5867767,-0.0109949,-0.0194843,4.0000000,0.0586765,1.1723614,31.4649467,-0.0976451,0.0419410
15,570,0.454305823452586,-4.745052661974865,570.2261963,-0.0016529,47.9338837,-0.0107360,-0.0166012,4.0000000,0.0643134,1.1754740,31.7189312,-0.0975158,0.0411133
16,569,-0.362998576547414,-4.813161361974866,569.8244629,0.0001653,48.7603302,-0.0078679,-0.0145799,4.0000000,-0.0010312,1.1356865,28.3002415,-0.0281286,0.0273025
17,569,-0.294889876547414,-4.813161361974866,569.8520508,0.0020661,49.5867767,-0.0082407,-0.0192268,4.0000000,0.0005558,1.1388997,28.5962296,-0.0390094,0.0296341
18,569,-0.226781176547414,-4.813161361974866,569.8803101,0.0036364,49.5867767,-0.0085292,-0.0233544,4.0000000,0.0020944,1.1423508,28.9133530,-0.0488033,0.0318242
19,569,-0.158672476547414,-4.813161361974866,569.9092407,-0.0056198,46.2809906,-0.0087525,-0.0267001,4.0000000,0.0050131,1.1459857,29.2384262,-0.0584133,0.0337215
20,569,-0.090563776547414,-4.813161361974866,569.9389648,-0.0052893,47.1074371,-0.0092129,-0.0297387,4.0000000,0.0090459,1.1497201,29.5694656,-0.0685234,0.0364281
21,569,-0.022455076547414,-4.813161361974866,569.9693604,-0.0057851,47.1074371,-0.0095460,-0.0318548,4.0000000,0.0133104,1.1536647,29.9163055,-0.0770201,0.0385085
22,570,0.045653623452586,-4.813161361974866,570.0006104,0.0028099,48.7603302,-0.0096127,-0.0322150,4.0000000,0.0194836,1.1576550,30.2561512,-0.0839136,0.0390127
23,570,0.113762323452586,-4.813161361974866,570.0325928,0.0009091,48.7603302,-0.0096088,-0.0313000,4.0000000,0.0254156,1.1614085,30.5795193,-0.0880156,0.0388761
24,570,0.181871023452586,-4.813161361974866,570.0653076,-0.0016529,47.9338837,-0.0097755,-0.0306520,4.0000000,0.0315667,1.1652974,30.8960419,-0.0928707,0.0394545
25,570,0.249979723452586,-4.813161361974866,570.0988159,-0.0051240,47.9338837,-0.0098782,-0.0305618,4.0000000,0.0368884,1.1691345,31.2059574,-0.0980120,0.0400114
26,570,0.318088423452586,-4.813161361974866,570.1330566,0.0008264,48.7603302,-0.0097384,-0.0281068,4.0000000,0.0429879,1.1727322,31.5046616,-0.0992015,0.0390670
27,570,0.386197123452586,-4.813161361974866,570.1679688,-0.0040496,48.7603302,-0.0098315,-0.0254577,4.0000000,0.0494108,1.1761750,31.7736874,-0.1003261,0.0390576
28,570,0.454305823452586,-4.813161361974866,570.2036133,0.0005785,48.7603302,-0.0096767,-0.0224830,4.0000000,0.0546264,1.1795443,32.0319214,-0.0995923,0.0382438
29,570,0.522414523452586,-4.813161361974866,570.2399292,-0.0055372,47.1074371,-0.0096049,-0.0197134,4.0000000,0.0597980,1.1826285,32.2753334,-0.0992248,0.0379305
30,569,-0.431107276547414,-4.881270061974866,569.7727661,0.0017355,48.7603302,-0.0062074,-0.0163943,4.0000000,-0.0080959,1.1347173,28.2046909,-0.0246927,0.0221713
31,569,-0.362998576547414,-4.881270061974866,569.7997437,-0.0055372,46.2809906,-0.0065328,-0.0221942,4.0000000,-0.0085982,1.1377743,28.4846401,-0.0357902,0.0247416
32,569,-0.294889876547414,-4.881270061974866,569.8273926,-0.0036364,47.9338837,-0.0069953,-0.0273473,4.0000000,-0.0076363,1.1409813,28.7849274,-0.0470583,0.0279411
33,569,-0.226781176547414,-4.881270061974866,569.8556519,-0.0021488,47.9338837,-0.0072989,-0.0312551,4.0000000,-0.0060096,1.1445184,29.1123905,-0.0565005,0.0304846
