OID_,Clips_DEM_Small_S5_60_Reg5,X,Y,DEM_Small_S5_60_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,576,20.955024523452586,-21.976553761974866,576.8922729,-0.0004959,48.7603302,-0.0060757,-0.0287280,4.0000000,-0.0678162,1.3092750,40.2132721,0.0103601,0.0549747
2,576,21.023133223452586,-21.976553761974866,576.9324341,-0.0008264,47.1074371,-0.0060008,-0.0300549,4.0000000,-0.0619820,1.3178215,40.6524429,0.0018721,0.0556777
3,576,21.091241923452586,-21.976553761974866,576.9736328,-0.0018182,45.4545441,-0.0059064,-0.0311763,4.0000000,-0.0552020,1.3262606,41.0753746,-0.0071506,0.0557169
4,577,21.159350623452585,-21.976553761974866,577.0157471,-0.0039669,45.4545441,-0.0058187,-0.0315880,4.0000000,-0.0477825,1.3345011,41.4851379,-0.0153935,0.0549634
5,577,21.227459323452585,-21.976553761974866,577.0588989,-0.0067769,45.4545441,-0.0058441,-0.0310918,4.0000000,-0.0396310,1.3427489,41.8803329,-0.0225526,0.0539905
6,576,20.818807123452586,-22.044662461974866,576.7736206,-0.0027273,48.7603302,-0.0044439,-0.0344116,4.0000000,-0.0872233,1.2907940,39.2295952,0.0184001,0.0515509
7,576,20.886915823452586,-22.044662461974866,576.8115845,-0.0009091,49.5867767,-0.0042078,-0.0376988,4.0000000,-0.0841960,1.2992300,39.6850357,0.0087985,0.0540280
8,576,20.955024523452586,-22.044662461974866,576.8504639,0.0002479,49.5867767,-0.0040099,-0.0412610,4.0000000,-0.0806992,1.3080467,40.1481705,-0.0018228,0.0570098
9,576,21.023133223452586,-22.044662461974866,576.8903198,0.0002479,49.5867767,-0.0037714,-0.0430791,4.0000000,-0.0749628,1.3170635,40.6102219,-0.0111955,0.0573376
10,576,21.091241923452586,-22.044662461974866,576.9312134,-0.0004959,47.1074371,-0.0036494,-0.0444783,4.0000000,-0.0683857,1.3259867,41.0647278,-0.0205708,0.0574943
11,576,21.159350623452585,-22.044662461974866,576.9730835,-0.0023967,45.4545441,-0.0036796,-0.0442161,4.0000000,-0.0607845,1.3348227,41.4964066,-0.0276477,0.0563525
