OID_,Clips_DEM_Small_S5_60_Reg10,X,Y,DEM_Small_S5_60_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,568,-10.851738376547411,2.610686938025131,568.8603516,0.0038017,48.7603302,-0.0296989,0.0265284,4.0000000,-0.1473389,1.2133987,34.5352097,0.2003957,0.1293943
2,568,-10.783629676547411,2.610686938025131,568.8442383,-0.0005785,47.9338837,-0.0360327,0.0202744,4.0000000,-0.1705797,1.2043048,33.9050140,0.2111285,0.1538110
3,568,-10.715520976547412,2.610686938025131,568.8292236,-0.0059504,47.9338837,-0.0430652,0.0142894,4.0000000,-0.1925358,1.1944034,33.1887665,0.2211145,0.1797309
4,568,-10.647412276547410,2.610686938025131,568.8153687,-0.0023967,48.7603302,-0.0501629,0.0086305,4.0000000,-0.2117450,1.1838493,32.3874207,0.2290060,0.2037715
5,568,-10.579303576547410,2.610686938025131,568.8027344,0.0000826,48.7603302,-0.0573130,0.0032539,4.0000000,-0.2286339,1.1728318,31.5187626,0.2351417,0.2257464
6,568,-10.511194876547410,2.610686938025131,568.7913208,0.0013223,48.7603302,-0.0637567,-0.0002950,4.0000000,-0.2399420,1.1615058,30.5925541,0.2393519,0.2418634
7,568,-10.443086176547411,2.610686938025131,568.7812500,0.0016529,47.9338837,-0.0692337,-0.0021399,4.0000000,-0.2464568,1.1502374,29.6260834,0.2421770,0.2518438
8,568,-10.374977476547411,2.610686938025131,568.7723999,0.0005785,47.9338837,-0.0737178,-0.0021645,4.0000000,-0.2478195,1.1392826,28.6331615,0.2434904,0.2563696
9,568,-10.306868776547411,2.610686938025131,568.7648926,-0.0014876,47.9338837,-0.0769541,0.0005495,4.0000000,-0.2433758,1.1287901,27.6341019,0.2444749,0.2553283
10,568,-10.238760076547411,2.610686938025131,568.7586060,-0.0047107,47.1074371,-0.0774912,0.0071227,4.0000000,-0.2299635,1.1189113,26.6511536,0.2442089,0.2452787
11,568,-10.170651376547411,2.610686938025131,568.7534790,0.0011570,48.7603302,-0.0766476,0.0178633,4.0000000,-0.2099119,1.1097962,25.6953545,0.2456385,0.2326989
12,568,-10.102542676547412,2.610686938025131,568.7493896,-0.0038017,45.4545441,-0.0731879,0.0301807,4.0000000,-0.1855854,1.1015211,24.7772560,0.2459468,0.2159198
13,568,-11.056064476547411,2.542578238025130,568.8685303,-0.0044628,47.1074371,-0.0146713,0.0124974,4.0000000,-0.0979008,1.2391175,36.2378273,0.1228955,0.0705019
14,568,-10.987955776547411,2.542578238025130,568.8500366,0.0033884,48.7603302,-0.0177380,0.0076280,4.0000000,-0.1213712,1.2331678,35.8566399,0.1366271,0.0857436
