OID_,ClipsFinal_DEM_Large_S3_RegS1,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-2.631983371150471,22.176527767536477,-12.7791243,0.0012397,12.3966942,-0.1992465,-0.0866258,5.0000000,-0.1395610,1.0005054,1.8191133,-0.0336906,0.4293925
2,-12,-2.624526731150472,22.176527767536477,-12.7792759,0.0014876,14.8760328,-0.2022604,-0.1030073,4.0000000,-0.2609741,1.0004117,1.6414242,0.0549595,0.4477508
3,-12,-2.617070091150472,22.176527767536477,-12.7793970,0.0016529,16.5289249,-0.2056488,-0.1184264,4.0000000,-0.3916428,1.0003294,1.4664623,0.1547900,0.4680946
4,-12,-2.609613451150472,22.176527767536477,-12.7794857,0.0017355,17.3553715,-0.2089006,-0.1304327,4.0000000,-0.5185181,1.0002598,1.3005438,0.2576529,0.4864573
5,-12,-2.602156811150472,22.176527767536477,-12.7795410,0.0017355,17.3553715,-0.2127604,-0.1426966,4.0000000,-0.6147683,1.0002068,1.1579508,0.3293752,0.5074946
6,-12,-2.594700171150472,22.176527767536477,-12.7795639,0.0016529,16.5289249,-0.2175477,-0.1535015,5.0000000,-0.6250808,1.0001717,1.0511061,0.3180778,0.5298003
7,-12,-2.587243531150472,22.176527767536477,-12.7795515,0.0015702,15.7024794,-0.2241458,-0.1638245,4.0000000,-0.4899458,1.0001552,0.9979891,0.1622968,0.5560477
8,-12,-2.579786891150472,22.176527767536477,-12.7795048,0.0014050,14.0495872,-0.2301053,-0.1714584,4.0000000,-0.2219188,1.0001599,1.0105332,-0.1209980,0.5781728
9,-12,-2.572330251150472,22.176527767536477,-12.7794228,0.0012397,12.3966942,-0.2371285,-0.1790933,5.0000000,0.0575219,1.0001867,1.0935270,-0.4157085,0.6029321
10,-12,-2.646896651150471,22.169071127536480,-12.7789135,0.0012397,12.3966942,-0.2011224,-0.0653593,4.0000000,-0.0150456,1.0007862,2.2704639,-0.1156730,0.4206307
11,-12,-2.639440011150471,22.169071127536480,-12.7791233,0.0015702,15.7024794,-0.2041208,-0.0848890,4.0000000,-0.1178336,1.0006695,2.0954232,-0.0519444,0.4382522
12,-12,-2.631983371150471,22.169071127536480,-12.7793026,0.0019008,19.0082645,-0.2064008,-0.1010117,4.0000000,-0.2288758,1.0005602,1.9172242,0.0268524,0.4546902
13,-12,-2.624526731150472,22.169071127536480,-12.7794504,0.0022314,22.3140488,-0.2094422,-0.1173980,4.0000000,-0.3501486,1.0004621,1.7384051,0.1153525,0.4749881
14,-12,-2.617070091150472,22.169071127536480,-12.7795658,0.0024793,24.7933884,-0.2139855,-0.1323329,4.0000000,-0.4747459,1.0003759,1.5669948,0.2100800,0.4989006
15,-12,-2.609613451150472,22.169071127536480,-12.7796478,0.0026446,26.4462814,-0.2164013,-0.1453258,4.0000000,-0.5858909,1.0003042,1.4075954,0.2952393,0.5180607
16,-12,-2.602156811150472,22.169071127536480,-12.7796955,0.0026446,26.4462814,-0.2210283,-0.1568625,4.0000000,-0.6519865,1.0002503,1.2752007,0.3382615,0.5411699
17,-12,-2.594700171150472,22.169071127536480,-12.7797089,0.0024793,24.7933884,-0.2255396,-0.1684105,5.0000000,-0.6260458,1.0002158,1.1808157,0.2892248,0.5651385
18,-12,-2.587243531150472,22.169071127536480,-12.7796860,0.0023140,23.1404953,-0.2315513,-0.1794769,4.0000000,-0.4689166,1.0002017,1.1408337,0.1099627,0.5925027
19,-12,-2.579786891150472,22.169071127536480,-12.7796278,0.0020661,20.6611576,-0.2368268,-0.1871195,4.0000000,-0.2097136,1.0002109,1.1636753,-0.1645254,0.6142220
20,-12,-2.572330251150472,22.169071127536480,-12.7795324,0.0018182,18.1818180,-0.2435701,-0.1950071,5.0000000,0.0476123,1.0002438,1.2523400,-0.4376264,0.6397718
21,-12,-2.564873611150472,22.169071127536480,-12.7794008,0.0014876,14.8760328,-0.2519103,-0.2021561,4.0000000,0.2289595,1.0003018,1.3960217,-0.6332716,0.6678746
22,-12,-2.654353291150471,22.161614487536479,-12.7788792,0.0014050,14.0495872,-0.2032427,-0.0594857,4.0000000,0.0027588,1.0009886,2.5462382,-0.1217303,0.4222756
23,-12,-2.646896651150471,22.161614487536479,-12.7791166,0.0018182,18.1818180,-0.2069739,-0.0802199,4.0000000,-0.0935836,1.0008581,2.3729508,-0.0668563,0.4412075
24,-12,-2.639440011150471,22.161614487536479,-12.7793245,0.0022314,22.3140488,-0.2094168,-0.0999961,4.0000000,-0.2000640,1.0007339,2.1940701,0.0000717,0.4602374
25,-12,-2.631983371150471,22.161614487536479,-12.7795000,0.0026446,26.4462814,-0.2121615,-0.1166131,4.0000000,-0.3126467,1.0006189,2.0129356,0.0794205,0.4800141
26,-12,-2.624526731150472,22.161614487536479,-12.7796440,0.0030579,30.5785122,-0.2153355,-0.1325157,4.0000000,-0.4303929,1.0005156,1.8365299,0.1653615,0.5021058
27,-12,-2.617070091150472,22.161614487536479,-12.7797537,0.0033884,33.8842964,-0.2195874,-0.1484364,4.0000000,-0.5472619,1.0004262,1.6694500,0.2503891,0.5284060
28,-12,-2.609613451150472,22.161614487536479,-12.7798281,0.0035537,35.5371895,-0.2221916,-0.1607027,4.0000000,-0.6387501,1.0003537,1.5177569,0.3173448,0.5486701
29,-12,-2.602156811150472,22.161614487536479,-12.7798672,0.0035537,35.5371895,-0.2269355,-0.1727376,4.0000000,-0.6765651,1.0002997,1.3958906,0.3310899,0.5741121
30,-12,-2.594700171150472,22.161614487536479,-12.7798710,0.0033058,33.0578499,-0.2315321,-0.1840501,5.0000000,-0.6193863,1.0002664,1.3126173,0.2512861,0.5993591
31,-12,-2.587243531150472,22.161614487536479,-12.7798367,0.0030579,30.5785122,-0.2377439,-0.1953706,4.0000000,-0.4488350,1.0002552,1.2836187,0.0580938,0.6288970
32,-12,-2.579786891150472,22.161614487536479,-12.7797661,0.0027273,27.2727280,-0.2429485,-0.2027770,4.0000000,-0.1997698,1.0002686,1.3159983,-0.2057841,0.6510564
33,-12,-2.572330251150472,22.161614487536479,-12.7796564,0.0023967,23.9669418,-0.2500970,-0.2101833,5.0000000,0.0429485,1.0003082,1.4105619,-0.4633152,0.6775942
34,-12,-2.564873611150472,22.161614487536479,-12.7795095,0.0019835,19.8347111,-0.2583928,-0.2161151,4.0000000,0.2169993,1.0003746,1.5559884,-0.6492293,0.7043707
35,-12,-2.557416971150472,22.161614487536479,-12.7793245,0.0015702,15.7024794,-0.2679563,-0.2208136,4.0000000,0.3138098,1.0004716,1.7476898,-0.7554370,0.7318690
36,-12,-2.669266571150471,22.154157847536478,-12.7785444,0.0012397,12.3966942,-0.2019825,-0.0294989,4.0000000,0.0995890,1.0013573,2.9856515,-0.1585868,0.4096241
37,-12,-2.661809931150471,22.154157847536478,-12.7788391,0.0016529,16.5289249,-0.2051293,-0.0521485,4.0000000,0.0172136,1.0012149,2.8243020,-0.1215107,0.4231536
38,-12,-2.654353291150471,22.154157847536478,-12.7791052,0.0020661,20.6611576,-0.2091755,-0.0726184,4.0000000,-0.0715934,1.0010734,2.6534445,-0.0736435,0.4413339
39,-12,-2.646896651150471,22.154157847536478,-12.7793417,0.0025620,25.6198349,-0.2132280,-0.0940875,4.0000000,-0.1712250,1.0009342,2.4763992,-0.0169501,0.4636497
40,-12,-2.639440011150471,22.154157847536478,-12.7795458,0.0030579,30.5785122,-0.2161474,-0.1138679,4.0000000,-0.2782919,1.0008032,2.2952192,0.0505561,0.4858359
41,-12,-2.631983371150471,22.154157847536478,-12.7797184,0.0035537,35.5371895,-0.2187123,-0.1314692,4.0000000,-0.3909108,1.0006821,2.1134238,0.1279724,0.5081281
42,-12,-2.624526731150472,22.154157847536478,-12.7798557,0.0039669,39.6694221,-0.2214550,-0.1466452,4.0000000,-0.5020599,1.0005735,1.9380741,0.2087694,0.5303807
43,-12,-2.617070091150472,22.154157847536478,-12.7799587,0.0042975,42.9752083,-0.2252283,-0.1633085,4.0000000,-0.6079172,1.0004817,1.7742821,0.2813001,0.5584844
44,-12,-2.609613451150472,22.154157847536478,-12.7800264,-0.0055372,0.0000000,-0.2278254,-0.1768083,4.0000000,-0.6805496,1.0004075,1.6294149,0.3269331,0.5819246
45,-12,-2.602156811150472,22.154157847536478,-12.7800560,-0.0055372,0.0000000,-0.2315014,-0.1893433,5.0000000,-0.6911587,1.0003531,1.5157636,0.3124720,0.6075224
46,-12,-2.594700171150472,22.154157847536478,-12.7800493,-0.0057851,0.0000000,-0.2363721,-0.1994415,4.0000000,-0.6070566,1.0003216,1.4440862,0.2081736,0.6328621
47,-12,-2.587243531150472,22.154157847536478,-12.7800035,-0.0061157,0.0000000,-0.2426307,-0.2105258,4.0000000,-0.4281342,1.0003147,1.4273664,0.0070827,0.6634828
48,-12,-2.579786891150472,22.154157847536478,-12.7799187,0.0034711,34.7107430,-0.2490778,-0.2181856,4.0000000,-0.1893160,1.0003344,1.4706903,-0.2470552,0.6894670
49,-12,-2.572330251150472,22.154157847536478,-12.7797956,0.0030579,30.5785122,-0.2576789,-0.2246209,5.0000000,0.0395077,1.0003822,1.5726179,-0.4887495,0.7180786
50,-12,-2.564873611150472,22.154157847536478,-12.7796326,0.0025620,25.6198349,-0.2653075,-0.2300703,4.0000000,0.2057143,1.0004580,1.7219405,-0.6658549,0.7433242
51,-12,-2.557416971150472,22.154157847536478,-12.7794304,0.0020661,20.6611576,-0.2732269,-0.2352645,4.0000000,0.3023343,1.0005651,1.9149231,-0.7728633,0.7690029
52,-12,-2.549960331150471,22.154157847536478,-12.7791882,0.0015702,15.7024794,-0.2822688,-0.2392191,4.0000000,0.3418187,1.0007041,2.1392696,-0.8202569,0.7948799
53,-12,-2.542503691150471,22.154157847536478,-12.7789068,0.0010744,10.7438021,-0.2917263,-0.2407063,4.0000000,0.3425563,1.0008759,2.3870327,-0.8239689,0.8170692
54,-12,-2.535047051150471,22.154157847536478,-12.7785854,0.0006612,6.6115704,-0.3032789,-0.2426600,4.0000000,0.3188505,1.0010806,2.6529624,-0.8041705,0.8445410
55,-12,-2.527590411150471,22.154157847536478,-12.7782249,0.0003306,3.3057852,-0.3161797,-0.2418965,4.0000000,0.2823983,1.0013189,2.9323552,-0.7661912,0.8696337
56,-12,-2.520133771150471,22.154157847536478,-12.7778244,0.0000826,0.8264463,-0.3305595,-0.2413483,4.0000000,0.2381099,1.0015935,3.2231658,-0.7208066,0.8983230
57,-12,-2.512677131150471,22.154157847536478,-12.7773848,0.0000000,0.0000000,-0.3434945,-0.2385650,4.0000000,0.1892989,1.0019015,3.5220435,-0.6664290,0.9200330
58,-12,-2.505220491150471,22.154157847536478,-12.7769070,0.0000000,0.0000000,-0.3567465,-0.2372130,4.0000000,0.1386845,1.0022430,3.8265672,-0.6131105,0.9453872
59,-12,-2.497763851150471,22.154157847536478,-12.7763910,0.0000000,0.0000000,-0.3697142,-0.2331372,4.0000000,0.0895574,1.0026233,4.1386447,-0.5558318,0.9653025
60,-12,-2.490307211150471,22.154157847536478,-12.7758360,0.0000000,0.0000000,-0.3827355,-0.2295094,4.0000000,0.0405546,1.0030398,4.4543223,-0.4995733,0.9865390
61,-12,-2.482850571150471,22.154157847536478,-12.7752438,0.0000000,0.0000000,-0.3946484,-0.2236435,4.0000000,-0.0069167,1.0034890,4.7720265,-0.4403703,1.0018398
62,-12,-2.475393931150471,22.154157847536478,-12.7746143,-0.0001653,0.0000000,-0.4081096,-0.2194516,4.0000000,-0.0511144,1.0039721,5.0927553,-0.3877889,1.0237616
63,-12,-2.467937291150471,22.154157847536478,-12.7739487,-0.0005785,0.0000000,-0.4199511,-0.2144923,4.0000000,-0.0921275,1.0044950,5.4151683,-0.3368571,1.0414637
64,-12,-2.669266571150471,22.146701207536477,-12.7787943,0.0018182,18.1818180,-0.2049203,-0.0450623,4.0000000,0.0293843,1.0014646,3.1009421,-0.1195088,0.4203805
65,-12,-2.661809931150471,22.146701207536477,-12.7790880,0.0023140,23.1404953,-0.2084506,-0.0664899,4.0000000,-0.0536686,1.0013117,2.9327826,-0.0793111,0.4368602
66,-12,-2.654353291150471,22.146701207536477,-12.7793531,0.0028099,28.0991745,-0.2120960,-0.0886717,4.0000000,-0.1466353,1.0011593,2.7594512,-0.0307081,0.4578101
67,-12,-2.646896651150471,22.146701207536477,-12.7795868,0.0033884,33.8842964,-0.2156788,-0.1108792,4.0000000,-0.2476743,1.0010123,2.5775056,0.0259158,0.4826074
