OID_,ClipsFinal_DEM_Large_S3_RegM,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-3.564063371150472,21.475603607536478,-12.8296566,0.0046281,48.7603302,-0.0532511,-0.0221783,4.0000000,-0.2331513,1.0522819,18.1420345,0.1887947,0.1359303
2,-12,-3.556606731150472,21.475603607536478,-12.8290453,0.0039669,46.2809906,-0.0519956,-0.0049424,4.0000000,-0.2176236,1.0528454,18.2368755,0.2077388,0.1290422
3,-12,-3.549150091150472,21.475603607536478,-12.8284235,0.0033884,44.6280975,-0.0498318,0.0137418,4.0000000,-0.1996911,1.0533732,18.3233871,0.2271747,0.1227581
4,-12,-3.541693451150472,21.475603607536478,-12.8277931,0.0027273,42.1487617,-0.0469674,0.0327629,4.0000000,-0.1802810,1.0538636,18.4027271,0.2458067,0.1181886
5,-12,-3.534236811150472,21.475603607536478,-12.8271532,0.0020661,39.6694221,-0.0428691,0.0525113,4.0000000,-0.1580031,1.0543036,18.4765587,0.2630256,0.1144403
6,-12,-3.526780171150472,21.475603607536478,-12.8265066,0.0014876,37.1900826,-0.0377174,0.0732390,4.0000000,-0.1332628,1.0547006,18.5410671,0.2797408,0.1125941
7,-12,-3.519323531150472,21.475603607536478,-12.8258533,0.0009091,34.7107430,-0.0328951,0.0917705,4.0000000,-0.1114390,1.0550555,18.5967484,0.2949799,0.1140530
8,-12,-3.564063371150472,21.468146967536480,-12.8320265,-0.0028099,19.0082645,-0.0532327,-0.0577384,4.0000000,-0.2556726,1.0523385,18.1523037,0.1401959,0.1532184
9,-12,-3.556606731150472,21.468146967536480,-12.8314266,-0.0033884,17.3553715,-0.0525657,-0.0410364,4.0000000,-0.2422785,1.0529722,18.2560558,0.1602058,0.1422932
10,-12,-3.549150091150472,21.468146967536480,-12.8308163,-0.0039669,14.8760328,-0.0505698,-0.0236208,4.0000000,-0.2257404,1.0535651,18.3559113,0.1784989,0.1304044
11,-12,-3.541693451150472,21.468146967536480,-12.8301964,-0.0047107,12.3966942,-0.0479338,-0.0041229,4.0000000,-0.2058152,1.0541277,18.4471359,0.1975693,0.1194667
12,-12,-3.534236811150472,21.468146967536480,-12.8295660,0.0045455,48.7603302,-0.0443575,0.0143505,4.0000000,-0.1851054,1.0546563,18.5327473,0.2138064,0.1098445
13,-12,-3.526780171150472,21.468146967536480,-12.8289280,0.0038843,46.2809906,-0.0398040,0.0331104,4.0000000,-0.1621414,1.0551265,18.6096497,0.2283622,0.1012316
14,-12,-3.519323531150472,21.468146967536480,-12.8282833,0.0032231,43.8016510,-0.0352206,0.0516149,4.0000000,-0.1395834,1.0555481,18.6778488,0.2428132,0.0959489
15,-12,-3.511866891150472,21.468146967536480,-12.8276310,0.0025620,41.3223152,-0.0284660,0.0729011,4.0000000,-0.1095974,1.0559175,18.7369289,0.2553996,0.0905679
16,-12,-3.504410251150472,21.468146967536480,-12.8269739,0.0019008,38.8429756,-0.0215789,0.0935016,4.0000000,-0.0804676,1.0562209,18.7860165,0.2674709,0.0889509
