OID_,ClipsFinal_DEM_Large_S3_RegO,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-4.399207051150471,20.588263447536477,-13.1330366,-0.0021488,40.4958687,-0.9156307,0.0104738,4.0000000,-0.6629672,1.3259330,41.0614357,0.6839149,6.0746679
2,-13,-4.391750411150471,20.588263447536477,-13.1336327,-0.0015702,41.3223152,-0.8935733,-0.0034865,4.0000000,-0.7179307,1.3295000,41.2380981,0.7109576,6.1410456
3,-13,-4.384293771150471,20.588263447536477,-13.1341248,-0.0010744,42.1487617,-0.8704655,-0.0138193,4.0000000,-0.7644572,1.3328503,41.4030991,0.7368187,6.1875229
4,-13,-4.376837131150471,20.588263447536477,-13.1345091,-0.0007438,42.9752083,-0.8476459,-0.0220252,4.0000000,-0.8039825,1.3360146,41.5561714,0.7599321,6.2223701
5,-13,-4.369380491150471,20.588263447536477,-13.1347828,-0.0004959,43.8016510,-0.8256647,-0.0283789,4.0000000,-0.8370443,1.3389730,41.6992264,0.7802866,6.2463574
6,-13,-4.361923851150471,20.588263447536477,-13.1349411,-0.0002479,44.6280975,-0.8044692,-0.0328521,4.0000000,-0.8622895,1.3417379,41.8317986,0.7965854,6.2509894
7,-13,-4.354467211150471,20.588263447536477,-13.1349831,-0.0001653,45.4545441,-0.7850581,-0.0338223,5.0000000,-0.8786403,1.3443292,41.9546700,0.8109958,6.2270112
8,-13,-4.347010571150471,20.588263447536477,-13.1349058,-0.0003306,44.6280975,-0.7678437,-0.0338959,4.0000000,-0.8889368,1.3467418,42.0688286,0.8211450,6.1951408
9,-13,-4.339553931150471,20.588263447536477,-13.1347075,-0.0006612,43.8016510,-0.7527887,-0.0323988,4.0000000,-0.8923951,1.3489665,42.1742516,0.8275976,6.1479945
10,-13,-4.414120331150471,20.580806807536479,-13.1379385,0.0026446,46.2809906,-0.7805887,-0.0946667,4.0000000,-0.5511761,1.3235068,40.9417648,0.3618428,5.4347548
11,-13,-4.406663691150471,20.580806807536479,-13.1387815,0.0033884,47.9338837,-0.7495430,-0.1151121,4.0000000,-0.6184648,1.3273791,41.1343422,0.3882407,5.5273948
12,-13,-4.399207051150471,20.580806807536479,-13.1395292,0.0041322,49.5867767,-0.7184751,-0.1322827,4.0000000,-0.6795286,1.3310262,41.3138809,0.4149632,5.6197834
13,-13,-4.391750411150471,20.580806807536479,-13.1401739,-0.0052893,34.7107430,-0.6874484,-0.1471190,4.0000000,-0.7342916,1.3344612,41.4819717,0.4400537,5.7080178
14,-13,-4.384293771150471,20.580806807536479,-13.1407118,-0.0047934,35.5371895,-0.6564522,-0.1588744,4.0000000,-0.7814257,1.3377081,41.6385117,0.4636770,5.7750669
15,-13,-4.376837131150471,20.580806807536479,-13.1411390,-0.0043802,36.3636360,-0.6284559,-0.1680867,4.0000000,-0.8217548,1.3407631,41.7857437,0.4855815,5.8376937
16,-13,-4.369380491150471,20.580806807536479,-13.1414499,-0.0041322,36.3636360,-0.6034428,-0.1745599,4.0000000,-0.8553514,1.3436418,41.9225807,0.5062315,5.8871613
17,-13,-4.361923851150471,20.580806807536479,-13.1416426,-0.0038843,36.3636360,-0.5794186,-0.1789451,4.0000000,-0.8808662,1.3463467,42.0506287,0.5229759,5.9058414
18,-13,-4.354467211150471,20.580806807536479,-13.1417131,-0.0038017,36.3636360,-0.5588237,-0.1801320,5.0000000,-0.8981785,1.3488774,42.1710205,0.5379145,5.8959537
19,-13,-4.347010571150471,20.580806807536479,-13.1416616,-0.0038843,36.3636360,-0.5412362,-0.1798812,4.0000000,-0.9091459,1.3512723,42.2828712,0.5493835,5.8706722
20,-13,-4.339553931150471,20.580806807536479,-13.1414852,-0.0041322,36.3636360,-0.5278518,-0.1776341,4.0000000,-0.9136187,1.3535225,42.3860855,0.5583504,5.8311162
21,-13,-4.332097291150471,20.580806807536479,-13.1411839,-0.0043802,36.3636360,-0.5165952,-0.1738323,4.0000000,-0.9106343,1.3555856,42.4821815,0.5629697,5.7635193
22,-13,-4.324640651150471,20.580806807536479,-13.1407566,-0.0047107,36.3636360,-0.5100905,-0.1673829,4.0000000,-0.9009061,1.3574787,42.5704956,0.5661403,5.6789474
23,-13,-4.317184011150471,20.580806807536479,-13.1402044,-0.0052893,35.5371895,-0.5056681,-0.1597561,4.0000000,-0.8846250,1.3592284,42.6499634,0.5651127,5.5727615
24,-13,-4.309727371150471,20.580806807536479,-13.1395283,0.0041322,49.5867767,-0.5064105,-0.1492525,4.0000000,-0.8620651,1.3607908,42.7209358,0.5635602,5.4562421
25,-13,-4.302270731150471,20.580806807536479,-13.1387300,0.0033884,47.9338837,-0.5089908,-0.1376643,4.0000000,-0.8333775,1.3621365,42.7828522,0.5580489,5.3246098
26,-13,-4.294814091150471,20.580806807536479,-13.1378107,0.0024793,46.2809906,-0.5158093,-0.1252730,4.0000000,-0.8009739,1.3632661,42.8343582,0.5504279,5.2070217
27,-13,-4.287357451150471,20.580806807536479,-13.1367741,0.0014876,44.6280975,-0.5239956,-0.1115424,4.0000000,-0.7627795,1.3641677,42.8747559,0.5396947,5.0772939
28,-13,-4.279900811150471,20.580806807536479,-13.1356220,0.0003306,42.9752083,-0.5358354,-0.0955553,4.0000000,-0.7196094,1.3648156,42.9042244,0.5284988,4.9535761
29,-13,-4.429033611150471,20.573350167536478,-13.1422949,-0.0032231,38.0165291,-0.6650888,-0.1878277,4.0000000,-0.4150627,1.3192291,40.7275085,0.0394072,4.8462024
30,-13,-4.421576971150471,20.573350167536478,-13.1433735,-0.0019835,39.6694221,-0.6251651,-0.2157746,4.0000000,-0.4951861,1.3234017,40.9369659,0.0636369,4.9721956
