OID_,ClipsFinal_DEM_Large_S3_RegF3,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-5.726488971150472,21.080401687536479,-13.0193243,0.0042975,42.9752083,-0.2120441,-0.2223035,4.0000000,-0.6355785,1.0145423,9.7127342,0.1909714,0.6701666
2,-13,-5.719032331150471,21.080401687536479,-13.0195665,0.0045455,45.4545441,-0.2061480,-0.2104539,4.0000000,-0.6396089,1.0144930,9.6960564,0.2187010,0.6355928
3,-13,-5.711575691150472,21.080401687536479,-13.0197678,0.0047107,47.1074371,-0.2014664,-0.1991187,4.0000000,-0.6403502,1.0144633,9.6854687,0.2421128,0.6056086
4,-13,-5.704119051150471,21.080401687536479,-13.0199299,0.0048760,48.7603302,-0.1948440,-0.1859743,4.0000000,-0.6316972,1.0144466,9.6798782,0.2597485,0.5694821
5,-13,-5.741402251150472,21.072945047536479,-13.0199566,0.0047107,47.1074371,-0.2215632,-0.2545055,4.0000000,-0.6137930,1.0150853,9.8904772,0.1047819,0.7573789
6,-13,-5.733945611150471,21.072945047536479,-13.0202913,-0.0050413,0.0000000,-0.2172211,-0.2443712,4.0000000,-0.6345134,1.0149971,9.8624048,0.1457711,0.7268809
7,-13,-5.726488971150472,21.072945047536479,-13.0205812,-0.0047934,0.0000000,-0.2117523,-0.2326724,4.0000000,-0.6460813,1.0149276,9.8393164,0.1807366,0.6914461
8,-13,-5.719032331150471,21.072945047536479,-13.0208292,-0.0045455,0.0000000,-0.2059052,-0.2191618,4.0000000,-0.6484743,1.0148777,9.8226748,0.2101507,0.6526980
9,-13,-5.711575691150472,21.072945047536479,-13.0210361,-0.0043802,0.0000000,-0.2027537,-0.2061495,4.0000000,-0.6487801,1.0148432,9.8114786,0.2364810,0.6220654
10,-13,-5.704119051150471,21.072945047536479,-13.0212021,-0.0042149,0.0000000,-0.1965698,-0.1913443,4.0000000,-0.6387421,1.0148251,9.8060093,0.2560535,0.5832199
11,-13,-5.756315531150472,21.065488407536481,-13.0203924,-0.0049587,0.0000000,-0.2268132,-0.2892546,4.0000000,-0.5629207,1.0157102,10.0912695,-0.0155885,0.8497007
