OID_,ClipsFinal_DEM_Large_S3_RegN,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-3.034641931150471,23.071324567536479,-12.7588263,0.0037190,42.1487617,0.0029859,0.0698941,4.0000000,0.1056013,1.0387367,15.7026939,0.0341868,0.0167253
2,-12,-3.027185291150471,23.071324567536479,-12.7601967,-0.0047934,8.2644625,0.0005252,0.0548300,4.0000000,0.0982465,1.0388767,15.7303209,0.0114134,0.0136662
3,-12,-3.019728651150471,23.071324567536479,-12.7615700,-0.0033058,12.3966942,-0.0017881,0.0381759,4.0000000,0.0895567,1.0390073,15.7559404,-0.0132049,0.0116921
4,-12,-3.012272011150471,23.071324567536479,-12.7629442,-0.0019835,16.5289249,-0.0038669,0.0196943,4.0000000,0.0795769,1.0391287,15.7803621,-0.0401883,0.0112781
5,-12,-3.004815371150471,23.071324567536479,-12.7643194,-0.0006612,21.4876041,-0.0051584,0.0019601,4.0000000,0.0688192,1.0392351,15.7999687,-0.0648990,0.0121312
6,-12,-2.997358731150471,23.071324567536479,-12.7656937,0.0006612,27.2727280,-0.0059256,-0.0168957,4.0000000,0.0567825,1.0393324,15.8196268,-0.0905738,0.0147535
7,-12,-2.989902091150471,23.071324567536479,-12.7670660,0.0019835,33.8842964,-0.0058943,-0.0373039,4.0000000,0.0424823,1.0394084,15.8348846,-0.1170901,0.0192375
8,-12,-2.982445451150471,23.071324567536479,-12.7684355,0.0033884,41.3223152,-0.0049770,-0.0585771,4.0000000,0.0263633,1.0394578,15.8442507,-0.1435175,0.0259200
9,-12,-3.042098571150471,23.063867927536482,-12.7590466,0.0039669,43.8016510,0.0006551,0.0418826,4.0000000,0.0623702,1.0387247,15.7001543,0.0213950,0.0069627
10,-12,-3.034641931150471,23.063867927536482,-12.7604151,-0.0046281,8.2644625,-0.0007962,0.0279547,4.0000000,0.0563780,1.0388539,15.7258663,-0.0004687,0.0057897
11,-12,-3.027185291150471,23.063867927536482,-12.7617884,-0.0031405,12.3966942,-0.0019164,0.0113339,4.0000000,0.0470771,1.0389792,15.7508717,-0.0244094,0.0052200
12,-12,-3.019728651150471,23.063867927536482,-12.7631636,-0.0017355,17.3553715,-0.0025702,-0.0039158,4.0000000,0.0390528,1.0390950,15.7725468,-0.0468845,0.0060174
13,-12,-3.012272011150471,23.063867927536482,-12.7645416,-0.0004959,22.3140488,-0.0027092,-0.0228073,4.0000000,0.0278917,1.0391954,15.7926884,-0.0735062,0.0083527
14,-12,-3.004815371150471,23.063867927536482,-12.7659197,0.0008264,28.0991745,-0.0023688,-0.0405378,4.0000000,0.0173258,1.0392802,15.8099117,-0.0984014,0.0123869
15,-12,-2.997358731150471,23.063867927536482,-12.7672977,0.0021488,34.7107430,-0.0011429,-0.0600681,4.0000000,0.0047172,1.0393556,15.8235855,-0.1248534,0.0181617
16,-12,-2.989902091150471,23.063867927536482,-12.7686749,0.0035537,42.1487617,0.0008846,-0.0795533,4.0000000,-0.0089356,1.0394043,15.8340702,-0.1501710,0.0255335
17,-12,-2.982445451150471,23.063867927536482,-12.7700481,-0.0049587,8.2644625,0.0044152,-0.1026585,4.0000000,-0.0263412,1.0394316,15.8394537,-0.1789759,0.0361848
18,-12,-2.974988811150471,23.063867927536482,-12.7714186,-0.0035537,11.5702477,0.0089298,-0.1250462,4.0000000,-0.0440499,1.0394385,15.8401403,-0.2060425,0.0486606
19,-12,-2.967532171150471,23.063867927536482,-12.7727823,-0.0021488,15.7024794,0.0143398,-0.1469550,4.0000000,-0.0621292,1.0394021,15.8335686,-0.2317809,0.0630531
20,-12,-2.960075531150471,23.063867927536482,-12.7741385,-0.0008264,20.6611576,0.0213171,-0.1696894,4.0000000,-0.0833204,1.0393451,15.8231773,-0.2560585,0.0796268
21,-12,-2.952618891150470,23.063867927536482,-12.7754869,0.0004132,26.4462814,0.0301382,-0.1939709,4.0000000,-0.1074502,1.0392572,15.8064260,-0.2804917,0.0995321
22,-12,-3.288167691150471,23.056411287536481,-12.7201595,-0.0046281,4.9586778,-0.0539159,0.1910186,4.0000000,0.4892575,1.0290998,13.6632891,-0.1072202,0.2998129
23,-12,-3.280711051150471,23.056411287536481,-12.7211971,-0.0035537,7.4380164,-0.0425760,0.1883699,4.0000000,0.4655325,1.0298237,13.8290701,-0.0887926,0.2697047
24,-12,-3.116664971150471,23.056411287536481,-12.7472744,0.0022314,34.7107430,0.0068713,0.1016330,4.0000000,0.0657614,1.0375080,15.4592505,0.1375046,0.0307805
25,-12,-3.049555211150471,23.056411287536481,-12.7592688,0.0042149,45.4545441,-0.0056605,0.0122572,4.0000000,0.0182631,1.0385647,15.6693258,0.0062512,0.0138992
26,-12,-3.042098571150471,23.056411287536481,-12.7606344,-0.0043802,8.2644625,-0.0062851,-0.0007370,4.0000000,0.0126981,1.0386827,15.6912994,-0.0141720,0.0146328
27,-12,-3.034641931150471,23.056411287536481,-12.7620049,-0.0029752,12.3966942,-0.0065595,-0.0148670,4.0000000,0.0061428,1.0387975,15.7148800,-0.0358769,0.0162016
28,-12,-3.027185291150471,23.056411287536481,-12.7633781,-0.0015702,17.3553715,-0.0060091,-0.0316906,4.0000000,-0.0037363,1.0389084,15.7365036,-0.0596450,0.0183793
29,-12,-3.019728651150471,23.056411287536481,-12.7647562,-0.0002479,23.1404953,-0.0052754,-0.0473713,4.0000000,-0.0125813,1.0390031,15.7549086,-0.0821614,0.0221937
30,-12,-3.012272011150471,23.056411287536481,-12.7661352,0.0009917,28.9256191,-0.0037390,-0.0639549,4.0000000,-0.0223491,1.0390824,15.7706623,-0.1055608,0.0268801
31,-12,-3.004815371150471,23.056411287536481,-12.7675161,0.0023140,35.5371895,-0.0013675,-0.0830254,4.0000000,-0.0347041,1.0391520,15.7849684,-0.1313467,0.0339688
32,-12,-2.997358731150471,23.056411287536481,-12.7688971,0.0037190,42.9752083,0.0021994,-0.1032231,4.0000000,-0.0483365,1.0391998,15.7938499,-0.1581098,0.0426398
33,-12,-2.989902091150471,23.056411287536481,-12.7702770,-0.0047934,8.2644625,0.0060095,-0.1220384,4.0000000,-0.0611722,1.0392264,15.7991753,-0.1829046,0.0529308
34,-12,-2.982445451150471,23.056411287536481,-12.7716541,-0.0033058,12.3966942,0.0116282,-0.1437862,4.0000000,-0.0773852,1.0392321,15.8004436,-0.2101872,0.0660808
35,-12,-2.974988811150471,23.056411287536481,-12.7730274,-0.0019008,16.5289249,0.0194637,-0.1684516,4.0000000,-0.0974317,1.0392106,15.7968950,-0.2394714,0.0829211
36,-12,-2.967532171150471,23.056411287536481,-12.7743959,-0.0005785,21.4876041,0.0277529,-0.1915057,4.0000000,-0.1169077,1.0391454,15.7840776,-0.2661037,0.1015105
37,-12,-2.960075531150471,23.056411287536481,-12.7757559,0.0007438,27.2727280,0.0374110,-0.2147265,4.0000000,-0.1384718,1.0390598,15.7666187,-0.2909812,0.1222739
38,-12,-2.952618891150470,23.056411287536481,-12.7771082,0.0019835,33.8842964,0.0492296,-0.2399908,4.0000000,-0.1625968,1.0389305,15.7420483,-0.3173847,0.1475281
39,-12,-2.945162251150471,23.056411287536481,-12.7784491,0.0032231,40.4958687,0.0636636,-0.2670271,4.0000000,-0.1905067,1.0387528,15.7079372,-0.3435475,0.1771195
40,-12,-2.885509131150471,23.056411287536481,-12.7885685,0.0032231,40.4958687,0.2206930,-0.4705531,4.0000000,-0.4458169,1.0358034,15.1164951,-0.4952893,0.5089911
41,-12,-2.878052491150471,23.056411287536481,-12.7897291,0.0043802,47.1074371,0.2443735,-0.4946398,4.0000000,-0.4819697,1.0352303,14.9988813,-0.5073099,0.5621454
42,-12,-2.870595851150471,23.056411287536481,-12.7908611,-0.0044628,6.6115704,0.2660858,-0.5160512,4.0000000,-0.5165433,1.0346223,14.8722553,-0.5155590,0.6123981
43,-12,-2.863139211150471,23.056411287536481,-12.7919626,-0.0032231,9.9173555,0.2870964,-0.5363973,4.0000000,-0.5507208,1.0339820,14.7375641,-0.5220738,0.6630892
44,-12,-2.855682571150471,23.056411287536481,-12.7930326,-0.0021488,13.2231407,0.3060637,-0.5547737,4.0000000,-0.5833368,1.0333035,14.5941525,-0.5262107,0.7119951
45,-12,-3.295624331150471,23.048954647536480,-12.7206135,-0.0042149,5.7851238,-0.0915597,0.1434451,4.0000000,0.4780948,1.0288020,13.5950623,-0.1912046,0.3100934
46,-12,-3.288167691150471,23.048954647536480,-12.7216539,-0.0031405,9.0909090,-0.0777458,0.1403977,4.0000000,0.4524423,1.0295506,13.7672272,-0.1716469,0.2752524
47,-12,-3.280711051150471,23.048954647536480,-12.7227087,-0.0020661,12.3966942,-0.0648430,0.1378740,4.0000000,0.4274045,1.0302646,13.9285135,-0.1516565,0.2429659
48,-12,-3.273254411150471,23.048954647536480,-12.7237778,-0.0010744,16.5289249,-0.0536072,0.1335540,4.0000000,0.4008411,1.0309551,14.0812998,-0.1337331,0.2119628
49,-12,-3.265797771150471,23.048954647536480,-12.7248611,-0.0000826,21.4876041,-0.0423860,0.1313939,4.0000000,0.3756101,1.0315963,14.2233820,-0.1128223,0.1836273
50,-12,-3.131578251150470,23.048954647536480,-12.7463036,0.0012397,29.7520657,-0.0032304,0.0689831,4.0000000,0.0370869,1.0372703,15.4125576,0.1008793,0.0288068
51,-12,-3.124121611150471,23.048954647536480,-12.7475863,0.0024793,36.3636360,-0.0047959,0.0629107,4.0000000,0.0288061,1.0373762,15.4326248,0.0970154,0.0287468
52,-12,-3.116664971150471,23.048954647536480,-12.7488775,0.0038843,43.8016510,-0.0064114,0.0572591,4.0000000,0.0219379,1.0374827,15.4541388,0.0925804,0.0293911
53,-12,-3.109208331150471,23.048954647536480,-12.7501774,-0.0047934,7.4380164,-0.0078781,0.0494935,4.0000000,0.0148552,1.0375848,15.4746876,0.0841318,0.0290574
54,-12,-3.101751691150471,23.048954647536480,-12.7514858,-0.0034711,10.7438021,-0.0095367,0.0422018,4.0000000,0.0078206,1.0376827,15.4937258,0.0765829,0.0298983
55,-12,-3.094295051150471,23.048954647536480,-12.7528019,-0.0021488,14.8760328,-0.0110108,0.0341495,4.0000000,0.0022153,1.0377765,15.5124483,0.0660837,0.0305946
56,-12,-3.086838411150471,23.048954647536480,-12.7541256,-0.0008264,19.8347111,-0.0123020,0.0249127,4.0000000,-0.0032194,1.0378720,15.5323219,0.0530448,0.0311996
57,-12,-3.079381771150471,23.048954647536480,-12.7554569,0.0004132,25.6198349,-0.0131697,0.0145403,4.0000000,-0.0097318,1.0379697,15.5504475,0.0388125,0.0314412
58,-12,-3.057011851150471,23.048954647536480,-12.7594948,0.0043802,47.1074371,-0.0147619,-0.0157947,4.0000000,-0.0246079,1.0382770,15.6109238,-0.0069815,0.0355242
