OID_,ClipsFinal_DEM_Large_S3_RegQ2,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-6.017297931150472,22.676122647536477,-12.6111574,-0.0038017,21.4876041,-0.0100434,0.0930860,4.0000000,-0.0334757,1.0895573,23.3962803,0.2196478,0.0667358
2,-12,-6.009841291150472,22.676122647536477,-12.6127234,-0.0022314,26.4462814,-0.0122811,0.0898270,4.0000000,-0.0442110,1.0892665,23.3607140,0.2238649,0.0694427
3,-12,-6.002384651150472,22.676122647536477,-12.6142874,-0.0006612,31.4049587,-0.0134785,0.0908497,4.0000000,-0.0502672,1.0889517,23.3213005,0.2319666,0.0731364
4,-12,-5.994928011150472,22.676122647536477,-12.6158495,0.0009091,36.3636360,-0.0148956,0.0920960,4.0000000,-0.0563492,1.0886128,23.2809181,0.2405411,0.0776252
5,-12,-6.024754571150472,22.668666007536480,-12.6124201,-0.0025620,25.6198349,-0.0089321,0.0737272,4.0000000,-0.0382396,1.0902250,23.4769936,0.1856940,0.0486175
6,-12,-6.017297931150472,22.668666007536480,-12.6139832,-0.0009917,30.5785122,-0.0107652,0.0721538,4.0000000,-0.0477402,1.0899590,23.4443836,0.1920479,0.0521482
7,-12,-6.009841291150472,22.668666007536480,-12.6155443,0.0004959,35.5371895,-0.0130001,0.0691568,4.0000000,-0.0589192,1.0896467,23.4064503,0.1972327,0.0558906
8,-12,-6.002384651150472,22.668666007536480,-12.6171017,0.0020661,40.4958687,-0.0143363,0.0697417,4.0000000,-0.0652073,1.0893103,23.3656254,0.2046906,0.0596086
9,-12,-5.994928011150472,22.668666007536480,-12.6186581,0.0036364,45.4545441,-0.0158946,0.0699204,4.0000000,-0.0720210,1.0889497,23.3219833,0.2118617,0.0636674
10,-12,-5.987471371150472,22.668666007536480,-12.6202106,-0.0047934,19.0082645,-0.0172190,0.0721368,4.0000000,-0.0765994,1.0885676,23.2748775,0.2208730,0.0684188
11,-12,-6.032211211150472,22.661209367536479,-12.6137009,-0.0013223,29.7520657,-0.0070642,0.0562670,4.0000000,-0.0390149,1.0908041,23.5472393,0.1515488,0.0331543
12,-12,-6.024754571150472,22.661209367536479,-12.6152611,0.0001653,34.7107430,-0.0090558,0.0529226,4.0000000,-0.0511373,1.0905524,23.5161343,0.1569825,0.0366182
13,-12,-6.017297931150472,22.661209367536479,-12.6168194,0.0017355,39.6694221,-0.0109001,0.0509704,4.0000000,-0.0614442,1.0902677,23.4822407,0.1633851,0.0405084
14,-12,-6.009841291150472,22.661209367536479,-12.6183748,0.0033058,44.6280975,-0.0132390,0.0489275,4.0000000,-0.0732792,1.0899401,23.4428062,0.1711342,0.0457694
15,-12,-6.002384651150472,22.661209367536479,-12.6199274,0.0048760,49.5867767,-0.0148203,0.0487119,4.0000000,-0.0807424,1.0895847,23.3992023,0.1781662,0.0498228
16,-12,-5.994928011150472,22.661209367536479,-12.6214762,-0.0035537,22.3140488,-0.0162539,0.0494597,4.0000000,-0.0865603,1.0892026,23.3521519,0.1854797,0.0538873
17,-12,-5.987471371150472,22.661209367536479,-12.6230230,-0.0019835,27.2727280,-0.0177380,0.0514433,4.0000000,-0.0912077,1.0887966,23.3026676,0.1940943,0.0586214
