OID_,ClipsFinal_DEM_Large_S3_RegL1,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-2.833312651150471,19.969362327536480,-12.9511137,-0.0037190,8.2644625,-0.0100666,-0.0365746,4.0000000,0.0701916,1.0345699,14.8591585,-0.1433408,0.0280472
2,-12,-2.825856011150471,19.969362327536480,-12.9508219,-0.0041322,6.6115704,-0.0119445,-0.0493211,4.0000000,0.0690626,1.0344627,14.8371811,-0.1677049,0.0367745
3,-12,-2.818399371150471,19.969362327536480,-12.9505339,-0.0045455,4.9586778,-0.0141594,-0.0618297,4.0000000,0.0678357,1.0343236,14.8070822,-0.1914952,0.0475449
4,-12,-2.810942731150471,19.969362327536480,-12.9502497,-0.0048760,4.1322312,-0.0159941,-0.0756578,4.0000000,0.0635602,1.0341514,14.7710381,-0.2148759,0.0596696
5,-12,-2.803486091150471,19.969362327536480,-12.9499674,0.0048760,49.5867767,-0.0179496,-0.0885449,4.0000000,0.0592853,1.0339501,14.7286921,-0.2363751,0.0730269
6,-12,-2.796029451150471,19.969362327536480,-12.9496880,0.0046281,48.7603302,-0.0203240,-0.1005734,4.0000000,0.0573909,1.0337241,14.6808434,-0.2585377,0.0879798
7,-12,-2.848225931150471,19.961905687536483,-12.9536629,-0.0011570,20.6611576,-0.0099326,-0.0527196,4.0000000,0.0579275,1.0344144,14.8268032,-0.1633668,0.0337448
8,-12,-2.840769291150471,19.961905687536483,-12.9533625,-0.0014876,19.0082645,-0.0107767,-0.0657187,4.0000000,0.0571019,1.0343519,14.8131676,-0.1885393,0.0420516
9,-12,-2.833312651150471,19.961905687536483,-12.9530649,-0.0018182,17.3553715,-0.0122886,-0.0785002,4.0000000,0.0567631,1.0342485,14.7917509,-0.2137635,0.0531792
10,-12,-2.825856011150471,19.961905687536483,-12.9527702,-0.0021488,15.7024794,-0.0140456,-0.0912554,4.0000000,0.0555664,1.0341096,14.7628403,-0.2380773,0.0662609
11,-12,-2.818399371150471,19.961905687536483,-12.9524784,-0.0024793,14.0495872,-0.0164035,-0.1024038,4.0000000,0.0557200,1.0339401,14.7263489,-0.2605276,0.0806705
12,-12,-2.810942731150471,19.961905687536483,-12.9521885,-0.0028099,12.3966942,-0.0183300,-0.1146534,4.0000000,0.0532851,1.0337381,14.6840248,-0.2825919,0.0962810
13,-12,-2.803486091150471,19.961905687536483,-12.9519005,-0.0030579,10.7438021,-0.0201080,-0.1273394,4.0000000,0.0495135,1.0335093,14.6353493,-0.3041924,0.1133474
14,-12,-2.796029451150471,19.961905687536483,-12.9516144,-0.0033058,9.0909090,-0.0226320,-0.1380120,4.0000000,0.0490231,1.0332576,14.5808878,-0.3250471,0.1309981
15,-12,-2.788572811150471,19.961905687536483,-12.9513283,-0.0036364,7.4380164,-0.0254998,-0.1475517,4.0000000,0.0498827,1.0329784,14.5210047,-0.3449860,0.1489043
16,-12,-2.781116171150471,19.961905687536483,-12.9510441,-0.0039669,5.7851238,-0.0286542,-0.1561730,4.0000000,0.0514669,1.0326766,14.4565001,-0.3638129,0.1669575
17,-12,-2.773659531150471,19.961905687536483,-12.9507599,-0.0043802,4.1322312,-0.0301211,-0.1665668,4.0000000,0.0490364,1.0323595,14.3878174,-0.3821701,0.1844326
18,-12,-2.863139211150471,19.954449047536482,-12.9562206,0.0011570,32.2314034,-0.0092243,-0.0691722,4.0000000,0.0405439,1.0341114,14.7641716,-0.1788884,0.0407440
19,-12,-2.855682571150471,19.954449047536482,-12.9559135,0.0009091,31.4049587,-0.0090753,-0.0824450,4.0000000,0.0406490,1.0341008,14.7606325,-0.2055390,0.0488475
20,-12,-2.848225931150471,19.954449047536482,-12.9556084,0.0006612,29.7520657,-0.0104958,-0.0930242,4.0000000,0.0450066,1.0340434,14.7480183,-0.2310550,0.0597837
21,-12,-2.840769291150471,19.954449047536482,-12.9553061,0.0003306,28.0991745,-0.0109388,-0.1069223,4.0000000,0.0424751,1.0339426,14.7283878,-0.2563196,0.0725624
22,-12,-2.833312651150471,19.954449047536482,-12.9550056,0.0000000,26.4462814,-0.0124939,-0.1190236,4.0000000,0.0426581,1.0338136,14.7005453,-0.2807053,0.0876279
23,-12,-2.825856011150471,19.954449047536482,-12.9547062,-0.0003306,24.7933884,-0.0145444,-0.1301933,4.0000000,0.0431544,1.0336484,14.6652403,-0.3035411,0.1040191
24,-12,-2.818399371150471,19.954449047536482,-12.9544096,-0.0006612,23.1404953,-0.0173123,-0.1406935,4.0000000,0.0446869,1.0334494,14.6227665,-0.3260739,0.1222488
25,-12,-2.810942731150471,19.954449047536482,-12.9541130,-0.0009917,21.4876041,-0.0190701,-0.1539047,4.0000000,0.0420531,1.0332218,14.5743322,-0.3498625,0.1427628
26,-12,-2.803486091150471,19.954449047536482,-12.9538183,-0.0012397,19.8347111,-0.0210611,-0.1655048,4.0000000,0.0405603,1.0329633,14.5184755,-0.3715700,0.1629627
27,-12,-2.796029451150471,19.954449047536482,-12.9535236,-0.0014876,18.1818180,-0.0243654,-0.1746181,4.0000000,0.0424882,1.0326823,14.4579678,-0.3917244,0.1834037
28,-12,-2.788572811150471,19.954449047536482,-12.9532290,-0.0018182,16.5289249,-0.0274694,-0.1844345,4.0000000,0.0439521,1.0323777,14.3929520,-0.4128210,0.2051712
29,-12,-2.781116171150471,19.954449047536482,-12.9529352,-0.0021488,14.8760328,-0.0305293,-0.1926109,4.0000000,0.0458450,1.0320543,14.3226423,-0.4310669,0.2249049
30,-12,-2.773659531150471,19.954449047536482,-12.9526415,-0.0025620,12.3966942,-0.0329998,-0.2009864,4.0000000,0.0463366,1.0317194,14.2477055,-0.4483094,0.2442383
31,-12,-2.766202891150471,19.954449047536482,-12.9523478,-0.0028926,10.7438021,-0.0342569,-0.2098005,4.0000000,0.0454758,1.0313663,14.1702871,-0.4650769,0.2622379
32,-12,-2.892965771150471,19.946992407536481,-12.9594088,0.0044628,47.9338837,-0.0109644,-0.0630822,4.0000000,0.0075112,1.0334940,14.6332245,-0.1336757,0.0418855
33,-12,-2.885509131150471,19.946992407536481,-12.9590921,0.0040496,46.2809906,-0.0089421,-0.0736867,4.0000000,0.0127667,1.0336097,14.6560917,-0.1601400,0.0433445
34,-12,-2.878052491150471,19.946992407536481,-12.9587784,0.0036364,44.6280975,-0.0083389,-0.0829769,4.0000000,0.0211420,1.0336778,14.6719513,-0.1870957,0.0479596
35,-12,-2.870595851150471,19.946992407536481,-12.9584656,0.0033058,42.9752083,-0.0075696,-0.0951597,4.0000000,0.0239304,1.0337062,14.6772280,-0.2142498,0.0553291
36,-12,-2.863139211150471,19.946992407536481,-12.9581556,0.0029752,41.3223152,-0.0070814,-0.1084741,4.0000000,0.0250820,1.0336946,14.6743221,-0.2420302,0.0656716
37,-12,-2.855682571150471,19.946992407536481,-12.9578476,0.0027273,40.4958687,-0.0072235,-0.1210797,4.0000000,0.0261842,1.0336391,14.6626606,-0.2683436,0.0782245
38,-12,-2.848225931150471,19.946992407536481,-12.9575405,0.0024793,38.8429756,-0.0089562,-0.1326073,4.0000000,0.0302973,1.0335450,14.6438150,-0.2955119,0.0944156
39,-12,-2.840769291150471,19.946992407536481,-12.9572344,0.0021488,37.1900826,-0.0097845,-0.1458694,4.0000000,0.0294657,1.0334179,14.6155453,-0.3212045,0.1119758
40,-12,-2.833312651150471,19.946992407536481,-12.9569302,0.0018182,35.5371895,-0.0114020,-0.1582276,4.0000000,0.0297602,1.0332631,14.5821905,-0.3462153,0.1315598
41,-12,-2.825856011150471,19.946992407536481,-12.9566259,0.0014876,33.8842964,-0.0139926,-0.1689952,4.0000000,0.0318753,1.0330703,14.5410137,-0.3698657,0.1522585
42,-12,-2.818399371150471,19.946992407536481,-12.9563227,0.0011570,32.2314034,-0.0169562,-0.1800035,4.0000000,0.0338595,1.0328418,14.4925375,-0.3938664,0.1751272
43,-12,-2.810942731150471,19.946992407536481,-12.9560194,0.0008264,30.5785122,-0.0189597,-0.1913902,4.0000000,0.0326893,1.0325898,14.4372511,-0.4154696,0.1975812
44,-12,-2.803486091150471,19.946992407536481,-12.9557161,0.0005785,28.9256191,-0.0212430,-0.2023466,4.0000000,0.0325574,1.0323040,14.3764133,-0.4372506,0.2209481
45,-12,-2.796029451150471,19.946992407536481,-12.9554129,0.0003306,27.2727280,-0.0249512,-0.2108013,4.0000000,0.0354955,1.0319973,14.3101501,-0.4570982,0.2438540
46,-12,-2.788572811150471,19.946992407536481,-12.9551086,0.0000000,25.6198349,-0.0283777,-0.2192561,4.0000000,0.0382025,1.0316767,14.2379179,-0.4767148,0.2666834
47,-12,-2.781116171150471,19.946992407536481,-12.9548044,-0.0003306,23.9669418,-0.0318969,-0.2270193,4.0000000,0.0413897,1.0313300,14.1625128,-0.4954283,0.2889166
48,-12,-2.773659531150471,19.946992407536481,-12.9545002,-0.0007438,21.4876041,-0.0352246,-0.2347720,4.0000000,0.0440742,1.0309665,14.0835667,-0.5136181,0.3111835
49,-12,-2.766202891150471,19.946992407536481,-12.9541950,-0.0010744,19.8347111,-0.0372601,-0.2424802,4.0000000,0.0451056,1.0305974,13.9999151,-0.5300659,0.3309993
50,-12,-2.758746251150471,19.946992407536481,-12.9538898,-0.0013223,18.1818180,-0.0394192,-0.2492718,4.0000000,0.0470897,1.0302199,13.9148388,-0.5456333,0.3495652
51,-12,-2.930248971150471,19.939535767536480,-12.9629040,-0.0020661,14.8760328,-0.0222989,-0.0580634,4.0000000,-0.0539180,1.0321198,14.3360662,-0.0622088,0.0658647
52,-12,-2.922792331150471,19.939535767536480,-12.9625874,-0.0023140,14.0495872,-0.0178175,-0.0655541,4.0000000,-0.0417369,1.0323875,14.3944578,-0.0893713,0.0595823
53,-12,-2.915335691150471,19.939535767536480,-12.9622707,-0.0025620,13.2231407,-0.0140707,-0.0725355,4.0000000,-0.0307843,1.0326216,14.4462175,-0.1142867,0.0550795
54,-12,-2.907879051150471,19.939535767536480,-12.9619541,-0.0028926,11.5702477,-0.0112411,-0.0802526,4.0000000,-0.0193078,1.0328237,14.4886761,-0.1411975,0.0535102
55,-12,-2.900422411150471,19.939535767536480,-12.9616385,-0.0031405,9.9173555,-0.0084812,-0.0904226,4.0000000,-0.0126543,1.0329863,14.5228329,-0.1681908,0.0545433
56,-12,-2.892965771150471,19.939535767536480,-12.9613247,-0.0034711,8.2644625,-0.0058710,-0.1014831,4.0000000,-0.0078205,1.0331076,14.5485468,-0.1951457,0.0575754
57,-12,-2.885509131150471,19.939535767536480,-12.9610109,-0.0038843,6.6115704,-0.0044210,-0.1118725,4.0000000,-0.0018727,1.0331830,14.5664425,-0.2218723,0.0635791
58,-12,-2.878052491150471,19.939535767536480,-12.9606981,-0.0042975,4.9586778,-0.0044115,-0.1221071,4.0000000,0.0063607,1.0332174,14.5736504,-0.2505749,0.0735041
59,-12,-2.870595851150471,19.939535767536480,-12.9603863,-0.0046281,4.1322312,-0.0039990,-0.1340832,4.0000000,0.0098608,1.0332158,14.5726728,-0.2780271,0.0855079
60,-12,-2.863139211150471,19.939535767536480,-12.9600763,-0.0049587,3.3057852,-0.0035263,-0.1471534,4.0000000,0.0104916,1.0331722,14.5629921,-0.3047985,0.1000547
61,-12,-2.855682571150471,19.939535767536480,-12.9597654,0.0047934,49.5867767,-0.0040572,-0.1588459,4.0000000,0.0122898,1.0330884,14.5459871,-0.3299816,0.1164068
62,-12,-2.848225931150471,19.939535767536480,-12.9594555,0.0044628,47.9338837,-0.0061489,-0.1694503,4.0000000,0.0167655,1.0329686,14.5196114,-0.3556660,0.1357479
63,-12,-2.840769291150471,19.939535767536480,-12.9591455,0.0040496,46.2809906,-0.0072266,-0.1813414,4.0000000,0.0169464,1.0328128,14.4855776,-0.3796292,0.1558913
64,-12,-2.833312651150471,19.939535767536480,-12.9588366,0.0036364,44.6280975,-0.0087758,-0.1934758,4.0000000,0.0170489,1.0326220,14.4451361,-0.4040006,0.1786931
65,-12,-2.825856011150471,19.939535767536480,-12.9585257,0.0033058,42.9752083,-0.0118636,-0.2042978,4.0000000,0.0202102,1.0323982,14.3968811,-0.4288059,0.2037505
66,-12,-2.818399371150471,19.939535767536480,-12.9582148,0.0029752,41.3223152,-0.0156679,-0.2144407,4.0000000,0.0240974,1.0321416,14.3411436,-0.4529789,0.2300915
67,-12,-2.810942731150471,19.939535767536480,-12.9579039,0.0026446,39.6694221,-0.0179988,-0.2256563,4.0000000,0.0241992,1.0318618,14.2793312,-0.4755118,0.2561854
68,-12,-2.803486091150471,19.939535767536480,-12.9575911,0.0023967,38.0165291,-0.0206133,-0.2362032,4.0000000,0.0253404,1.0315582,14.2123938,-0.4977469,0.2825367
69,-12,-2.796029451150471,19.939535767536480,-12.9572773,0.0021488,36.3636360,-0.0248796,-0.2449573,4.0000000,0.0295674,1.0312272,14.1403370,-0.5194820,0.3095742
70,-12,-2.788572811150471,19.939535767536480,-12.9569635,0.0018182,34.7107430,-0.0290500,-0.2525289,4.0000000,0.0337613,1.0308795,14.0633507,-0.5388190,0.3344413
71,-12,-2.781116171150471,19.939535767536480,-12.9566479,0.0014876,33.0578499,-0.0335808,-0.2594215,4.0000000,0.0388497,1.0305154,13.9810143,-0.5576928,0.3589840
72,-12,-2.773659531150471,19.939535767536480,-12.9563313,0.0010744,30.5785122,-0.0370555,-0.2672155,4.0000000,0.0421894,1.0301327,13.8955526,-0.5766204,0.3836357
73,-12,-2.766202891150471,19.939535767536480,-12.9560146,0.0007438,28.9256191,-0.0397076,-0.2742720,4.0000000,0.0445822,1.0297405,13.8075333,-0.5931262,0.4052481
74,-12,-2.758746251150471,19.939535767536480,-12.9556971,0.0004959,27.2727280,-0.0430532,-0.2790217,4.0000000,0.0492718,1.0293447,13.7171230,-0.6073152,0.4231765
75,-12,-2.952618891150471,19.932079127536483,-12.9656982,0.0007438,28.9256191,-0.0286317,-0.0741576,4.0000000,-0.1060619,1.0308769,14.0628176,-0.0422533,0.0901977
76,-12,-2.945162251150471,19.932079127536483,-12.9653940,0.0004132,27.2727280,-0.0229933,-0.0792988,4.0000000,-0.0917972,1.0312210,14.1389761,-0.0668004,0.0807585
77,-12,-2.937705611150471,19.932079127536483,-12.9650879,0.0000826,25.6198349,-0.0177999,-0.0858283,4.0000000,-0.0790449,1.0315291,14.2085209,-0.0926116,0.0735442
78,-12,-2.930248971150471,19.932079127536483,-12.9647799,-0.0002479,23.9669418,-0.0133835,-0.0914468,4.0000000,-0.0654402,1.0318094,14.2684126,-0.1174534,0.0676218
79,-12,-2.922792331150471,19.932079127536483,-12.9644699,-0.0004959,23.1404953,-0.0098177,-0.0982180,4.0000000,-0.0532023,1.0320480,14.3203592,-0.1432337,0.0648433
80,-12,-2.915335691150471,19.932079127536483,-12.9641600,-0.0007438,22.3140488,-0.0063683,-0.1070252,4.0000000,-0.0442770,1.0322471,14.3643503,-0.1697733,0.0646180
81,-12,-2.907879051150471,19.932079127536483,-12.9638491,-0.0010744,20.6611576,-0.0040959,-0.1156626,4.0000000,-0.0334767,1.0324142,14.4003563,-0.1978486,0.0674403
82,-12,-2.900422411150471,19.932079127536483,-12.9635382,-0.0013223,19.0082645,-0.0017653,-0.1263207,4.0000000,-0.0263616,1.0325397,14.4276152,-0.2262798,0.0730089
83,-12,-2.892965771150471,19.932079127536483,-12.9632273,-0.0016529,17.3553715,0.0002343,-0.1374109,4.0000000,-0.0206858,1.0326242,14.4463253,-0.2541360,0.0808133
84,-12,-2.885509131150471,19.932079127536483,-12.9629154,-0.0019835,15.7024794,0.0014428,-0.1489530,4.0000000,-0.0158766,1.0326709,14.4556398,-0.2820293,0.0920356
85,-12,-2.878052491150471,19.932079127536483,-12.9626036,-0.0023140,14.0495872,0.0010372,-0.1586906,4.0000000,-0.0084341,1.0326756,14.4562578,-0.3089471,0.1054463
86,-12,-2.870595851150471,19.932079127536483,-12.9622917,-0.0026446,12.3966942,0.0016324,-0.1708664,4.0000000,-0.0063494,1.0326376,14.4490814,-0.3353835,0.1211296
87,-12,-2.863139211150471,19.932079127536483,-12.9619789,-0.0029752,10.7438021,0.0014210,-0.1821094,4.0000000,-0.0040358,1.0325584,14.4322205,-0.3601831,0.1384182
88,-12,-2.855682571150471,19.932079127536483,-12.9616661,-0.0032231,9.0909090,0.0004617,-0.1940821,4.0000000,-0.0014480,1.0324461,14.4069538,-0.3867162,0.1596441
89,-12,-2.848225931150471,19.932079127536483,-12.9613514,-0.0035537,7.4380164,-0.0021151,-0.2044843,4.0000000,0.0036517,1.0322981,14.3745584,-0.4126203,0.1828360
