OID_,ClipsFinal_DEM_Large_S3_RegJ,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-7.791978251150471,21.930458647536476,-12.6213160,-0.0038843,1.6528926,-0.0209141,-0.0061325,4.0000000,-0.0068232,1.0180973,10.8288336,-0.0054417,0.0451073
2,-12,-7.784521611150471,21.930458647536476,-12.6221447,-0.0030579,3.3057852,-0.0287075,-0.0610992,4.0000000,-0.0947983,1.0179762,10.7915907,-0.0274001,0.0780223
3,-12,-7.777064971150471,21.930458647536476,-12.6229601,-0.0022314,5.7851238,-0.0345376,-0.1114086,4.0000000,-0.1776458,1.0177563,10.7258968,-0.0451715,0.1285344
4,-12,-7.769608331150471,21.930458647536476,-12.6237555,-0.0014050,8.2644625,-0.0389120,-0.1599046,4.0000000,-0.2595767,1.0174479,10.6339474,-0.0602324,0.1954374
5,-12,-7.762151691150471,21.930458647536476,-12.6245270,-0.0005785,11.5702477,-0.0415835,-0.2021225,4.0000000,-0.3354180,1.0170718,10.5194216,-0.0688269,0.2678610
6,-12,-7.754695051150471,21.930458647536476,-12.6252699,0.0001653,14.8760328,-0.0440150,-0.2406726,4.0000000,-0.4078546,1.0166378,10.3849220,-0.0734907,0.3473406
7,-12,-7.747238411150471,21.930458647536476,-12.6259804,0.0009091,19.0082645,-0.0458237,-0.2734151,4.0000000,-0.4747364,1.0161577,10.2360611,-0.0720940,0.4242258
8,-12,-7.739781771150471,21.930458647536476,-12.6266546,0.0016529,23.1404953,-0.0469890,-0.3029495,4.0000000,-0.5387357,1.0156457,10.0749788,-0.0671634,0.5002668
9,-12,-7.732325131150471,21.930458647536476,-12.6272898,0.0023140,27.2727280,-0.0483477,-0.3287880,4.0000000,-0.5994335,1.0151194,9.9047298,-0.0581423,0.5733852
10,-12,-7.724868491150471,21.930458647536476,-12.6278839,0.0029752,32.2314034,-0.0506197,-0.3492659,4.0000000,-0.6539559,1.0145819,9.7280550,-0.0445758,0.6375869
11,-12,-7.806891531150471,21.923002007536478,-12.6207924,-0.0042975,0.8264463,-0.0000823,0.0802198,4.0000000,0.1384495,1.0182558,10.8763523,0.0219902,0.0285960
12,-12,-7.799434891150471,21.923002007536478,-12.6216364,-0.0035537,2.4793389,-0.0092515,0.0180231,4.0000000,0.0402222,1.0183141,10.8924971,-0.0041760,0.0213598
13,-12,-7.791978251150471,21.923002007536478,-12.6224766,-0.0027273,4.1322312,-0.0151155,-0.0378550,4.0000000,-0.0480153,1.0182565,10.8749008,-0.0276946,0.0387288
14,-12,-7.784521611150471,21.923002007536478,-12.6233063,-0.0019008,6.6115704,-0.0195160,-0.0902568,4.0000000,-0.1311448,1.0181025,10.8286886,-0.0493689,0.0775374
15,-12,-7.777064971150471,21.923002007536478,-12.6241226,-0.0010744,9.9173555,-0.0223120,-0.1398752,4.0000000,-0.2126720,1.0178535,10.7552948,-0.0670784,0.1334957
16,-12,-7.769608331150471,21.923002007536478,-12.6249170,-0.0002479,13.2231407,-0.0242001,-0.1862949,4.0000000,-0.2906133,1.0175221,10.6552572,-0.0819765,0.2036712
17,-12,-7.762151691150471,21.923002007536478,-12.6256876,0.0005785,17.3553715,-0.0244547,-0.2273792,4.0000000,-0.3638818,1.0171270,10.5345001,-0.0908767,0.2783124
18,-12,-7.754695051150471,21.923002007536478,-12.6264286,0.0013223,21.4876041,-0.0247691,-0.2643158,4.0000000,-0.4336880,1.0166708,10.3955593,-0.0949435,0.3579564
19,-12,-7.747238411150471,21.923002007536478,-12.6271362,0.0020661,26.4462814,-0.0242408,-0.2968921,4.0000000,-0.4980392,1.0161773,10.2418051,-0.0957450,0.4360006
20,-12,-7.739781771150471,21.923002007536478,-12.6278076,0.0028099,31.4049587,-0.0240176,-0.3255264,4.0000000,-0.5601350,1.0156569,10.0764151,-0.0909178,0.5124533
