OID_,ClipsFinal_DEM_Large_S3_RegK,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-3.593889931150471,18.612253847536479,-12.9957666,0.0013223,18.1818180,-0.3960237,0.1027699,4.0000000,0.0336312,1.0117548,8.7469196,0.1719085,0.8735736
2,-12,-3.586433291150471,18.612253847536479,-12.9959621,0.0014876,18.1818180,-0.4434724,0.0665857,4.0000000,-0.0817485,1.0110687,8.4894037,0.2149198,0.9445431
3,-12,-3.578976651150471,18.612253847536479,-12.9961662,0.0015702,18.1818180,-0.4934940,0.0344495,4.0000000,-0.1874817,1.0103495,8.2121763,0.2563807,1.0328424
4,-12,-3.571520011150471,18.612253847536479,-12.9963751,0.0016529,18.1818180,-0.5454327,0.0035217,4.0000000,-0.2892524,1.0096051,7.9123521,0.2962958,1.1334163
5,-12,-3.564063371150471,18.612253847536479,-12.9965830,0.0017355,18.1818180,-0.5978081,-0.0238368,4.0000000,-0.3789281,1.0088428,7.5919228,0.3312545,1.2414861
6,-12,-3.556606731150471,18.612253847536479,-12.9967871,0.0018182,18.1818180,-0.6523781,-0.0487695,4.0000000,-0.4610409,1.0080683,7.2523122,0.3635019,1.3585625
7,-12,-3.549150091150471,18.612253847536479,-12.9969835,0.0018182,18.1818180,-0.7075810,-0.0707778,4.0000000,-0.5337864,1.0072885,6.8942556,0.3922308,1.4794770
8,-12,-3.541693451150471,18.612253847536479,-12.9971676,0.0018182,18.1818180,-0.7619938,-0.0905644,4.0000000,-0.5965811,1.0065111,6.5166283,0.4154523,1.6001720
9,-12,-3.534236811150471,18.612253847536479,-12.9973373,0.0018182,18.1818180,-0.8127532,-0.1052108,4.0000000,-0.6414354,1.0057501,6.1237216,0.4310137,1.7111284
10,-12,-3.526780171150471,18.612253847536479,-12.9974890,0.0017355,17.3553715,-0.8618714,-0.1197148,4.0000000,-0.6794848,1.0050184,5.7196550,0.4400552,1.8197469
11,-12,-3.519323531150471,18.612253847536479,-12.9976206,0.0016529,16.5289249,-0.9098483,-0.1306712,4.0000000,-0.7025704,1.0043190,5.3051443,0.4412281,1.9233323
12,-12,-3.601346571150471,18.604797207536482,-12.9967489,0.0025620,27.2727280,-0.3558506,0.0875236,4.0000000,0.1463335,1.0122095,8.9136362,0.0287137,0.7798455
13,-12,-3.593889931150471,18.604797207536482,-12.9968967,0.0026446,27.2727280,-0.3923577,0.0519215,4.0000000,0.0342491,1.0115637,8.6767836,0.0695939,0.8328959
14,-12,-3.586433291150471,18.604797207536482,-12.9970551,0.0027273,27.2727280,-0.4326977,0.0172849,4.0000000,-0.0732719,1.0108826,8.4192629,0.1078417,0.9048380
15,-12,-3.578976651150471,18.604797207536482,-12.9972210,0.0027273,27.2727280,-0.4747956,-0.0130453,4.0000000,-0.1711237,1.0101724,8.1407146,0.1450331,0.9897438
16,-12,-3.571520011150471,18.604797207536482,-12.9973888,0.0027273,27.2727280,-0.5190193,-0.0433600,4.0000000,-0.2653257,1.0094380,7.8429189,0.1786058,1.0863824
17,-12,-3.564063371150471,18.604797207536482,-12.9975557,0.0027273,27.2727280,-0.5650513,-0.0688852,4.0000000,-0.3457961,1.0086876,7.5264783,0.2080257,1.1909434
18,-12,-3.556606731150471,18.604797207536482,-12.9977150,0.0027273,27.2727280,-0.6135392,-0.0912478,4.0000000,-0.4168082,1.0079306,7.1917405,0.2343127,1.3028054
19,-12,-3.549150091150471,18.604797207536482,-12.9978657,0.0027273,27.2727280,-0.6641694,-0.1121017,4.0000000,-0.4807155,1.0071726,6.8399110,0.2565121,1.4210225
20,-12,-3.541693451150471,18.604797207536482,-12.9980030,0.0027273,27.2727280,-0.7121744,-0.1302463,4.0000000,-0.5311380,1.0064207,6.4714403,0.2706454,1.5336202
21,-12,-3.534236811150471,18.604797207536482,-12.9981232,0.0027273,27.2727280,-0.7593972,-0.1420101,4.0000000,-0.5623571,1.0056877,6.0912271,0.2783368,1.6388900
22,-12,-3.526780171150471,18.604797207536482,-12.9982252,0.0026446,26.4462814,-0.8055341,-0.1523973,4.0000000,-0.5849669,1.0049828,5.6998963,0.2801723,1.7407755
23,-12,-3.519323531150471,18.604797207536482,-12.9983063,0.0025620,25.6198349,-0.8495771,-0.1626203,4.0000000,-0.5934389,1.0043112,5.3007727,0.2681983,1.8386035
24,-12,-3.511866891150471,18.604797207536482,-12.9983625,0.0023967,23.9669418,-0.8920375,-0.1692559,4.0000000,-0.5795442,1.0036801,4.8958783,0.2410324,1.9287007
25,-12,-3.504410251150471,18.604797207536482,-12.9983940,0.0021488,21.4876041,-0.9298375,-0.1722510,4.0000000,-0.5423048,1.0030999,4.4915519,0.1978028,2.0044415
26,-12,-3.496953611150471,18.604797207536482,-12.9983978,0.0019008,19.0082645,-0.9639527,-0.1745027,5.0000000,-0.4787873,1.0025756,4.0896831,0.1297819,2.0718184
27,-12,-3.608803211150471,18.597340567536481,-12.9978056,0.0036364,36.3636360,-0.3305130,0.0763894,4.0000000,0.2543164,1.0125744,9.0449810,-0.1015376,0.7209475
