OID_,ClipsFinal_DEM_Large_S3_RegG2,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-6.822615051150471,20.297454487536477,-12.9479027,0.0028099,41.3223152,-0.0436116,-0.2116959,4.0000000,-0.4549341,1.0656989,20.2238350,0.0315422,0.3798040
2,-12,-6.815158411150471,20.297454487536477,-12.9495068,0.0043802,47.9338837,-0.0435624,-0.2291974,4.0000000,-0.4754110,1.0644119,20.0368099,0.0170162,0.4201262
3,-12,-6.807701771150471,20.297454487536477,-12.9510784,-0.0041322,15.7024794,-0.0439111,-0.2469864,4.0000000,-0.4971101,1.0630969,19.8404293,0.0031372,0.4649521
4,-12,-6.800245131150471,20.297454487536477,-12.9526167,-0.0026446,19.8347111,-0.0451603,-0.2610042,4.0000000,-0.5148840,1.0617559,19.6368504,-0.0071244,0.5039604
5,-12,-6.792788491150471,20.297454487536477,-12.9541178,-0.0011570,24.7933884,-0.0469620,-0.2744350,4.0000000,-0.5321097,1.0604049,19.4333725,-0.0167601,0.5442106
6,-12,-6.785331851150471,20.297454487536477,-12.9555807,0.0004132,30.5785122,-0.0479835,-0.2888482,4.0000000,-0.5501128,1.0590500,19.2235222,-0.0275834,0.5867313
7,-12,-6.830071691150471,20.289997847536480,-12.9485006,0.0034711,43.8016510,-0.0353644,-0.2023492,4.0000000,-0.4377886,1.0666090,20.3561783,0.0330903,0.3374954
8,-12,-6.822615051150471,20.289997847536480,-12.9501219,-0.0050413,13.2231407,-0.0349629,-0.2178367,4.0000000,-0.4558873,1.0653690,20.1775951,0.0202139,0.3707228
9,-12,-6.815158411150471,20.289997847536480,-12.9517136,-0.0035537,17.3553715,-0.0350101,-0.2340647,4.0000000,-0.4749070,1.0641171,19.9917984,0.0067775,0.4090461
10,-12,-6.807701771150471,20.289997847536480,-12.9532747,-0.0020661,22.3140488,-0.0360565,-0.2499354,4.0000000,-0.4941457,1.0628309,19.7986794,-0.0057252,0.4512219
11,-12,-6.800245131150471,20.289997847536480,-12.9548006,-0.0004959,27.2727280,-0.0375650,-0.2628503,4.0000000,-0.5106059,1.0615112,19.6019363,-0.0150947,0.4882499
12,-12,-6.792788491150471,20.289997847536480,-12.9562912,0.0009917,33.0578499,-0.0386425,-0.2761162,4.0000000,-0.5264872,1.0602019,19.4016228,-0.0257451,0.5262977
