OID_,ClipsFinal_DEM_Large_S3_RegE,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-6.770418571150471,19.477224087536477,-13.0688581,0.0041322,47.9338837,-0.7674381,-0.2525577,4.0000000,0.6461141,1.0951091,24.0582123,-1.1512295,2.3775547
2,-13,-6.762961931150471,19.477224087536477,-13.0721283,-0.0030579,28.0991745,-0.8142659,-0.2833089,4.0000000,0.6586858,1.0915927,23.6413460,-1.2253036,2.5435789
3,-13,-6.755505291150471,19.477224087536477,-13.0753279,0.0001653,37.1900826,-0.8642080,-0.3122300,4.0000000,0.6683357,1.0878797,23.1890087,-1.2927957,2.7189915
4,-13,-6.748048651150471,19.477224087536477,-13.0784521,0.0036364,46.2809906,-0.9126289,-0.3359783,4.0000000,0.6749118,1.0840005,22.7055798,-1.3468684,2.8807144
5,-13,-6.785331851150471,19.469767447536476,-13.0624990,-0.0027273,30.5785122,-0.6941727,-0.2158346,4.0000000,0.5981236,1.1033890,25.0041828,-1.0297927,2.1687615
6,-13,-6.777875211150471,19.469767447536476,-13.0659246,0.0008264,39.6694221,-0.7367691,-0.2517115,4.0000000,0.6162898,1.1001933,24.6449165,-1.1197128,2.3281801
7,-13,-6.770418571150471,19.469767447536476,-13.0692863,0.0044628,48.7603302,-0.7821440,-0.2859402,4.0000000,0.6317382,1.0967568,24.2501125,-1.2036186,2.5003655
8,-13,-6.762961931150471,19.469767447536476,-13.0725803,-0.0026446,29.7520657,-0.8293667,-0.3163560,4.0000000,0.6447998,1.0930971,23.8202686,-1.2775117,2.6755147
9,-13,-6.755505291150471,19.469767447536476,-13.0757999,0.0006612,38.8429756,-0.8800674,-0.3461841,4.0000000,0.6537713,1.0892166,23.3536491,-1.3461394,2.8637321
10,-13,-6.748048651150471,19.469767447536476,-13.0789413,0.0040496,47.9338837,-0.9299625,-0.3708363,4.0000000,0.6593613,1.0851842,22.8543987,-1.4010340,3.0387721
11,-13,-6.740592011150471,19.469767447536476,-13.0820007,-0.0032231,25.6198349,-0.9823156,-0.3945413,4.0000000,0.6604804,1.0810074,22.3235035,-1.4495630,3.2197030
12,-13,-6.733135371150471,19.469767447536476,-13.0849724,-0.0002479,34.7107430,-1.0377467,-0.4152572,4.0000000,0.6591014,1.0767280,21.7620068,-1.4896158,3.3999097
13,-13,-6.725678731150471,19.469767447536476,-13.0878544,0.0027273,43.8016510,-1.0952264,-0.4327446,4.0000000,0.6548519,1.0723760,21.1698475,-1.5203410,3.5737665
14,-13,-6.718222091150471,19.469767447536476,-13.0906429,-0.0045455,17.3553715,-1.1543260,-0.4461853,4.0000000,0.6487267,1.0679747,20.5526161,-1.5410973,3.7354612
15,-13,-6.710765451150471,19.469767447536476,-13.0933352,-0.0018182,26.4462814,-1.2137886,-0.4577889,4.0000000,0.6395127,1.0635809,19.9110756,-1.5550905,3.8887837
16,-13,-6.703308811150471,19.469767447536476,-13.0959291,0.0006612,35.5371895,-1.2758652,-0.4663210,4.0000000,0.6292424,1.0592173,19.2471962,-1.5618844,4.0337658
17,-13,-6.695852171150471,19.469767447536476,-13.0984240,0.0028926,44.6280975,-1.3306150,-0.4694035,4.0000000,0.6172871,1.0549004,18.5631981,-1.5560942,4.1360221
18,-13,-6.688395531150471,19.469767447536476,-13.1008167,-0.0045455,11.5702477,-1.3816190,-0.4698147,4.0000000,0.6039615,1.0506877,17.8662739,-1.5435908,4.2160954
19,-13,-6.792788491150471,19.462310807536479,-13.0593958,0.0044628,48.7603302,-0.6646944,-0.2084801,4.0000000,0.5609083,1.1084290,25.5569725,-0.9778684,2.1092961
20,-13,-6.785331851150471,19.462310807536479,-13.0629110,-0.0023967,31.4049587,-0.7048712,-0.2480556,4.0000000,0.5812624,1.1054182,25.2292805,-1.0773736,2.2698569
21,-13,-6.777875211150471,19.462310807536479,-13.0663671,0.0012397,40.4958687,-0.7468840,-0.2865432,4.0000000,0.5983307,1.1020859,24.8588028,-1.1714171,2.4440477
22,-13,-6.770418571150471,19.462310807536479,-13.0697565,0.0047934,49.5867767,-0.7896511,-0.3220365,4.0000000,0.6122879,1.0985011,24.4512863,-1.2563610,2.6230116
23,-13,-6.762961931150471,19.462310807536479,-13.0730753,-0.0022314,31.4049587,-0.8355157,-0.3537742,4.0000000,0.6240514,1.0946888,24.0081825,-1.3316000,2.8081598
24,-13,-6.755505291150471,19.462310807536479,-13.0763168,0.0011570,40.4958687,-0.8853757,-0.3845192,4.0000000,0.6318865,1.0906410,23.5268784,-1.4009249,3.0071030
25,-13,-6.748048651150471,19.462310807536479,-13.0794764,0.0044628,49.5867767,-0.9352664,-0.4103202,4.0000000,0.6360555,1.0864387,23.0113449,-1.4566959,3.1943891
26,-13,-6.740592011150471,19.462310807536479,-13.0825500,-0.0027273,27.2727280,-0.9888149,-0.4330536,4.0000000,0.6370373,1.0821000,22.4635448,-1.5031445,3.3829768
27,-13,-6.733135371150471,19.462310807536479,-13.0855341,0.0003306,36.3636360,-1.0448529,-0.4525171,4.0000000,0.6347342,1.0776570,21.8849583,-1.5397683,3.5666265
28,-13,-6.725678731150471,19.462310807536479,-13.0884247,0.0033058,45.4545441,-1.1036196,-0.4692098,4.0000000,0.6293594,1.0731472,21.2764492,-1.5677789,3.7457869
29,-13,-6.718222091150471,19.462310807536479,-13.0912180,-0.0039669,19.8347111,-1.1653304,-0.4818427,4.0000000,0.6217139,1.0686020,20.6416569,-1.5853994,3.9142601
30,-13,-6.710765451150471,19.462310807536479,-13.0939121,-0.0012397,28.9256191,-1.2260236,-0.4912783,4.0000000,0.6110428,1.0640664,19.9824181,-1.5935994,4.0640392
31,-13,-6.703308811150471,19.462310807536479,-13.0965052,0.0012397,38.0165291,-1.2900957,-0.4971703,4.0000000,0.5990673,1.0595764,19.3019466,-1.5934079,4.2039962
32,-13,-6.695852171150471,19.462310807536479,-13.0989952,0.0034711,47.1074371,-1.3492895,-0.4973990,4.0000000,0.5857520,1.0551381,18.6012192,-1.5805500,4.3042169
33,-13,-6.688395531150471,19.462310807536479,-13.1013803,-0.0038843,14.0495872,-1.4053363,-0.4945150,4.0000000,0.5717567,1.0508202,17.8881226,-1.5607866,4.3806887
34,-13,-6.792788491150471,19.454854167536478,-13.0598116,0.0047934,49.5867767,-0.6697745,-0.2414337,4.0000000,0.5389135,1.1106744,25.7988338,-1.0217808,2.1958909
35,-13,-6.785331851150471,19.454854167536478,-13.0633612,-0.0019835,32.2314034,-0.7086688,-0.2832413,4.0000000,0.5587432,1.1075447,25.4615307,-1.1252258,2.3701522
36,-13,-6.777875211150471,19.454854167536478,-13.0668488,0.0016529,41.3223152,-0.7484725,-0.3237438,4.0000000,0.5750521,1.1040732,25.0809231,-1.2225397,2.5561500
37,-13,-6.770418571150471,19.454854167536478,-13.0702667,-0.0048760,23.9669418,-0.7899588,-0.3612426,4.0000000,0.5879052,1.1003306,24.6602383,-1.3103904,2.7499418
38,-13,-6.762961931150471,19.454854167536478,-13.0736113,-0.0018182,33.0578499,-0.8326691,-0.3944959,4.0000000,0.5976974,1.0963558,24.2035160,-1.3866893,2.9430106
39,-13,-6.755505291150471,19.454854167536478,-13.0768757,0.0016529,42.1487617,-0.8814700,-0.4255941,4.0000000,0.6050223,1.0921491,23.7073135,-1.4562106,3.1519377
40,-13,-6.748048651150471,19.454854167536478,-13.0800552,-0.0051240,19.8347111,-0.9324787,-0.4520315,4.0000000,0.6090257,1.0877699,23.1759739,-1.5130886,3.3542519
