OID_,ClipsFinal_DEM_Large_S3_RegA,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-4.928628491150471,17.627977367536477,-13.0684605,0.0033884,33.8842964,-0.0979155,0.5551856,4.0000000,0.1426885,1.0071049,6.7956800,0.9676827,1.4564326
2,-13,-4.921171851150471,17.627977367536477,-13.0687790,0.0037190,37.1900826,-0.0697893,0.5769242,4.0000000,0.1921074,1.0071735,6.8275495,0.9617411,1.5005151
3,-13,-4.913715211150471,17.627977367536477,-13.0690947,0.0040496,40.4958687,-0.0406906,0.6005338,4.0000000,0.2450066,1.0072886,6.8818936,0.9560609,1.5560569
4,-13,-4.950998411150471,17.620520727536480,-13.0666790,0.0014876,14.8760328,-0.2157968,0.4401053,4.0000000,-0.0149627,1.0062876,6.3940530,0.8951733,1.2266670
5,-13,-4.943541771150471,17.620520727536480,-13.0670166,0.0018182,18.1818180,-0.1889743,0.4576752,4.0000000,0.0240752,1.0062047,6.3523350,0.8912751,1.2361780
6,-13,-4.936085131150471,17.620520727536480,-13.0673447,0.0021488,21.4876041,-0.1624678,0.4771607,4.0000000,0.0665754,1.0061616,6.3301501,0.8877459,1.2565030
7,-13,-4.928628491150471,17.620520727536480,-13.0676641,0.0024793,24.7933884,-0.1339463,0.4987993,4.0000000,0.1124173,1.0061597,6.3278942,0.8851814,1.2847576
8,-13,-4.921171851150471,17.620520727536480,-13.0679770,0.0028099,28.0991745,-0.1074038,0.5208834,4.0000000,0.1602922,1.0061977,6.3480844,0.8814747,1.3230567
9,-13,-4.913715211150471,17.620520727536480,-13.0682850,0.0031405,31.4049587,-0.0824392,0.5431637,4.0000000,0.2100117,1.0062795,6.3887081,0.8763157,1.3697398
10,-13,-4.906258571150471,17.620520727536480,-13.0685902,0.0034711,34.7107430,-0.0592127,0.5668419,4.0000000,0.2620633,1.0064065,6.4513865,0.8716205,1.4308516
11,-13,-4.958455051150471,17.613064087536479,-13.0655937,0.0005785,5.7851238,-0.2608716,0.3726735,4.0000000,-0.0661285,1.0056751,6.0771484,0.8114755,1.0943477
12,-13,-4.950998411150471,17.613064087536479,-13.0659456,0.0007438,7.4380164,-0.2383962,0.3864259,4.0000000,-0.0337256,1.0055388,6.0034046,0.8065774,1.0907201
13,-13,-4.943541771150471,17.613064087536479,-13.0662861,0.0009917,9.9173555,-0.2130250,0.4040509,4.0000000,0.0033589,1.0054371,5.9482489,0.8047428,1.0955275
14,-13,-4.936085131150471,17.613064087536479,-13.0666132,0.0012397,12.3966942,-0.1898251,0.4221486,4.0000000,0.0421639,1.0053722,5.9123621,0.8021333,1.1090914
15,-13,-4.928628491150471,17.613064087536479,-13.0669308,0.0015702,15.7024794,-0.1642669,0.4424112,4.0000000,0.0841454,1.0053459,5.8968635,0.8006769,1.1284491
16,-13,-4.921171851150471,17.613064087536479,-13.0672388,0.0019008,19.0082645,-0.1414523,0.4638630,4.0000000,0.1281572,1.0053569,5.9019580,0.7995689,1.1614265
17,-13,-4.913715211150471,17.613064087536479,-13.0675402,0.0022314,22.3140488,-0.1188485,0.4864841,4.0000000,0.1760796,1.0054060,5.9297814,0.7968885,1.2034727
18,-13,-4.906258571150471,17.613064087536479,-13.0678358,0.0025620,25.6198349,-0.0993869,0.5083390,4.0000000,0.2237159,1.0054984,5.9792762,0.7929621,1.2531834
19,-13,-4.898801931150471,17.613064087536479,-13.0681286,0.0028926,28.9256191,-0.0770362,0.5332812,4.0000000,0.2770513,1.0056361,6.0523582,0.7895111,1.3146282
20,-13,-4.965911691150471,17.605607447536478,-13.0645399,-0.0001653,0.8264463,-0.2967193,0.3089042,4.0000000,-0.1053144,1.0052309,5.8353248,0.7231228,0.9902017
21,-13,-4.958455051150471,17.605607447536478,-13.0649128,0.0000826,1.6528926,-0.2743814,0.3212328,4.0000000,-0.0770446,1.0050464,5.7316575,0.7195103,0.9757891
22,-13,-4.950998411150471,17.605607447536478,-13.0652704,0.0002479,2.4793389,-0.2546247,0.3342983,4.0000000,-0.0487520,1.0048947,5.6454329,0.7173487,0.9699971
23,-13,-4.943541771150471,17.605607447536478,-13.0656118,0.0004132,4.1322312,-0.2332455,0.3500280,4.0000000,-0.0161788,1.0047785,5.5767832,0.7162349,0.9699613
24,-13,-4.936085131150471,17.605607447536478,-13.0659399,0.0005785,5.7851238,-0.2124903,0.3667233,4.0000000,0.0181467,1.0046966,5.5278864,0.7152998,0.9762132
25,-13,-4.928628491150471,17.605607447536478,-13.0662546,0.0008264,8.2644625,-0.1883198,0.3863117,4.0000000,0.0581336,1.0046482,5.5002952,0.7144898,0.9869798
26,-13,-4.921171851150471,17.605607447536478,-13.0665588,0.0010744,10.7438021,-0.1685732,0.4051567,4.0000000,0.0981780,1.0046375,5.4926648,0.7121354,1.0075752
27,-13,-4.913715211150471,17.605607447536478,-13.0668545,0.0013223,13.2231407,-0.1488767,0.4259194,4.0000000,0.1413247,1.0046614,5.5067296,0.7105141,1.0379479
28,-13,-4.906258571150471,17.605607447536478,-13.0671415,0.0016529,16.5289249,-0.1303316,0.4485928,4.0000000,0.1871354,1.0047233,5.5438423,0.7100502,1.0813195
29,-13,-4.898801931150471,17.605607447536478,-13.0674229,0.0019835,19.8347111,-0.1103091,0.4729178,4.0000000,0.2369590,1.0048289,5.6034431,0.7088766,1.1324638
30,-13,-4.891345291150471,17.605607447536478,-13.0677004,0.0023140,23.1404953,-0.0955050,0.4976815,4.0000000,0.2871453,1.0049740,5.6857619,0.7082176,1.2011147
31,-13,-4.973368331150471,17.598150807536477,-13.0635071,-0.0008264,0.0000000,-0.3213353,0.2505682,4.0000000,-0.1307120,1.0049441,5.6748400,0.6318483,0.9077379
32,-13,-4.965911691150471,17.598150807536477,-13.0639057,-0.0004959,0.0000000,-0.3037978,0.2575768,4.0000000,-0.1114467,1.0047148,5.5423746,0.6266003,0.8858834
33,-13,-4.958455051150471,17.598150807536477,-13.0642853,-0.0002479,0.0000000,-0.2831165,0.2687134,4.0000000,-0.0864345,1.0045197,5.4244852,0.6238614,0.8670782
34,-13,-4.950998411150471,17.598150807536477,-13.0646467,-0.0000826,0.0000000,-0.2636797,0.2820443,4.0000000,-0.0595274,1.0043559,5.3257461,0.6236160,0.8569373
35,-13,-4.943541771150471,17.598150807536477,-13.0649910,0.0000826,0.8264463,-0.2451857,0.2953762,4.0000000,-0.0315794,1.0042218,5.2434807,0.6223317,0.8502769
36,-13,-4.936085131150471,17.598150807536477,-13.0653191,0.0001653,1.6528926,-0.2275955,0.3099250,4.0000000,-0.0024422,1.0041211,5.1793895,0.6222922,0.8500475
37,-13,-4.928628491150471,17.598150807536477,-13.0656338,0.0003306,3.3057852,-0.2062619,0.3293215,4.0000000,0.0342064,1.0040534,5.1360807,0.6244365,0.8568985
38,-13,-4.921171851150471,17.598150807536477,-13.0659342,0.0004959,4.9586778,-0.1898307,0.3470038,4.0000000,0.0702528,1.0040210,5.1165524,0.6237549,0.8720699
39,-13,-4.913715211150471,17.598150807536477,-13.0662241,0.0006612,6.6115704,-0.1726982,0.3675931,4.0000000,0.1089666,1.0040249,5.1165476,0.6262195,0.8970844
40,-13,-4.906258571150471,17.598150807536477,-13.0665035,0.0009091,9.0909090,-0.1565625,0.3893722,4.0000000,0.1504235,1.0040617,5.1393037,0.6283210,0.9314716
41,-13,-4.898801931150471,17.598150807536477,-13.0667744,0.0011570,11.5702477,-0.1383456,0.4132983,4.0000000,0.1968665,1.0041350,5.1872358,0.6297302,0.9728708
42,-13,-4.891345291150471,17.598150807536477,-13.0670395,0.0014050,14.0495872,-0.1275650,0.4357342,4.0000000,0.2415702,1.0042481,5.2555900,0.6298983,1.0289459
43,-13,-4.883888651150471,17.598150807536477,-13.0673008,0.0017355,17.3553715,-0.1145973,0.4617557,4.0000000,0.2927840,1.0044005,5.3480868,0.6307274,1.0983642
44,-13,-4.973368331150471,17.590694167536480,-13.0629120,-0.0011570,0.0000000,-0.3201383,0.2025484,4.0000000,-0.1274248,1.0045245,5.4300652,0.5325217,0.8165461
45,-13,-4.965911691150471,17.590694167536480,-13.0633183,-0.0007438,0.0000000,-0.3037561,0.2090819,4.0000000,-0.1106972,1.0042864,5.2849693,0.5288611,0.7935126
46,-13,-4.958455051150471,17.590694167536480,-13.0637045,-0.0004132,0.0000000,-0.2856017,0.2182953,4.0000000,-0.0910307,1.0040787,5.1555367,0.5276213,0.7720522
47,-13,-4.950998411150471,17.590694167536480,-13.0640707,-0.0001653,0.0000000,-0.2681269,0.2284828,4.0000000,-0.0689103,1.0039036,5.0421190,0.5258760,0.7545845
48,-13,-4.943541771150471,17.590694167536480,-13.0644188,0.0000000,0.0000000,-0.2514785,0.2406257,4.0000000,-0.0459698,1.0037575,4.9470801,0.5272211,0.7435261
49,-13,-4.936085131150471,17.590694167536480,-13.0647488,0.0000000,0.0000000,-0.2353905,0.2544717,4.0000000,-0.0204643,1.0036398,4.8698854,0.5294078,0.7383922
50,-13,-4.928628491150471,17.590694167536480,-13.0650616,0.0000826,0.8264463,-0.2178012,0.2704964,4.0000000,0.0106680,1.0035566,4.8118091,0.5303248,0.7366273
51,-13,-4.921171851150471,17.590694167536480,-13.0653601,0.0001653,1.6528926,-0.2032870,0.2879809,4.0000000,0.0423438,1.0035059,4.7768674,0.5336180,0.7466639
52,-13,-4.913715211150471,17.590694167536480,-13.0656443,0.0002479,2.4793389,-0.1886088,0.3076447,4.0000000,0.0771071,1.0034868,4.7646718,0.5381823,0.7643526
53,-13,-4.906258571150471,17.590694167536480,-13.0659161,0.0004132,4.1322312,-0.1751736,0.3280237,4.0000000,0.1135863,1.0035018,4.7731471,0.5424611,0.7896959
54,-13,-4.898801931150471,17.590694167536480,-13.0661783,0.0005785,5.7851238,-0.1598498,0.3522682,4.0000000,0.1564923,1.0035499,4.8049440,0.5480441,0.8256828
55,-13,-4.891345291150471,17.590694167536480,-13.0664320,0.0007438,7.4380164,-0.1514605,0.3747812,4.0000000,0.1977120,1.0036337,4.8626499,0.5518504,0.8753946
56,-13,-4.883888651150471,17.590694167536480,-13.0666790,0.0009917,9.9173555,-0.1426324,0.3987119,4.0000000,0.2427514,1.0037555,4.9422646,0.5546724,0.9331064
57,-13,-4.876432011150472,17.590694167536480,-13.0669212,0.0012397,12.3966942,-0.1322391,0.4252662,4.0000000,0.2919466,1.0039169,5.0465727,0.5585858,1.0015740
58,-13,-4.980824971150471,17.583237527536479,-13.0619221,-0.0020661,0.0000000,-0.3273750,0.1554748,4.0000000,-0.1280088,1.0044488,5.3852205,0.4389583,0.7632748
59,-13,-4.973368331150471,17.583237527536479,-13.0623598,-0.0015702,0.0000000,-0.3146029,0.1581264,4.0000000,-0.1185375,1.0041771,5.2181678,0.4347903,0.7399659
60,-13,-4.965911691150471,17.583237527536479,-13.0627756,-0.0010744,0.0000000,-0.3013342,0.1622398,4.0000000,-0.1070295,1.0039310,5.0619931,0.4315092,0.7177275
61,-13,-4.958455051150471,17.583237527536479,-13.0631685,-0.0006612,0.0000000,-0.2849599,0.1700076,4.0000000,-0.0919126,1.0037122,4.9190907,0.4319279,0.6943952
62,-13,-4.950998411150471,17.583237527536479,-13.0635395,-0.0003306,0.0000000,-0.2680507,0.1785050,4.0000000,-0.0740664,1.0035257,4.7948852,0.4310765,0.6716508
63,-13,-4.943541771150471,17.583237527536479,-13.0638905,-0.0000826,0.0000000,-0.2518931,0.1894455,4.0000000,-0.0546249,1.0033706,4.6856241,0.4335159,0.6548207
64,-13,-4.936085131150471,17.583237527536479,-13.0642223,0.0000000,0.0000000,-0.2385794,0.1999021,4.0000000,-0.0351068,1.0032418,4.5950317,0.4349110,0.6440365
65,-13,-4.928628491150471,17.583237527536479,-13.0645351,0.0000000,0.0000000,-0.2236293,0.2142509,4.0000000,-0.0098905,1.0031413,4.5242410,0.4383924,0.6375869
66,-13,-4.921171851150471,17.583237527536479,-13.0648308,0.0000000,0.0000000,-0.2111761,0.2300653,4.0000000,0.0157059,1.0030736,4.4730639,0.4444246,0.6406422
67,-13,-4.913715211150471,17.583237527536479,-13.0651112,0.0000000,0.0000000,-0.1974312,0.2492786,4.0000000,0.0471115,1.0030358,4.4454865,0.4514456,0.6499974
68,-13,-4.906258571150471,17.583237527536479,-13.0653763,0.0000826,0.8264463,-0.1869017,0.2679971,4.0000000,0.0782460,1.0030290,4.4407825,0.4577481,0.6678577
69,-13,-4.898801931150471,17.583237527536479,-13.0656300,0.0001653,1.6528926,-0.1751318,0.2910824,4.0000000,0.1154447,1.0030563,4.4593596,0.4667201,0.6963375
70,-13,-4.891345291150471,17.583237527536479,-13.0658722,0.0002479,2.4793389,-0.1682597,0.3131717,4.0000000,0.1525542,1.0031172,4.5030508,0.4737892,0.7366395
71,-13,-4.883888651150471,17.583237527536479,-13.0661058,0.0004132,4.1322312,-0.1621386,0.3369364,4.0000000,0.1927871,1.0032114,4.5697045,0.4810858,0.7871109
72,-13,-4.876432011150472,17.583237527536479,-13.0663319,0.0005785,5.7851238,-0.1560113,0.3630946,4.0000000,0.2378935,1.0033407,4.6598873,0.4882957,0.8493502
73,-13,-4.868975371150471,17.583237527536479,-13.0665541,0.0008264,8.2644625,-0.1502139,0.3909009,4.0000000,0.2871642,1.0035102,4.7772160,0.4946376,0.9232839
74,-13,-4.980824971150471,17.575780887536478,-13.0614014,-0.0026446,0.0000000,-0.3164626,0.1117536,4.0000000,-0.1160486,1.0041704,5.2158513,0.3395559,0.6934546
75,-13,-4.973368331150471,17.575780887536478,-13.0618486,-0.0020661,0.0000000,-0.3042527,0.1124599,4.0000000,-0.1097664,1.0038919,5.0381160,0.3346861,0.6685969
76,-13,-4.965911691150471,17.575780887536478,-13.0622721,-0.0014876,0.0000000,-0.2912761,0.1151177,4.0000000,-0.1020202,1.0036398,4.8715396,0.3322555,0.6440966
77,-13,-4.958455051150471,17.575780887536478,-13.0626717,-0.0009917,0.0000000,-0.2758158,0.1206985,4.0000000,-0.0907227,1.0034127,4.7168026,0.3321198,0.6175375
78,-13,-4.950998411150471,17.575780887536478,-13.0630484,-0.0005785,0.0000000,-0.2609007,0.1279897,4.0000000,-0.0776633,1.0032163,4.5786633,0.3336428,0.5942051
79,-13,-4.943541771150471,17.575780887536478,-13.0634031,-0.0002479,0.0000000,-0.2472715,0.1369931,4.0000000,-0.0633676,1.0030479,4.4580078,0.3373538,0.5758860
80,-13,-4.936085131150471,17.575780887536478,-13.0637360,-0.0000826,0.0000000,-0.2361739,0.1467320,4.0000000,-0.0481226,1.0029093,4.3538651,0.3415866,0.5642955
81,-13,-4.928628491150471,17.575780887536478,-13.0640497,0.0000000,0.0000000,-0.2238725,0.1598859,4.0000000,-0.0294952,1.0027977,4.2688217,0.3492671,0.5554664
82,-13,-4.921171851150471,17.575780887536478,-13.0643435,0.0000000,0.0000000,-0.2127095,0.1740143,4.0000000,-0.0088894,1.0027139,4.2050591,0.3569181,0.5517760
83,-13,-4.913715211150471,17.575780887536478,-13.0646191,0.0000000,0.0000000,-0.2006217,0.1913049,4.0000000,0.0173378,1.0026618,4.1627197,0.3652719,0.5527419
84,-13,-4.906258571150471,17.575780887536478,-13.0648794,0.0000000,0.0000000,-0.1922521,0.2103007,4.0000000,0.0445020,1.0026381,4.1440330,0.3760995,0.5665835
85,-13,-4.898801931150471,17.575780887536478,-13.0651245,0.0000000,0.0000000,-0.1842188,0.2307453,4.0000000,0.0757898,1.0026445,4.1488285,0.3857008,0.5867894
86,-13,-4.891345291150471,17.575780887536478,-13.0653563,0.0000000,0.0000000,-0.1797321,0.2511790,4.0000000,0.1068644,1.0026835,4.1771708,0.3954937,0.6175950
87,-13,-4.883888651150471,17.575780887536478,-13.0655775,0.0000826,0.8264463,-0.1750694,0.2750044,4.0000000,0.1423087,1.0027523,4.2313542,0.4077000,0.6590102
88,-13,-4.876432011150472,17.575780887536478,-13.0657892,0.0001653,1.6528926,-0.1718498,0.3002588,4.0000000,0.1825066,1.0028543,4.3089709,0.4180110,0.7115346
89,-13,-4.868975371150471,17.575780887536478,-13.0659933,0.0003306,3.3057852,-0.1683400,0.3266884,4.0000000,0.2268981,1.0029963,4.4129725,0.4264787,0.7719243
