OID_,ClipsFinal_DEM_Large_S3_RegC,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-5.018108171150472,18.500404247536480,-13.2829285,-0.0023140,15.7024794,0.3772120,-0.8915902,4.0000000,-1.1232809,1.0412351,16.1859512,-0.6598994,2.9363875
2,-13,-5.010651531150472,18.500404247536480,-13.2830753,-0.0021488,16.5289249,0.4006254,-0.8799026,4.0000000,-1.1663858,1.0422312,16.3740788,-0.5934195,2.8147371
3,-13,-5.003194891150472,18.500404247536480,-13.2831459,-0.0019835,17.3553715,0.4189653,-0.8667446,5.0000000,-1.1975925,1.0432454,16.5635204,-0.5358967,2.6900566
4,-13,-4.995738251150472,18.500404247536480,-13.2831392,-0.0019008,18.1818180,0.4261595,-0.8482069,4.0000000,-1.2112714,1.0442725,16.7527504,-0.4851422,2.5440688
5,-13,-4.988281611150472,18.500404247536480,-13.2830572,-0.0020661,18.1818180,0.4295572,-0.8302752,4.0000000,-1.2171587,1.0453066,16.9388657,-0.4433916,2.4109893
6,-13,-4.980824971150472,18.500404247536480,-13.2828999,-0.0022314,18.1818180,0.4258710,-0.8094542,4.0000000,-1.2096409,1.0463425,17.1252956,-0.4092675,2.2701271
7,-13,-4.973368331150472,18.500404247536480,-13.2826681,-0.0024793,17.3553715,0.4174813,-0.7877224,4.0000000,-1.1929379,1.0473794,17.3100815,-0.3825069,2.1333563
8,-13,-4.965911691150472,18.500404247536480,-13.2823648,-0.0028099,16.5289249,0.4024319,-0.7619013,4.0000000,-1.1617876,1.0484208,17.4906025,-0.3620150,1.9810309
9,-13,-4.958455051150472,18.500404247536480,-13.2819891,-0.0032231,15.7024794,0.3847095,-0.7356287,4.0000000,-1.1238164,1.0494479,17.6673489,-0.3474410,1.8345771
10,-13,-5.047934731150472,18.492947607536482,-13.2835646,-0.0019008,16.5289249,0.3394617,-0.9882050,4.0000000,-0.8232116,1.0365162,15.2593632,-1.1531984,3.6774011
11,-13,-5.040478091150472,18.492947607536482,-13.2840567,-0.0014876,19.0082645,0.3975235,-0.9879680,4.0000000,-0.9194585,1.0373487,15.4274549,-1.0564774,3.5839682
12,-13,-5.033021451150472,18.492947607536482,-13.2844715,-0.0010744,21.4876041,0.4494775,-0.9850249,4.0000000,-1.0063674,1.0382174,15.5996981,-0.9636824,3.4788921
13,-13,-5.025564811150472,18.492947607536482,-13.2848091,-0.0007438,23.1404953,0.4925036,-0.9794952,4.0000000,-1.0814769,1.0391147,15.7761602,-0.8775135,3.3686826
14,-13,-5.018108171150472,18.492947607536482,-13.2850676,-0.0004959,24.7933884,0.5252557,-0.9711816,4.0000000,-1.1447209,1.0400380,15.9564085,-0.7976422,3.2546470
15,-13,-5.010651531150472,18.492947607536482,-13.2852468,-0.0003306,25.6198349,0.5492127,-0.9597414,4.0000000,-1.1936508,1.0409966,16.1412430,-0.7258321,3.1296916
16,-13,-5.003194891150472,18.492947607536482,-13.2853470,-0.0001653,26.4462814,0.5641840,-0.9456410,4.0000000,-1.2300073,1.0419909,16.3285980,-0.6612746,2.9992671
17,-13,-4.995738251150472,18.492947607536482,-13.2853680,-0.0000826,27.2727280,0.5706452,-0.9272408,5.0000000,-1.2490118,1.0430126,16.5196438,-0.6054699,2.8471844
18,-13,-4.988281611150472,18.492947607536482,-13.2853098,-0.0001653,27.2727280,0.5705830,-0.9074198,4.0000000,-1.2565440,1.0440507,16.7123051,-0.5582956,2.6965821
19,-13,-4.980824971150472,18.492947607536482,-13.2851753,-0.0002479,27.2727280,0.5639977,-0.8854079,4.0000000,-1.2507436,1.0451094,16.9033985,-0.5200722,2.5408421
20,-13,-4.973368331150472,18.492947607536482,-13.2849627,-0.0004132,26.4462814,0.5519420,-0.8624473,4.0000000,-1.2360520,1.0461730,17.0934486,-0.4888426,2.3904097
21,-13,-4.965911691150472,18.492947607536482,-13.2846766,-0.0006612,25.6198349,0.5325755,-0.8357856,4.0000000,-1.2071226,1.0472299,17.2828369,-0.4644486,2.2267470
22,-13,-4.958455051150472,18.492947607536482,-13.2843161,-0.0009917,24.7933884,0.5098264,-0.8082280,4.0000000,-1.1706705,1.0482899,17.4684982,-0.4457855,2.0667808
23,-13,-4.950998411150472,18.492947607536482,-13.2838840,-0.0014050,23.1404953,0.4812488,-0.7778177,4.0000000,-1.1249017,1.0493371,17.6483192,-0.4307337,1.9021274
24,-13,-4.943541771150472,18.492947607536482,-13.2833834,-0.0019008,21.4876041,0.4520982,-0.7479960,4.0000000,-1.0756091,1.0503676,17.8249493,-0.4203830,1.7493297
