OID_,ClipsFinal_DEM_Large_S3_RegH,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-7.650302091150470,21.207164567536481,-12.7047081,-0.0001653,23.1404953,0.0164497,0.1840736,4.0000000,0.1895200,1.0293325,13.7158766,0.1786273,0.1156128
2,-12,-7.642845451150470,21.207164567536481,-12.7049704,0.0000826,24.7933884,0.0190367,0.1866446,4.0000000,0.1796894,1.0296112,13.7784710,0.1935998,0.1136103
3,-12,-7.635388811150470,21.207164567536481,-12.7052412,0.0003306,26.4462814,0.0207757,0.1883502,4.0000000,0.1673551,1.0298662,13.8370028,0.2093454,0.1119889
4,-12,-7.627932171150470,21.207164567536481,-12.7055206,0.0005785,28.0991745,0.0213923,0.1887153,4.0000000,0.1526546,1.0301002,13.8898096,0.2247760,0.1105578
5,-12,-7.620475531150470,21.207164567536481,-12.7058067,0.0009091,29.7520657,0.0215820,0.1895585,4.0000000,0.1383312,1.0303138,13.9376392,0.2407859,0.1108722
6,-12,-7.613018891150470,21.207164567536481,-12.7060995,0.0012397,31.4049587,0.0203012,0.1890847,4.0000000,0.1208976,1.0305010,13.9802675,0.2572719,0.1121633
7,-12,-7.657758731150470,21.199707927536480,-12.7062540,0.0014050,31.4049587,-0.0008587,0.1484440,4.0000000,0.1942028,1.0294001,13.7302628,0.1026853,0.1027705
8,-12,-7.650302091150470,21.199707927536480,-12.7065153,0.0016529,32.2314034,0.0026090,0.1510304,4.0000000,0.1836696,1.0297155,13.8023853,0.1183912,0.0981115
9,-12,-7.642845451150470,21.199707927536480,-12.7067852,0.0019008,33.8842964,0.0056150,0.1533816,4.0000000,0.1734236,1.0300131,13.8699713,0.1333396,0.0942011
10,-12,-7.635388811150470,21.199707927536480,-12.7070637,0.0021488,35.5371895,0.0079746,0.1548578,4.0000000,0.1611145,1.0302898,13.9318771,0.1486011,0.0904777
11,-12,-7.627932171150470,21.199707927536480,-12.7073488,0.0023967,37.1900826,0.0096429,0.1552387,4.0000000,0.1461509,1.0305463,13.9900064,0.1643266,0.0866957
12,-12,-7.620475531150470,21.199707927536480,-12.7076416,0.0027273,38.8429756,0.0106050,0.1561034,4.0000000,0.1313729,1.0307856,14.0432205,0.1808339,0.0851497
13,-12,-7.613018891150470,21.199707927536480,-12.7079401,0.0030579,40.4958687,0.0102968,0.1546976,4.0000000,0.1136674,1.0310012,14.0907345,0.1957278,0.0832516
