OID_,ClipsFinal_DEM_Large_S3_RegB,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-3.907068811150472,17.985896087536482,-13.0566664,0.0014050,36.3636360,-0.1138588,-0.0268798,4.0000000,0.2588858,1.0429897,16.5118370,-0.3126454,0.2705438
2,-13,-3.899612171150472,17.985896087536482,-13.0544624,-0.0004132,27.2727280,-0.1259738,-0.0017427,4.0000000,0.2718205,1.0434562,16.5975475,-0.2753059,0.2991690
3,-13,-3.944352011150472,17.978439447536481,-13.0677032,0.0023967,40.4958687,-0.0828885,-0.1647635,4.0000000,0.1638102,1.0394310,15.8348589,-0.4933372,0.3016494
4,-13,-3.936895371150472,17.978439447536481,-13.0655956,0.0005785,31.4049587,-0.0844077,-0.1465600,4.0000000,0.1788051,1.0404229,16.0265751,-0.4719251,0.2817044
5,-13,-3.929438731150472,17.978439447536481,-13.0634613,-0.0012397,22.3140488,-0.0889260,-0.1261388,4.0000000,0.1955611,1.0413359,16.2017136,-0.4478387,0.2694291
6,-13,-3.921982091150472,17.978439447536481,-13.0613022,-0.0033884,13.2231407,-0.0956487,-0.1041371,4.0000000,0.2124437,1.0421796,16.3601856,-0.4207180,0.2648866
7,-13,-3.914525451150472,17.978439447536481,-13.0591202,0.0038843,47.1074371,-0.1036998,-0.0795675,4.0000000,0.2284909,1.0429385,16.5019512,-0.3876259,0.2664432
8,-13,-3.907068811150472,17.978439447536481,-13.0569181,0.0016529,38.0165291,-0.1134026,-0.0537966,4.0000000,0.2430320,1.0435909,16.6225605,-0.3506253,0.2770785
9,-13,-3.899612171150472,17.978439447536481,-13.0546989,-0.0001653,28.9256191,-0.1254559,-0.0269227,4.0000000,0.2584841,1.0441453,16.7248440,-0.3123294,0.2992830
10,-13,-3.892155531150472,17.978439447536481,-13.0524645,-0.0019835,19.8347111,-0.1384596,-0.0008494,4.0000000,0.2705199,1.0446118,16.8085651,-0.2722188,0.3303412
11,-13,-3.884698891150472,17.978439447536481,-13.0502176,-0.0047107,10.7438021,-0.1520704,0.0291887,4.0000000,0.2829667,1.0449638,16.8739281,-0.2245893,0.3704624
12,-13,-3.951808651150472,17.970982807536483,-13.0700884,-0.0052066,4.1322312,-0.0846013,-0.2029418,4.0000000,0.1390027,1.0384474,15.6415873,-0.5448864,0.3650160
13,-13,-3.944352011150472,17.970982807536483,-13.0680084,0.0025620,41.3223152,-0.0846641,-0.1872355,4.0000000,0.1540716,1.0395727,15.8635492,-0.5285426,0.3394289
14,-13,-3.936895371150472,17.970982807536483,-13.0658970,0.0007438,32.2314034,-0.0860125,-0.1694679,4.0000000,0.1688324,1.0406551,16.0701351,-0.5077683,0.3160982
15,-13,-3.929438731150472,17.970982807536483,-13.0637560,-0.0010744,23.1404953,-0.0890147,-0.1500974,4.0000000,0.1830301,1.0416524,16.2602215,-0.4832249,0.2975101
16,-13,-3.921982091150472,17.970982807536483,-13.0615892,-0.0031405,14.0495872,-0.0947591,-0.1294113,4.0000000,0.1979724,1.0425713,16.4344597,-0.4567950,0.2873796
17,-13,-3.914525451150472,17.970982807536483,-13.0593977,0.0041322,47.9338837,-0.1025891,-0.1053002,4.0000000,0.2138240,1.0434227,16.5915031,-0.4244245,0.2832018
18,-13,-3.907068811150472,17.970982807536483,-13.0571833,0.0018182,38.8429756,-0.1117949,-0.0788646,4.0000000,0.2289929,1.0441734,16.7300072,-0.3867221,0.2862949
19,-13,-3.899612171150472,17.970982807536483,-13.0549488,0.0000000,29.7520657,-0.1238320,-0.0529334,4.0000000,0.2441065,1.0448180,16.8457298,-0.3499732,0.3027670
20,-13,-3.892155531150472,17.970982807536483,-13.0526972,-0.0018182,20.6611576,-0.1365578,-0.0246838,4.0000000,0.2590841,1.0453664,16.9458561,-0.3084517,0.3268825
21,-13,-3.884698891150472,17.970982807536483,-13.0504303,-0.0045455,11.5702477,-0.1500882,0.0050299,4.0000000,0.2725364,1.0458038,17.0245342,-0.2624766,0.3604901
22,-13,-3.877242251150472,17.970982807536483,-13.0481529,0.0027273,42.9752083,-0.1634297,0.0378536,4.0000000,0.2846711,1.0461254,17.0816650,-0.2089638,0.4030207
23,-13,-3.959265291150472,17.963526167536482,-13.0724516,-0.0024793,14.0495872,-0.0849059,-0.2387874,4.0000000,0.1111190,1.0372733,15.4084539,-0.5886937,0.4333931
24,-13,-3.951808651150472,17.963526167536482,-13.0704041,-0.0048760,4.9586778,-0.0824194,-0.2259587,4.0000000,0.1243793,1.0385119,15.6541433,-0.5762967,0.4025919
25,-13,-3.944352011150472,17.963526167536482,-13.0683222,0.0028099,42.9752083,-0.0821075,-0.2115714,4.0000000,0.1382090,1.0397112,15.8898745,-0.5613519,0.3753562
26,-13,-3.936895371150472,17.963526167536482,-13.0662079,0.0009917,33.8842964,-0.0836536,-0.1942353,4.0000000,0.1530001,1.0408655,16.1116486,-0.5414708,0.3493228
27,-13,-3.929438731150472,17.963526167536482,-13.0640621,-0.0008264,24.7933884,-0.0866845,-0.1748403,4.0000000,0.1673826,1.0419501,16.3164177,-0.5170633,0.3264419
28,-13,-3.921982091150472,17.963526167536482,-13.0618877,-0.0028099,15.7024794,-0.0926509,-0.1543895,4.0000000,0.1828498,1.0429562,16.5053120,-0.4916287,0.3124813
29,-13,-3.914525451150472,17.963526167536482,-13.0596857,0.0044628,48.7603302,-0.1009783,-0.1298636,4.0000000,0.2001502,1.0438921,16.6781654,-0.4598774,0.3035339
30,-13,-3.907068811150472,17.963526167536482,-13.0574589,0.0020661,39.6694221,-0.1101666,-0.1030215,4.0000000,0.2166346,1.0447342,16.8311386,-0.4226775,0.3003556
31,-13,-3.899612171150472,17.963526167536482,-13.0552101,0.0001653,30.5785122,-0.1218429,-0.0766762,4.0000000,0.2325764,1.0454625,16.9624043,-0.3859288,0.3100995
32,-13,-3.892155531150472,17.963526167536482,-13.0529423,-0.0016529,21.4876041,-0.1345829,-0.0471391,4.0000000,0.2494370,1.0460941,17.0779419,-0.3437153,0.3278489
33,-13,-3.884698891150472,17.963526167536482,-13.0506582,-0.0043802,12.3966942,-0.1479702,-0.0157235,4.0000000,0.2656226,1.0466232,17.1706390,-0.2970697,0.3551885
34,-13,-3.877242251150472,17.963526167536482,-13.0483589,0.0028926,43.8016510,-0.1612476,0.0163105,4.0000000,0.2784690,1.0470313,17.2411804,-0.2458480,0.3914795
35,-13,-3.869785611150472,17.963526167536482,-13.0460501,0.0007438,34.7107430,-0.1743027,0.0484118,4.0000000,0.2899886,1.0473092,17.2927418,-0.1931649,0.4365772
36,-13,-3.996548491150472,17.956069527536481,-13.0824280,-0.0027273,11.5702477,-0.1145409,-0.2886524,4.0000000,0.0532306,1.0304650,13.9659176,-0.6305355,0.6081648
37,-13,-3.989091851150472,17.956069527536481,-13.0805769,-0.0047934,2.4793389,-0.1036117,-0.2879748,4.0000000,0.0562969,1.0318128,14.2645817,-0.6322466,0.5835887
38,-13,-3.981635211150472,17.956069527536481,-13.0786867,0.0033058,42.9752083,-0.0939303,-0.2871147,4.0000000,0.0607382,1.0331764,14.5590792,-0.6349676,0.5610357
39,-13,-3.974178571150472,17.956069527536481,-13.0767555,0.0014876,33.8842964,-0.0874403,-0.2823858,4.0000000,0.0692965,1.0345463,14.8497448,-0.6340681,0.5358591
40,-13,-3.966721931150472,17.956069527536481,-13.0747852,-0.0003306,24.7933884,-0.0817925,-0.2746662,4.0000000,0.0790553,1.0359099,15.1317396,-0.6283876,0.5054365
41,-13,-3.959265291150472,17.956069527536481,-13.0727758,-0.0021488,15.7024794,-0.0781295,-0.2637869,4.0000000,0.0913235,1.0372553,15.4042168,-0.6188974,0.4725291
42,-13,-3.951808651150472,17.956069527536481,-13.0707293,-0.0044628,6.6115704,-0.0761483,-0.2516015,4.0000000,0.1046393,1.0385625,15.6653805,-0.6078423,0.4414595
43,-13,-3.944352011150472,17.956069527536481,-13.0686464,0.0031405,44.6280975,-0.0761439,-0.2371615,4.0000000,0.1186512,1.0398409,15.9132090,-0.5929741,0.4115293
44,-13,-3.936895371150472,17.956069527536481,-13.0665283,0.0012397,35.5371895,-0.0781720,-0.2197828,4.0000000,0.1337170,1.0410624,16.1497803,-0.5732825,0.3825358
45,-13,-3.929438731150472,17.956069527536481,-13.0643778,-0.0005785,26.4462814,-0.0824639,-0.2001843,4.0000000,0.1498694,1.0422297,16.3688679,-0.5502381,0.3576730
46,-13,-3.921982091150472,17.956069527536481,-13.0621948,-0.0024793,17.3553715,-0.0894728,-0.1786238,4.0000000,0.1675362,1.0433261,16.5730209,-0.5247837,0.3396743
47,-13,-3.914525451150472,17.956069527536481,-13.0599842,0.0047934,49.5867767,-0.0978621,-0.1543346,4.0000000,0.1852587,1.0443407,16.7608738,-0.4939279,0.3257529
48,-13,-3.907068811150472,17.956069527536481,-13.0577459,0.0023140,40.4958687,-0.1075226,-0.1266378,4.0000000,0.2036527,1.0452670,16.9273586,-0.4569283,0.3167663
49,-13,-3.899612171150472,17.956069527536481,-13.0554838,0.0003306,31.4049587,-0.1186504,-0.1001088,4.0000000,0.2204705,1.0460798,17.0739441,-0.4206882,0.3194129
50,-13,-3.892155531150472,17.956069527536481,-13.0532007,-0.0014876,22.3140488,-0.1309221,-0.0705835,4.0000000,0.2371097,1.0468084,17.2033710,-0.3782768,0.3298243
51,-13,-3.884698891150472,17.956069527536481,-13.0508976,-0.0041322,13.2231407,-0.1433515,-0.0396159,4.0000000,0.2521367,1.0474153,17.3107643,-0.3313686,0.3483960
52,-13,-3.877242251150472,17.956069527536481,-13.0485802,0.0031405,44.6280975,-0.1562668,-0.0063155,4.0000000,0.2668431,1.0479022,17.3958111,-0.2794741,0.3771018
53,-13,-3.869785611150472,17.956069527536481,-13.0462484,0.0009091,35.5371895,-0.1697990,0.0267913,4.0000000,0.2805730,1.0482767,17.4603863,-0.2269904,0.4173889
54,-13,-4.018918411150472,17.948612887536481,-13.0880041,0.0029752,39.6694221,-0.1368108,-0.2869740,4.0000000,0.0439262,1.0262228,12.9770575,-0.6178743,0.6475510
55,-13,-4.011461771150472,17.948612887536481,-13.0862865,0.0011570,30.5785122,-0.1252483,-0.2955804,4.0000000,0.0383207,1.0275006,13.2843094,-0.6294814,0.6454924
56,-13,-4.004005131150472,17.948612887536481,-13.0845289,-0.0006612,21.4876041,-0.1153468,-0.3025834,4.0000000,0.0364828,1.0288216,13.5926352,-0.6416496,0.6433653
57,-13,-3.996548491150472,17.948612887536481,-13.0827293,-0.0024793,12.3966942,-0.1045465,-0.3079395,4.0000000,0.0363985,1.0301930,13.9043608,-0.6522776,0.6351479
58,-13,-3.989091851150472,17.948612887536481,-13.0808878,-0.0044628,3.3057852,-0.0943700,-0.3093202,4.0000000,0.0389098,1.0315807,14.2139425,-0.6575503,0.6177267
59,-13,-3.981635211150472,17.948612887536481,-13.0790043,0.0036364,44.6280975,-0.0856592,-0.3074771,4.0000000,0.0442899,1.0329905,14.5188322,-0.6592441,0.5947094
60,-13,-3.974178571150472,17.948612887536481,-13.0770788,0.0018182,35.5371895,-0.0785677,-0.3037989,4.0000000,0.0508465,1.0344050,14.8190632,-0.6584443,0.5703048
61,-13,-3.966721931150472,17.948612887536481,-13.0751133,0.0000000,26.4462814,-0.0724279,-0.2983080,4.0000000,0.0587357,1.0358151,15.1117725,-0.6553518,0.5431962
62,-13,-3.959265291150472,17.948612887536481,-13.0731068,-0.0018182,17.3553715,-0.0686610,-0.2896645,4.0000000,0.0696425,1.0372220,15.3973236,-0.6489715,0.5134643
63,-13,-3.951808651150472,17.948612887536481,-13.0710611,-0.0040496,8.2644625,-0.0670897,-0.2773938,4.0000000,0.0827508,1.0386012,15.6727390,-0.6375384,0.4804042
64,-13,-3.944352011150472,17.948612887536481,-13.0689774,0.0034711,46.2809906,-0.0676795,-0.2624379,4.0000000,0.0974151,1.0399500,15.9345207,-0.6222910,0.4473306
65,-13,-3.936895371150472,17.948612887536481,-13.0668564,0.0014876,37.1900826,-0.0708942,-0.2450384,4.0000000,0.1134705,1.0412452,16.1839180,-0.6035474,0.4170269
66,-13,-3.929438731150472,17.948612887536481,-13.0647011,-0.0003306,28.0991745,-0.0767685,-0.2254698,4.0000000,0.1315292,1.0424839,16.4172993,-0.5824687,0.3913022
67,-13,-3.921982091150472,17.948612887536481,-13.0625124,-0.0021488,19.0082645,-0.0840373,-0.2041181,4.0000000,0.1495279,1.0436676,16.6355133,-0.5577641,0.3692806
68,-13,-3.914525451150472,17.948612887536481,-13.0602922,-0.0047934,9.9173555,-0.0917038,-0.1797630,4.0000000,0.1664584,1.0447651,16.8375301,-0.5259844,0.3479263
69,-13,-3.907068811150472,17.948612887536481,-13.0580435,0.0026446,41.3223152,-0.1011194,-0.1524820,4.0000000,0.1840799,1.0457662,17.0180664,-0.4890439,0.3324435
70,-13,-3.899612171150472,17.948612887536481,-13.0557690,0.0005785,32.2314034,-0.1127889,-0.1253058,4.0000000,0.2021860,1.0466728,17.1795292,-0.4527976,0.3293664
71,-13,-3.892155531150472,17.948612887536481,-13.0534706,-0.0012397,23.1404953,-0.1244742,-0.0962422,4.0000000,0.2185148,1.0474966,17.3237724,-0.4109993,0.3319178
72,-13,-3.884698891150472,17.948612887536481,-13.0511503,-0.0038017,14.0495872,-0.1369536,-0.0642270,4.0000000,0.2355707,1.0481848,17.4451923,-0.3640246,0.3428335
73,-13,-3.877242251150472,17.948612887536481,-13.0488138,0.0034711,46.2809906,-0.1499493,-0.0299446,4.0000000,0.2532592,1.0487460,17.5438480,-0.3131485,0.3641558
74,-13,-3.869785611150472,17.948612887536481,-13.0464621,0.0011570,37.1900826,-0.1630818,0.0050527,4.0000000,0.2701787,1.0492092,17.6218643,-0.2600734,0.3968370
75,-13,-4.033831691150472,17.941156247536483,-13.0915661,-0.0040496,0.8264463,-0.1422928,-0.2739477,4.0000000,0.0425718,1.0234352,12.2818489,-0.5904672,0.6243058
76,-13,-4.026375051150472,17.941156247536483,-13.0899429,0.0047934,49.5867767,-0.1337719,-0.2908938,4.0000000,0.0327472,1.0246334,12.5852289,-0.6145348,0.6482354
77,-13,-4.018918411150472,17.941156247536483,-13.0882788,0.0032231,40.4958687,-0.1225490,-0.3037495,4.0000000,0.0248976,1.0258896,12.8965921,-0.6323966,0.6582069
78,-13,-4.011461771150472,17.941156247536483,-13.0865736,0.0014050,31.4049587,-0.1117522,-0.3130429,4.0000000,0.0199596,1.0271872,13.2099848,-0.6460455,0.6609425
79,-13,-4.004005131150472,17.941156247536483,-13.0848265,-0.0004132,22.3140488,-0.1015294,-0.3211701,4.0000000,0.0175857,1.0285329,13.5250912,-0.6599258,0.6623293
80,-13,-3.996548491150472,17.941156247536483,-13.0830364,-0.0022314,13.2231407,-0.0917088,-0.3269566,4.0000000,0.0179425,1.0299271,13.8447008,-0.6718557,0.6584389
81,-13,-3.989091851150472,17.941156247536483,-13.0812035,-0.0041322,4.1322312,-0.0827277,-0.3299192,4.0000000,0.0198984,1.0313543,14.1632233,-0.6797367,0.6485364
82,-13,-3.981635211150472,17.941156247536483,-13.0793276,0.0039669,46.2809906,-0.0750113,-0.3284885,4.0000000,0.0255690,1.0328019,14.4792690,-0.6825460,0.6287116
83,-13,-3.974178571150472,17.941156247536483,-13.0774088,0.0021488,37.1900826,-0.0686154,-0.3247590,4.0000000,0.0326867,1.0342609,14.7891903,-0.6822047,0.6051462
84,-13,-3.966721931150472,17.941156247536483,-13.0754471,0.0003306,28.0991745,-0.0643566,-0.3194921,4.0000000,0.0421353,1.0357169,15.0913086,-0.6811194,0.5819131
85,-13,-3.959265291150472,17.941156247536483,-13.0734444,-0.0014876,19.0082645,-0.0614961,-0.3119689,4.0000000,0.0533069,1.0371804,15.3897753,-0.6772446,0.5557242
86,-13,-3.951808651150472,17.941156247536483,-13.0713997,-0.0036364,9.9173555,-0.0603874,-0.3003222,4.0000000,0.0660306,1.0386312,15.6774511,-0.6666751,0.5230325
87,-13,-3.944352011150472,17.941156247536483,-13.0693150,0.0038017,47.9338837,-0.0614028,-0.2848328,4.0000000,0.0807887,1.0400383,15.9526415,-0.6504543,0.4866419
88,-13,-3.936895371150472,17.941156247536483,-13.0671921,0.0017355,38.8429756,-0.0640158,-0.2687248,4.0000000,0.0953626,1.0414073,16.2133636,-0.6328123,0.4545438
89,-13,-3.929438731150472,17.941156247536483,-13.0650320,-0.0000826,29.7520657,-0.0694134,-0.2495290,4.0000000,0.1124664,1.0427165,16.4606819,-0.6115244,0.4243754
