OID_,ClipsFinal_DEM_Large_S3_RegF2,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-5.980014731150471,21.632193047536479,-12.8622808,-0.0024793,23.1404953,-0.5813164,0.0689876,3.0000000,-0.5783952,1.0928353,23.7907867,0.7163705,1.6592655
2,-12,-5.987471371150471,21.624736407536481,-12.8623323,-0.0023140,23.9669418,-0.5120562,0.0521015,4.0000000,-0.5735930,1.0948845,24.0324631,0.6777959,1.4719731
3,-12,-5.980014731150471,21.624736407536481,-12.8646231,-0.0001653,30.5785122,-0.5611556,0.0381445,4.0000000,-0.6088335,1.0922680,23.7221031,0.6851224,1.5996242
4,-12,-5.972558091150471,21.624736407536481,-12.8668861,0.0019008,38.0165291,-0.6135319,0.0227486,4.0000000,-0.6444544,1.0895420,23.3936710,0.6899515,1.7360274
5,-12,-5.965101451150471,21.624736407536481,-12.8691187,0.0040496,46.2809906,-0.6671201,0.0095321,4.0000000,-0.6785800,1.0866951,23.0435658,0.6976443,1.8734668
6,-12,-5.994928011150471,21.617279767536481,-12.8624659,-0.0022314,24.7933884,-0.4446858,0.0319970,4.0000000,-0.5658895,1.0968242,24.2590256,0.6298835,1.2904233
7,-12,-5.987471371150471,21.617279767536481,-12.8647423,0.0000000,31.4049587,-0.4907225,0.0191438,4.0000000,-0.6018136,1.0942966,23.9640408,0.6401013,1.4153196
8,-12,-5.980014731150471,21.617279767536481,-12.8669920,0.0020661,38.8429756,-0.5382513,0.0071886,4.0000000,-0.6367451,1.0916649,23.6497192,0.6511223,1.5428236
9,-12,-5.972558091150471,21.617279767536481,-12.8692122,0.0042149,47.1074371,-0.5883061,-0.0064365,4.0000000,-0.6719459,1.0889161,23.3173237,0.6590730,1.6769022
10,-12,-5.965101451150471,21.617279767536481,-12.8714008,-0.0036364,20.6611576,-0.6389696,-0.0190003,4.0000000,-0.7056090,1.0860564,22.9641666,0.6676084,1.8100493
11,-12,-5.957644811150471,21.617279767536481,-12.8735552,-0.0016529,26.4462814,-0.6910113,-0.0293530,4.0000000,-0.7375608,1.0831091,22.5924053,0.6788549,1.9427929
12,-12,-5.950188171150472,21.617279767536481,-12.8756723,0.0003306,33.0578499,-0.7420732,-0.0380220,4.0000000,-0.7660879,1.0801060,22.2067795,0.6900439,2.0684536
13,-12,-6.002384651150471,21.609823127536480,-12.8626728,-0.0021488,25.6198349,-0.3768255,0.0093754,4.0000000,-0.5538242,1.0986171,24.4652672,0.5725750,1.1090928
14,-12,-5.994928011150471,21.609823127536480,-12.8649359,0.0000826,32.2314034,-0.4197755,-0.0023665,4.0000000,-0.5904332,1.0961950,24.1859207,0.5857002,1.2308303
15,-12,-5.987471371150471,21.609823127536480,-12.8671732,0.0022314,39.6694221,-0.4647162,-0.0142232,4.0000000,-0.6271390,1.0936553,23.8872395,0.5986927,1.3572139
16,-12,-5.980014731150471,21.609823127536480,-12.8693829,0.0043802,47.9338837,-0.5115367,-0.0247955,4.0000000,-0.6621478,1.0910031,23.5707378,0.6125567,1.4863204
17,-12,-5.972558091150471,21.609823127536480,-12.8715620,-0.0034711,21.4876041,-0.5597269,-0.0368261,4.0000000,-0.6974106,1.0882440,23.2343407,0.6237584,1.6185430
18,-12,-5.965101451150471,21.609823127536480,-12.8737078,-0.0014050,27.2727280,-0.6090626,-0.0481970,4.0000000,-0.7313853,1.0853845,22.8805046,0.6349913,1.7511717
19,-12,-5.957644811150471,21.609823127536480,-12.8758173,0.0004959,33.8842964,-0.6583753,-0.0576314,4.0000000,-0.7629694,1.0824475,22.5088215,0.6477065,1.8788810
20,-12,-5.950188171150472,21.609823127536480,-12.8778896,0.0024793,41.3223152,-0.7081392,-0.0650886,4.0000000,-0.7919857,1.0794555,22.1212330,0.6618086,2.0023816
21,-12,-5.942731531150472,21.609823127536480,-12.8799229,0.0046281,50.4132233,-0.7592533,-0.0727745,4.0000000,-0.8215398,1.0764053,21.7183418,0.6759908,2.1267717
22,-12,-6.009841291150471,21.602366487536479,-12.8629456,-0.0019835,26.4462814,-0.3118458,-0.0157773,4.0000000,-0.5396399,1.1002364,24.6506004,0.5080853,0.9395654
23,-12,-6.002384651150471,21.602366487536479,-12.8651972,0.0002479,33.0578499,-0.3501828,-0.0270785,4.0000000,-0.5768299,1.0979350,24.3887463,0.5226729,1.0538555
24,-12,-5.994928011150471,21.602366487536479,-12.8674240,0.0023967,40.4958687,-0.3911870,-0.0378829,4.0000000,-0.6135506,1.0955124,24.1064186,0.5377849,1.1743690
25,-12,-5.987471371150471,21.602366487536479,-12.8696241,0.0046281,48.7603302,-0.4346080,-0.0482042,4.0000000,-0.6495270,1.0929738,23.8063240,0.5531186,1.2998424
26,-12,-5.980014731150471,21.602366487536479,-12.8717937,-0.0032231,23.1404953,-0.4806972,-0.0582013,4.0000000,-0.6854944,1.0903147,23.4876575,0.5690919,1.4306321
27,-12,-5.972558091150471,21.602366487536479,-12.8739319,-0.0011570,28.9256191,-0.5273780,-0.0673622,4.0000000,-0.7197465,1.0875492,23.1498508,0.5850220,1.5595311
28,-12,-5.965101451150471,21.602366487536479,-12.8760357,0.0008264,35.5371895,-0.5746588,-0.0769442,4.0000000,-0.7530008,1.0847013,22.7949810,0.5991125,1.6879834
29,-12,-5.957644811150471,21.602366487536479,-12.8781033,0.0027273,42.9752083,-0.6220605,-0.0860745,4.0000000,-0.7849108,1.0817779,22.4217606,0.6127619,1.8132282
30,-12,-5.950188171150472,21.602366487536479,-12.8801317,-0.0052893,15.7024794,-0.6703458,-0.0935862,4.0000000,-0.8152822,1.0787832,22.0338516,0.6281098,1.9355539
31,-12,-5.942731531150472,21.602366487536479,-12.8821192,-0.0032231,20.6611576,-0.7204189,-0.0985722,4.0000000,-0.8437263,1.0757476,21.6303520,0.6465818,2.0554755
32,-12,-5.935274891150472,21.602366487536479,-12.8840647,-0.0012397,26.4462814,-0.7703934,-0.1036987,4.0000000,-0.8705691,1.0726775,21.2116432,0.6631716,2.1717811
33,-12,-5.927818251150472,21.602366487536479,-12.8859663,0.0006612,33.0578499,-0.8194200,-0.1075758,4.0000000,-0.8954056,1.0695778,20.7804508,0.6802541,2.2802587
34,-12,-6.158974091150472,21.594909847536481,-12.8194532,0.0044628,47.9338837,-0.0061004,0.0740980,4.0000000,0.1285709,1.1136328,26.1144543,0.0196250,0.0585506
35,-12,-6.151517451150472,21.594909847536481,-12.8217096,-0.0032231,25.6198349,-0.0049534,0.0744333,4.0000000,0.1047553,1.1141831,26.1714153,0.0441114,0.0529299
36,-12,-6.144060811150472,21.594909847536481,-12.8239784,-0.0009917,31.4049587,-0.0045372,0.0741345,4.0000000,0.0792875,1.1146481,26.2197418,0.0689815,0.0488713
37,-12,-6.136604171150472,21.594909847536481,-12.8262596,0.0013223,38.0165291,-0.0053315,0.0724293,4.0000000,0.0512686,1.1150104,26.2584534,0.0935899,0.0472639
38,-12,-6.129147531150472,21.594909847536481,-12.8285522,0.0036364,45.4545441,-0.0069330,0.0690584,4.0000000,0.0210094,1.1152610,26.2836666,0.1171075,0.0469777
39,-12,-6.121690891150472,21.594909847536481,-12.8308554,-0.0041322,23.9669418,-0.0097712,0.0669333,4.0000000,-0.0084535,1.1153809,26.2966900,0.1423201,0.0518659
40,-12,-6.114234251150472,21.594909847536481,-12.8331671,-0.0018182,29.7520657,-0.0141904,0.0629901,4.0000000,-0.0409270,1.1153713,26.2966042,0.1669072,0.0606717
41,-12,-6.106777611150472,21.594909847536481,-12.8354874,0.0004132,36.3636360,-0.0201159,0.0587750,4.0000000,-0.0730119,1.1152511,26.2833080,0.1905619,0.0746258
42,-12,-6.024754571150472,21.594909847536481,-12.8610153,-0.0038843,21.4876041,-0.2181003,-0.0324654,4.0000000,-0.4839148,1.1036609,25.0360203,0.4189840,0.6826937
43,-12,-6.017297931150472,21.594909847536481,-12.8632774,-0.0016529,27.2727280,-0.2510084,-0.0424658,4.0000000,-0.5226257,1.1016449,24.8096981,0.4376941,0.7864147
