OID_,ClipsFinal_DEM_Large_S3_RegL2,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-3.288167691150471,19.059652247536480,-13.0022345,-0.0027273,0.0000000,-0.8211820,-0.3202253,4.0000000,-0.9521112,1.0119877,8.8289919,0.3116607,2.1733148
2,-13,-3.280711051150471,19.059652247536480,-13.0031004,-0.0020661,0.0000000,-0.8368407,-0.3499133,4.0000000,-0.9960299,1.0106091,8.3080187,0.2962033,2.2768443
3,-13,-3.273254411150471,19.059652247536480,-13.0039110,-0.0014876,0.0000000,-0.8439976,-0.3787895,4.0000000,-1.0366263,1.0092751,7.7716479,0.2790474,2.3662601
4,-13,-3.295624331150471,19.052195607536479,-13.0021057,-0.0028099,0.0000000,-0.7394767,-0.3492184,4.0000000,-1.0329727,1.0128852,9.1513824,0.3345360,2.0963390
5,-13,-3.288167691150471,19.052195607536479,-13.0029802,-0.0021488,0.0000000,-0.7611192,-0.3789892,4.0000000,-1.0823374,1.0114709,8.6368885,0.3243591,2.2204444
6,-13,-3.280711051150471,19.052195607536479,-13.0038013,-0.0015702,0.0000000,-0.7736068,-0.4055702,4.0000000,-1.1257507,1.0100987,8.1076212,0.3146103,2.3202972
7,-13,-3.273254411150471,19.052195607536479,-13.0045671,-0.0010744,0.0000000,-0.7808133,-0.4298581,4.0000000,-1.1652381,1.0087820,7.5629120,0.3055219,2.4056790
8,-13,-3.265797771150471,19.052195607536479,-13.0052757,-0.0006612,0.0000000,-0.7783521,-0.4520433,4.0000000,-1.1999991,1.0075344,7.0059214,0.2959126,2.4673898
9,-13,-3.258341131150471,19.052195607536479,-13.0059261,-0.0003306,0.0000000,-0.7684651,-0.4698899,4.0000000,-1.2277575,1.0063661,6.4400506,0.2879776,2.5008063
10,-13,-3.250884491150471,19.052195607536479,-13.0065184,0.0000000,0.8264463,-0.7527741,-0.4847729,4.0000000,-1.2510830,1.0052882,5.8704429,0.2815373,2.5135994
