OID_,ClipsFinal_DEM_Large_S3_RegI,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-5.569899531150471,22.534446487536478,-12.7607622,-0.0042975,23.9669418,-0.1341432,-0.0208038,4.0000000,-0.1115952,1.1057858,25.2696095,0.0699876,0.4065758
2,-12,-5.562442891150471,22.534446487536478,-12.7622957,-0.0027273,28.0991745,-0.1372748,-0.0260391,4.0000000,-0.1464503,1.1056104,25.2509995,0.0943721,0.4190473
3,-12,-5.554986251150471,22.534446487536478,-12.7638025,-0.0012397,32.2314034,-0.1413534,-0.0314919,4.0000000,-0.1817193,1.1053381,25.2208633,0.1187354,0.4350953
4,-12,-5.577356171150471,22.526989847536477,-12.7623653,-0.0026446,28.0991745,-0.1290312,-0.0406003,4.0000000,-0.0912046,1.1071553,25.4197483,0.0100041,0.4005089
5,-12,-5.569899531150471,22.526989847536477,-12.7639341,-0.0010744,33.0578499,-0.1306392,-0.0455149,4.0000000,-0.1262097,1.1070709,25.4108963,0.0351798,0.4100299
6,-12,-5.562442891150471,22.526989847536477,-12.7654772,0.0004132,37.1900826,-0.1337035,-0.0499939,4.0000000,-0.1614638,1.1068836,25.3895969,0.0614759,0.4242280
7,-12,-5.554986251150471,22.526989847536477,-12.7669916,0.0019008,41.3223152,-0.1382290,-0.0554377,4.0000000,-0.1983849,1.1065911,25.3580933,0.0875094,0.4441885
8,-12,-5.547529611150471,22.526989847536477,-12.7684774,0.0033884,45.4545441,-0.1442508,-0.0614173,4.0000000,-0.2369966,1.1062011,25.3162594,0.1141621,0.4699153
9,-12,-5.540072971150471,22.526989847536477,-12.7699318,0.0047934,49.5867767,-0.1509698,-0.0674396,4.0000000,-0.2760055,1.1057014,25.2611351,0.1411263,0.4984988
10,-12,-5.532616331150471,22.526989847536477,-12.7713528,-0.0036364,24.7933884,-0.1584265,-0.0719670,4.0000000,-0.3133481,1.1051077,25.1955318,0.1694141,0.5282038
11,-12,-5.525159691150471,22.526989847536477,-12.7727404,-0.0023967,28.0991745,-0.1671480,-0.0777650,4.0000000,-0.3522194,1.1044129,25.1186466,0.1966895,0.5635979
12,-12,-5.517703051150471,22.526989847536477,-12.7740917,-0.0009917,32.2314034,-0.1788648,-0.0857622,4.0000000,-0.3945363,1.1036049,25.0290890,0.2230119,0.6115057
13,-12,-5.510246411150471,22.526989847536477,-12.7754059,0.0002479,36.3636360,-0.1916459,-0.0925598,4.0000000,-0.4349996,1.1026920,24.9276600,0.2498800,0.6614817
