OID_,ClipsFinal_DEM_Large_S3_RegD,X,Y,DEM_Large_S15_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
29,-13,-5.346200331150472,20.677743127536477,-13.1368303,0.0018182,36.3636360,-0.4091823,-0.2394349,5.0000000,-0.9127696,1.0781802,21.9569225,0.4338997,1.5633537
30,-13,-5.338743691150472,20.677743127536477,-13.1367855,0.0017355,36.3636360,-0.4289584,-0.2155476,4.0000000,-0.8872498,1.0778564,21.9137192,0.4561546,1.5417440
31,-13,-5.331287051150472,20.677743127536477,-13.1366787,0.0016529,36.3636360,-0.4494458,-0.1895625,4.0000000,-0.8587335,1.0775542,21.8739529,0.4796086,1.5230169
32,-13,-5.323830411150472,20.677743127536477,-13.1365108,0.0014876,36.3636360,-0.4676642,-0.1631810,4.0000000,-0.8285632,1.0772886,21.8388615,0.5022012,1.5048782
33,-13,-5.487876491150471,20.670286487536480,-13.1275902,0.0025620,42.1487617,-0.4506551,-0.3456564,4.0000000,-0.2571194,1.0829234,22.5771809,-0.4341933,1.8748323
34,-13,-5.480419851150471,20.670286487536480,-13.1288519,0.0037190,46.2809906,-0.4031020,-0.3686802,4.0000000,-0.3541082,1.0832862,22.6223125,-0.3832524,1.8594991
35,-13,-5.472963211150471,20.670286487536480,-13.1300545,-0.0050413,18.1818180,-0.3593744,-0.3896739,4.0000000,-0.4485810,1.0835236,22.6520061,-0.3307668,1.8542173
36,-13,-5.465506571150471,20.670286487536480,-13.1311941,-0.0039669,21.4876041,-0.3209383,-0.4071532,4.0000000,-0.5371739,1.0836399,22.6687336,-0.2771325,1.8536760
37,-13,-5.458049931150471,20.670286487536480,-13.1322680,-0.0028926,24.7933884,-0.2868229,-0.4208505,4.0000000,-0.6183342,1.0836723,22.6715584,-0.2233668,1.8503921
38,-13,-5.450593291150471,20.670286487536480,-13.1332750,-0.0019008,28.0991745,-0.2591986,-0.4319859,4.0000000,-0.6937630,1.0836208,22.6630611,-0.1702087,1.8541386
39,-13,-5.443136651150471,20.670286487536480,-13.1342125,-0.0009091,31.4049587,-0.2371833,-0.4391913,4.0000000,-0.7609069,1.0834807,22.6463299,-0.1174757,1.8535061
40,-13,-5.435680011150471,20.670286487536480,-13.1350794,-0.0000826,33.8842964,-0.2210704,-0.4421559,4.0000000,-0.8183756,1.0832742,22.6204433,-0.0659363,1.8454025
