OID_,ClipsFinal_DEM_Large_S3_RegE,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-6.770418571150471,19.477224087536477,-13.0694304,0.0047934,50.4132233,-1.7032760,-0.0894349,4.0000000,1.2177054,1.1087281,25.5868931,-1.3965752,5.1601682
2,-13,-6.762961931150471,19.477224087536477,-13.0728836,-0.0019835,32.2314034,-1.7685696,-0.1023827,4.0000000,1.2268466,1.1047159,25.1494083,-1.4316120,5.2735400
3,-13,-6.755505291150471,19.477224087536477,-13.0762548,0.0014050,41.3223152,-1.8430477,-0.1115814,4.0000000,1.2224718,1.1004349,24.6697426,-1.4456347,5.4068828
4,-13,-6.748048651150471,19.477224087536477,-13.0795393,0.0047934,50.4132233,-1.9261013,-0.1164895,4.0000000,1.2052730,1.0959381,24.1529617,-1.4382520,5.5573664
5,-13,-6.785331851150471,19.469767447536476,-13.0629864,-0.0019008,33.8842964,-1.6712240,-0.1415851,4.0000000,1.1069839,1.1199204,26.7574520,-1.3901541,5.2579203
6,-13,-6.777875211150471,19.469767447536476,-13.0666389,0.0017355,42.9752083,-1.7231305,-0.1685242,4.0000000,1.1387240,1.1161681,26.3744144,-1.4757725,5.3532753
7,-13,-6.770418571150471,19.469767447536476,-13.0702133,-0.0045455,25.6198349,-1.7742351,-0.1892654,4.0000000,1.1555362,1.1121128,25.9495811,-1.5340670,5.4418011
8,-13,-6.762961931150471,19.469767447536476,-13.0737047,-0.0013223,34.7107430,-1.8345839,-0.2041464,4.0000000,1.1589947,1.1077337,25.4792938,-1.5672874,5.5506206
9,-13,-6.755505291150471,19.469767447536476,-13.0771055,0.0021488,43.8016510,-1.9046905,-0.2151143,4.0000000,1.1465144,1.1030544,24.9657574,-1.5767430,5.6800270
10,-13,-6.748048651150471,19.469767447536476,-13.0804119,-0.0044628,22.3140488,-1.9860913,-0.2217282,4.0000000,1.1195338,1.0981495,24.4106731,-1.5629902,5.8316884
11,-13,-6.740592011150471,19.469767447536476,-13.0836191,-0.0014876,31.4049587,-2.0841534,-0.2258999,4.0000000,1.0788748,1.0930449,23.8139858,-1.5306747,6.0200715
12,-13,-6.733135371150471,19.469767447536476,-13.0867233,0.0015702,40.4958687,-2.1995900,-0.2285620,4.0000000,1.0263746,1.0877956,23.1798992,-1.4834986,6.2457647
13,-13,-6.725678731150471,19.469767447536476,-13.0897226,0.0047107,49.5867767,-2.3323874,-0.2320537,4.0000000,0.9628384,1.0824263,22.5066185,-1.4269457,6.5086279
14,-13,-6.718222091150471,19.469767447536476,-13.0926132,-0.0024793,26.4462814,-2.4813533,-0.2358045,4.0000000,0.8919383,1.0769730,21.7956371,-1.3635473,6.8022776
15,-13,-6.710765451150471,19.469767447536476,-13.0953941,0.0002479,35.5371895,-2.6422839,-0.2420011,4.0000000,0.8159472,1.0714933,21.0504208,-1.2999494,7.1175089
16,-13,-6.703308811150471,19.469767447536476,-13.0980635,0.0028926,44.6280975,-2.8167379,-0.2517130,4.0000000,0.7384717,1.0660119,20.2699184,-1.2418978,7.4593000
17,-13,-6.695852171150471,19.469767447536476,-13.1006193,-0.0044628,15.7024794,-2.9911084,-0.2651760,4.0000000,0.6618587,1.0605667,19.4577198,-1.1922107,7.7942176
18,-13,-6.688395531150471,19.469767447536476,-13.1030607,-0.0019008,24.7933884,-3.1574945,-0.2800962,4.0000000,0.5903496,1.0552179,18.6155453,-1.1505420,8.1001472
19,-13,-6.792788491150471,19.462310807536479,-13.0599585,0.0050413,49.5867767,-1.6765968,-0.1904912,4.0000000,1.0092293,1.1278244,27.5444107,-1.3902118,5.4399748
20,-13,-6.785331851150471,19.462310807536479,-13.0637436,-0.0012397,35.5371895,-1.7283072,-0.2322125,4.0000000,1.0494879,1.1242181,27.1913300,-1.5139128,5.5663919
21,-13,-6.777875211150471,19.462310807536479,-13.0674515,0.0024793,44.6280975,-1.7746944,-0.2665726,4.0000000,1.0759207,1.1201721,26.7841740,-1.6090659,5.6728730
22,-13,-6.770418571150471,19.462310807536479,-13.0710754,-0.0038017,28.0991745,-1.8222058,-0.2933040,4.0000000,1.0877044,1.1157504,26.3315639,-1.6743124,5.7760334
23,-13,-6.762961931150471,19.462310807536479,-13.0746078,-0.0005785,37.1900826,-1.8754433,-0.3142762,4.0000000,1.0824889,1.1109592,25.8286629,-1.7110412,5.8878913
24,-13,-6.755505291150471,19.462310807536479,-13.0780420,0.0029752,46.2809906,-1.9387517,-0.3283533,4.0000000,1.0611283,1.1058632,25.2772694,-1.7178347,6.0153770
25,-13,-6.748048651150471,19.462310807536479,-13.0813723,-0.0036364,25.6198349,-2.0147879,-0.3359644,4.0000000,1.0245596,1.1005257,24.6828098,-1.6964884,6.1629195
26,-13,-6.740592011150471,19.462310807536479,-13.0845947,-0.0005785,34.7107430,-2.1097682,-0.3406813,4.0000000,0.9723512,1.0949867,24.0442486,-1.6537138,6.3518815
27,-13,-6.733135371150471,19.462310807536479,-13.0877056,0.0024793,43.8016510,-2.2253299,-0.3415594,4.0000000,0.9076029,1.0892909,23.3630772,-1.5907217,6.5798311
28,-13,-6.725678731150471,19.462310807536479,-13.0907011,-0.0044628,19.8347111,-2.3619480,-0.3420731,4.0000000,0.8308808,1.0834790,22.6424026,-1.5150270,6.8525896
