OID_,ClipsFinal_DEM_Large_S3_RegJ,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-7.791978251150471,21.930458647536476,-12.6220036,-0.0029752,8.2644625,-0.1854889,-0.2404943,4.0000000,-0.4540820,1.0292670,13.7064419,-0.0269067,0.6898385
2,-12,-7.784521611150471,21.930458647536476,-12.6231928,-0.0018182,11.5702477,-0.2089005,-0.3069077,4.0000000,-0.5372778,1.0280770,13.4282656,-0.0765376,0.9057713
3,-12,-7.777064971150471,21.930458647536476,-12.6243324,-0.0007438,15.7024794,-0.2300424,-0.3625025,4.0000000,-0.6136121,1.0267960,13.1240120,-0.1113929,1.1178354
4,-12,-7.769608331150471,21.930458647536476,-12.6254148,0.0002479,19.8347111,-0.2517869,-0.4087151,4.0000000,-0.6895198,1.0254593,12.7989550,-0.1279103,1.3220800
5,-12,-7.762151691150471,21.930458647536476,-12.6264362,0.0012397,24.7933884,-0.2727968,-0.4411299,4.0000000,-0.7567772,1.0241165,12.4616184,-0.1254827,1.4864149
6,-12,-7.754695051150471,21.930458647536476,-12.6273918,0.0021488,29.7520657,-0.2935074,-0.4659021,4.0000000,-0.8225924,1.0227983,12.1225176,-0.1092119,1.6262417
7,-12,-7.747238411150471,21.930458647536476,-12.6282778,0.0030579,35.5371895,-0.3170518,-0.4817782,4.0000000,-0.8866825,1.0215312,11.7844563,-0.0768738,1.7385212
8,-12,-7.739781771150471,21.930458647536476,-12.6290932,0.0038843,41.3223152,-0.3404136,-0.4912975,4.0000000,-0.9497923,1.0203229,11.4542761,-0.0328026,1.8243695
9,-12,-7.732325131150471,21.930458647536476,-12.6298342,0.0045455,46.2809906,-0.3642657,-0.4939348,4.0000000,-1.0108846,1.0191901,11.1370544,0.0230150,1.8818002
10,-12,-7.724868491150471,21.930458647536476,-12.6305017,-0.0048760,0.0000000,-0.3861414,-0.4932499,4.0000000,-1.0705810,1.0181438,10.8327160,0.0840811,1.9204552
11,-12,-7.806891531150471,21.923002007536478,-12.6208878,-0.0040496,5.7851238,-0.0901843,-0.1228273,4.0000000,-0.3213481,1.0312619,14.1560698,0.0756934,0.2793601
12,-12,-7.799434891150471,21.923002007536478,-12.6221428,-0.0028099,9.0909090,-0.1102612,-0.2068969,4.0000000,-0.4153242,1.0303630,13.9563017,0.0015305,0.4536414
13,-12,-7.791978251150471,21.923002007536478,-12.6233644,-0.0016529,13.2231407,-0.1255745,-0.2798938,4.0000000,-0.4972818,1.0293000,13.7128162,-0.0625057,0.6500186
14,-12,-7.784521611150471,21.923002007536478,-12.6245441,-0.0005785,17.3553715,-0.1406810,-0.3427780,4.0000000,-0.5733199,1.0281203,13.4390774,-0.1122360,0.8598138
15,-12,-7.777064971150471,21.923002007536478,-12.6256742,0.0004959,22.3140488,-0.1558380,-0.3957215,4.0000000,-0.6443029,1.0268561,13.1398849,-0.1471402,1.0669932
16,-12,-7.769608331150471,21.923002007536478,-12.6267481,0.0014876,27.2727280,-0.1718709,-0.4407056,4.0000000,-0.7143452,1.0255522,12.8205299,-0.1670660,1.2674199
17,-12,-7.762151691150471,21.923002007536478,-12.6277609,0.0024793,33.0578499,-0.1901959,-0.4716125,4.0000000,-0.7760623,1.0242372,12.4913292,-0.1671627,1.4288815
18,-12,-7.754695051150471,21.923002007536478,-12.6287079,0.0033884,38.8429756,-0.2099626,-0.4955472,4.0000000,-0.8373988,1.0229449,12.1605110,-0.1536956,1.5699444
19,-12,-7.747238411150471,21.923002007536478,-12.6295872,0.0042149,44.6280975,-0.2310423,-0.5128846,4.0000000,-0.9001121,1.0217042,11.8334646,-0.1256571,1.6881908
20,-12,-7.739781771150471,21.923002007536478,-12.6303949,-0.0050413,0.0000000,-0.2549729,-0.5231243,4.0000000,-0.9632990,1.0205233,11.5119057,-0.0829495,1.7819161
21,-12,-7.732325131150471,21.923002007536478,-12.6311293,-0.0043802,0.8264463,-0.2793607,-0.5264978,4.0000000,-1.0235378,1.0194255,11.2035465,-0.0294578,1.8452796
22,-12,-7.724868491150471,21.923002007536478,-12.6317902,-0.0038017,1.6528926,-0.3039085,-0.5262724,4.0000000,-1.0836748,1.0184070,10.9096069,0.0311301,1.8924012
23,-12,-7.717411851150471,21.923002007536478,-12.6323757,-0.0033058,2.4793389,-0.3297670,-0.5229337,4.0000000,-1.1414435,1.0174668,10.6331568,0.0955762,1.9280411
24,-12,-7.709955211150471,21.923002007536478,-12.6328859,-0.0028926,3.3057852,-0.3535036,-0.5146620,4.0000000,-1.1892089,1.0166137,10.3738565,0.1598849,1.9366351
25,-12,-7.702498571150471,21.923002007536478,-12.6333208,-0.0024793,4.1322312,-0.3739311,-0.5038077,4.0000000,-1.2268362,1.0158499,10.1358719,0.2192208,1.9272944
26,-12,-7.695041931150471,21.923002007536478,-12.6336813,-0.0021488,4.9586778,-0.3911042,-0.4873290,4.0000000,-1.2457404,1.0151761,9.9205713,0.2710825,1.8878613
27,-12,-7.687585291150471,21.923002007536478,-12.6339684,-0.0018182,5.7851238,-0.4059101,-0.4678192,4.0000000,-1.2476780,1.0145843,9.7270527,0.3120397,1.8333791
28,-12,-7.821804811150471,21.915545367536478,-12.6197271,0.0047934,48.7603302,-0.0311018,0.0031781,4.0000000,-0.1687327,1.0323054,14.3873549,0.1750889,0.0706833
29,-12,-7.814348171150471,21.915545367536478,-12.6210108,-0.0038843,6.6115704,-0.0435140,-0.0881365,4.0000000,-0.2770694,1.0318463,14.2850409,0.1007965,0.1388514
30,-12,-7.806891531150471,21.915545367536478,-12.6222792,-0.0026446,9.9173555,-0.0520006,-0.1725988,4.0000000,-0.3719214,1.0311478,14.1320505,0.0267239,0.2622202
31,-12,-7.799434891150471,21.915545367536478,-12.6235237,-0.0014876,14.0495872,-0.0578074,-0.2517554,4.0000000,-0.4591563,1.0302583,13.9318352,-0.0443545,0.4304568
32,-12,-7.791978251150471,21.915545367536478,-12.6247339,-0.0004132,19.0082645,-0.0632066,-0.3193610,4.0000000,-0.5335936,1.0292118,13.6917191,-0.1051285,0.6179624
33,-12,-7.784521611150471,21.915545367536478,-12.6259031,0.0006612,23.9669418,-0.0687065,-0.3801036,4.0000000,-0.6038974,1.0280536,13.4234161,-0.1563097,0.8208770
34,-12,-7.777064971150471,21.915545367536478,-12.6270237,0.0017355,29.7520657,-0.0753633,-0.4318137,4.0000000,-0.6701337,1.0268162,13.1293488,-0.1934937,1.0218030
35,-12,-7.769608331150471,21.915545367536478,-12.6280890,0.0027273,35.5371895,-0.0859651,-0.4739415,4.0000000,-0.7325137,1.0255392,12.8168011,-0.2153694,1.2122797
36,-12,-7.762151691150471,21.915545367536478,-12.6290941,0.0037190,42.1487617,-0.0990306,-0.5049480,4.0000000,-0.7907397,1.0242566,12.4981003,-0.2191564,1.3719136
37,-12,-7.754695051150471,21.915545367536478,-12.6300335,-0.0053719,0.8264463,-0.1162749,-0.5298664,4.0000000,-0.8513984,1.0230060,12.1766653,-0.2083344,1.5196115
38,-12,-7.747238411150471,21.915545367536478,-12.6309061,-0.0045455,1.6528926,-0.1358580,-0.5481968,4.0000000,-0.9128537,1.0218024,11.8588591,-0.1835398,1.6451317
39,-12,-7.739781771150471,21.915545367536478,-12.6317072,-0.0038017,2.4793389,-0.1585743,-0.5589653,4.0000000,-0.9738606,1.0206528,11.5462446,-0.1440700,1.7424921
40,-12,-7.732325131150471,21.915545367536478,-12.6324368,-0.0031405,4.1322312,-0.1795927,-0.5654313,4.0000000,-1.0353935,1.0195775,11.2474384,-0.0954692,1.8156000
41,-12,-7.724868491150471,21.915545367536478,-12.6330910,-0.0024793,5.7851238,-0.2042521,-0.5666299,4.0000000,-1.0961086,1.0185812,10.9634991,-0.0371514,1.8706977
42,-12,-7.717411851150471,21.915545367536478,-12.6336699,-0.0019008,7.4380164,-0.2289266,-0.5651980,4.0000000,-1.1552850,1.0176710,10.6942444,0.0248890,1.9126869
43,-12,-7.709955211150471,21.915545367536478,-12.6341734,-0.0014050,9.0909090,-0.2546666,-0.5571534,4.0000000,-1.2033826,1.0168450,10.4447660,0.0890758,1.9243736
44,-12,-7.702498571150471,21.915545367536478,-12.6346006,-0.0009091,10.7438021,-0.2776989,-0.5472360,4.0000000,-1.2420954,1.0161062,10.2166576,0.1476233,1.9217087
45,-12,-7.695041931150471,21.915545367536478,-12.6349525,-0.0004959,12.3966942,-0.3001196,-0.5314416,4.0000000,-1.2633545,1.0154519,10.0105934,0.2004714,1.8910323
46,-12,-7.687585291150471,21.915545367536478,-12.6352301,-0.0000826,14.0495872,-0.3196287,-0.5119291,4.0000000,-1.2658215,1.0148782,9.8255777,0.2419633,1.8394742
47,-12,-7.680128651150471,21.915545367536478,-12.6354342,0.0002479,15.7024794,-0.3369497,-0.4875153,4.0000000,-1.2455066,1.0143838,9.6625557,0.2704762,1.7655708
48,-12,-7.672672011150471,21.915545367536478,-12.6355667,0.0004959,16.5289249,-0.3481989,-0.4580040,4.0000000,-1.1983262,1.0139558,9.5188570,0.2823182,1.6634014
49,-12,-7.829261451150471,21.908088727536477,-12.6198664,0.0049587,49.5867767,-0.0288184,0.0316883,4.0000000,-0.1119241,1.0322975,14.3856392,0.1753007,0.0688135
50,-12,-7.821804811150471,21.908088727536477,-12.6211433,-0.0037190,7.4380164,-0.0251874,-0.0583427,4.0000000,-0.2271599,1.0320714,14.3346577,0.1104745,0.0755956
51,-12,-7.814348171150471,21.908088727536477,-12.6224155,-0.0024793,10.7438021,-0.0189537,-0.1440463,4.0000000,-0.3287987,1.0315863,14.2299299,0.0407060,0.1447178
52,-12,-7.806891531150471,21.908088727536477,-12.6236725,-0.0013223,14.8760328,-0.0107628,-0.2238502,4.0000000,-0.4171346,1.0308914,14.0743513,-0.0305658,0.2630328
53,-12,-7.799434891150471,21.908088727536477,-12.6249056,-0.0002479,19.8347111,-0.0035997,-0.2962532,4.0000000,-0.4956923,1.0300232,13.8770084,-0.0968141,0.4196058
54,-12,-7.791978251150471,21.908088727536477,-12.6261063,0.0008264,25.6198349,0.0025938,-0.3605259,4.0000000,-0.5650617,1.0289994,13.6435881,-0.1559901,0.5967450
