OID_,ClipsFinal_DEM_Large_S3_RegA,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-4.928628491150471,17.627977367536477,-13.0656767,0.0000000,0.0000000,-0.7068762,0.3268739,4.0000000,-0.4873796,1.0015899,3.1944118,1.1411272,1.8493019
2,-13,-4.921171851150471,17.627977367536477,-13.0658045,0.0000000,0.0000000,-0.6403195,0.3664282,4.0000000,-0.4444947,1.0014418,3.0405822,1.1773512,1.8246280
3,-13,-4.913715211150471,17.627977367536477,-13.0659027,0.0000000,0.0000000,-0.5580428,0.4213949,4.0000000,-0.3801135,1.0013480,2.9348590,1.2229034,1.8324344
4,-13,-4.950998411150471,17.620520727536480,-13.0646858,0.0000000,0.0000000,-0.7728364,0.1999582,4.0000000,-0.4567099,1.0019842,3.5828919,0.8566263,1.7169422
5,-13,-4.943541771150471,17.620520727536480,-13.0649328,0.0000000,0.0000000,-0.7593479,0.1935597,4.0000000,-0.4798662,1.0016872,3.3005197,0.8669857,1.6779367
6,-13,-4.936085131150471,17.620520727536480,-13.0651426,0.0000000,0.0000000,-0.7348735,0.1969365,4.0000000,-0.4977116,1.0014307,3.0354433,0.8915846,1.6324929
7,-13,-4.928628491150471,17.620520727536480,-13.0653172,0.0000000,0.0000000,-0.6951342,0.2144971,4.0000000,-0.5001372,1.0012234,2.8006880,0.9291314,1.5803792
8,-13,-4.921171851150471,17.620520727536480,-13.0654573,0.0000000,0.0000000,-0.6440827,0.2460114,4.0000000,-0.4850913,1.0010631,2.6059937,0.9771140,1.5351058
9,-13,-4.913715211150471,17.620520727536480,-13.0655642,0.0000000,0.0000000,-0.5796579,0.2914838,4.0000000,-0.4484475,1.0009505,2.4616041,1.0314151,1.5031167
10,-13,-4.906258571150471,17.620520727536480,-13.0656414,0.0000000,0.0000000,-0.4975105,0.3553132,4.0000000,-0.3812352,1.0008861,2.3722742,1.0918617,1.5033649
11,-13,-4.958455051150471,17.613064087536479,-13.0640240,0.0000000,0.0000000,-0.7068244,0.1398315,4.0000000,-0.3378724,1.0020812,3.6765344,0.6175354,1.5030991
12,-13,-4.950998411150471,17.613064087536479,-13.0643272,0.0000000,0.0000000,-0.7099843,0.1163496,4.0000000,-0.3762594,1.0017498,3.3677640,0.6089585,1.4835496
13,-13,-4.943541771150471,17.613064087536479,-13.0645943,0.0000000,0.0000000,-0.7015239,0.1031092,4.0000000,-0.4114362,1.0014528,3.0634308,0.6176546,1.4532583
14,-13,-4.936085131150471,17.613064087536479,-13.0648241,0.0000000,0.0000000,-0.6842669,0.0989081,4.0000000,-0.4458214,1.0011920,2.7703009,0.6436375,1.4137599
15,-13,-4.928628491150471,17.613064087536479,-13.0650148,0.0000000,0.0000000,-0.6548184,0.1084071,4.0000000,-0.4742900,1.0009758,2.5017464,0.6911042,1.3613473
16,-13,-4.921171851150471,17.613064087536479,-13.0651684,0.0000000,0.0000000,-0.6170943,0.1323513,4.0000000,-0.4907037,1.0008060,2.2672055,0.7554063,1.3078306
17,-13,-4.913715211150471,17.613064087536479,-13.0652857,0.0000000,0.0000000,-0.5673240,0.1709931,4.0000000,-0.4870458,1.0006808,2.0797014,0.8290321,1.2543119
18,-13,-4.906258571150471,17.613064087536479,-13.0653687,0.0000000,0.0000000,-0.5044278,0.2255575,4.0000000,-0.4529305,1.0006006,1.9484179,0.9040455,1.2144591
19,-13,-4.898801931150471,17.613064087536479,-13.0654230,0.0000000,0.0000000,-0.4295754,0.2975110,4.0000000,-0.3845773,1.0005610,1.8802758,0.9795994,1.2149429
20,-13,-4.965911691150471,17.605607447536478,-13.0633307,-0.0003306,0.0000000,-0.6264634,0.1016763,4.0000000,-0.2043138,1.0022855,3.8583584,0.4076665,1.3055124
21,-13,-4.958455051150471,17.605607447536478,-13.0636921,-0.0000826,0.0000000,-0.6302678,0.0691808,4.0000000,-0.2391311,1.0019369,3.5494738,0.3774927,1.2892174
22,-13,-4.950998411150471,17.605607447536478,-13.0640173,0.0000000,0.0000000,-0.6321731,0.0393451,3.0000000,-0.2807961,1.0016080,3.2318451,0.3594864,1.2784929
23,-13,-4.943541771150471,17.605607447536478,-13.0643053,0.0000000,0.0000000,-0.6257954,0.0182827,3.0000000,-0.3237396,1.0013092,2.9116027,0.3603050,1.2593541
