OID_,ClipsFinal_DEM_Large_S3_RegF3,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-5.726488971150472,21.080401687536479,-13.0202074,-0.0050413,0.0000000,-0.7257152,-0.0623171,4.0000000,-0.9134426,1.0163606,10.2955866,0.7888085,1.5735426
2,-13,-5.719032331150471,21.080401687536479,-13.0204077,-0.0048760,0.0000000,-0.7583112,-0.0615360,4.0000000,-0.9340280,1.0158545,10.1358480,0.8109559,1.6392460
3,-13,-5.711575691150472,21.080401687536479,-13.0205545,-0.0047934,0.0000000,-0.7798038,-0.0548673,4.0000000,-0.9306126,1.0153490,9.9748383,0.8208780,1.6773639
4,-13,-5.704119051150471,21.080401687536479,-13.0206490,-0.0047107,0.0000000,-0.7860277,-0.0434301,4.0000000,-0.9050757,1.0148681,9.8170586,0.8182154,1.6809803
5,-13,-5.741402251150472,21.072945047536479,-13.0210295,-0.0044628,0.0000000,-0.6746548,-0.0904952,4.0000000,-0.8712005,1.0182959,10.8824492,0.6902100,1.4980263
6,-13,-5.733945611150471,21.072945047536479,-13.0213242,-0.0042975,0.0000000,-0.7034516,-0.0929617,4.0000000,-0.9203757,1.0178304,10.7448416,0.7344522,1.5597703
7,-13,-5.726488971150472,21.072945047536479,-13.0215654,-0.0041322,0.0000000,-0.7371268,-0.0919389,4.0000000,-0.9532336,1.0173432,10.5972958,0.7693559,1.6281202
8,-13,-5.719032331150471,21.072945047536479,-13.0217514,-0.0039669,0.0000000,-0.7652363,-0.0846124,4.0000000,-0.9624470,1.0168456,10.4448357,0.7932223,1.6784203
9,-13,-5.711575691150472,21.072945047536479,-13.0218821,-0.0038843,0.0000000,-0.7818522,-0.0718844,4.0000000,-0.9477888,1.0163559,10.2930489,0.8040199,1.7001939
10,-13,-5.704119051150471,21.072945047536479,-13.0219603,-0.0038017,0.0000000,-0.7823326,-0.0532176,4.0000000,-0.9093298,1.0158898,10.1453133,0.8028945,1.6854357
