OID_,ClipsFinal_DEM_Large_S3_RegQ1,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-6.576545931150471,22.713405847536478,-12.5105581,-0.0042975,27.2727280,-1.8777810,0.0795006,4.0000000,0.4927785,1.1452941,29.1864643,-0.3337772,6.5929604
2,-12,-6.569089291150471,22.713405847536478,-12.5121841,-0.0026446,31.4049587,-1.8011619,0.0296704,4.0000000,0.3534849,1.1495030,29.5618973,-0.2941441,6.3326006
3,-12,-6.561632651150471,22.713405847536478,-12.5137653,-0.0012397,35.5371895,-1.7094642,-0.0117277,4.0000000,0.2236057,1.1535048,29.9113808,-0.2470611,6.0598626
4,-12,-6.554176011150471,22.713405847536478,-12.5152960,0.0002479,38.8429756,-1.6084909,-0.0445139,4.0000000,0.1037666,1.1573135,30.2385845,-0.1927945,5.7784824
5,-12,-6.546719371150471,22.713405847536478,-12.5167723,0.0017355,42.1487617,-1.5017513,-0.0705694,4.0000000,-0.0079967,1.1609116,30.5426426,-0.1331421,5.4868703
6,-12,-6.539262731150471,22.713405847536478,-12.5181894,0.0030579,44.6280975,-1.3915291,-0.0905828,4.0000000,-0.1093327,1.1642929,30.8247032,-0.0718329,5.1834202
7,-12,-6.531806091150471,22.713405847536478,-12.5195436,0.0042975,47.9338837,-1.2803494,-0.1060804,4.0000000,-0.2014299,1.1674757,31.0863743,-0.0107309,4.8717647
8,-12,-6.524349451150471,22.713405847536478,-12.5208340,-0.0044628,29.7520657,-1.1710967,-0.1155840,4.0000000,-0.2844718,1.1704515,31.3279114,0.0533037,4.5544329
9,-12,-6.584002571150471,22.705949207536481,-12.5126572,-0.0019835,32.2314034,-1.7554716,0.0397109,4.0000000,0.5865703,1.1465390,29.2981911,-0.5071485,6.1617265
10,-12,-6.576545931150471,22.705949207536481,-12.5144110,-0.0004132,36.3636360,-1.6913277,-0.0263388,4.0000000,0.4404728,1.1507212,29.6692924,-0.4931504,5.9453015
11,-12,-6.569089291150471,22.705949207536481,-12.5161228,0.0013223,40.4958687,-1.6101683,-0.0838966,4.0000000,0.3031865,1.1546776,30.0133858,-0.4709798,5.7340531
12,-12,-6.561632651150471,22.705949207536481,-12.5177870,0.0028099,44.6280975,-1.5143682,-0.1309892,4.0000000,0.1758925,1.1584411,30.3334446,-0.4378709,5.5124116
13,-12,-6.554176011150471,22.705949207536481,-12.5193977,0.0042975,47.9338837,-1.4109882,-0.1701104,4.0000000,0.0575260,1.1619917,30.6317787,-0.3977468,5.2862659
14,-12,-6.546719371150471,22.705949207536481,-12.5209494,-0.0041322,29.7520657,-1.3020977,-0.2030651,4.0000000,-0.0540520,1.1653208,30.9091797,-0.3520782,5.0516858
15,-12,-6.539262731150471,22.705949207536481,-12.5224390,-0.0027273,33.0578499,-1.1874157,-0.2290010,4.0000000,-0.1556615,1.1684420,31.1650944,-0.3023406,4.7919879
16,-12,-6.531806091150471,22.705949207536481,-12.5238609,-0.0014050,35.5371895,-1.0741501,-0.2486863,4.0000000,-0.2479369,1.1713802,31.4025078,-0.2494357,4.5252972
17,-12,-6.524349451150471,22.705949207536481,-12.5252151,-0.0000826,38.8429756,-0.9622198,-0.2639014,4.0000000,-0.3326756,1.1741081,31.6203575,-0.1951272,4.2497106
18,-12,-6.516892811150471,22.705949207536481,-12.5264969,0.0012397,41.3223152,-0.8545106,-0.2753431,4.0000000,-0.4104513,1.1766124,31.8198910,-0.1402349,3.9741058
19,-12,-6.509436171150471,22.705949207536481,-12.5277042,0.0023967,43.8016510,-0.7507134,-0.2834603,4.0000000,-0.4809659,1.1789111,31.9997349,-0.0859547,3.6947968
