OID_,ClipsFinal_DEM_Large_S3_RegM,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-3.564063371150472,21.475603607536478,-12.8301535,-0.0048760,15.7024794,-0.1312105,-0.1124880,4.0000000,-0.4361099,1.0652688,20.1699371,0.2111339,0.4294419
2,-12,-3.556606731150472,21.475603607536478,-12.8294106,0.0042975,47.9338837,-0.1250163,-0.0935132,4.0000000,-0.4244511,1.0664421,20.3421936,0.2374247,0.3919746
3,-12,-3.549150091150472,21.475603607536478,-12.8286476,0.0034711,45.4545441,-0.1179454,-0.0718406,4.0000000,-0.4037946,1.0675453,20.5008163,0.2601134,0.3521096
4,-12,-3.541693451150472,21.475603607536478,-12.8278637,0.0028099,42.9752083,-0.1102312,-0.0463904,4.0000000,-0.3736982,1.0685526,20.6450577,0.2809173,0.3117835
5,-12,-3.534236811150472,21.475603607536478,-12.8270607,0.0020661,40.4958687,-0.1008843,-0.0187196,4.0000000,-0.3352691,1.0694487,20.7735043,0.2978298,0.2724114
6,-12,-3.526780171150472,21.475603607536478,-12.8262386,0.0012397,38.0165291,-0.0903780,0.0150840,4.0000000,-0.2858948,1.0702213,20.8829479,0.3160628,0.2373571
7,-12,-3.519323531150472,21.475603607536478,-12.8254013,0.0004132,34.7107430,-0.0777863,0.0522890,4.0000000,-0.2290459,1.0708610,20.9718246,0.3336240,0.2104135
8,-12,-3.564063371150472,21.468146967536480,-12.8327932,-0.0023140,24.7933884,-0.1327701,-0.1709356,4.0000000,-0.4827739,1.0650127,20.1313801,0.1409028,0.5293681
9,-12,-3.556606731150472,21.468146967536480,-12.8320723,-0.0030579,22.3140488,-0.1236781,-0.1546013,4.0000000,-0.4762368,1.0663196,20.3234329,0.1670343,0.4793918
10,-12,-3.549150091150472,21.468146967536480,-12.8313293,-0.0038017,19.8347111,-0.1149017,-0.1339068,4.0000000,-0.4580922,1.0675515,20.5025234,0.1902788,0.4240979
11,-12,-3.541693451150472,21.468146967536480,-12.8305635,-0.0044628,18.1818180,-0.1058115,-0.1096978,4.0000000,-0.4302502,1.0686971,20.6668873,0.2108546,0.3660779
12,-12,-3.534236811150472,21.468146967536480,-12.8297758,0.0047934,49.5867767,-0.0967820,-0.0819945,4.0000000,-0.3930958,1.0697412,20.8135643,0.2291067,0.3093406
13,-12,-3.526780171150472,21.468146967536480,-12.8289671,0.0039669,47.1074371,-0.0873177,-0.0484470,4.0000000,-0.3446239,1.0706567,20.9429741,0.2477298,0.2544425
14,-12,-3.519323531150472,21.468146967536480,-12.8281393,0.0031405,43.8016510,-0.0763002,-0.0103341,4.0000000,-0.2865188,1.0714272,21.0514507,0.2658506,0.2057367
15,-12,-3.511866891150472,21.468146967536480,-12.8272953,0.0023140,41.3223152,-0.0629684,0.0324537,4.0000000,-0.2201188,1.0720648,21.1403770,0.2850262,0.1675890
16,-12,-3.504410251150472,21.468146967536480,-12.8264380,0.0014876,38.8429756,-0.0451019,0.0807151,4.0000000,-0.1436588,1.0725564,21.2067089,0.3050890,0.1418960
