OID_,ClipsFinal_DEM_Large_S3_RegG1,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-7.217816971150471,20.282541207536479,-12.8495617,0.0047107,47.1074371,-0.7020122,-0.1393019,4.0000000,0.7093893,1.0753205,21.5728931,-0.9879931,1.9098296
2,-12,-7.210360331150472,20.282541207536479,-12.8518410,-0.0030579,21.4876041,-0.7295368,-0.1476643,4.0000000,0.7189540,1.0764458,21.7245007,-1.0142826,1.9971670
3,-12,-7.202903691150471,20.282541207536479,-12.8541040,-0.0008264,28.0991745,-0.7482297,-0.1486104,4.0000000,0.7265059,1.0775926,21.8771152,-1.0237267,2.0555658
4,-12,-7.225273611150472,20.275084567536481,-12.8490744,0.0042149,45.4545441,-0.6636146,-0.1657013,4.0000000,0.6495868,1.0762273,21.6952591,-0.9809893,1.8411674
5,-12,-7.217816971150471,20.275084567536481,-12.8514223,-0.0034711,20.6611576,-0.6965040,-0.1846925,4.0000000,0.6620152,1.0774211,21.8541374,-1.0314003,1.9574293
6,-12,-7.210360331150472,20.275084567536481,-12.8537569,-0.0011570,27.2727280,-0.7230256,-0.2004045,4.0000000,0.6705352,1.0785993,22.0111904,-1.0713441,2.0559750
7,-12,-7.202903691150471,20.275084567536481,-12.8560762,0.0010744,34.7107430,-0.7418236,-0.2086978,4.0000000,0.6772986,1.0797961,22.1661854,-1.0946943,2.1254759
8,-12,-7.195447051150472,20.275084567536481,-12.8583784,0.0033884,42.9752083,-0.7505746,-0.2118669,4.0000000,0.6795283,1.0810002,22.3230171,-1.1032621,2.1616812
9,-12,-7.187990411150471,20.275084567536481,-12.8606615,-0.0042975,17.3553715,-0.7479151,-0.2100681,4.0000000,0.6764630,1.0822159,22.4809380,-1.0965992,2.1604702
10,-12,-7.180533771150472,20.275084567536481,-12.8629255,-0.0020661,23.1404953,-0.7336701,-0.2032999,4.0000000,0.6682835,1.0834454,22.6374569,-1.0748833,2.1210780
11,-12,-7.232730251150471,20.267627927536481,-12.8484678,0.0035537,42.9752083,-0.6094812,-0.1741194,4.0000000,0.5763686,1.0768726,21.7817459,-0.9246075,1.7154574
12,-12,-7.225273611150472,20.267627927536481,-12.8508787,-0.0040496,19.0082645,-0.6493481,-0.2015431,4.0000000,0.5928176,1.0781318,21.9490337,-0.9959038,1.8641920
13,-12,-7.217816971150471,20.267627927536481,-12.8532801,-0.0017355,25.6198349,-0.6818420,-0.2283033,4.0000000,0.6042058,1.0793717,22.1133308,-1.0608125,1.9995207
14,-12,-7.210360331150472,20.267627927536481,-12.8556700,0.0006612,33.0578499,-0.7073885,-0.2504814,4.0000000,0.6128633,1.0806006,22.2710533,-1.1138260,2.1142883
15,-12,-7.202903691150471,20.267627927536481,-12.8580456,0.0029752,41.3223152,-0.7263225,-0.2661550,4.0000000,0.6198058,1.0818181,22.4290485,-1.1521158,2.2029011
16,-12,-7.195447051150472,20.267627927536481,-12.8604050,-0.0046281,17.3553715,-0.7319801,-0.2780210,4.0000000,0.6194307,1.0830410,22.5871906,-1.1754726,2.2508185
17,-12,-7.187990411150471,20.267627927536481,-12.8627462,-0.0023140,23.1404953,-0.7280037,-0.2849376,4.0000000,0.6145228,1.0842733,22.7422009,-1.1843979,2.2634597
18,-12,-7.180533771150472,20.267627927536481,-12.8650675,0.0000000,29.7520657,-0.7145426,-0.2843609,4.0000000,0.6068845,1.0855016,22.8959198,-1.1756063,2.2342045
19,-12,-7.173077131150471,20.267627927536481,-12.8673677,0.0023140,37.1900826,-0.6894431,-0.2777307,4.0000000,0.5947281,1.0867368,23.0511398,-1.1501895,2.1602640
20,-12,-7.165620491150472,20.267627927536481,-12.8696470,0.0047107,45.4545441,-0.6522749,-0.2684015,5.0000000,0.5753862,1.0879862,23.2066078,-1.1121891,2.0481665
21,-12,-7.158163851150471,20.267627927536481,-12.8719063,-0.0029752,23.1404953,-0.6063050,-0.2539598,5.0000000,0.5523497,1.0892099,23.3574562,-1.0602694,1.9016185
22,-12,-7.150707211150472,20.267627927536481,-12.8741436,-0.0008264,28.9256191,-0.5527496,-0.2376362,4.0000000,0.5240751,1.0904202,23.5049896,-0.9993474,1.7315117
23,-12,-7.143250571150471,20.267627927536481,-12.8763618,0.0012397,35.5371895,-0.4971246,-0.2180547,4.0000000,0.4951078,1.0916187,23.6491375,-0.9312171,1.5508518
24,-12,-7.135793931150472,20.267627927536481,-12.8785610,0.0033884,42.9752083,-0.4384364,-0.1994462,4.0000000,0.4605114,1.0927708,23.7880077,-0.8594037,1.3650819
25,-12,-7.128337291150471,20.267627927536481,-12.8807421,-0.0043802,20.6611576,-0.3793088,-0.1817741,4.0000000,0.4225040,1.0938603,23.9194450,-0.7860523,1.1805791
26,-12,-7.120880651150472,20.267627927536481,-12.8829060,-0.0021488,26.4462814,-0.3222690,-0.1665273,4.0000000,0.3805725,1.0948793,24.0379906,-0.7136272,1.0058922
27,-12,-7.113424011150471,20.267627927536481,-12.8850536,0.0000000,33.0578499,-0.2698575,-0.1520827,4.0000000,0.3386435,1.0957944,24.1462364,-0.6428089,0.8453906
28,-12,-7.105967371150472,20.267627927536481,-12.8871841,0.0021488,39.6694221,-0.2227444,-0.1431374,4.0000000,0.2923570,1.0965996,24.2413883,-0.5786318,0.7064310
29,-12,-7.098510731150471,20.267627927536481,-12.8892994,0.0042975,47.1074371,-0.1807092,-0.1372768,4.0000000,0.2444616,1.0972824,24.3196774,-0.5190151,0.5848895
30,-12,-7.091054091150472,20.267627927536481,-12.8913975,-0.0036364,21.4876041,-0.1454854,-0.1326443,4.0000000,0.1984821,1.0978212,24.3825588,-0.4637707,0.4835658
31,-12,-7.083597451150471,20.267627927536481,-12.8934793,-0.0015702,27.2727280,-0.1136683,-0.1302809,4.0000000,0.1513171,1.0982412,24.4317513,-0.4118789,0.3943017
32,-12,-7.076140811150472,20.267627927536481,-12.8955441,0.0004132,33.8842964,-0.0880068,-0.1320197,4.0000000,0.1033020,1.0985315,24.4632130,-0.3673415,0.3274873
33,-12,-7.068684171150471,20.267627927536481,-12.8975916,0.0024793,40.4958687,-0.0660570,-0.1326875,4.0000000,0.0580976,1.0986639,24.4781227,-0.3234726,0.2700349
34,-12,-7.061227531150472,20.267627927536481,-12.8996201,0.0046281,47.9338837,-0.0476720,-0.1346127,4.0000000,0.0142770,1.0986629,24.4788857,-0.2835024,0.2245600
35,-12,-7.240186891150472,20.260171287536480,-12.8477430,0.0027273,40.4958687,-0.5500721,-0.1646978,4.0000000,0.4963114,1.0772356,21.8312054,-0.8257070,1.5539700
36,-12,-7.232730251150471,20.260171287536480,-12.8502092,-0.0047107,17.3553715,-0.5910442,-0.2008004,4.0000000,0.5115347,1.0785664,22.0063438,-0.9131356,1.7174705
37,-12,-7.225273611150472,20.260171287536480,-12.8526716,-0.0023140,23.9669418,-0.6275948,-0.2353629,4.0000000,0.5251150,1.0798717,22.1787758,-0.9958407,1.8785245
38,-12,-7.217816971150471,20.260171287536480,-12.8551273,0.0000826,31.4049587,-0.6586797,-0.2683355,4.0000000,0.5366173,1.0811594,22.3446293,-1.0732883,2.0326416
39,-12,-7.210360331150472,20.260171287536480,-12.8575735,0.0025620,39.6694221,-0.6818085,-0.2969195,4.0000000,0.5450276,1.0824199,22.5062943,-1.1388667,2.1652534
40,-12,-7.202903691150471,20.260171287536480,-12.8600063,-0.0050413,16.5289249,-0.6981018,-0.3215674,4.0000000,0.5502909,1.0836545,22.6647282,-1.1934255,2.2772038
41,-12,-7.195447051150472,20.260171287536480,-12.8624229,-0.0026446,22.3140488,-0.7030819,-0.3420534,4.0000000,0.5498570,1.0848904,22.8198071,-1.2339637,2.3533888
42,-12,-7.187990411150471,20.260171287536480,-12.8648224,-0.0003306,28.9256191,-0.6978969,-0.3562587,4.0000000,0.5453833,1.0860978,22.9706993,-1.2579006,2.3879042
43,-12,-7.180533771150472,20.260171287536480,-12.8672018,0.0020661,36.3636360,-0.6816359,-0.3641142,4.0000000,0.5360004,1.0872823,23.1196709,-1.2642287,2.3755920
44,-12,-7.173077131150471,20.260171287536480,-12.8695593,0.0044628,44.6280975,-0.6534718,-0.3655902,4.0000000,0.5213670,1.0884824,23.2674179,-1.2525475,2.3123691
45,-12,-7.165620491150472,20.260171287536480,-12.8718948,-0.0030579,23.1404953,-0.6154239,-0.3626936,4.0000000,0.5013316,1.0896798,23.4132328,-1.2267188,2.2090852
46,-12,-7.158163851150471,20.260171287536480,-12.8742075,-0.0007438,29.7520657,-0.5692471,-0.3548423,5.0000000,0.4769983,1.0908369,23.5547314,-1.1866829,2.0683868
47,-12,-7.150707211150472,20.260171287536480,-12.8764973,0.0014876,36.3636360,-0.5173804,-0.3423689,5.0000000,0.4494767,1.0919851,23.6930389,-1.1342145,1.8983816
48,-12,-7.143250571150471,20.260171287536480,-12.8787651,0.0036364,43.8016510,-0.4618001,-0.3264419,4.0000000,0.4192550,1.0931000,23.8269405,-1.0721389,1.7087650
