OID_,ClipsFinal_DEM_Large_S3_RegO,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-4.399207051150471,20.588263447536477,-13.1343527,-0.0008264,42.1487617,-1.8784330,0.2935808,4.0000000,-0.7662715,1.4806830,47.5473061,1.3534331,18.3359814
2,-13,-4.391750411150471,20.588263447536477,-13.1353951,0.0001653,42.9752083,-1.7564392,0.2482021,4.0000000,-0.8408774,1.4853394,47.7115021,1.3372816,17.7350025
3,-13,-4.384293771150471,20.588263447536477,-13.1362638,0.0009917,43.8016510,-1.6364863,0.2092566,4.0000000,-0.8981191,1.4894427,47.8548508,1.3166323,17.1655617
4,-13,-4.376837131150471,20.588263447536477,-13.1369524,0.0015702,44.6280975,-1.5193352,0.1773693,4.0000000,-0.9367488,1.4930999,47.9801979,1.2914875,16.5597897
5,-13,-4.369380491150471,20.588263447536477,-13.1374569,0.0020661,45.4545441,-1.4091420,0.1536264,4.0000000,-0.9573781,1.4964062,48.0940094,1.2646309,15.9032536
6,-13,-4.361923851150471,20.588263447536477,-13.1377773,0.0024793,45.4545441,-1.3093264,0.1387079,4.0000000,-0.9618678,1.4994673,48.1990471,1.2392836,15.1954384
7,-13,-4.354467211150471,20.588263447536477,-13.1379128,0.0026446,45.4545441,-1.2235843,0.1306938,5.0000000,-0.9550522,1.5023850,48.2977791,1.2164398,14.4969816
8,-13,-4.347010571150471,20.588263447536477,-13.1378660,0.0026446,45.4545441,-1.1514710,0.1313188,4.0000000,-0.9372782,1.5052041,48.3925972,1.1999158,13.7892542
9,-13,-4.339553931150471,20.588263447536477,-13.1376400,0.0023967,45.4545441,-1.0921658,0.1397752,4.0000000,-0.9109442,1.5079803,48.4866562,1.1904945,13.0943260
10,-13,-4.414120331150471,20.580806807536479,-13.1397591,0.0047107,48.7603302,-1.6350782,0.1534240,4.0000000,-0.6129584,1.4839942,47.6656036,0.9198065,16.3084354
11,-13,-4.406663691150471,20.580806807536479,-13.1412058,-0.0039669,39.6694221,-1.5032028,0.0914312,4.0000000,-0.7184787,1.4889444,47.8389473,0.9013411,15.8785677
12,-13,-4.399207051150471,20.580806807536479,-13.1424875,-0.0028926,41.3223152,-1.3659083,0.0360342,4.0000000,-0.8051972,1.4931722,47.9849319,0.8772655,15.5008764
13,-13,-4.391750411150471,20.580806807536479,-13.1435947,-0.0018182,42.1487617,-1.2315989,-0.0131634,4.0000000,-0.8741696,1.4967996,48.1090469,0.8478429,15.1696339
14,-13,-4.384293771150471,20.580806807536479,-13.1445198,-0.0009091,42.9752083,-1.1045750,-0.0547133,4.0000000,-0.9250971,1.4999464,48.2160225,0.8156705,14.8278275
15,-13,-4.376837131150471,20.580806807536479,-13.1452570,-0.0002479,43.8016510,-0.9858758,-0.0880661,4.0000000,-0.9574619,1.5027573,48.3113670,0.7813297,14.4030123
16,-13,-4.369380491150471,20.580806807536479,-13.1458035,0.0002479,44.6280975,-0.8809882,-0.1123096,4.0000000,-0.9725671,1.5053616,48.3985939,0.7479479,13.8915014
17,-13,-4.361923851150471,20.580806807536479,-13.1461582,0.0006612,45.4545441,-0.7912680,-0.1274926,4.0000000,-0.9729797,1.5078645,48.4825363,0.7179945,13.2949495
18,-13,-4.354467211150471,20.580806807536479,-13.1463242,0.0008264,45.4545441,-0.7187910,-0.1339113,5.0000000,-0.9617227,1.5103515,48.5655174,0.6939002,12.6484976
19,-13,-4.347010571150471,20.580806807536479,-13.1463032,0.0008264,45.4545441,-0.6611385,-0.1324677,4.0000000,-0.9407409,1.5128986,48.6502914,0.6758055,11.9567089
20,-13,-4.339553931150471,20.580806807536479,-13.1461000,0.0005785,45.4545441,-0.6181832,-0.1230676,4.0000000,-0.9126496,1.5155458,48.7375450,0.6665145,11.2482882
21,-13,-4.332097291150471,20.580806807536479,-13.1457195,0.0001653,44.6280975,-0.5896885,-0.1070333,4.0000000,-0.8809543,1.5182924,48.8291054,0.6668878,10.5848894
22,-13,-4.324640651150471,20.580806807536479,-13.1451683,-0.0003306,43.8016510,-0.5738451,-0.0857164,4.0000000,-0.8480751,1.5211407,48.9233017,0.6766422,9.9977312
23,-13,-4.317184011150471,20.580806807536479,-13.1444502,-0.0009091,42.9752083,-0.5676537,-0.0596876,4.0000000,-0.8140146,1.5240914,49.0197258,0.6946394,9.4757128
24,-13,-4.309727371150471,20.580806807536479,-13.1435719,-0.0017355,42.1487617,-0.5710408,-0.0292650,4.0000000,-0.7798820,1.5270860,49.1177750,0.7213521,9.0440598
25,-13,-4.302270731150471,20.580806807536479,-13.1425381,-0.0027273,41.3223152,-0.5824336,0.0031562,4.0000000,-0.7470829,1.5300570,49.2153816,0.7533954,8.7297916
26,-13,-4.294814091150471,20.580806807536479,-13.1413536,-0.0038843,40.4958687,-0.6013225,0.0366641,4.0000000,-0.7154264,1.5329468,49.3090210,0.7887547,8.5373087
27,-13,-4.287357451150471,20.580806807536479,-13.1400223,-0.0052066,38.8429756,-0.6271113,0.0701069,4.0000000,-0.6842014,1.5356599,49.3971405,0.8244153,8.4682541
28,-13,-4.279900811150471,20.580806807536479,-13.1385469,0.0033058,47.9338837,-0.6598518,0.1021263,4.0000000,-0.6525053,1.5380942,49.4760399,0.8567579,8.5272770
29,-13,-4.429033611150471,20.573350167536478,-13.1443386,-0.0007438,42.9752083,-1.4300076,0.0531441,4.0000000,-0.4161434,1.4847773,47.6950798,0.5224316,14.2815571
30,-13,-4.421576971150471,20.573350167536478,-13.1461697,0.0009917,45.4545441,-1.2911437,-0.0258284,4.0000000,-0.5509285,1.4903351,47.8887024,0.4992716,13.9427500
31,-13,-4.414120331150471,20.573350167536478,-13.1478529,0.0025620,47.1074371,-1.1426694,-0.0982064,4.0000000,-0.6692050,1.4948815,48.0452843,0.4727922,13.7884512
32,-13,-4.406663691150471,20.573350167536478,-13.1493731,0.0039669,48.7603302,-0.9905912,-0.1634213,4.0000000,-0.7685772,1.4985750,48.1717758,0.4417346,13.7362309
33,-13,-4.399207051150471,20.573350167536478,-13.1507196,-0.0048760,39.6694221,-0.8401297,-0.2215619,4.0000000,-0.8491079,1.5015954,48.2738724,0.4059840,13.7150993
34,-13,-4.391750411150471,20.573350167536478,-13.1518831,-0.0038017,41.3223152,-0.6979117,-0.2724181,4.0000000,-0.9118490,1.5040867,48.3575554,0.3670129,13.6911383
35,-13,-4.384293771150471,20.573350167536478,-13.1528559,-0.0028926,42.1487617,-0.5674204,-0.3155532,4.0000000,-0.9562725,1.5062131,48.4285851,0.3251661,13.5989695
