OID_,ClipsFinal_DEM_Large_S3_RegD,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-5.458049931150471,20.685199767536478,-13.1292810,0.0038017,47.1074371,-0.5397894,-0.5280620,4.0000000,-1.0226560,1.1164788,26.4245567,-0.0334682,3.8141496
2,-13,-5.450593291150471,20.685199767536478,-13.1304111,-0.0049587,23.9669418,-0.4609064,-0.5565983,4.0000000,-1.1344190,1.1154507,26.3170433,0.0212223,3.8351896
3,-13,-5.443136651150471,20.685199767536478,-13.1314363,-0.0040496,26.4462814,-0.3986044,-0.5733279,4.0000000,-1.2199643,1.1142656,26.1937561,0.0733084,3.8118343
4,-13,-5.435680011150471,20.685199767536478,-13.1323528,-0.0031405,28.9256191,-0.3538739,-0.5814205,4.0000000,-1.2826042,1.1129811,26.0581360,0.1197633,3.7625363
5,-13,-5.428223371150471,20.685199767536478,-13.1331625,-0.0023967,30.5785122,-0.3253929,-0.5811344,4.0000000,-1.3224726,1.1116263,25.9125462,0.1602037,3.6813738
6,-13,-5.420766731150471,20.685199767536478,-13.1338663,-0.0018182,32.2314034,-0.3112917,-0.5719326,4.0000000,-1.3384588,1.1102067,25.7612095,0.1945935,3.5584509
7,-13,-5.413310091150471,20.685199767536478,-13.1344652,-0.0012397,33.8842964,-0.3098511,-0.5559080,4.0000000,-1.3339546,1.1087505,25.6045685,0.2221385,3.4100513
8,-13,-5.405853451150471,20.685199767536478,-13.1349630,-0.0008264,34.7107430,-0.3212901,-0.5338491,4.0000000,-1.3124362,1.1072639,25.4428577,0.2447381,3.2505088
9,-13,-5.398396811150471,20.685199767536478,-13.1353626,-0.0004959,35.5371895,-0.3455920,-0.5090472,4.0000000,-1.2810988,1.1057398,25.2756519,0.2630046,3.1123707
10,-13,-5.338743691150472,20.685199767536478,-13.1354761,-0.0002479,35.5371895,-0.7726610,-0.2580222,4.0000000,-0.8262771,1.0920590,23.7034206,0.3102326,2.7424371
11,-13,-5.331287051150472,20.685199767536478,-13.1351538,-0.0004959,34.7107430,-0.8310679,-0.2212737,4.0000000,-0.7584631,1.0902164,23.4800491,0.3159158,2.7563555
12,-13,-5.472963211150471,20.677743127536477,-13.1301861,-0.0052066,22.3140488,-0.4637631,-0.5814254,4.0000000,-0.8456651,1.1197379,26.7608528,-0.3171858,3.8406653
13,-13,-5.465506571150471,20.677743127536477,-13.1315460,-0.0038017,26.4462814,-0.3537081,-0.6259827,4.0000000,-0.9922101,1.1187921,26.6631031,-0.2597553,3.9345336
14,-13,-5.458049931150471,20.677743127536477,-13.1328011,-0.0026446,29.7520657,-0.2593566,-0.6591493,4.0000000,-1.1151634,1.1176589,26.5459576,-0.2031351,3.9954031
15,-13,-5.450593291150471,20.677743127536477,-13.1339464,-0.0014050,33.0578499,-0.1830615,-0.6848842,4.0000000,-1.2189076,1.1163751,26.4125290,-0.1508608,4.0478354
16,-13,-5.443136651150471,20.677743127536477,-13.1349792,-0.0004959,35.5371895,-0.1228460,-0.7006488,4.0000000,-1.2976186,1.1149930,26.2680206,-0.1036789,4.0477161
17,-13,-5.435680011150471,20.677743127536477,-13.1359015,0.0004132,38.0165291,-0.0827427,-0.7061203,4.0000000,-1.3523088,1.1135483,26.1151581,-0.0599318,3.9978039
18,-13,-5.428223371150471,20.677743127536477,-13.1367111,0.0011570,39.6694221,-0.0593381,-0.7036911,4.0000000,-1.3847300,1.1120663,25.9586258,-0.0226523,3.9077740
19,-13,-5.420766731150471,20.677743127536477,-13.1374102,0.0018182,41.3223152,-0.0523620,-0.6921703,4.0000000,-1.3942621,1.1105669,25.7987499,0.0099214,3.7673199
20,-13,-5.413310091150471,20.677743127536477,-13.1380005,0.0023967,42.9752083,-0.0610459,-0.6737061,4.0000000,-1.3852204,1.1090732,25.6384296,0.0378083,3.6017363
21,-13,-5.405853451150471,20.677743127536477,-13.1384869,0.0028099,43.8016510,-0.0829442,-0.6494852,4.0000000,-1.3599254,1.1075823,25.4761810,0.0609549,3.4212322
22,-13,-5.398396811150471,20.677743127536477,-13.1388712,0.0031405,44.6280975,-0.1172721,-0.6218239,4.0000000,-1.3242604,1.1060855,25.3126888,0.0806126,3.2529054
23,-13,-5.390940171150472,20.677743127536477,-13.1391573,0.0033884,45.4545441,-0.1602917,-0.5894483,4.0000000,-1.2751907,1.1045849,25.1471863,0.0962941,3.0784888
24,-13,-5.383483531150471,20.677743127536477,-13.1393499,0.0035537,45.4545441,-0.2108944,-0.5565996,4.0000000,-1.2221130,1.1030718,24.9783249,0.1089139,2.9370778
