OID_,ClipsFinal_DEM_Large_S3_RegI,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-5.569899531150471,22.534446487536478,-12.7605896,-0.0042149,24.7933884,-0.2152748,0.0773292,4.0000000,0.0009042,1.1199493,26.7686024,0.1537542,0.7076475
2,-12,-5.562442891150471,22.534446487536478,-12.7621908,-0.0025620,28.9256191,-0.2154489,0.0675446,4.0000000,-0.0631565,1.1201479,26.7902164,0.1982457,0.6963843
3,-12,-5.554986251150471,22.534446487536478,-12.7637672,-0.0010744,33.0578499,-0.2166657,0.0604791,4.0000000,-0.1244314,1.1201146,26.7872639,0.2453897,0.6923727
4,-12,-5.577356171150471,22.526989847536477,-12.7623596,-0.0023967,29.7520657,-0.2158494,0.0280740,4.0000000,0.0278490,1.1216941,26.9452457,0.0282991,0.6886657
5,-12,-5.569899531150471,22.526989847536477,-12.7640038,-0.0009091,33.8842964,-0.2110211,0.0170374,4.0000000,-0.0387881,1.1220663,26.9839268,0.0728629,0.6699699
6,-12,-5.562442891150471,22.526989847536477,-12.7656202,0.0007438,38.0165291,-0.2092098,0.0070250,4.0000000,-0.1045927,1.1222093,26.9980946,0.1186427,0.6640496
7,-12,-5.554986251150471,22.526989847536477,-12.7672081,0.0022314,42.1487617,-0.2079028,-0.0013191,4.0000000,-0.1683013,1.1221145,26.9885883,0.1656632,0.6621614
8,-12,-5.547529611150471,22.526989847536477,-12.7687645,0.0038017,46.2809906,-0.2090989,-0.0058945,4.0000000,-0.2280095,1.1217984,26.9567547,0.2162205,0.6688100
9,-12,-5.540072971150471,22.526989847536477,-12.7702875,-0.0046281,23.9669418,-0.2132855,-0.0103870,4.0000000,-0.2859879,1.1212556,26.9022636,0.2652139,0.6856722
10,-12,-5.532616331150471,22.526989847536477,-12.7717743,-0.0030579,28.0991745,-0.2213371,-0.0133799,4.0000000,-0.3417494,1.1204761,26.8238297,0.3149897,0.7143499
11,-12,-5.525159691150471,22.526989847536477,-12.7732258,-0.0017355,31.4049587,-0.2323823,-0.0148537,4.0000000,-0.3922103,1.1194960,26.7237549,0.3625029,0.7511423
12,-12,-5.517703051150471,22.526989847536477,-12.7746391,-0.0002479,35.5371895,-0.2474869,-0.0152485,4.0000000,-0.4391794,1.1183113,26.6028194,0.4086824,0.7991635
13,-12,-5.510246411150471,22.526989847536477,-12.7760134,0.0009091,38.8429756,-0.2663012,-0.0151963,4.0000000,-0.4829733,1.1169307,26.4608307,0.4525806,0.8572655
14,-12,-5.502789771150471,22.526989847536477,-12.7773495,0.0023967,42.9752083,-0.2894839,-0.0154376,4.0000000,-0.5247856,1.1153657,26.2980671,0.4939105,0.9277650
15,-12,-5.584812811150471,22.519533207536480,-12.7640934,-0.0009091,33.8842964,-0.2151865,-0.0140426,4.0000000,0.0623660,1.1230530,27.0807037,-0.0904512,0.6849855
16,-12,-5.577356171150471,22.519533207536480,-12.7657824,0.0009091,38.8429756,-0.2081482,-0.0305622,4.0000000,-0.0080394,1.1236000,27.1364479,-0.0530851,0.6687821
