OID_,ClipsFinal_DEM_Large_S3_RegL1,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-2.833312651150471,19.969362327536480,-12.9514809,-0.0033884,15.7024794,-0.0100753,-0.0972579,4.0000000,0.0420364,1.0472256,17.2847004,-0.2365523,0.0640231
2,-12,-2.825856011150471,19.969362327536480,-12.9513187,-0.0036364,14.8760328,-0.0029188,-0.1324071,4.0000000,0.0042361,1.0471183,17.2657337,-0.2690502,0.0836834
3,-12,-2.818399371150471,19.969362327536480,-12.9511576,-0.0038017,14.0495872,0.0052887,-0.1679915,4.0000000,-0.0348363,1.0469429,17.2357121,-0.3011467,0.1135199
4,-12,-2.810942731150471,19.969362327536480,-12.9509926,-0.0039669,13.2231407,0.0137395,-0.2020553,4.0000000,-0.0723855,1.0467066,17.1934910,-0.3317252,0.1521387
5,-12,-2.803486091150471,19.969362327536480,-12.9508219,-0.0042149,12.3966942,0.0202890,-0.2323761,4.0000000,-0.1011464,1.0464120,17.1417580,-0.3636058,0.1977734
6,-12,-2.796029451150471,19.969362327536480,-12.9506435,-0.0044628,11.5702477,0.0247521,-0.2581709,4.0000000,-0.1228155,1.0460639,17.0795307,-0.3935264,0.2457356
7,-12,-2.848225931150471,19.961905687536483,-12.9541216,-0.0007438,26.4462814,-0.0289723,-0.1135724,4.0000000,0.0889391,1.0466912,17.1912003,-0.3160838,0.1219434
8,-12,-2.840769291150471,19.961905687536483,-12.9539528,-0.0009091,25.6198349,-0.0189685,-0.1491173,4.0000000,0.0538669,1.0466398,17.1816597,-0.3521015,0.1396487
9,-12,-2.833312651150471,19.961905687536483,-12.9537868,-0.0010744,24.7933884,-0.0083119,-0.1835190,4.0000000,0.0190022,1.0465260,17.1610050,-0.3860402,0.1660558
10,-12,-2.825856011150471,19.961905687536483,-12.9536219,-0.0012397,23.9669418,0.0045874,-0.2205775,4.0000000,-0.0196897,1.0463542,17.1307869,-0.4214653,0.2039174
11,-12,-2.818399371150471,19.961905687536483,-12.9534550,-0.0013223,23.1404953,0.0191905,-0.2576254,4.0000000,-0.0595746,1.0461204,17.0893688,-0.4556763,0.2509829
12,-12,-2.810942731150471,19.961905687536483,-12.9532833,-0.0014050,22.3140488,0.0327393,-0.2916710,4.0000000,-0.0948194,1.0458308,17.0373573,-0.4885227,0.3053406
13,-12,-2.803486091150471,19.961905687536483,-12.9531040,-0.0015702,21.4876041,0.0431433,-0.3208019,4.0000000,-0.1213021,1.0454895,16.9749603,-0.5203017,0.3628923
14,-12,-2.796029451150471,19.961905687536483,-12.9529152,-0.0017355,20.6611576,0.0518989,-0.3478726,4.0000000,-0.1430029,1.0450919,16.9035950,-0.5527423,0.4251740
15,-12,-2.788572811150471,19.961905687536483,-12.9527159,-0.0019835,19.0082645,0.0573571,-0.3701769,4.0000000,-0.1575250,1.0446393,16.8230667,-0.5828287,0.4850851
