OID_,ClipsFinal_DEM_Large_S3_RegC,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-5.018108171150472,18.500404247536480,-13.2885475,0.0030579,43.8016510,-0.2802981,-0.7606043,4.0000000,-1.3494235,1.0701046,20.8773422,-0.1717850,4.1145425
2,-13,-5.010651531150472,18.500404247536480,-13.2887297,0.0032231,44.6280975,-0.1424904,-0.7906073,4.0000000,-1.4612393,1.0714784,21.0689735,-0.1199753,4.0887928
3,-13,-5.003194891150472,18.500404247536480,-13.2888088,0.0033884,45.4545441,-0.0229044,-0.8176823,5.0000000,-1.5440731,1.0727105,21.2401466,-0.0912915,4.0799947
4,-13,-4.995738251150472,18.500404247536480,-13.2887812,0.0033058,44.6280975,0.0771136,-0.8394120,4.0000000,-1.5927588,1.0738230,21.3930054,-0.0860653,4.0614467
5,-13,-4.988281611150472,18.500404247536480,-13.2886448,0.0032231,43.8016510,0.1563533,-0.8545874,4.0000000,-1.6069213,1.0748379,21.5304470,-0.1022534,4.0187058
6,-13,-4.980824971150472,18.500404247536480,-13.2883978,0.0029752,42.9752083,0.2134123,-0.8607243,4.0000000,-1.5848216,1.0757661,21.6547642,-0.1366270,3.9264843
7,-13,-4.973368331150472,18.500404247536480,-13.2880411,0.0026446,42.1487617,0.2470485,-0.8565627,4.0000000,-1.5290859,1.0766151,21.7687111,-0.1840396,3.7762127
8,-13,-4.965911691150472,18.500404247536480,-13.2875757,0.0020661,40.4958687,0.2601064,-0.8415097,4.0000000,-1.4432083,1.0773937,21.8706684,-0.2398112,3.5592179
9,-13,-4.958455051150472,18.500404247536480,-13.2870054,0.0014050,38.8429756,0.2547101,-0.8168894,4.0000000,-1.3364108,1.0780965,21.9635468,-0.2973680,3.2954087
10,-13,-5.047934731150472,18.492947607536482,-13.2895098,0.0038017,46.2809906,-0.6897180,-0.8013899,4.0000000,-0.7295843,1.0632592,19.8829956,-0.8731955,5.0250058
11,-13,-5.040478091150472,18.492947607536482,-13.2901163,-0.0055372,13.2231407,-0.4687366,-0.8321881,4.0000000,-0.9275444,1.0651481,20.1650543,-0.7368319,4.8414307
12,-13,-5.033021451150472,18.492947607536482,-13.2906332,-0.0049587,15.7024794,-0.2543342,-0.8673922,4.0000000,-1.1164651,1.0668613,20.4154835,-0.6183193,4.7239890
13,-13,-5.025564811150472,18.492947607536482,-13.2910557,-0.0044628,18.1818180,-0.0531822,-0.9031844,4.0000000,-1.2871122,1.0684097,20.6389523,-0.5192566,4.6558933
14,-13,-5.018108171150472,18.492947607536482,-13.2913790,-0.0042149,19.8347111,0.1301474,-0.9388775,4.0000000,-1.4363631,1.0697930,20.8349571,-0.4413919,4.6394010
15,-13,-5.010651531150472,18.492947607536482,-13.2915955,-0.0040496,20.6611576,0.2940497,-0.9712421,4.0000000,-1.5537337,1.0710251,21.0092258,-0.3887506,4.6372771
16,-13,-5.003194891150472,18.492947607536482,-13.2917023,-0.0038843,21.4876041,0.4355925,-0.9997291,5.0000000,-1.6372168,1.0721346,21.1625099,-0.3622414,4.6425266
17,-13,-4.995738251150472,18.492947607536482,-13.2916956,-0.0039669,21.4876041,0.5492700,-1.0216881,4.0000000,-1.6837040,1.0731419,21.3006248,-0.3596722,4.6327133
18,-13,-4.988281611150472,18.492947607536482,-13.2915735,-0.0040496,21.4876041,0.6352183,-1.0361358,4.0000000,-1.6928738,1.0740635,21.4256439,-0.3793976,4.5889459
19,-13,-4.980824971150472,18.492947607536482,-13.2913361,-0.0042975,20.6611576,0.6902710,-1.0406189,4.0000000,-1.6647588,1.0749211,21.5419521,-0.4164790,4.4881234
