OID_,ClipsFinal_DEM_Large_S3_RegK,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-3.593889931150471,18.612253847536479,-12.9958172,0.0010744,25.6198349,-0.7204373,-0.1142661,4.0000000,-0.6743397,1.0239486,12.4308834,0.4458075,1.6558920
2,-12,-3.586433291150471,18.612253847536479,-12.9962282,0.0014876,27.2727280,-0.8594937,-0.1541712,4.0000000,-0.7885684,1.0223926,12.0271568,0.4802259,2.0023885
3,-12,-3.578976651150471,18.612253847536479,-12.9966154,0.0019008,28.9256191,-0.9975631,-0.1848295,4.0000000,-0.8795571,1.0207545,11.5849886,0.5098982,2.3386250
4,-12,-3.571520011150471,18.612253847536479,-12.9969759,0.0023140,30.5785122,-1.1358919,-0.2069737,4.0000000,-0.9501617,1.0190712,11.1086645,0.5362143,2.6611772
5,-12,-3.564063371150471,18.612253847536479,-12.9973059,0.0027273,32.2314034,-1.2698890,-0.2227545,4.0000000,-1.0044984,1.0173622,10.6048059,0.5589894,2.9601619
6,-12,-3.556606731150471,18.612253847536479,-12.9976025,0.0029752,33.0578499,-1.3954817,-0.2304424,4.0000000,-1.0357736,1.0156593,10.0766277,0.5748887,3.2213504
7,-12,-3.549150091150471,18.612253847536479,-12.9978628,0.0032231,33.8842964,-1.5130571,-0.2300479,4.0000000,-1.0463258,1.0139967,9.5287342,0.5862301,3.4454861
8,-12,-3.541693451150471,18.612253847536479,-12.9980869,0.0033884,34.7107430,-1.6153617,-0.2209373,4.0000000,-1.0333539,1.0123891,8.9675980,0.5914792,3.6177342
9,-12,-3.534236811150471,18.612253847536479,-12.9982729,0.0035537,35.5371895,-1.7056800,-0.2088912,4.0000000,-1.0062134,1.0108578,8.3983107,0.5884311,3.7592566
10,-12,-3.526780171150471,18.612253847536479,-12.9984217,0.0035537,35.5371895,-1.7798042,-0.1912238,4.0000000,-0.9580556,1.0094213,7.8231816,0.5756079,3.8587248
11,-12,-3.519323531150471,18.612253847536479,-12.9985323,0.0034711,34.7107430,-1.8461857,-0.1721236,4.0000000,-0.8977825,1.0080862,7.2485523,0.5535353,3.9436026
12,-12,-3.601346571150471,18.604797207536482,-12.9970245,0.0022314,33.0578499,-0.5341219,-0.1970234,4.0000000,-0.5919920,1.0249655,12.6897297,0.1979452,1.3682609
13,-12,-3.593889931150471,18.604797207536482,-12.9974060,0.0026446,34.7107430,-0.6443794,-0.2410876,4.0000000,-0.7107454,1.0235280,12.3249083,0.2285701,1.6938220
14,-12,-3.586433291150471,18.604797207536482,-12.9977655,0.0029752,36.3636360,-0.7623088,-0.2763920,4.0000000,-0.8087169,1.0219858,11.9188108,0.2559328,2.0256464
15,-12,-3.578976651150471,18.604797207536482,-12.9980974,0.0033058,38.0165291,-0.8828381,-0.3023520,4.0000000,-0.8833288,1.0203773,11.4799404,0.2786247,2.3423390
16,-12,-3.571520011150471,18.604797207536482,-12.9983997,0.0036364,39.6694221,-1.0040430,-0.3178508,4.0000000,-0.9334159,1.0187302,11.0111046,0.2977142,2.6303720
17,-12,-3.564063371150471,18.604797207536482,-12.9986677,0.0039669,41.3223152,-1.1201650,-0.3285488,4.0000000,-0.9676194,1.0170721,10.5177794,0.3105217,2.8905940
18,-12,-3.556606731150471,18.604797207536482,-12.9988995,0.0041322,42.1487617,-1.2324944,-0.3291476,4.0000000,-0.9762543,1.0154362,10.0045233,0.3179590,3.1098306
