OID_,ClipsFinal_DEM_Large_S3_RegL2,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-3.288167691150471,19.059652247536480,-13.0041695,-0.0009917,13.2231407,-3.8531644,-0.2943463,3.0000000,-1.9960164,1.0279207,13.3876209,1.4073237,9.1244946
2,-13,-3.280711051150471,19.059652247536480,-13.0053558,0.0000826,17.3553715,-3.8804185,-0.4084857,3.0000000,-2.1131308,1.0239543,12.4153919,1.2961596,9.4175406
3,-13,-3.273254411150471,19.059652247536480,-13.0064507,0.0010744,22.3140488,-3.8176169,-0.5101497,3.0000000,-2.2080166,1.0201770,11.4052715,1.1877172,9.5519171
4,-13,-3.295624331150471,19.052195607536479,-13.0042973,-0.0008264,15.7024794,-3.5826278,-0.3316238,4.0000000,-2.1539404,1.0307224,14.0316763,1.4906930,8.7644577
5,-13,-3.288167691150471,19.052195607536479,-13.0054674,0.0002479,19.8347111,-3.6787517,-0.4403323,4.0000000,-2.2902033,1.0266396,13.0814018,1.4095387,9.2365904
6,-13,-3.280711051150471,19.052195607536479,-13.0065527,0.0012397,24.7933884,-3.6891091,-0.5365490,4.0000000,-2.3999624,1.0226918,12.0857019,1.3268645,9.5342484
7,-13,-3.273254411150471,19.052195607536479,-13.0075464,0.0022314,30.5785122,-3.6186407,-0.6186949,4.0000000,-2.4818506,1.0189741,11.0612545,1.2444608,9.6437006
8,-13,-3.265797771150471,19.052195607536479,-13.0084438,0.0032231,37.1900826,-3.4783721,-0.6883726,4.0000000,-2.5407100,1.0155351,10.0144653,1.1639649,9.5833330
9,-13,-3.258341131150471,19.052195607536479,-13.0092402,0.0041322,43.8016510,-3.2844148,-0.7372196,4.0000000,-2.5707695,1.0124351,8.9624672,1.0963304,9.3251600
10,-13,-3.250884491150471,19.052195607536479,-13.0099335,0.0051240,52.0661163,-3.0438495,-0.7698647,4.0000000,-2.5757689,1.0097173,7.9226890,1.0360395,8.9015932
11,-13,-3.243427851150471,19.052195607536479,-13.0105228,-0.0040496,0.0000000,-2.7821500,-0.7851814,4.0000000,-2.5574141,1.0073925,6.9062953,0.9870511,8.3519850
12,-13,-3.235971211150471,19.052195607536479,-13.0110111,-0.0033884,0.0000000,-2.5110343,-0.7836667,4.0000000,-2.5134127,1.0054568,5.9254770,0.9460793,7.7003717
13,-13,-3.228514571150471,19.052195607536479,-13.0113993,-0.0027273,0.0000000,-2.2392178,-0.7652009,4.0000000,-2.4364488,1.0038954,4.9979305,0.9060470,6.9650607
