OID_,ClipsFinal_DEM_Large_S3_RegR,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-4.518513291150471,20.125951767536478,-13.2531672,-0.0011570,0.0000000,0.0777053,-0.5575590,4.0000000,-0.2733321,1.0036761,4.9093595,-0.8417858,1.0994850
2,-13,-4.511056651150471,20.125951767536478,-13.2537804,-0.0002479,0.0000000,0.0911540,-0.6363991,4.0000000,-0.2204393,1.0030705,4.4840813,-1.0523590,1.4488953
3,-13,-4.503600011150471,20.125951767536478,-13.2543335,0.0000000,0.0000000,0.0823350,-0.7050496,4.0000000,-0.1607873,1.0024295,3.9862444,-1.2493119,1.8339758
4,-13,-4.496143371150471,20.125951767536478,-13.2548161,0.0000000,0.0000000,0.0451222,-0.7597808,4.0000000,-0.0898052,1.0018020,3.4255795,-1.4297564,2.2274303
5,-13,-4.488686731150471,20.125951767536478,-13.2552214,0.0000000,0.0000000,-0.0277389,-0.7946390,4.0000000,-0.0054078,1.0012296,2.8154614,-1.5838702,2.5877013
6,-13,-4.481230091150471,20.125951767536478,-13.2555418,0.0000000,0.0000000,-0.1379547,-0.8041454,4.0000000,0.0816336,1.0007550,2.1868498,-1.6899244,2.8667023
7,-13,-4.473773451150471,20.125951767536478,-13.2557726,0.0000000,0.0000000,-0.2806743,-0.7877350,4.0000000,0.0800888,1.0004189,1.5972340,-1.6555587,3.0460608
8,-13,-4.466316811150471,20.125951767536478,-13.2559128,0.0000000,0.0000000,-0.4609355,-0.7409624,5.0000000,-0.4253105,1.0002449,1.1796566,-1.0566143,3.1202199
9,-13,-4.525969931150471,20.118495127536480,-13.2525482,-0.0019835,0.0000000,0.0900259,-0.4906760,4.0000000,-0.3400954,1.0039541,5.0925484,-0.6412566,0.7931278
10,-13,-4.518513291150471,20.118495127536480,-13.2531910,-0.0010744,0.0000000,0.1315260,-0.5764646,4.0000000,-0.2972355,1.0034491,4.7580233,-0.8556936,1.0765306
11,-13,-4.511056651150471,20.118495127536480,-13.2537851,-0.0001653,0.0000000,0.1622408,-0.6596875,5.0000000,-0.2519913,1.0028725,4.3386040,-1.0673836,1.4263939
12,-13,-4.503600011150471,20.118495127536480,-13.2543192,0.0000000,0.0000000,0.1729759,-0.7334632,4.0000000,-0.2013094,1.0022608,3.8454051,-1.2656170,1.8151917
