OID_,ClipsFinal_DEM_Large_S3_RegS2,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-2.378457611150471,21.796239127536481,-12.7550249,0.0000000,22.3140488,-0.3504013,-0.0900747,4.0000000,0.2728375,1.0248957,12.6534748,-0.4529870,0.8023121
2,-12,-2.371000971150471,21.796239127536481,-12.7533607,-0.0018182,13.2231407,-0.3185867,-0.0822340,4.0000000,0.2661707,1.0259767,12.9210482,-0.4306388,0.7298397
3,-12,-2.363544331150471,21.796239127536481,-12.7516632,-0.0036364,4.1322312,-0.2863065,-0.0671424,4.0000000,0.2649462,1.0270237,13.1750383,-0.3992309,0.6522178
4,-12,-2.356087691150471,21.796239127536481,-12.7499352,0.0047934,50.4132233,-0.2526552,-0.0458981,4.0000000,0.2647984,1.0280080,13.4081841,-0.3565946,0.5705980
5,-12,-2.348631051150471,21.796239127536481,-12.7481785,0.0032231,41.3223152,-0.2201513,-0.0211746,4.0000000,0.2671409,1.0289103,13.6177082,-0.3094901,0.4942516
6,-12,-2.385914251150471,21.788782487536480,-12.7569466,0.0021488,33.0578499,-0.3648853,-0.1222662,4.0000000,0.2395695,1.0233629,12.2650976,-0.4841019,0.8573381
7,-12,-2.378457611150471,21.788782487536480,-12.7553358,0.0003306,23.9669418,-0.3325759,-0.1192715,4.0000000,0.2285150,1.0244937,12.5541792,-0.4670581,0.7869415
8,-12,-2.371000971150471,21.788782487536480,-12.7536898,-0.0014876,14.8760328,-0.2995410,-0.1127035,4.0000000,0.2186727,1.0256133,12.8311443,-0.4440796,0.7110521
9,-12,-2.363544331150471,21.788782487536480,-12.7520084,-0.0033058,5.7851238,-0.2673084,-0.0990964,4.0000000,0.2136931,1.0266902,13.0956078,-0.4118858,0.6307591
10,-12,-2.356087691150471,21.788782487536480,-12.7502956,-0.0048760,0.8264463,-0.2350063,-0.0791349,4.0000000,0.2113564,1.0277103,13.3380737,-0.3696263,0.5469733
11,-12,-2.348631051150471,21.788782487536480,-12.7485523,0.0035537,42.9752083,-0.2040284,-0.0538235,4.0000000,0.2126912,1.0286463,13.5569086,-0.3203382,0.4664942
12,-12,-2.341174411150471,21.788782487536480,-12.7467842,0.0018182,33.8842964,-0.1726167,-0.0228792,4.0000000,0.2156188,1.0294836,13.7515955,-0.2613772,0.3889684
13,-12,-2.930248971150471,21.781325847536483,-12.7923069,-0.0025620,0.0000000,-0.0289168,-0.4410605,4.0000000,-0.9128256,1.0089647,7.6415434,0.0307047,0.8818644
14,-12,-2.922792331150471,21.781325847536483,-12.7929506,-0.0019835,0.0000000,-0.0454240,-0.4768817,4.0000000,-0.9948868,1.0082251,7.3199153,0.0411235,1.0506516
15,-12,-2.915335691150471,21.781325847536483,-12.7935600,-0.0014876,0.0000000,-0.0698632,-0.5081195,4.0000000,-1.0723099,1.0074409,6.9624162,0.0560707,1.2253144
16,-12,-2.393370891150471,21.781325847536483,-12.7588167,0.0040496,43.8016510,-0.3735030,-0.1459683,4.0000000,0.2144718,1.0218024,11.8545980,-0.5064083,0.8975976
