OID_,ClipsFinal_DEM_Large_S3_RegS1,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-2.631983371150471,22.176527767536477,-12.7796354,0.0035537,35.5371895,-0.3857945,-0.0892354,4.0000000,-0.0603198,1.0013351,2.9590101,-0.1181510,0.8077123
2,-12,-2.624526731150472,22.176527767536477,-12.7798967,0.0042149,42.1487617,-0.3900947,-0.1160128,4.0000000,-0.2148237,1.0011343,2.7269595,-0.0172019,0.8379183
3,-12,-2.617070091150472,22.176527767536477,-12.7801161,-0.0050413,0.0000000,-0.3924985,-0.1403963,4.0000000,-0.3806967,1.0009501,2.4945986,0.0999041,0.8673810
4,-12,-2.609613451150472,22.176527767536477,-12.7802925,-0.0044628,0.0000000,-0.3958678,-0.1604247,4.0000000,-0.5516849,1.0007869,2.2677357,0.2308354,0.8978834
5,-12,-2.602156811150472,22.176527767536477,-12.7804241,-0.0039669,0.0000000,-0.3981682,-0.1765820,4.0000000,-0.7105221,1.0006487,2.0584326,0.3573581,0.9239310
6,-12,-2.594700171150472,22.176527767536477,-12.7805099,-0.0036364,0.0000000,-0.3967871,-0.1893514,4.0000000,-0.8252502,1.0005412,1.8773963,0.4465474,0.9395235
7,-12,-2.587243531150472,22.176527767536477,-12.7805490,-0.0034711,0.0000000,-0.3938932,-0.1977451,5.0000000,-0.8475849,1.0004668,1.7400429,0.4520946,0.9464180
8,-12,-2.579786891150472,22.176527767536477,-12.7805433,-0.0035537,0.0000000,-0.3917711,-0.2029769,4.0000000,-0.7397124,1.0004259,1.6606947,0.3337585,0.9503027
9,-12,-2.572330251150472,22.176527767536477,-12.7804909,-0.0038843,0.0000000,-0.3883131,-0.2043068,4.0000000,-0.4987983,1.0004200,1.6493098,0.0901846,0.9453565
10,-12,-2.646896651150471,22.169071127536480,-12.7792711,0.0029752,29.7520657,-0.3771288,-0.0557084,4.0000000,0.1003523,1.0019327,3.5630903,-0.2117690,0.7724928
