OID_,ClipsFinal_DEM_Large_S3_RegQ2,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-6.017297931150472,22.676122647536477,-12.6109781,-0.0040496,23.1404953,-0.0176836,-0.0458633,4.0000000,-0.0775643,1.0992011,24.5339680,-0.0141623,0.0657036
2,-12,-6.009841291150472,22.676122647536477,-12.6125565,-0.0023967,28.0991745,-0.0157084,-0.0440250,4.0000000,-0.0976384,1.0990101,24.5121765,0.0095885,0.0600203
3,-12,-6.002384651150472,22.676122647536477,-12.6141224,-0.0008264,33.0578499,-0.0147385,-0.0415726,4.0000000,-0.1195583,1.0987247,24.4809036,0.0364132,0.0570306
4,-12,-5.994928011150472,22.676122647536477,-12.6156759,0.0006612,38.0165291,-0.0153759,-0.0364968,4.0000000,-0.1391396,1.0983481,24.4371338,0.0661460,0.0572463
5,-12,-6.024754571150472,22.668666007536480,-12.6123981,-0.0025620,27.2727280,-0.0138113,-0.0742946,4.0000000,-0.0778232,1.0996567,24.5862885,-0.0707660,0.0732761
6,-12,-6.017297931150472,22.668666007536480,-12.6139927,-0.0009917,32.2314034,-0.0108486,-0.0799356,4.0000000,-0.1051246,1.0994992,24.5679741,-0.0547466,0.0716912
7,-12,-6.009841291150472,22.668666007536480,-12.6155739,0.0005785,37.1900826,-0.0085010,-0.0814589,4.0000000,-0.1294629,1.0992442,24.5403385,-0.0334549,0.0684118
8,-12,-6.002384651150472,22.668666007536480,-12.6171398,0.0020661,42.1487617,-0.0074134,-0.0810376,4.0000000,-0.1536078,1.0989010,24.5006695,-0.0084673,0.0670686
9,-12,-5.994928011150472,22.668666007536480,-12.6186924,0.0036364,47.1074371,-0.0079498,-0.0786938,4.0000000,-0.1752217,1.0984613,24.4501343,0.0178341,0.0683876
10,-12,-5.987471371150472,22.668666007536480,-12.6202307,-0.0047934,20.6611576,-0.0111208,-0.0730780,4.0000000,-0.1944171,1.0979187,24.3883877,0.0482611,0.0740852
11,-12,-6.032211211150472,22.661209367536479,-12.6137981,-0.0011570,31.4049587,-0.0105842,-0.0895886,4.0000000,-0.0695706,1.0999769,24.6226521,-0.1096067,0.0764386
12,-12,-6.024754571150472,22.661209367536479,-12.6154118,0.0004132,36.3636360,-0.0069523,-0.1013281,4.0000000,-0.1022658,1.0998641,24.6086216,-0.1003905,0.0811117
13,-12,-6.017297931150472,22.661209367536479,-12.6170101,0.0019008,41.3223152,-0.0034998,-0.1093657,4.0000000,-0.1323414,1.0996532,24.5849514,-0.0863900,0.0836783
14,-12,-6.009841291150472,22.661209367536479,-12.6185932,0.0035537,46.2809906,-0.0003739,-0.1154162,4.0000000,-0.1626972,1.0993339,24.5498619,-0.0681351,0.0858277
15,-12,-6.002384651150472,22.661209367536479,-12.6201601,-0.0048760,20.6611576,0.0011791,-0.1180512,4.0000000,-0.1900461,1.0989182,24.5023098,-0.0460563,0.0882812
16,-12,-5.994928011150472,22.661209367536479,-12.6217108,-0.0033058,24.7933884,0.0006164,-0.1167723,4.0000000,-0.2127655,1.0983948,24.4421673,-0.0207791,0.0911172
17,-12,-5.987471371150472,22.661209367536479,-12.6232443,-0.0017355,29.7520657,-0.0024268,-0.1139446,4.0000000,-0.2337597,1.0977787,24.3720665,0.0058705,0.0987714
18,-12,-5.980014731150472,22.661209367536479,-12.6247635,-0.0002479,33.8842964,-0.0084513,-0.1069621,4.0000000,-0.2480007,1.0970730,24.2891808,0.0340765,0.1086543
19,-12,-6.039667851150472,22.653752727536478,-12.6151743,0.0001653,35.5371895,-0.0086131,-0.0913644,4.0000000,-0.0523602,1.1002119,24.6473961,-0.1303687,0.0706863
20,-12,-6.032211211150472,22.653752727536478,-12.6168070,0.0017355,40.4958687,-0.0046559,-0.1106366,4.0000000,-0.0915382,1.1001458,24.6407261,-0.1297350,0.0836715
21,-12,-6.024754571150472,22.653752727536478,-12.6184254,0.0033884,45.4545441,-0.0003026,-0.1249615,4.0000000,-0.1272710,1.0999743,24.6219063,-0.1226520,0.0934996
22,-12,-6.017297931150472,22.653752727536478,-12.6200285,-0.0050413,20.6611576,0.0042507,-0.1365694,4.0000000,-0.1617929,1.0996954,24.5909576,-0.1113458,0.1015711
23,-12,-6.009841291150472,22.653752727536478,-12.6216125,-0.0033884,24.7933884,0.0079956,-0.1450076,4.0000000,-0.1953360,1.0993142,24.5465622,-0.0946792,0.1088626
24,-12,-6.002384651150472,22.653752727536478,-12.6231794,-0.0018182,29.7520657,0.0101326,-0.1504454,4.0000000,-0.2263605,1.0988113,24.4893284,-0.0745303,0.1165632
25,-12,-5.994928011150472,22.653752727536478,-12.6247272,-0.0003306,33.8842964,0.0099617,-0.1520336,4.0000000,-0.2523127,1.0981899,24.4196739,-0.0517545,0.1239471
26,-12,-5.987471371150472,22.653752727536478,-12.6262569,0.0011570,38.8429756,0.0068932,-0.1509761,4.0000000,-0.2744613,1.0974860,24.3370781,-0.0274910,0.1344645
27,-12,-5.980014731150472,22.653752727536478,-12.6277685,0.0026446,42.9752083,0.0000757,-0.1447392,4.0000000,-0.2889487,1.0966821,24.2446785,-0.0005298,0.1455168
28,-12,-5.972558091150472,22.653752727536478,-12.6292629,0.0041322,47.9338837,-0.0093996,-0.1377691,4.0000000,-0.3001531,1.0958067,24.1429157,0.0246149,0.1625593
29,-12,-5.965101451150472,22.653752727536478,-12.6307430,-0.0043802,20.6611576,-0.0219476,-0.1274342,4.0000000,-0.3051493,1.0948750,24.0322475,0.0502809,0.1824488
30,-12,-6.047124491150472,22.646296087536477,-12.6165257,0.0014050,39.6694221,-0.0073841,-0.0852030,4.0000000,-0.0282473,1.1003389,24.6618938,-0.1421588,0.0593112
31,-12,-6.039667851150472,22.646296087536477,-12.6181774,0.0030579,44.6280975,-0.0034585,-0.1086392,4.0000000,-0.0699450,1.1003431,24.6639786,-0.1473334,0.0753294
32,-12,-6.032211211150472,22.646296087536477,-12.6198158,0.0047107,49.5867767,0.0016394,-0.1301970,4.0000000,-0.1128639,1.1002295,24.6506901,-0.1475301,0.0929484
