OID_,ClipsFinal_DEM_Large_S3_RegP,X,Y,DEM_Large_S5_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-4.309727371150472,19.357917847536477,-13.1734056,-0.0017355,27.2727280,-2.1529126,-0.2759661,4.0000000,0.0802177,1.0912862,23.6062984,-0.6321499,6.4505410
2,-13,-4.302270731150472,19.357917847536477,-13.1708241,-0.0042975,20.6611576,-2.2008088,-0.3275217,4.0000000,0.2177812,1.0960382,24.1685238,-0.8728247,6.8017268
3,-13,-4.294814091150472,19.357917847536477,-13.1681223,0.0029752,43.8016510,-2.2502816,-0.3670450,4.0000000,0.3592830,1.1009113,24.7279396,-1.0933731,7.1367445
4,-13,-4.287357451150472,19.357917847536477,-13.1652985,0.0000826,34.7107430,-2.2914867,-0.3914329,4.0000000,0.5020710,1.1058518,25.2787037,-1.2849368,7.4055209
5,-13,-4.279900811150472,19.357917847536477,-13.1623507,-0.0028926,26.4462814,-2.3232296,-0.4009124,4.0000000,0.6421008,1.1108009,25.8136845,-1.4439256,7.5990853
6,-13,-4.272444171150472,19.357917847536477,-13.1592808,0.0039669,47.9338837,-2.3436534,-0.3942381,4.0000000,0.7769952,1.1156667,26.3276539,-1.5654715,7.7092862
7,-13,-4.264987531150472,19.357917847536477,-13.1560917,0.0009091,38.8429756,-2.3518498,-0.3729719,4.0000000,0.9031835,1.1204044,26.8134518,-1.6491272,7.7471418
8,-13,-4.257530891150472,19.357917847536477,-13.1527863,-0.0023967,29.7520657,-2.3383684,-0.3346476,4.0000000,1.0207620,1.1249311,27.2666550,-1.6900572,7.6920171
9,-13,-4.324640651150472,19.350461207536480,-13.1803217,-0.0048760,17.3553715,-1.9281211,-0.2884352,4.0000000,-0.3682044,1.0843873,22.7612877,-0.2086660,5.8176656
10,-13,-4.317184011150472,19.350461207536480,-13.1779737,0.0027273,42.1487617,-1.9649884,-0.3485571,4.0000000,-0.2305803,1.0891682,23.3533878,-0.4665339,6.1817451
11,-13,-4.309727371150472,19.350461207536480,-13.1755075,0.0002479,33.8842964,-2.0168850,-0.4000743,4.0000000,-0.0851732,1.0940986,23.9433613,-0.7149753,6.5803089
12,-13,-4.302270731150472,19.350461207536480,-13.1729183,-0.0023140,26.4462814,-2.0754726,-0.4422894,4.0000000,0.0645739,1.0991664,24.5322285,-0.9491526,6.9773355
13,-13,-4.294814091150472,19.350461207536480,-13.1702023,-0.0050413,19.8347111,-2.1391554,-0.4710087,4.0000000,0.2180703,1.1043618,25.1166973,-1.1600876,7.3404541
14,-13,-4.287357451150472,19.350461207536480,-13.1673565,0.0020661,41.3223152,-2.1944413,-0.4860032,4.0000000,0.3702667,1.1096482,25.6921635,-1.3422730,7.6230288
15,-13,-4.279900811150472,19.350461207536480,-13.1643801,-0.0009917,32.2314034,-2.2411189,-0.4849172,4.0000000,0.5215061,1.1149447,26.2532883,-1.4913405,7.8116684
16,-13,-4.272444171150472,19.350461207536480,-13.1612749,-0.0041322,23.9669418,-2.2743413,-0.4693802,4.0000000,0.6656795,1.1201700,26.7905254,-1.6044399,7.9059672
17,-13,-4.264987531150472,19.350461207536480,-13.1580429,0.0027273,44.6280975,-2.2956977,-0.4390211,4.0000000,0.8031414,1.1252482,27.2992744,-1.6811835,7.9218421
18,-13,-4.257530891150472,19.350461207536480,-13.1546907,-0.0005785,35.5371895,-2.2907176,-0.3920695,4.0000000,0.9307728,1.1301053,27.7749043,-1.7149119,7.8290277
19,-13,-4.250074251150472,19.350461207536480,-13.1512232,-0.0041322,26.4462814,-2.2613783,-0.3295206,4.0000000,1.0481629,1.1346183,28.2038994,-1.7072042,7.6629801
20,-13,-4.339553931150472,19.343004567536479,-13.1868124,0.0015702,37.1900826,-1.7081479,-0.3190514,4.0000000,-0.8292989,1.0765778,21.7523537,0.1911961,5.2782130
21,-13,-4.332097291150472,19.343004567536479,-13.1847057,-0.0004959,29.7520657,-1.6888723,-0.3831937,4.0000000,-0.7026199,1.0813428,22.3760986,-0.0637676,5.5366430
22,-13,-4.324640651150472,19.343004567536479,-13.1824865,-0.0028099,23.1404953,-1.7012955,-0.4427130,4.0000000,-0.5664000,1.0862629,22.9986210,-0.3190259,5.8897657
23,-13,-4.317184011150472,19.343004567536479,-13.1801472,-0.0052066,17.3553715,-1.7410338,-0.4930700,4.0000000,-0.4194821,1.0913578,23.6210365,-0.5666579,6.2959814
24,-13,-4.309727371150472,19.343004567536479,-13.1776819,0.0022314,41.3223152,-1.7966061,-0.5342060,4.0000000,-0.2644396,1.0966212,24.2412281,-0.8039724,6.7122149
25,-13,-4.302270731150472,19.343004567536479,-13.1750860,-0.0002479,33.0578499,-1.8675067,-0.5656310,4.0000000,-0.1053132,1.1020401,24.8588009,-1.0259489,7.1278162
26,-13,-4.294814091150472,19.343004567536479,-13.1723557,-0.0029752,25.6198349,-1.9422133,-0.5848622,4.0000000,0.0563987,1.1075860,25.4724293,-1.2261231,7.4898033
27,-13,-4.287357451150472,19.343004567536479,-13.1694889,0.0041322,47.9338837,-2.0158749,-0.5885656,4.0000000,0.2191646,1.1132271,26.0761700,-1.3962958,7.7618780
28,-13,-4.279900811150472,19.343004567536479,-13.1664848,0.0011570,38.8429756,-2.0814624,-0.5773622,4.0000000,0.3798491,1.1188998,26.6637802,-1.5345737,7.9311929
29,-13,-4.272444171150472,19.343004567536479,-13.1633453,-0.0020661,29.7520657,-2.1346898,-0.5515932,4.0000000,0.5343465,1.1245177,27.2289467,-1.6375329,7.9993634
30,-13,-4.264987531150472,19.343004567536479,-13.1600742,-0.0052066,22.3140488,-2.1737401,-0.5122249,4.0000000,0.6813869,1.1299816,27.7631397,-1.7058368,7.9826264
31,-13,-4.257530891150472,19.343004567536479,-13.1566763,0.0014876,41.3223152,-2.1838231,-0.4561093,4.0000000,0.8190780,1.1352072,28.2613354,-1.7312967,7.8449740
32,-13,-4.250074251150472,19.343004567536479,-13.1531582,-0.0020661,32.2314034,-2.1664569,-0.3858157,4.0000000,0.9458390,1.1400510,28.7130756,-1.7174705,7.6327152
33,-13,-4.242617611150472,19.343004567536479,-13.1495304,0.0043802,47.9338837,-2.1219640,-0.3014224,4.0000000,1.0632503,1.1444288,29.1108379,-1.6660950,7.3815536
34,-13,-4.347010571150472,19.335547927536478,-13.1909599,-0.0042975,16.5289249,-1.4813305,-0.4403378,4.0000000,-1.1702935,1.0725024,21.2018223,0.2896178,5.2061772
35,-13,-4.339553931150472,19.335547927536478,-13.1889935,0.0036364,45.4545441,-1.4110317,-0.5004687,4.0000000,-1.0484748,1.0774010,21.8641491,0.0475374,5.3927069
36,-13,-4.332097291150472,19.335547927536478,-13.1869125,0.0015702,37.1900826,-1.3854446,-0.5557014,4.0000000,-0.9157811,1.0824524,22.5218544,-0.1956217,5.6925321
37,-13,-4.324640651150472,19.335547927536478,-13.1847115,-0.0006612,29.7520657,-1.3949416,-0.6046191,5.0000000,-0.7713529,1.0876877,23.1767483,-0.4378854,6.0648179
38,-13,-4.317184011150472,19.335547927536478,-13.1823816,-0.0029752,23.1404953,-1.4369729,-0.6451777,4.0000000,-0.6168836,1.0931095,23.8315144,-0.6734717,6.4832048
39,-13,-4.309727371150472,19.335547927536478,-13.1799192,0.0044628,49.5867767,-1.5001007,-0.6753188,4.0000000,-0.4548698,1.0987124,24.4857445,-0.8957678,6.8948793
40,-13,-4.302270731150472,19.335547927536478,-13.1773176,0.0019008,40.4958687,-1.5859630,-0.6955350,4.0000000,-0.2871467,1.1044999,25.1357365,-1.1039232,7.3027415
41,-13,-4.294814091150472,19.335547927536478,-13.1745749,-0.0009091,32.2314034,-1.6773086,-0.7032006,4.0000000,-0.1170067,1.1104429,25.7817764,-1.2893945,7.6376657
42,-13,-4.287357451150472,19.335547927536478,-13.1716881,-0.0038017,24.7933884,-1.7710141,-0.6967987,4.0000000,0.0539257,1.1164759,26.4171371,-1.4475231,7.8813868
43,-13,-4.279900811150472,19.335547927536478,-13.1686592,0.0032231,44.6280975,-1.8562565,-0.6757857,4.0000000,0.2218064,1.1225424,27.0341187,-1.5733778,8.0073853
44,-13,-4.272444171150472,19.335547927536478,-13.1654882,0.0000000,35.5371895,-1.9296610,-0.6409536,4.0000000,0.3843151,1.1285744,27.6292439,-1.6662223,8.0275640
45,-13,-4.264987531150472,19.335547927536478,-13.1621799,-0.0032231,27.2727280,-1.9857856,-0.5915473,4.0000000,0.5399178,1.1344476,28.1916828,-1.7230123,7.9418392
46,-13,-4.257530891150472,19.335547927536478,-13.1587391,0.0034711,47.1074371,-2.0153987,-0.5272298,4.0000000,0.6865755,1.1400803,28.7157478,-1.7410351,7.7492170
47,-13,-4.250074251150472,19.335547927536478,-13.1551733,-0.0000826,38.0165291,-2.0178704,-0.4495096,4.0000000,0.8229895,1.1453066,29.1906185,-1.7220087,7.4891105
48,-13,-4.242617611150472,19.335547927536478,-13.1514931,-0.0037190,28.9256191,-1.9900804,-0.3586198,4.0000000,0.9489758,1.1500291,29.6110649,-1.6662154,7.1898093
