OID_,ClipsFinal_DEM_Large_S3_RegO,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
29,-13,-4.429033611150471,20.573350167536478,-13.1449909,0.0001653,43.8016510,-2.6282988,0.2082420,4.0000000,-0.1960697,1.6802512,53.5272942,0.6125537,42.1085587
30,-13,-4.421576971150471,20.573350167536478,-13.1479120,0.0024793,46.2809906,-1.8753945,-0.0654027,4.0000000,-0.5987909,1.6883848,53.7187576,0.4679854,34.9948654
31,-13,-4.414120331150471,20.573350167536478,-13.1505318,-0.0051240,39.6694221,-0.8058851,-0.2529105,4.0000000,-0.7571490,1.6879596,53.7253952,0.2513280,23.5920105
32,-13,-4.406663691150471,20.573350167536478,-13.1528378,-0.0029752,42.1487617,0.0456894,-0.4097702,4.0000000,-0.6564220,1.6848093,53.6344185,-0.1631183,10.9846287
33,-13,-4.399207051150471,20.573350167536478,-13.1549969,-0.0009091,44.6280975,0.5782138,-0.7695392,4.0000000,-0.7983755,1.6800901,53.5064735,-0.7407028,16.1653824
34,-13,-4.391750411150471,20.573350167536478,-13.1570530,0.0005785,46.2809906,1.6373516,-1.3217344,4.0000000,-1.2644787,1.6683890,53.1907578,-1.3789903,41.5096550
35,-13,-4.384293771150471,20.573350167536478,-13.1587362,0.0019008,47.9338837,3.2622242,-1.8821224,4.0000000,-1.6767722,1.6505147,52.7000008,-2.0874727,72.1715927
36,-13,-4.376837131150471,20.573350167536478,-13.1599903,0.0031405,49.5867767,4.3110147,-2.2262399,4.0000000,-1.6972235,1.6322954,52.2029839,-2.7552564,79.7502441
37,-13,-4.369380491150471,20.573350167536478,-13.1608191,-0.0063636,38.8429756,5.5079679,-2.5247295,4.0000000,-1.7768641,1.6175965,51.8007050,-3.2725949,88.6583710
38,-13,-4.361923851150471,20.573350167536478,-13.1613169,-0.0061157,38.8429756,6.0003791,-2.6565421,5.0000000,-1.7339407,1.6083430,51.5454788,-3.5791433,87.8449020
39,-13,-4.354467211150471,20.573350167536478,-13.1612949,-0.0061157,38.8429756,5.0313482,-2.5296760,4.0000000,-1.4151045,1.6037501,51.4266891,-3.6442473,69.9023361
