OID_,ClipsFinal_DEM_Large_S3_RegP,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-4.309727371150472,19.357917847536477,-13.1738586,-0.0012397,28.0991745,-6.5969539,-0.2063184,5.0000000,0.4422506,1.0915718,23.5916843,-0.8548875,18.8348770
2,-13,-4.302270731150472,19.357917847536477,-13.1714954,-0.0037190,22.3140488,-7.2006469,-0.5534782,4.0000000,0.3690737,1.0979384,24.3187542,-1.4760301,22.1656036
3,-13,-4.294814091150472,19.357917847536477,-13.1688671,0.0036364,44.6280975,-5.4838438,-0.4629613,4.0000000,0.6227058,1.1063286,25.3602676,-1.5486284,17.2059460
4,-13,-4.287357451150472,19.357917847536477,-13.1660376,0.0008264,35.5371895,-3.3886864,-0.1615959,4.0000000,0.8846664,1.1102934,25.7730656,-1.2078582,10.3226624
5,-13,-4.279900811150472,19.357917847536477,-13.1631727,-0.0020661,28.0991745,-2.9068406,-0.2636262,4.0000000,0.9370157,1.1129265,25.9996948,-1.4642681,9.0231972
6,-13,-4.272444171150472,19.357917847536477,-13.1601610,-0.0051240,21.4876041,-3.1767662,-0.7094254,4.0000000,0.8070114,1.1178025,26.4854832,-2.2258623,11.7532501
7,-13,-4.264987531150472,19.357917847536477,-13.1570101,0.0016529,41.3223152,-3.0641716,-1.0152054,4.0000000,0.7965304,1.1239722,27.1186275,-2.8269410,13.9527082
8,-13,-4.257530891150472,19.357917847536477,-13.1536655,-0.0017355,32.2314034,-3.0132613,-1.1170549,4.0000000,0.9087453,1.1306168,27.7977695,-3.1428552,14.8597469
9,-13,-4.324640651150472,19.350461207536480,-13.1806736,-0.0043802,19.8347111,-6.8465519,-0.0989443,4.0000000,-0.2134095,1.0922011,23.7278099,0.0155209,19.5635452
10,-13,-4.317184011150472,19.350461207536480,-13.1785498,0.0033884,42.9752083,-6.0197802,-0.0720481,4.0000000,0.3079168,1.0965143,24.2203484,-0.4520130,17.4132767
11,-13,-4.309727371150472,19.350461207536480,-13.1762552,0.0010744,35.5371895,-6.2686229,-0.2360114,4.0000000,0.4212996,1.0995641,24.5260220,-0.8933223,18.4792538
12,-13,-4.302270731150472,19.350461207536480,-13.1738396,-0.0014050,28.9256191,-6.8231702,-0.5019619,4.0000000,0.4008111,1.1048806,25.1254559,-1.4047348,21.3322506
13,-13,-4.294814091150472,19.350461207536480,-13.1711683,-0.0040496,23.1404953,-5.7622666,-0.4176816,4.0000000,0.7014238,1.1129106,26.0361748,-1.5367869,18.2341194
