OID_,ClipsFinal_DEM_Large_S3_RegI,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
29,-12,-5.592269451150471,22.512076567536479,-12.7663603,0.0009917,39.6694221,0.3485276,-0.8220764,4.0000000,-0.2760635,1.1394558,28.6734715,-1.3680892,2.6969218
30,-12,-5.584812811150471,22.512076567536479,-12.7682495,0.0026446,43.8016510,1.0899094,-1.1347033,4.0000000,-0.6976487,1.1385825,28.5208225,-1.5717579,4.2799850
31,-12,-5.577356171150471,22.512076567536479,-12.7700586,-0.0056198,23.1404953,1.5615475,-1.3380131,4.0000000,-0.9579995,1.1368109,28.3454304,-1.7180266,6.0665483
32,-12,-5.569899531150471,22.512076567536479,-12.7717724,-0.0038843,27.2727280,1.2580564,-1.2341706,4.0000000,-0.8302220,1.1340994,28.0861568,-1.6381192,5.2458787
33,-12,-5.562442891150471,22.512076567536479,-12.7732983,-0.0021488,32.2314034,0.6195412,-0.9115934,4.0000000,-0.4902334,1.1330189,28.0161591,-1.3329533,2.8991215
34,-12,-5.554986251150471,22.512076567536479,-12.7748156,-0.0004959,36.3636360,0.1692850,-0.5513456,4.0000000,-0.1843406,1.1337993,28.0891781,-0.9183506,1.1556865
35,-12,-5.547529611150471,22.512076567536479,-12.7763100,0.0010744,39.6694221,0.0098596,-0.2765119,4.0000000,-0.0443063,1.1340145,28.0654964,-0.5087174,0.3783481
36,-12,-5.540072971150471,22.512076567536479,-12.7777967,0.0025620,43.8016510,-0.0389385,-0.0770511,4.0000000,0.0809587,1.1347344,28.1504517,-0.2350609,0.1509038
37,-12,-5.532616331150471,22.512076567536479,-12.7793379,0.0040496,47.1074371,0.0152422,-0.1280319,4.0000000,-0.1011269,1.1355370,28.2663765,-0.1549370,0.0542697
38,-12,-5.525159691150471,22.512076567536479,-12.7808552,-0.0044628,27.2727280,-0.0034576,-0.4033032,4.0000000,-0.6753975,1.1355449,28.2800045,-0.1312089,1.3063365
39,-12,-5.517703051150471,22.512076567536479,-12.7823334,-0.0030579,30.5785122,-0.1085320,-0.3179584,4.0000000,-0.7004853,1.1338489,28.0996838,0.0645684,1.2558107
40,-12,-5.510246411150471,22.512076567536479,-12.7836723,-0.0016529,33.8842964,-0.1901304,-0.1862147,4.0000000,-0.6432411,1.1320944,27.9575043,0.2708116,1.0175346
41,-12,-5.502789771150471,22.512076567536479,-12.7850323,-0.0002479,37.1900826,-0.2867889,-0.0912187,4.0000000,-0.6332688,1.1304927,27.8251686,0.4508314,1.1023043
42,-12,-5.495333131150471,22.512076567536479,-12.7863178,0.0009917,40.4958687,-0.6732230,-0.3350312,4.0000000,-1.2064608,1.1276648,27.5514927,0.5363985,3.4473596
43,-12,-5.487876491150471,22.512076567536479,-12.7875566,0.0020661,42.9752083,-0.9614622,-0.3150830,4.0000000,-1.3448809,1.1235342,27.1249409,0.7147149,4.2847123
44,-12,-5.480419851150471,22.512076567536479,-12.7886400,0.0033058,46.2809906,-1.1414500,-0.2108035,4.0000000,-1.2760578,1.1186323,26.6200848,0.8544509,4.2630558
45,-12,-5.472963211150471,22.512076567536479,-12.7896852,0.0044628,49.5867767,-1.0924538,0.0802982,4.0000000,-0.8274697,1.1140484,26.1409760,0.9880661,3.3660738
46,-12,-5.592269451150471,22.504619927536478,-12.7698927,0.0043802,48.7603302,0.1084864,-0.5412850,4.0000000,-0.1155351,1.1345032,28.0850048,-0.9670350,1.2404388
47,-12,-5.584812811150471,22.504619927536478,-12.7717819,-0.0038843,27.2727280,0.2866862,-0.7166944,4.0000000,-0.4546109,1.1328932,27.9186954,-0.9787779,2.1804941
48,-12,-5.577356171150471,22.504619927536478,-12.7735853,-0.0019835,32.2314034,0.1022162,-0.7949334,4.0000000,-0.6392131,1.1314059,27.8074322,-0.9506537,3.6598172
49,-12,-5.569899531150471,22.504619927536478,-12.7752905,-0.0002479,36.3636360,-0.2843390,-0.6606066,4.0000000,-0.5669265,1.1304635,27.6971817,-0.7542866,3.7096474
50,-12,-5.562442891150471,22.504619927536478,-12.7768793,0.0014876,41.3223152,-0.4610821,-0.3766143,4.0000000,-0.3515541,1.1316125,27.7727165,-0.4016746,2.4290659
