OID_,ClipsFinal_DEM_Large_S3_RegM,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-3.564063371150472,21.475603607536478,-12.8303604,-0.0046281,19.0082645,-0.1724553,-0.2483998,4.0000000,-0.6992837,1.0783442,21.9538479,0.2024841,0.8992544
2,-12,-3.556606731150472,21.475603607536478,-12.8295403,0.0046281,48.7603302,-0.0968418,0.0015232,4.0000000,-0.2805479,1.0800773,22.1762543,0.2835943,0.2656026
3,-12,-3.549150091150472,21.475603607536478,-12.8287210,0.0038843,46.2809906,0.0170175,0.2142357,4.0000000,0.0906329,1.0805320,22.2387428,0.3378385,0.1833379
4,-12,-3.541693451150472,21.475603607536478,-12.8279324,0.0030579,43.8016510,-0.0425099,0.1263181,4.0000000,-0.0948487,1.0806150,22.2562675,0.3474848,0.1813203
5,-12,-3.534236811150472,21.475603607536478,-12.8271475,0.0021488,41.3223152,-0.1927319,0.0317187,4.0000000,-0.2719575,1.0809861,22.3021584,0.3353949,0.5264428
6,-12,-3.526780171150472,21.475603607536478,-12.8263016,0.0014050,38.8429756,-0.3184862,0.0739492,4.0000000,-0.2052338,1.0808487,22.3097229,0.3531321,0.8845322
7,-12,-3.519323531150472,21.475603607536478,-12.8254509,0.0004959,35.5371895,-0.3459993,0.1771414,4.0000000,-0.0704197,1.0801760,22.2077541,0.4247025,1.0787840
8,-12,-3.564063371150472,21.468146967536480,-12.8332663,-0.0019835,28.0991745,-0.3592389,-0.2842016,4.0000000,-0.8678604,1.0790722,22.1233749,0.2994573,1.5660374
9,-12,-3.556606731150472,21.468146967536480,-12.8324785,-0.0026446,26.4462814,-0.2691522,0.0022538,4.0000000,-0.4468306,1.0809710,22.3665314,0.4513381,0.7419500
10,-12,-3.549150091150472,21.468146967536480,-12.8316669,-0.0033884,23.9669418,-0.0892968,0.2389255,4.0000000,-0.0876918,1.0819414,22.4504089,0.5655427,0.4956217
11,-12,-3.541693451150472,21.468146967536480,-12.8308830,-0.0041322,21.4876041,-0.1774565,0.1832870,4.0000000,-0.2737437,1.0822774,22.4843559,0.6403177,0.6066291
12,-12,-3.534236811150472,21.468146967536480,-12.8301001,-0.0049587,19.0082645,-0.4255296,0.1041925,4.0000000,-0.4713168,1.0827686,22.5418892,0.6797019,1.1885295
13,-12,-3.526780171150472,21.468146967536480,-12.8292351,0.0042975,47.9338837,-0.5593185,0.1228246,4.0000000,-0.4261428,1.0830146,22.5815659,0.6717921,1.5737336
14,-12,-3.519323531150472,21.468146967536480,-12.8283529,0.0033884,44.6280975,-0.4081149,0.2662618,4.0000000,-0.1537492,1.0827049,22.5313873,0.6862727,1.4215366
15,-12,-3.511866891150472,21.468146967536480,-12.8274326,0.0024793,42.1487617,-0.5181985,0.2573430,4.0000000,-0.2292135,1.0822508,22.4295235,0.7438994,1.6844205
16,-12,-3.504410251150472,21.468146967536480,-12.8265181,0.0014050,38.8429756,-0.9670011,0.0214242,4.0000000,-0.6736217,1.0824835,22.4379234,0.7164701,2.6558962
17,-12,-3.496953611150472,21.468146967536480,-12.8255243,0.0004132,35.5371895,-1.4280888,-0.2352040,4.0000000,-1.0959748,1.0838313,22.6674271,0.6255668,4.4534664
18,-12,-3.571520011150472,21.460690327536479,-12.8368988,0.0014876,38.8429756,0.0300007,-0.7966573,4.0000000,-1.2069701,1.0749952,21.5841694,-0.3863446,3.5931375
19,-12,-3.564063371150472,21.460690327536479,-12.8362160,0.0009091,37.1900826,-0.1630106,-0.6034802,4.0000000,-1.0214454,1.0781376,22.0121937,-0.1855150,2.6374123
20,-12,-3.556606731150472,21.460690327536479,-12.8354540,0.0002479,35.5371895,-0.3195857,-0.3004509,4.0000000,-0.6497245,1.0809259,22.4034100,0.0488228,1.4668322
21,-12,-3.549150091150472,21.460690327536479,-12.8346786,-0.0004959,33.0578499,-0.2592155,-0.0471603,4.0000000,-0.3406721,1.0830623,22.6684151,0.2463515,0.7428400
22,-12,-3.541693451150472,21.460690327536479,-12.8339100,-0.0012397,30.5785122,-0.2201767,-0.0620765,4.0000000,-0.5107884,1.0846288,22.8603687,0.3866354,0.6652232
23,-12,-3.534236811150472,21.460690327536479,-12.8331146,-0.0020661,28.0991745,-0.3597980,-0.1210683,4.0000000,-0.7038432,1.0860428,23.0628033,0.4617066,1.1656195
24,-12,-3.526780171150472,21.460690327536479,-12.8322668,-0.0028926,25.6198349,-0.4899511,-0.0875694,4.0000000,-0.6512579,1.0872073,23.1858711,0.4761192,1.4751199
25,-12,-3.519323531150472,21.460690327536479,-12.8313656,-0.0038017,23.1404953,-0.3470052,0.1211717,4.0000000,-0.2647478,1.0873684,23.2079563,0.5070913,1.0170434
26,-12,-3.511866891150472,21.460690327536479,-12.8304377,-0.0047107,19.8347111,-0.3243948,0.1744870,4.0000000,-0.1887809,1.0865675,23.0952034,0.5377550,1.0232120
27,-12,-3.504410251150472,21.460690327536479,-12.8295126,0.0042149,47.9338837,-0.6615630,-0.0441972,4.0000000,-0.6254531,1.0864439,23.0444508,0.5370587,1.8932961
28,-12,-3.496953611150472,21.460690327536479,-12.8285131,0.0032231,44.6280975,-1.0603327,-0.3468981,4.0000000,-1.1258770,1.0877432,23.1920128,0.4320808,3.9303021
29,-12,-3.571520011150472,21.453233687536478,-12.8397274,0.0043802,47.9338837,-0.1010274,-0.8103002,4.0000000,-1.2763058,1.0705750,20.8651390,-0.3442947,4.0006733
