OID_,ClipsFinal_DEM_Large_S3_RegR,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-4.518513291150471,20.125951767536478,-13.2546806,-0.0009091,0.0000000,-0.2402639,-0.6474068,5.0000000,-1.1400912,1.0101125,8.1322193,-0.1547224,2.2731965
2,-13,-4.511056651150471,20.125951767536478,-13.2557173,-0.0003306,0.0000000,0.7225760,-0.9303631,5.0000000,-1.2149637,1.0097388,8.0121384,-0.6457626,2.1198623
3,-13,-4.503600011150471,20.125951767536478,-13.2567654,0.0002479,2.4793389,1.4671211,-1.2391359,5.0000000,-1.3441805,1.0090051,7.7105298,-1.1340914,3.3366013
4,-13,-4.496143371150471,20.125951767536478,-13.2577248,0.0004959,4.9586778,2.4587371,-1.7681718,5.0000000,-1.4494843,1.0075285,7.0583115,-2.0868592,7.7881203
5,-13,-4.488686731150471,20.125951767536478,-13.2585983,0.0005785,5.7851238,4.0114541,-2.4482470,4.0000000,-1.4234176,1.0056751,6.1347094,-3.4730766,16.2064514
6,-13,-4.481230091150471,20.125951767536478,-13.2592936,0.0005785,5.7851238,6.5923977,-3.2871773,4.0000000,-1.2787130,1.0032510,4.5304713,-5.2956414,30.2489204
7,-13,-4.473773451150471,20.125951767536478,-13.2597017,0.0005785,5.7851238,8.5587654,-3.7839382,5.0000000,-2.2752557,1.0014803,2.7782354,-5.2926207,40.2906952
8,-13,-4.466316811150471,20.125951767536478,-13.2597857,0.0005785,5.7851238,7.5684824,-3.4656110,5.0000000,-5.4543386,1.0015289,2.8541250,-1.4768833,33.1375237
9,-13,-4.525969931150471,20.118495127536480,-13.2536373,-0.0016529,0.0000000,-1.5413142,-0.4477304,5.0000000,-1.2073425,1.0091934,7.7403913,0.3118817,4.0554419
10,-13,-4.518513291150471,20.118495127536480,-13.2546711,-0.0007438,0.0000000,-0.8236409,-0.5268007,4.0000000,-1.1860414,1.0093614,7.8071709,0.1324400,2.8891175
11,-13,-4.511056651150471,20.118495127536480,-13.2556829,-0.0002479,0.0000000,0.1381670,-0.7892402,4.0000000,-1.3177356,1.0094312,7.8928094,-0.2607449,2.3345723
12,-13,-4.503600011150471,20.118495127536480,-13.2567215,0.0002479,2.4793389,0.9903166,-1.1004390,4.0000000,-1.5701716,1.0091970,7.8112831,-0.6307062,3.0125458
13,-13,-4.496143371150471,20.118495127536480,-13.2577057,0.0004959,4.9586778,2.4832675,-1.6709354,4.0000000,-1.8489871,1.0081992,7.3753700,-1.4928837,6.4323668
14,-13,-4.488686731150471,20.118495127536480,-13.2586327,0.0005785,5.7851238,4.9466000,-2.4524126,5.0000000,-2.0351753,1.0065597,6.6412706,-2.8696496,14.4952869
15,-13,-4.481230091150471,20.118495127536480,-13.2594109,0.0005785,5.7851238,8.8279295,-3.4127121,4.0000000,-2.0729313,1.0038460,4.9840345,-4.7524929,29.2323761
16,-13,-4.473773451150471,20.118495127536480,-13.2599020,0.0005785,5.7851238,11.9115019,-4.0183239,5.0000000,-1.9607259,1.0014708,2.8175044,-6.0759220,40.8821449
17,-13,-4.466316811150471,20.118495127536480,-13.2600813,-0.0094215,0.0000000,11.2058353,-3.8151734,6.0000000,-4.8502398,1.0007931,1.7570541,-2.7801070,35.8928490
18,-13,-4.458860171150471,20.118495127536480,-13.2599401,0.0005785,5.7851238,8.7584457,-3.2821879,4.0000000,-4.7000017,1.0014842,3.0360324,-1.8643740,25.7709084
19,-13,-4.451403531150471,20.118495127536480,-13.2596378,0.0005785,5.7851238,8.4288349,-3.0826962,5.0000000,-4.1187792,1.0027821,4.1915455,-2.0466135,21.4517231
20,-13,-4.443946891150471,20.118495127536480,-13.2591801,0.0005785,5.7851238,9.1609192,-3.0804856,5.0000000,-3.6476841,1.0047768,5.5542750,-2.5132868,20.0767765
21,-13,-4.436490251150471,20.118495127536480,-13.2585011,0.0005785,5.7851238,9.7668447,-3.1259060,4.0000000,-3.1920371,1.0067872,6.6520185,-3.0597746,20.1002331
22,-13,-4.525969931150471,20.111038487536479,-13.2536259,-0.0015702,0.0000000,-2.0890398,-0.5252958,4.0000000,-1.4744977,1.0080593,7.2400522,0.4239061,5.4869690
23,-13,-4.518513291150471,20.111038487536479,-13.2546024,-0.0006612,0.0000000,-1.4742275,-0.5422596,4.0000000,-1.3843420,1.0086209,7.4712625,0.2998227,4.3002601
24,-13,-4.511056651150471,20.111038487536479,-13.2555771,-0.0001653,0.0000000,-0.5227202,-0.7452905,4.0000000,-1.4744179,1.0091784,7.7530532,-0.0161630,3.4313204
25,-13,-4.503600011150471,20.111038487536479,-13.2566051,0.0002479,2.4793389,0.3799057,-1.0260897,4.0000000,-1.7514948,1.0093884,7.8913693,-0.3006845,3.6449826
26,-13,-4.496143371150471,20.111038487536479,-13.2576027,0.0004959,4.9586778,2.2483420,-1.5987529,4.0000000,-2.1464553,1.0088575,7.6472821,-1.0510504,6.0015335
27,-13,-4.488686731150471,20.111038487536479,-13.2585764,0.0005785,5.7851238,5.5611100,-2.4442368,4.0000000,-2.5623863,1.0075279,7.1183553,-2.3260872,13.1964426
