OID_,ClipsFinal_DEM_Large_S3_RegQ2,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-6.017297931150472,22.676122647536477,-12.6114283,-0.0038017,23.9669418,-0.0367187,0.0350409,4.0000000,-0.0628912,1.1032301,25.0008411,0.1329730,0.1127230
2,-12,-6.009841291150472,22.676122647536477,-12.6129284,-0.0022314,28.9256191,-0.0552502,-0.0077311,4.0000000,0.0386091,1.1029353,24.9443836,-0.0540714,0.1635456
3,-12,-6.002384651150472,22.676122647536477,-12.6143990,-0.0007438,33.8842964,-0.1177138,0.0603760,4.0000000,0.3218425,1.1040634,25.0868206,-0.2010905,0.3945440
4,-12,-5.994928011150472,22.676122647536477,-12.6158857,0.0007438,38.8429756,-0.1753178,-0.0382941,4.0000000,0.2228012,1.1061546,25.3517227,-0.2993894,0.5265983
5,-12,-6.024754571150472,22.668666007536480,-12.6130342,-0.0023140,28.0991745,0.2124325,-0.5637529,4.0000000,-0.3409577,1.1039575,25.1458492,-0.7865482,1.1322953
6,-12,-6.017297931150472,22.668666007536480,-12.6145515,-0.0008264,33.0578499,0.0549724,-0.5057805,4.0000000,-0.2124137,1.1034498,25.1188374,-0.7991472,1.2024648
7,-12,-6.009841291150472,22.668666007536480,-12.6160517,0.0006612,38.0165291,-0.0303786,-0.5142533,4.0000000,-0.0632997,1.1030422,25.0588322,-0.9652068,1.4142240
8,-12,-6.002384651150472,22.668666007536480,-12.6175528,0.0022314,42.9752083,-0.2963930,-0.4821115,4.0000000,0.1753722,1.1042383,25.2046013,-1.1395952,1.9305180
9,-12,-5.994928011150472,22.668666007536480,-12.6190872,0.0038017,47.9338837,-0.0304711,-0.6705855,4.0000000,0.0001202,1.1063669,25.4569626,-1.3412912,2.2979879
10,-12,-5.987471371150472,22.668666007536480,-12.6206217,-0.0046281,20.6611576,0.0255378,-0.7059746,4.0000000,-0.0567346,1.1072013,25.5222359,-1.3552146,2.4160995
11,-12,-6.032211211150472,22.661209367536479,-12.6147156,-0.0010744,31.4049587,2.3811176,-1.6742995,4.0000000,-1.1042640,1.0997628,24.6295395,-2.2443349,8.5417500
12,-12,-6.024754571150472,22.661209367536479,-12.6162024,0.0005785,37.1900826,0.5856209,-1.2488190,4.0000000,-0.5012935,1.0983510,24.5086765,-1.9963444,6.4678712
13,-12,-6.017297931150472,22.661209367536479,-12.6176929,0.0021488,42.1487617,0.0230567,-1.0536327,4.0000000,-0.2838056,1.0980346,24.4663544,-1.8234597,5.5958438
14,-12,-6.009841291150472,22.661209367536479,-12.6191835,0.0037190,47.1074371,-0.2799256,-0.9136947,4.0000000,-0.0936674,1.0978640,24.3769264,-1.7337220,4.9235592
15,-12,-6.002384651150472,22.661209367536479,-12.6206837,-0.0046281,20.6611576,-0.6744651,-0.7737952,4.0000000,0.1374825,1.0988934,24.4795532,-1.6850730,4.7521415
16,-12,-5.994928011150472,22.661209367536479,-12.6222458,-0.0030579,24.7933884,-0.0660505,-0.9406213,4.0000000,-0.0736567,1.1003599,24.6619339,-1.8075858,4.5498576
17,-12,-5.987471371150472,22.661209367536479,-12.6238146,-0.0014876,29.7520657,0.2333255,-0.9948397,4.0000000,-0.2002088,1.1004304,24.6312523,-1.7894707,4.3124042
18,-12,-5.980014731150472,22.661209367536479,-12.6252947,0.0000000,33.8842964,-0.0444400,-0.8485292,4.0000000,-0.1218535,1.1007326,24.6551037,-1.5752050,3.7233343
19,-12,-6.039667851150472,22.653752727536478,-12.6160450,0.0002479,35.5371895,3.9652898,-2.0565681,4.0000000,-1.5647739,1.0920680,23.5612907,-2.5483623,11.9202890
20,-12,-6.032211211150472,22.653752727536478,-12.6176338,0.0019008,40.4958687,2.3924484,-1.6933941,4.0000000,-1.0468681,1.0885053,23.1103420,-2.3399200,8.4423914
21,-12,-6.024754571150472,22.653752727536478,-12.6191082,0.0036364,46.2809906,0.5169038,-1.1522843,4.0000000,-0.3622488,1.0884508,23.1226788,-1.9423198,5.1993384
22,-12,-6.017297931150472,22.653752727536478,-12.6206112,-0.0047107,20.6611576,-0.0100830,-0.8535017,4.0000000,-0.1120684,1.0898519,23.2770729,-1.5949351,3.5658605
23,-12,-6.009841291150472,22.653752727536478,-12.6221027,-0.0031405,24.7933884,-0.3124588,-0.5938680,4.0000000,0.0947326,1.0908617,23.3728867,-1.2824686,2.5048544
24,-12,-6.002384651150472,22.653752727536478,-12.6236076,-0.0014876,29.7520657,-0.5696625,-0.3714116,4.0000000,0.3226043,1.0927122,23.6138802,-1.0654274,2.1691141
25,-12,-5.994928011150472,22.653752727536478,-12.6251793,0.0000000,33.8842964,-0.1624018,-0.5193028,4.0000000,0.1005086,1.0946451,23.8940849,-1.1391143,1.7066675
26,-12,-5.987471371150472,22.653752727536478,-12.6267500,0.0014876,38.8429756,0.1447388,-0.6408838,4.0000000,-0.1255285,1.0952110,23.9762707,-1.1562390,1.6295406
27,-12,-5.980014731150472,22.653752727536478,-12.6282578,0.0030579,42.9752083,0.1049988,-0.5482851,4.0000000,-0.1145596,1.0960720,24.0771122,-0.9820107,1.2011410
28,-12,-5.972558091150472,22.653752727536478,-12.6297817,0.0046281,47.9338837,0.2650665,-0.5666096,4.0000000,-0.3861535,1.0972626,24.2873821,-0.7470656,0.9996133
29,-12,-5.965101451150472,22.653752727536478,-12.6313086,-0.0038843,24.7933884,0.2483294,-0.5732977,4.0000000,-0.6429672,1.0963163,24.1458054,-0.5036284,1.2384377
30,-12,-6.047124491150472,22.646296087536477,-12.6169710,0.0014876,38.8429756,0.7744324,-0.9287912,4.0000000,-0.7814000,1.0898106,23.2823391,-1.0761822,2.5758493
31,-12,-6.039667851150472,22.646296087536477,-12.6187220,0.0032231,44.6280975,0.4672730,-1.0123708,4.0000000,-0.8425709,1.0870862,22.9266396,-1.1821706,4.2805390
32,-12,-6.032211211150472,22.646296087536477,-12.6203175,-0.0050413,19.8347111,-0.2838536,-0.6104088,4.0000000,-0.3172522,1.0856470,22.6955128,-0.9035655,2.6975379
33,-12,-6.024754571150472,22.646296087536477,-12.6218548,-0.0033058,23.9669418,-0.5294194,-0.0916272,4.0000000,0.2867133,1.0875009,22.9687004,-0.4699676,1.4938843
34,-12,-6.017297931150472,22.646296087536477,-12.6234159,-0.0016529,28.9256191,-0.4363772,0.1776390,4.0000000,0.4649678,1.0897976,23.2629318,-0.1096898,1.4558058
35,-12,-6.009841291150472,22.646296087536477,-12.6249437,-0.0000826,33.8842964,-0.0976749,0.4551808,4.0000000,0.6366090,1.0911708,23.4185028,0.2737526,1.5349139
36,-12,-6.002384651150472,22.646296087536477,-12.6264791,0.0014876,38.8429756,0.2853666,0.6818739,4.0000000,0.8370011,1.0933361,23.7401180,0.5267468,1.9649450
37,-12,-5.994928011150472,22.646296087536477,-12.6280823,0.0030579,42.9752083,-0.1233376,0.4825215,4.0000000,0.5290424,1.0957505,24.1015873,0.4360006,1.7316715
38,-12,-5.987471371150472,22.646296087536477,-12.6297045,0.0046281,47.9338837,-0.5174205,0.2425331,4.0000000,0.1187852,1.0969254,24.2102013,0.3662809,1.8071202
39,-12,-5.980014731150472,22.646296087536477,-12.6312637,-0.0038017,24.7933884,-0.3756635,0.2063024,4.0000000,-0.0103734,1.0977250,24.2904320,0.4229782,1.2913938
40,-12,-5.972558091150472,22.646296087536477,-12.6328211,-0.0022314,29.7520657,-0.3976623,0.0089164,4.0000000,-0.4065855,1.0982261,24.4264793,0.4244183,1.1625408
41,-12,-5.965101451150472,22.646296087536477,-12.6343536,-0.0008264,33.8842964,-0.3681294,-0.1240293,4.0000000,-0.7118867,1.0961736,24.1558800,0.4638281,1.2461066
42,-12,-5.957644811150472,22.646296087536477,-12.6357784,0.0005785,38.0165291,-0.3578461,-0.0510609,4.0000000,-0.6165796,1.0935550,23.8255596,0.5144579,1.0811045
43,-12,-6.054581131150472,22.638839447536480,-12.6177816,0.0028099,42.9752083,-0.2201496,0.4291820,4.0000000,0.3003672,1.0919528,23.5603065,0.5579967,1.6211370
44,-12,-6.047124491150472,22.638839447536480,-12.6196289,0.0045455,47.9338837,-1.2953395,0.1804954,4.0000000,0.0816813,1.0920774,23.6429806,0.2793095,3.8479149
45,-12,-6.039667851150472,22.638839447536480,-12.6214228,-0.0037190,23.1404953,-2.3467388,0.0264104,4.0000000,-0.0345207,1.0912662,23.5181808,0.0873415,6.6421704
46,-12,-6.032211211150472,22.638839447536480,-12.6230774,-0.0019835,28.0991745,-2.1428785,0.2964717,4.0000000,0.3539650,1.0914860,23.4886169,0.2389784,6.5749412
47,-12,-6.024754571150472,22.638839447536480,-12.6246815,-0.0002479,33.0578499,-1.3814210,0.6198589,4.0000000,0.7449698,1.0941410,23.8721008,0.4947481,6.2470555
48,-12,-6.017297931150472,22.638839447536480,-12.6262951,0.0014050,38.0165291,-1.0673336,0.7455664,4.0000000,0.7621486,1.0962851,24.1618252,0.7289842,6.3291049
49,-12,-6.009841291150472,22.638839447536480,-12.6278572,0.0030579,42.9752083,-0.3120802,0.9396547,4.0000000,0.8444835,1.0975378,24.3119659,1.0348259,5.9733648
50,-12,-6.002384651150472,22.638839447536480,-12.6294069,0.0047107,47.9338837,0.5052848,1.1282932,4.0000000,1.0120453,1.1001298,24.6281338,1.2445409,5.8987608
51,-12,-5.994928011150472,22.638839447536480,-12.6310272,-0.0037190,24.7933884,-0.2003107,0.8993368,4.0000000,0.6367403,1.1027019,24.9135227,1.1619333,5.1489968
52,-12,-5.987471371150472,22.638839447536480,-12.6326761,-0.0021488,29.7520657,-0.9733225,0.5916808,4.0000000,0.0996030,1.1029886,24.9190216,1.0837585,4.6426940
53,-12,-5.980014731150472,22.638839447536480,-12.6342688,-0.0006612,33.8842964,-0.9000676,0.4558868,4.0000000,-0.1679736,1.1019223,24.8059254,1.0797471,3.5824420
54,-12,-5.972558091150472,22.638839447536480,-12.6358213,0.0008264,38.8429756,-1.1973826,0.1772003,4.0000000,-0.6828905,1.1004496,24.6818333,1.0372910,3.5666337
