OID_,ClipsFinal_DEM_Large_S3_RegK,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-3.593889931150471,18.612253847536479,-12.9960537,0.0011570,31.4049587,-3.3601668,0.0170738,4.0000000,-1.5123391,1.0389692,15.7602224,1.5464867,7.8415470
2,-12,-3.586433291150471,18.612253847536479,-12.9966211,0.0017355,33.8842964,-3.6420543,0.0982174,4.0000000,-1.3609532,1.0347185,14.8757238,1.5573879,8.3590555
3,-12,-3.578976651150471,18.612253847536479,-12.9971218,0.0021488,34.7107430,-3.5175967,0.0498275,4.0000000,-1.3842367,1.0306821,13.9854755,1.4838916,7.9352551
4,-12,-3.571520011150471,18.612253847536479,-12.9976187,0.0025620,35.5371895,-3.2052660,-0.0844816,4.0000000,-1.5559124,1.0272986,13.2150135,1.3869492,7.2054915
5,-12,-3.564063371150471,18.612253847536479,-12.9980545,0.0028926,36.3636360,-3.4421289,-0.5093572,4.0000000,-2.2711267,1.0241971,12.4674740,1.2524123,8.9124813
6,-12,-3.556606731150471,18.612253847536479,-12.9983921,0.0032231,37.1900826,-3.9671538,-0.7508645,4.0000000,-2.6759119,1.0212139,11.6710033,1.1741829,11.3483953
7,-12,-3.549150091150471,18.612253847536479,-12.9985600,0.0033884,37.1900826,-4.0768471,-0.5358589,4.0000000,-2.1392896,1.0184985,10.9264574,1.0675719,10.1479931
8,-12,-3.541693451150471,18.612253847536479,-12.9986057,0.0035537,37.1900826,-3.6846492,-0.0834149,4.0000000,-1.2065059,1.0162379,10.2634945,1.0396762,7.9044523
9,-12,-3.534236811150471,18.612253847536479,-12.9986143,0.0036364,37.1900826,-2.8949125,0.3376644,5.0000000,-0.3822125,1.0142504,9.6111155,1.0575414,6.5806751
10,-12,-3.526780171150471,18.612253847536479,-12.9985752,0.0037190,37.1900826,-1.8978245,0.6803409,4.0000000,0.2646003,1.0124635,9.0084000,1.0960815,5.9054265
11,-12,-3.519323531150471,18.612253847536479,-12.9985619,0.0037190,37.1900826,-1.2489632,0.8270580,3.0000000,0.4065186,1.0109413,8.4565039,1.2475973,5.4366221
12,-12,-3.601346571150471,18.604797207536482,-12.9976244,0.0023140,38.8429756,-2.5747309,-0.4366623,4.0000000,-1.8755906,1.0434448,16.6435299,1.0022659,7.2913356
13,-12,-3.593889931150471,18.604797207536482,-12.9980984,0.0028099,40.4958687,-3.3155882,-0.2752115,4.0000000,-1.6332281,1.0392662,15.8311148,1.0828052,8.2425528
14,-12,-3.586433291150471,18.604797207536482,-12.9985476,0.0033058,42.9752083,-3.5488756,-0.0492194,4.0000000,-1.2319574,1.0350407,14.9348011,1.1335187,8.1807060
15,-12,-3.578976651150471,18.604797207536482,-12.9989262,0.0036364,43.8016510,-3.3149285,0.0354436,4.0000000,-1.0893397,1.0310425,14.0784168,1.1602268,7.4900131
16,-12,-3.571520011150471,18.604797207536482,-12.9993172,0.0039669,44.6280975,-2.9434197,-0.0486751,4.0000000,-1.2594403,1.0277439,13.3531847,1.1620901,6.5988379
17,-12,-3.564063371150471,18.604797207536482,-12.9996738,0.0042149,45.4545441,-3.0939124,-0.5343932,4.0000000,-2.1133363,1.0247967,12.6533289,1.0445501,8.2782612
18,-12,-3.556606731150471,18.604797207536482,-12.9999437,0.0044628,46.2809906,-3.4290357,-0.8358848,4.0000000,-2.5710726,1.0220795,11.9288406,0.8993031,10.8179750
19,-12,-3.549150091150471,18.604797207536482,-13.0000324,-0.0054545,0.0000000,-3.3727055,-0.6856620,5.0000000,-2.0280974,1.0196787,11.2725582,0.6567731,9.4837961
20,-12,-3.541693451150471,18.604797207536482,-12.9999971,0.0046281,46.2809906,-2.9879100,-0.2756329,4.0000000,-1.0366114,1.0175279,10.6643143,0.4853456,6.7651663
21,-12,-3.534236811150471,18.604797207536482,-12.9999199,0.0046281,46.2809906,-2.4333470,0.1304400,4.0000000,-0.1173990,1.0154779,10.0380163,0.3782789,5.2446733
22,-12,-3.526780171150471,18.604797207536482,-12.9997940,0.0046281,46.2809906,-1.8375108,0.4531711,4.0000000,0.5687179,1.0135773,9.4097834,0.3376243,4.7530184
23,-12,-3.519323531150471,18.604797207536482,-12.9997091,0.0046281,46.2809906,-1.4826193,0.5573428,4.0000000,0.6953938,1.0118730,8.7918673,0.4192918,4.4192958
24,-12,-3.511866891150471,18.604797207536482,-12.9996805,0.0045455,45.4545441,-1.4831442,0.3892816,4.0000000,0.3410787,1.0103804,8.2343397,0.4374845,3.7220926
25,-12,-3.504410251150471,18.604797207536482,-12.9996424,0.0043802,43.8016510,-1.7795713,0.0587787,4.0000000,-0.2939425,1.0090445,7.7015262,0.4114999,3.7033255
26,-12,-3.496953611150471,18.604797207536482,-12.9996071,0.0042149,42.1487617,-2.2212095,-0.2772555,4.0000000,-0.8469687,1.0078706,7.1690497,0.2924578,4.9117208
27,-12,-3.608803211150471,18.597340567536481,-12.9992790,0.0034711,46.2809906,-1.3904243,-0.8298949,4.0000000,-2.1720395,1.0471305,17.3030052,0.5122498,7.1854181
28,-12,-3.601346571150471,18.597340567536481,-12.9997902,0.0038843,47.9338837,-2.1107402,-0.7976776,4.0000000,-2.1122687,1.0428101,16.4898891,0.5169135,8.4415302
29,-12,-3.593889931150471,18.597340567536481,-13.0001717,-0.0057025,0.0000000,-2.8112361,-0.5552425,4.0000000,-1.6776305,1.0386953,15.7036352,0.5671455,8.2139511
30,-12,-3.586433291150471,18.597340567536481,-13.0005131,-0.0052893,0.0000000,-3.0865638,-0.2072359,4.0000000,-1.0405756,1.0347136,14.8716583,0.6261038,7.3292217
31,-13,-3.578976651150471,18.597340567536481,-13.0007687,-0.0050413,0.0000000,-2.9182906,-0.0281457,4.0000000,-0.7598866,1.0310599,14.0806293,0.7035952,6.6055861
32,-13,-3.571520011150471,18.597340567536481,-13.0010624,-0.0047934,0.0000000,-2.5910521,-0.0891986,4.0000000,-0.9564966,1.0280248,13.3950109,0.7780993,5.8437309
33,-13,-3.564063371150471,18.597340567536481,-13.0013285,-0.0046281,0.0000000,-2.5685410,-0.6277213,4.0000000,-1.9415386,1.0251702,12.7147303,0.6860961,7.6008978
34,-13,-3.556606731150471,18.597340567536481,-13.0015144,-0.0044628,0.0000000,-2.6979396,-0.9752962,4.0000000,-2.4488506,1.0224725,12.0164890,0.4982581,10.3384409
35,-13,-3.549150091150471,18.597340567536481,-13.0015306,-0.0044628,0.0000000,-2.6849031,-0.8776099,5.0000000,-1.9259239,1.0201746,11.4057531,0.1707042,9.3147259
36,-13,-3.541693451150471,18.597340567536481,-13.0014038,-0.0044628,0.0000000,-2.5544970,-0.4813004,4.0000000,-0.8851405,1.0181192,10.8204699,-0.0774604,6.5151429
37,-13,-3.534236811150471,18.597340567536481,-13.0012321,-0.0044628,0.0000000,-2.3652136,-0.0555083,4.0000000,0.1218160,1.0160841,10.1996670,-0.2328326,5.0534878
38,-13,-3.526780171150471,18.597340567536481,-13.0010204,-0.0044628,0.0000000,-2.1527605,0.2780931,4.0000000,0.8398389,1.0141010,9.5440512,-0.2836527,4.8982081
39,-13,-3.519323531150471,18.597340567536481,-13.0008583,-0.0044628,0.0000000,-1.9255732,0.3667478,4.0000000,0.9531969,1.0122107,8.8817596,-0.2197012,4.6282258
