OID_,ClipsFinal_DEM_Large_S3_RegJ,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-7.791978251150471,21.930458647536476,-12.6232166,-0.0019008,13.2231407,-0.1010441,-0.9461047,4.0000000,-1.4303371,1.0334367,14.5855846,-0.4618724,4.4546180
2,-12,-7.784521611150471,21.930458647536476,-12.6244898,-0.0006612,17.3553715,-0.1805624,-0.8675501,4.0000000,-1.3659289,1.0303839,13.9400816,-0.3691714,3.9206104
3,-12,-7.777064971150471,21.930458647536476,-12.6256275,0.0004132,21.4876041,-0.3319312,-0.7730761,4.0000000,-1.3304579,1.0274166,13.2241354,-0.2156944,3.5072365
4,-12,-7.769608331150471,21.930458647536476,-12.6266718,0.0014050,26.4462814,-0.5006920,-0.6506654,4.0000000,-1.2095913,1.0252401,12.7133656,-0.0917395,3.0579412
5,-12,-7.762151691150471,21.930458647536476,-12.6276350,0.0023140,31.4049587,-0.7919129,-0.6684101,4.0000000,-1.2927980,1.0231687,12.1971807,-0.0440222,3.7787380
6,-12,-7.754695051150471,21.930458647536476,-12.6284828,0.0032231,37.1900826,-1.0583328,-0.6632322,4.0000000,-1.3821738,1.0211842,11.6464291,0.0557094,4.3005815
7,-12,-7.747238411150471,21.930458647536476,-12.6292276,0.0039669,42.1487617,-1.0038726,-0.3914136,4.0000000,-1.1250787,1.0196352,11.1914282,0.3422515,2.8784804
8,-12,-7.739781771150471,21.930458647536476,-12.6298733,0.0046281,47.1074371,-0.5804677,0.0292363,4.0000000,-0.5634212,1.0186737,10.9116917,0.6218938,1.2502915
9,-12,-7.732325131150471,21.930458647536476,-12.6304827,-0.0047107,0.8264463,-0.2352812,0.3040658,4.0000000,-0.1631608,1.0182273,10.8078098,0.7712924,0.8813277
10,-12,-7.724868491150471,21.930458647536476,-12.6310968,-0.0042149,1.6528926,-0.3587592,0.2907770,4.0000000,-0.2255345,1.0178436,10.7190599,0.8070885,1.1105168
11,-12,-7.806891531150471,21.923002007536478,-12.6218643,-0.0033058,10.7438021,0.0640267,-1.0493481,5.0000000,-1.8064252,1.0398762,15.9163942,-0.2922711,5.3030434
12,-12,-7.799434891150471,21.923002007536478,-12.6233253,-0.0018182,14.8760328,0.2493751,-1.0890292,4.0000000,-1.6579244,1.0358541,15.0559006,-0.5201339,5.0894890
13,-12,-7.791978251150471,21.923002007536478,-12.6246605,-0.0004959,19.0082645,0.1623013,-0.9715781,4.0000000,-1.4098331,1.0327337,14.4504728,-0.5333232,4.0548100
14,-12,-7.784521611150471,21.923002007536478,-12.6259031,0.0006612,23.9669418,0.0165715,-0.9040393,4.0000000,-1.3321279,1.0299388,13.8686857,-0.4759507,3.7496569
15,-12,-7.777064971150471,21.923002007536478,-12.6270170,0.0016529,28.9256191,-0.1726640,-0.7806466,4.0000000,-1.2382220,1.0273882,13.2498417,-0.3230712,3.1887040
16,-12,-7.769608331150471,21.923002007536478,-12.6280394,0.0026446,34.7107430,-0.3668465,-0.6401504,4.0000000,-1.0882766,1.0255919,12.8435469,-0.1920241,2.6920774
17,-12,-7.762151691150471,21.923002007536478,-12.6289911,0.0036364,40.4958687,-0.6282662,-0.6513714,4.0000000,-1.1669050,1.0239629,12.4423485,-0.1358377,3.3202078
18,-12,-7.754695051150471,21.923002007536478,-12.6298389,0.0045455,46.2809906,-0.9133590,-0.6399356,4.0000000,-1.2502331,1.0222780,11.9715214,-0.0296381,3.8600395
19,-12,-7.747238411150471,21.923002007536478,-12.6305733,-0.0047107,2.4793389,-0.9429017,-0.3827997,4.0000000,-1.0277203,1.0208665,11.5976629,0.2621210,2.7298570
20,-12,-7.739781771150471,21.923002007536478,-12.6312160,-0.0040496,3.3057852,-0.5942079,0.0359147,4.0000000,-0.5058076,1.0199522,11.3611679,0.5776371,1.2890621
21,-12,-7.732325131150471,21.923002007536478,-12.6318121,-0.0033884,4.9586778,-0.2486917,0.3382743,4.0000000,-0.1060963,1.0196123,11.2908716,0.7826448,1.0078583
22,-12,-7.724868491150471,21.923002007536478,-12.6324148,-0.0028099,6.6115704,-0.3550719,0.3628279,4.0000000,-0.1431118,1.0194775,11.2532396,0.8687677,1.3063937
23,-12,-7.717411851150471,21.923002007536478,-12.6330032,-0.0022314,8.2644625,-0.9144825,0.1869190,4.0000000,-0.5009324,1.0191909,11.1601439,0.8747704,2.1045485
24,-12,-7.709955211150471,21.923002007536478,-12.6335478,-0.0016529,9.9173555,-1.4410561,0.0312171,4.0000000,-0.8741670,1.0186834,11.0100365,0.9366012,3.1053371
25,-12,-7.702498571150471,21.923002007536478,-12.6340141,-0.0011570,11.5702477,-1.8100095,-0.0684696,4.0000000,-1.1823461,1.0180160,10.8080339,1.0454069,3.9222817
26,-12,-7.695041931150471,21.923002007536478,-12.6344032,-0.0006612,13.2231407,-1.9901223,-0.0761452,4.0000000,-1.3393898,1.0172839,10.5730858,1.1870992,4.3033948
27,-12,-7.687585291150471,21.923002007536478,-12.6347036,-0.0002479,14.8760328,-2.0876150,-0.0502277,4.0000000,-1.4219161,1.0166008,10.3618193,1.3214607,4.4817080
28,-12,-7.821804811150471,21.915545367536478,-12.6202469,-0.0047107,8.2644625,-1.0958363,-0.3877930,3.0000000,-1.4923784,1.0435869,16.5806808,0.7167922,3.4948285
29,-12,-7.814348171150471,21.915545367536478,-12.6218119,-0.0032231,11.5702477,-0.4669560,-0.6112794,4.0000000,-1.4988229,1.0410769,16.1451435,0.2762640,3.0668712
30,-12,-7.806891531150471,21.915545367536478,-12.6233339,-0.0018182,15.7024794,0.0243033,-0.8767950,5.0000000,-1.5036836,1.0380123,15.5325384,-0.2499063,3.7096062
31,-12,-7.799434891150471,21.915545367536478,-12.6247540,-0.0004132,20.6611576,0.0979668,-0.9330440,4.0000000,-1.4010067,1.0345209,14.7793550,-0.4650813,3.8999577
32,-12,-7.791978251150471,21.915545367536478,-12.6260700,0.0008264,25.6198349,0.0572313,-0.8684611,4.0000000,-1.2164036,1.0316901,14.2004213,-0.5205186,3.3748453
33,-12,-7.784521611150471,21.915545367536478,-12.6272926,0.0019008,31.4049587,-0.0272730,-0.8537611,4.0000000,-1.1674930,1.0292723,13.6711073,-0.5400292,3.4042339
