OID_,ClipsFinal_DEM_Large_S3_RegC,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-5.018108171150472,18.500404247536480,-13.2893629,0.0045455,47.1074371,-4.1940150,0.4666160,4.0000000,-0.8133108,1.0935266,23.8241882,1.7465429,12.6948643
2,-13,-5.010651531150472,18.500404247536480,-13.2898560,0.0048760,48.7603302,-4.6095009,0.1795062,4.0000000,-1.3217596,1.0976846,24.3273373,1.6807719,13.3821154
3,-13,-5.003194891150472,18.500404247536480,-13.2902050,-0.0048760,23.9669418,-4.8365026,-0.1001740,4.0000000,-1.8799393,1.1013538,24.7614326,1.6795912,14.6637268
4,-13,-4.995738251150472,18.500404247536480,-13.2903805,-0.0047934,24.7933884,-3.7484992,-0.0237090,4.0000000,-1.7150196,1.1048473,25.2073002,1.6676016,11.4105778
5,-13,-4.988281611150472,18.500404247536480,-13.2904186,-0.0047934,24.7933884,-2.9655607,0.0079571,5.0000000,-1.5979872,1.1082499,25.5998363,1.6139014,9.1180658
6,-13,-4.980824971150472,18.500404247536480,-13.2903633,-0.0047934,24.7933884,-2.8001721,-0.0953097,4.0000000,-1.7447687,1.1110911,25.8935986,1.5541494,8.9982128
7,-13,-4.973368331150472,18.500404247536480,-13.2901554,-0.0049587,24.7933884,-3.2286735,-0.3577552,4.0000000,-2.1874952,1.1129953,26.1247826,1.4719847,11.8497105
8,-13,-4.965911691150472,18.500404247536480,-13.2898083,0.0045455,48.7603302,-3.4581437,-0.5247549,4.0000000,-2.4070673,1.1146746,26.3252792,1.3575574,14.0601397
9,-13,-4.958455051150472,18.500404247536480,-13.2892418,0.0038843,47.1074371,-3.6172767,-0.6212443,4.0000000,-2.4871612,1.1168363,26.5573254,1.2446727,15.6428232
10,-13,-5.047934731150472,18.492947607536482,-13.2898245,0.0048760,47.1074371,-5.5743504,1.1912416,4.0000000,-0.0775418,1.0893593,23.3166313,2.4600251,22.3252392
11,-13,-5.040478091150472,18.492947607536482,-13.2906437,-0.0042975,23.1404953,-4.6326389,1.2912958,4.0000000,-0.1101747,1.0931674,23.7743721,2.6927662,21.0429382
12,-13,-5.033021451150472,18.492947607536482,-13.2913742,-0.0035537,25.6198349,-4.7580500,1.1658385,4.0000000,-0.3831058,1.0969926,24.2304401,2.7147827,19.8715096
13,-13,-5.025564811150472,18.492947607536482,-13.2920895,-0.0028099,28.0991745,-4.1579299,1.0922104,4.0000000,-0.4626817,1.1003549,24.6116104,2.6471026,17.4432049
14,-13,-5.018108171150472,18.492947607536482,-13.2927017,-0.0022314,29.7520657,-4.5401597,0.7894937,4.0000000,-0.8532808,1.1031549,24.9516373,2.4322684,15.8022165
15,-13,-5.010651531150472,18.492947607536482,-13.2932730,-0.0018182,31.4049587,-4.9453902,0.3986139,4.0000000,-1.3665210,1.1058367,25.2665977,2.1637487,15.0853167
16,-13,-5.003194891150472,18.492947607536482,-13.2936983,-0.0014876,33.0578499,-5.0626459,-0.0216726,4.0000000,-1.9539069,1.1080974,25.5101833,1.9105617,15.5543680
17,-13,-4.995738251150472,18.492947607536482,-13.2939367,-0.0013223,33.8842964,-3.6608913,-0.0918878,4.0000000,-1.8340893,1.1104568,25.7695198,1.6503137,11.5929775
18,-13,-4.988281611150472,18.492947607536482,-13.2940359,-0.0013223,33.8842964,-2.6522319,-0.1827777,5.0000000,-1.7431781,1.1127815,26.0162754,1.3776226,8.8877602
19,-13,-4.980824971150472,18.492947607536482,-13.2940273,-0.0013223,33.8842964,-2.1934810,-0.3720630,4.0000000,-1.8845730,1.1145678,26.2168655,1.1404469,8.5649195
20,-13,-4.973368331150472,18.492947607536482,-13.2938395,-0.0015702,33.8842964,-2.0816216,-0.7123201,4.0000000,-2.3162739,1.1159195,26.3485050,0.8916337,11.4019279
21,-13,-4.965911691150472,18.492947607536482,-13.2934923,-0.0020661,32.2314034,-1.7499182,-0.9267231,4.0000000,-2.4844587,1.1172036,26.4631042,0.6310124,13.0558691
22,-13,-4.958455051150472,18.492947607536482,-13.2929173,-0.0027273,30.5785122,-1.3815267,-1.0526747,4.0000000,-2.4962454,1.1185198,26.6209869,0.3908960,13.6677837
23,-13,-4.950998411150472,18.492947607536482,-13.2921658,-0.0036364,28.0991745,-0.9456729,-0.9710299,4.0000000,-2.1880808,1.1206592,26.8481426,0.2460208,10.8532343
24,-13,-4.943541771150472,18.492947607536482,-13.2912035,-0.0045455,25.6198349,-0.7630558,-1.0846076,4.0000000,-2.2587929,1.1240268,27.1850910,0.0895777,12.0997438
25,-13,-4.936085131150472,18.492947607536482,-13.2900801,-0.0057851,22.3140488,-0.6072848,-1.0591209,4.0000000,-2.0064135,1.1286349,27.6417828,-0.1118284,11.0465994
26,-13,-4.928628491150472,18.492947607536482,-13.2887125,0.0030579,44.6280975,-0.5695356,-0.8042178,4.0000000,-1.3181897,1.1321703,28.0386868,-0.2902458,6.9210610
