OID_,ClipsFinal_DEM_Large_S3_RegS2,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-2.378457611150471,21.796239127536481,-12.7557459,0.0004132,24.7933884,0.0043400,-0.7962928,4.0000000,-0.2132352,1.0248935,12.5833750,-1.3793505,2.6887903
2,-12,-2.371000971150471,21.796239127536481,-12.7540588,-0.0014050,15.7024794,-0.0509130,-0.9552731,4.0000000,-0.1707040,1.0283272,13.4971762,-1.7398422,4.0142279
3,-12,-2.363544331150471,21.796239127536481,-12.7522678,-0.0032231,6.6115704,-0.1247931,-0.6447157,4.0000000,-0.0901033,1.0315467,14.2531042,-1.1993279,2.0687549
4,-12,-2.356087691150471,21.796239127536481,-12.7503824,-0.0049587,1.6528926,-0.1058944,-0.2284837,4.0000000,-0.0406097,1.0335908,14.7129631,-0.4163578,0.4679639
5,-12,-2.348631051150471,21.796239127536481,-12.7484741,0.0033058,42.9752083,-0.0602341,-0.0505901,4.0000000,0.0167361,1.0337180,14.6620398,-0.1179163,0.1482177
6,-12,-2.385914251150471,21.788782487536480,-12.7576895,0.0025620,35.5371895,0.0568156,-0.7475159,4.0000000,-0.3643000,1.0221611,11.9299240,-1.1307318,2.2619612
7,-12,-2.378457611150471,21.788782487536480,-12.7561445,0.0007438,26.4462814,-0.0058359,-0.8430969,4.0000000,-0.2692988,1.0246685,12.5531635,-1.4168949,3.0445268
8,-12,-2.371000971150471,21.788782487536480,-12.7544565,-0.0010744,17.3553715,-0.1363913,-0.9113301,4.0000000,-0.1819956,1.0280582,13.4492521,-1.6406646,3.8571777
9,-12,-2.363544331150471,21.788782487536480,-12.7526903,-0.0028926,8.2644625,-0.1869092,-0.6128126,4.0000000,-0.0902986,1.0310287,14.1253195,-1.1353265,2.0348916
10,-12,-2.356087691150471,21.788782487536480,-12.7508183,-0.0046281,2.4793389,-0.1465813,-0.2351523,4.0000000,-0.0215550,1.0332203,14.6395979,-0.4487497,0.5722949
11,-12,-2.348631051150471,21.788782487536480,-12.7489185,0.0036364,44.6280975,-0.0878675,-0.0593353,4.0000000,0.0366060,1.0334133,14.5993061,-0.1552766,0.2148041
12,-12,-2.341174411150471,21.788782487536480,-12.7470436,0.0019008,35.5371895,-0.1312360,-0.1313878,4.0000000,0.0647519,1.0341456,14.7350435,-0.3275275,0.3713692
13,-12,-2.930248971150471,21.781325847536483,-12.7932520,-0.0020661,0.0000000,-0.5053138,-0.4826682,4.0000000,-1.3360538,1.0105506,8.2827635,0.3707175,2.0621839
14,-12,-2.922792331150471,21.781325847536483,-12.7941580,-0.0014876,0.0000000,-0.2287068,-0.7478998,4.0000000,-1.4996862,1.0095618,7.8983517,0.0038866,2.8445296
15,-12,-2.915335691150471,21.781325847536483,-12.7950020,-0.0009917,0.0000000,0.0002747,-1.0558114,4.0000000,-1.6840860,1.0080433,7.2210202,-0.4275368,4.6467175
16,-12,-2.393370891150471,21.781325847536483,-12.7595825,0.0044628,47.1074371,-0.1323580,-0.5976613,4.0000000,-0.4224571,1.0196422,11.2686749,-0.7728655,1.8136535
17,-12,-2.385914251150471,21.781325847536483,-12.7580900,0.0029752,38.0165291,-0.1383544,-0.7448974,4.0000000,-0.3346058,1.0214459,11.7326365,-1.1551890,2.6613901
18,-12,-2.378457611150471,21.781325847536483,-12.7565737,0.0012397,28.9256191,-0.2791446,-0.8079664,4.0000000,-0.2259242,1.0242388,12.4578962,-1.3900086,3.3903065
19,-12,-2.371000971150471,21.781325847536483,-12.7548933,-0.0005785,19.8347111,-0.4873593,-0.8214974,4.0000000,-0.0935422,1.0276916,13.3606625,-1.5494527,3.9578428
20,-12,-2.363544331150471,21.781325847536483,-12.7531395,-0.0023967,10.7438021,-0.4985620,-0.5233691,4.0000000,0.0484803,1.0304798,13.9991198,-1.0952184,2.2820036
21,-12,-2.356087691150471,21.781325847536483,-12.7512884,-0.0041322,4.1322312,-0.3432508,-0.1539163,4.0000000,0.1757454,1.0328449,14.5658770,-0.4835780,0.8758460
22,-12,-2.348631051150471,21.781325847536483,-12.7494011,0.0041322,47.1074371,-0.1946500,0.0515012,4.0000000,0.2662996,1.0331674,14.5547161,-0.1632973,0.4591716
23,-12,-2.341174411150471,21.781325847536483,-12.7475386,0.0023967,38.0165291,-0.2529977,0.0183571,4.0000000,0.2936476,1.0339153,14.6863604,-0.2569334,0.5813563
24,-12,-2.333717771150471,21.781325847536483,-12.7456093,0.0005785,28.9256191,-0.4708660,-0.1443750,4.0000000,0.2764293,1.0354320,15.0238600,-0.5651793,1.1597760
25,-12,-2.937705611150471,21.773869207536482,-12.7929735,-0.0021488,0.0000000,-0.4005907,0.0742520,4.0000000,-0.5626050,1.0099374,8.0223389,0.7111090,0.8525600
26,-12,-2.930248971150471,21.773869207536482,-12.7938280,-0.0015702,0.0000000,-0.5036945,-0.1673802,4.0000000,-0.7515862,1.0094727,7.8502793,0.4168258,1.1702048
27,-12,-2.922792331150471,21.773869207536482,-12.7946758,-0.0010744,0.0000000,-0.7571107,-0.3795467,4.0000000,-0.8673669,1.0085809,7.4748707,0.1082736,2.1762338
28,-12,-2.915335691150471,21.773869207536482,-12.7954693,-0.0006612,0.0000000,-1.2252553,-0.6579931,4.0000000,-1.0367068,1.0072107,6.8206310,-0.2792796,4.3175387
29,-12,-2.907879051150471,21.773869207536482,-12.7961855,-0.0003306,0.0000000,-1.7592051,-0.8580258,4.0000000,-1.1887966,1.0054858,5.9366164,-0.5272551,6.6163497
30,-12,-2.900422411150471,21.773869207536482,-12.7967672,-0.0000826,0.0000000,-2.1584916,-0.8949534,4.0000000,-1.3686093,1.0036619,4.7948356,-0.4212975,7.6390634
31,-12,-2.892965771150471,21.773869207536482,-12.7972088,0.0000000,0.0000000,-2.4368172,-0.7813900,4.0000000,-1.4711537,1.0023001,3.7736354,-0.0916262,7.3891692
32,-12,-2.885509131150471,21.773869207536482,-12.7975435,0.0000000,0.0000000,-2.7290318,-0.7013358,3.0000000,-1.6326598,1.0013443,2.8403451,0.2299880,7.4686170
33,-12,-2.878052491150471,21.773869207536482,-12.7977562,0.0000000,0.0000000,-2.7095060,-0.5108980,4.0000000,-1.9002706,1.0006299,1.8146152,0.8784745,6.4789162
34,-12,-2.400827531150471,21.773869207536482,-12.7612801,-0.0041322,0.0000000,-0.3641696,-0.5266340,4.0000000,-0.2700746,1.0167875,10.3949347,-0.7831935,1.9447632
35,-12,-2.393370891150471,21.773869207536482,-12.7599182,0.0047934,49.5867767,-0.3209401,-0.5409945,4.0000000,-0.3017109,1.0187417,11.0073662,-0.7802782,1.9321380
