OID_,ClipsFinal_DEM_Large_S3_RegF3,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
29,-13,-5.726488971150472,21.058031767536480,-13.0252142,-0.0001653,19.8347111,-1.2662172,-0.7908518,4.0000000,-2.1489153,1.0208129,11.5669317,0.5672119,5.6607580
30,-13,-5.719032331150471,21.058031767536480,-13.0253878,0.0000826,20.6611576,-1.8492953,-1.0097131,5.0000000,-2.6980004,1.0201967,11.3632212,0.6785743,8.7163954
31,-13,-5.711575691150472,21.058031767536480,-13.0253439,0.0000826,19.8347111,-2.0523827,-0.8677307,4.0000000,-2.4159276,1.0197101,11.2780113,0.6804662,7.9256811
32,-13,-5.704119051150471,21.058031767536480,-13.0251532,0.0000000,19.0082645,-1.6002343,-0.3677229,4.0000000,-1.3872440,1.0194758,11.2372932,0.6517982,4.1072044
33,-13,-5.696662411150472,21.058031767536480,-13.0248747,-0.0001653,18.1818180,-1.3015208,-0.0143218,4.0000000,-0.6754532,1.0191345,11.1357088,0.6468096,2.8117843
34,-13,-5.883078411150471,21.050575127536479,-13.0091372,0.0040496,40.4958687,-5.1660519,-0.3090136,4.0000000,1.7979932,1.0276550,13.2370882,-2.4160204,11.7909222
35,-13,-5.875621771150472,21.050575127536479,-13.0105324,-0.0044628,6.6115704,-4.6736674,-0.0925407,4.0000000,1.7179480,1.0264074,12.9610558,-1.9030293,10.3731403
36,-13,-5.868165131150471,21.050575127536479,-13.0118370,-0.0031405,9.9173555,-4.3877821,0.0754249,4.0000000,1.6307216,1.0260630,12.8718967,-1.4798719,9.7745991
37,-13,-5.860708491150472,21.050575127536479,-13.0130730,-0.0019008,13.2231407,-4.1879430,0.1975964,5.0000000,1.4753721,1.0260243,12.8559856,-1.0801791,9.5055571
38,-13,-5.853251851150471,21.050575127536479,-13.0142260,-0.0006612,17.3553715,-3.1658807,0.4688767,4.0000000,1.4544649,1.0261900,12.8463335,-0.5167115,8.0878162
39,-13,-5.845795211150472,21.050575127536479,-13.0153151,0.0004959,22.3140488,-2.0093522,0.6895187,4.0000000,1.4528621,1.0271430,13.1242638,-0.0738246,6.7088699
40,-13,-5.838338571150471,21.050575127536479,-13.0164146,0.0014876,27.2727280,-2.0500588,0.5820807,4.0000000,1.0854506,1.0281097,13.3908958,0.0787108,6.1654716
41,-13,-5.830881931150472,21.050575127536479,-13.0174770,0.0025620,33.0578499,-2.6828828,0.3086490,4.0000000,0.4420061,1.0279692,13.3618717,0.1752918,6.4240665
42,-13,-5.823425291150471,21.050575127536479,-13.0184441,0.0035537,38.8429756,-2.4740503,0.2499026,4.0000000,0.0455411,1.0274868,13.2343941,0.4542640,5.7768850
43,-13,-5.815968651150472,21.050575127536479,-13.0193443,0.0045455,44.6280975,-2.0267403,0.2945043,4.0000000,-0.1421033,1.0272424,13.1362038,0.7311118,4.8633103
44,-13,-5.808512011150471,21.050575127536479,-13.0201883,-0.0046281,4.9586778,-1.2342703,0.4780767,4.0000000,-0.0560918,1.0266829,12.9756422,1.0122451,3.6944075
45,-13,-5.801055371150472,21.050575127536479,-13.0209532,-0.0038843,6.6115704,-0.8394538,0.5602153,4.0000000,-0.0078219,1.0263690,12.9355364,1.1282525,3.1813374
46,-13,-5.793598731150471,21.050575127536479,-13.0217352,-0.0031405,9.0909090,-0.5436344,0.6399765,4.0000000,0.0637150,1.0261190,12.8599682,1.2162380,2.9361768
47,-13,-5.786142091150472,21.050575127536479,-13.0224590,-0.0024793,11.5702477,-0.4216443,0.6852954,4.0000000,0.1091126,1.0256952,12.7349825,1.2614782,2.9221907
48,-13,-5.778685451150471,21.050575127536479,-13.0231829,-0.0017355,14.0495872,-0.4203858,0.6791041,4.0000000,0.1333551,1.0256504,12.7581291,1.2248530,2.8880720
49,-13,-5.771228811150472,21.050575127536479,-13.0239029,-0.0010744,16.5289249,-1.2730148,0.4219808,4.0000000,-0.2952428,1.0254419,12.7003679,1.1392043,3.5333104
50,-13,-5.763772171150471,21.050575127536479,-13.0245752,-0.0004132,19.8347111,-1.8587942,0.2522478,4.0000000,-0.6728036,1.0248539,12.5452919,1.1772993,4.3278756
51,-13,-5.756315531150472,21.050575127536479,-13.0251541,0.0002479,23.1404953,-1.9660445,0.2121266,4.0000000,-0.8546366,1.0242563,12.4075098,1.2788899,4.4756317
52,-13,-5.748858891150471,21.050575127536479,-13.0256701,0.0007438,25.6198349,-2.0952725,0.1519509,4.0000000,-1.0382892,1.0237988,12.2749233,1.3421911,4.6646638
53,-13,-5.741402251150472,21.050575127536479,-13.0261240,0.0011570,27.2727280,-2.4413540,0.0138679,4.0000000,-1.3691008,1.0232306,12.1249752,1.3968366,5.3451486
54,-13,-5.733945611150471,21.050575127536479,-13.0264864,0.0014050,28.0991745,-2.5036058,-0.0813122,4.0000000,-1.5872684,1.0225313,11.9683695,1.4246440,5.5245152
55,-13,-5.726488971150472,21.050575127536479,-13.0267429,0.0016529,28.9256191,-3.2259798,-0.4252347,4.0000000,-2.2459404,1.0218531,11.8172846,1.3954710,7.9688001
56,-13,-5.719032331150471,21.050575127536479,-13.0269079,0.0019008,29.7520657,-3.7308276,-0.6949894,5.0000000,-2.7429428,1.0212530,11.6135559,1.3529638,10.4685946
57,-13,-5.711575691150472,21.050575127536479,-13.0268373,0.0019008,28.9256191,-3.3571656,-0.6301141,4.0000000,-2.4437227,1.0209597,11.5642967,1.1834943,9.2226238
58,-13,-5.704119051150471,21.050575127536479,-13.0266266,0.0018182,28.0991745,-2.2645891,-0.2285548,4.0000000,-1.4740038,1.0209699,11.5776157,1.0168942,5.1979618
59,-13,-5.696662411150472,21.050575127536479,-13.0263319,0.0016529,27.2727280,-1.6535610,0.0667469,4.0000000,-0.7723556,1.0207682,11.5369062,0.9058495,3.5991464
60,-13,-5.883078411150471,21.043118487536479,-13.0101490,-0.0047107,7.4380164,-6.5800800,-0.0995036,4.0000000,2.1230247,1.0321029,14.2904615,-2.3220320,14.9272728
61,-13,-5.875621771150472,21.043118487536479,-13.0116377,-0.0032231,10.7438021,-5.8131943,0.0640173,4.0000000,1.9312561,1.0309647,14.0314398,-1.8032215,13.1896915
62,-13,-5.868165131150471,21.043118487536479,-13.0130320,-0.0019008,14.8760328,-5.1012936,0.2120789,4.0000000,1.7545003,1.0308652,14.0153446,-1.3303424,11.8158951
63,-13,-5.860708491150472,21.043118487536479,-13.0143566,-0.0006612,19.0082645,-4.6301799,0.2655978,4.0000000,1.4530102,1.0310233,14.0853701,-0.9218146,10.8751917
64,-13,-5.853251851150471,21.043118487536479,-13.0155878,0.0005785,23.9669418,-3.4560046,0.4748797,4.0000000,1.3150376,1.0310729,14.0764132,-0.3652781,8.9414415
65,-13,-5.845795211150472,21.043118487536479,-13.0167408,0.0018182,29.7520657,-2.2534688,0.6581513,4.0000000,1.2487571,1.0318998,14.3061428,0.0675454,7.1922159
66,-13,-5.838338571150471,21.043118487536479,-13.0178862,0.0028926,35.5371895,-2.3004234,0.5351074,4.0000000,0.8467683,1.0328374,14.5685425,0.2234464,6.6002722
67,-13,-5.830881931150472,21.043118487536479,-13.0189829,0.0040496,42.1487617,-3.0235293,0.2425272,4.0000000,0.1534831,1.0326384,14.5006618,0.3315712,7.1448359
68,-13,-5.823425291150471,21.043118487536479,-13.0199766,0.0050413,47.9338837,-2.7920685,0.2156559,4.0000000,-0.2066068,1.0320100,14.3072605,0.6379186,6.5201335
69,-13,-5.815968651150472,21.043118487536479,-13.0209074,-0.0039669,7.4380164,-2.3361502,0.3065000,4.0000000,-0.3067317,1.0312532,14.1319962,0.9197317,5.6580844
70,-13,-5.808512011150471,21.043118487536479,-13.0217581,-0.0031405,9.9173555,-1.4822172,0.5304447,4.0000000,-0.1348087,1.0302726,13.9310341,1.1956981,4.5165801
71,-13,-5.801055371150472,21.043118487536479,-13.0225172,-0.0023967,12.3966942,-1.0696597,0.6690837,4.0000000,-0.0106786,1.0299606,13.8460836,1.3488461,4.3047819
72,-13,-5.793598731150471,21.043118487536479,-13.0232973,-0.0015702,15.7024794,-0.7495388,0.8236266,4.0000000,0.1113094,1.0297740,13.7776709,1.5359437,4.5847907
73,-13,-5.786142091150472,21.043118487536479,-13.0240078,-0.0008264,19.0082645,-0.5452734,0.9467705,4.0000000,0.1858800,1.0294286,13.6863737,1.7076610,5.0662050
74,-13,-5.778685451150471,21.043118487536479,-13.0247250,0.0000000,22.3140488,-0.5474584,0.9878794,4.0000000,0.2113855,1.0295936,13.7390451,1.7643733,5.4197946
75,-13,-5.771228811150472,21.043118487536479,-13.0254574,0.0007438,25.6198349,-1.8238374,0.7374152,4.0000000,-0.2787595,1.0294842,13.7191086,1.7535899,6.3485451
76,-13,-5.763772171150471,21.043118487536479,-13.0261326,0.0014050,28.9256191,-2.7262499,0.5436983,4.0000000,-0.7245738,1.0288811,13.5772009,1.8119704,7.2630925
77,-13,-5.756315531150472,21.043118487536479,-13.0267296,0.0020661,32.2314034,-2.7826126,0.4928612,4.0000000,-0.9029826,1.0283002,13.4277754,1.8887049,7.1403165
78,-13,-5.748858891150471,21.043118487536479,-13.0272646,0.0025620,34.7107430,-2.8271084,0.4297739,4.0000000,-1.0624473,1.0277089,13.2864685,1.9219952,6.9785838
79,-13,-5.741402251150472,21.043118487536479,-13.0277195,0.0029752,36.3636360,-3.2969270,0.2521993,4.0000000,-1.4303426,1.0268837,13.1221428,1.9347411,7.5219197
80,-13,-5.733945611150471,21.043118487536479,-13.0280762,0.0032231,37.1900826,-3.5078559,0.1127016,4.0000000,-1.7097903,1.0259675,12.9038248,1.9351937,7.7908792
81,-13,-5.726488971150472,21.043118487536479,-13.0283203,0.0034711,38.0165291,-4.4973025,-0.2416291,4.0000000,-2.3660283,1.0250155,12.6735258,1.8827701,10.3091669
82,-13,-5.719032331150471,21.043118487536479,-13.0284710,0.0037190,38.8429756,-4.9340749,-0.4926433,5.0000000,-2.7516308,1.0241182,12.4272785,1.7663443,12.1625595
83,-13,-5.711575691150472,21.043118487536479,-13.0283928,0.0037190,38.0165291,-4.2780504,-0.4452058,4.0000000,-2.4099629,1.0236392,12.3223267,1.5195512,10.4512177
84,-13,-5.704119051150471,21.043118487536479,-13.0281858,0.0036364,37.1900826,-2.9216497,-0.0943515,4.0000000,-1.5129106,1.0235252,12.2881269,1.3242075,6.4819913
85,-13,-5.696662411150472,21.043118487536479,-13.0278654,0.0034711,36.3636360,-2.1141667,0.1601747,4.0000000,-0.8534866,1.0232900,12.2428827,1.1738360,4.7180786
86,-13,-5.689205771150471,21.043118487536479,-13.0274553,0.0032231,34.7107430,-1.5185853,0.3836719,4.0000000,-0.2857870,1.0227159,12.1033173,1.0531309,3.9179020
87,-13,-5.883078411150471,21.035661847536481,-13.0112858,-0.0035537,11.5702477,-6.9692492,-0.0971399,4.0000000,2.0899665,1.0375583,15.4568987,-2.2842462,16.1527500
88,-13,-5.875621771150472,21.035661847536481,-13.0128975,-0.0020661,15.7024794,-6.0815396,0.0023364,4.0000000,1.8279600,1.0362209,15.1702795,-1.8232872,14.0379181
89,-13,-5.868165131150471,21.035661847536481,-13.0143862,-0.0006612,20.6611576,-5.0021491,0.0878441,5.0000000,1.5413461,1.0357344,15.1139555,-1.3656578,11.6061115
90,-13,-5.860708491150472,21.035661847536481,-13.0157967,0.0006612,25.6198349,-4.1810255,0.0462751,4.0000000,1.1013629,1.0356807,15.1363382,-1.0088128,9.6627092
91,-13,-5.853251851150471,21.035661847536481,-13.0171175,0.0019835,31.4049587,-2.9441421,0.1518583,4.0000000,0.8555367,1.0353116,15.0282421,-0.5518201,6.9108629
92,-13,-5.845795211150472,21.035661847536481,-13.0183277,0.0033058,38.0165291,-1.8178440,0.2777224,4.0000000,0.7683364,1.0358454,15.1800919,-0.2128916,4.5927973
93,-13,-5.838338571150471,21.035661847536481,-13.0195446,0.0044628,44.6280975,-1.6433476,0.1045589,4.0000000,0.3819459,1.0366704,15.4047079,-0.1728282,3.8656883
94,-13,-5.830881931150472,21.035661847536481,-13.0206852,-0.0043802,7.4380164,-1.9586591,-0.2199948,4.0000000,-0.2873192,1.0362326,15.2708750,-0.1526704,4.7518549
95,-13,-5.823425291150471,21.035661847536481,-13.0217314,-0.0033884,9.9173555,-1.7382020,-0.2502247,4.0000000,-0.5985227,1.0351814,15.0544977,0.0980732,4.3146472
96,-13,-5.815968651150472,21.035661847536481,-13.0226583,-0.0023967,13.2231407,-1.4455353,-0.1350134,4.0000000,-0.6090644,1.0341178,14.8850679,0.3390377,3.4189370
97,-13,-5.808512011150471,21.035661847536481,-13.0235052,-0.0015702,16.5289249,-0.9449487,0.1081714,4.0000000,-0.3663001,1.0334425,14.7383299,0.5826430,2.1995153
98,-13,-5.801055371150472,21.035661847536481,-13.0242863,-0.0007438,19.8347111,-0.6897991,0.2798975,4.0000000,-0.1726483,1.0335699,14.7601213,0.7324433,1.8987025
99,-13,-5.793598731150471,21.035661847536481,-13.0250731,0.0001653,23.9669418,-0.5064419,0.4195735,4.0000000,-0.0290614,1.0337785,14.8229284,0.8682084,1.9095575
100,-13,-5.786142091150472,21.035661847536481,-13.0258007,0.0009917,28.0991745,-0.3449773,0.5274093,4.0000000,0.0618917,1.0339147,14.8494816,0.9929267,1.9910687
101,-13,-5.778685451150471,21.035661847536481,-13.0265236,0.0017355,31.4049587,-0.3585049,0.5494179,4.0000000,0.0569885,1.0344602,14.9993439,1.0418471,2.1274304
102,-13,-5.771228811150472,21.035661847536481,-13.0272617,0.0023967,34.7107430,-1.1314985,0.2822120,4.0000000,-0.4702722,1.0344665,15.0116119,1.0346961,2.9019673
