OID_,ClipsFinal_DEM_Large_S3_RegL1,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-12,-2.833312651150471,19.969362327536480,-12.9514122,-0.0035537,19.0082645,-0.1002075,0.2188629,4.0000000,0.6003345,1.0609952,19.5586739,-0.1626087,0.5511617
2,-12,-2.825856011150471,19.969362327536480,-12.9513454,-0.0036364,18.1818180,-0.0416783,0.2009431,4.0000000,0.4870203,1.0610197,19.5865040,-0.0851341,0.3478798
3,-12,-2.818399371150471,19.969362327536480,-12.9512920,-0.0036364,18.1818180,-0.0418882,0.3011481,4.0000000,0.6072401,1.0607203,19.5488148,-0.0049439,0.6251839
4,-12,-2.810942731150471,19.969362327536480,-12.9512663,-0.0036364,18.1818180,-0.1013468,0.4280203,3.0000000,0.7611057,1.0597776,19.3951530,0.0949349,1.2712210
5,-12,-2.803486091150471,19.969362327536480,-12.9513121,-0.0036364,18.1818180,-0.2151645,0.2991652,4.0000000,0.3827398,1.0582504,19.1417389,0.2155907,1.0056036
6,-12,-2.796029451150471,19.969362327536480,-12.9514141,-0.0036364,18.1818180,-0.3172750,-0.0561577,4.0000000,-0.3579510,1.0565565,18.8387814,0.2456357,0.8173501
7,-12,-2.848225931150471,19.961905687536483,-12.9543180,-0.0004959,29.7520657,-0.3724042,0.0382058,4.0000000,0.6392595,1.0595869,19.3138161,-0.5628478,0.9659603
8,-12,-2.840769291150471,19.961905687536483,-12.9541483,-0.0006612,28.9256191,-0.4366063,0.1344634,4.0000000,0.8027426,1.0593462,19.2548485,-0.5338158,1.2503295
9,-12,-2.833312651150471,19.961905687536483,-12.9540472,-0.0008264,28.0991745,-0.3211458,0.0760632,4.0000000,0.6380386,1.0593469,19.2504044,-0.4859122,0.8678293
10,-12,-2.825856011150471,19.961905687536483,-12.9539738,-0.0009091,27.2727280,-0.1647369,-0.0208152,4.0000000,0.3803450,1.0595375,19.3140621,-0.4219754,0.4154120
11,-12,-2.818399371150471,19.961905687536483,-12.9539185,-0.0009091,27.2727280,-0.1375671,0.0299051,4.0000000,0.3924350,1.0596737,19.3481178,-0.3326247,0.3603137
12,-12,-2.810942731150471,19.961905687536483,-12.9538813,-0.0009091,27.2727280,-0.2199861,0.1630957,3.0000000,0.5480239,1.0592862,19.2736664,-0.2218326,0.7276580
13,-12,-2.803486091150471,19.961905687536483,-12.9538956,-0.0009091,27.2727280,-0.2920556,0.0946512,4.0000000,0.3148352,1.0580541,19.0740185,-0.1255328,0.7897937
14,-12,-2.796029451150471,19.961905687536483,-12.9539509,-0.0009091,27.2727280,-0.2399535,-0.1580330,4.0000000,-0.2341018,1.0564480,18.8190212,-0.0819642,0.7293654
15,-12,-2.788572811150471,19.961905687536483,-12.9539814,-0.0010744,26.4462814,-0.0282696,-0.7677009,5.0000000,-1.4525323,1.0551772,18.6003628,-0.0828693,3.2870903
16,-12,-2.781116171150471,19.961905687536483,-12.9539661,-0.0012397,25.6198349,0.1698878,-1.1016098,4.0000000,-2.0679848,1.0547152,18.5110722,-0.1352348,6.1738548
17,-12,-2.773659531150471,19.961905687536483,-12.9537134,-0.0014876,24.7933884,0.1842544,-1.0635175,4.0000000,-1.9627856,1.0549170,18.6092796,-0.1642493,5.6895909
18,-12,-2.863139211150471,19.954449047536482,-12.9573526,0.0016529,40.4958687,0.0066904,-0.5871021,4.0000000,-0.1177477,1.0576943,19.0925369,-1.0564564,1.5644859
19,-12,-2.855682571150471,19.954449047536482,-12.9571218,0.0014876,39.6694221,-0.3427965,-0.3742466,4.0000000,0.2757278,1.0581328,19.1420765,-1.0242209,1.4340023
20,-12,-2.848225931150471,19.954449047536482,-12.9569025,0.0013223,38.8429756,-0.6129277,-0.2051892,4.0000000,0.5859659,1.0581614,19.1366558,-0.9963444,1.6682167
21,-12,-2.840769291150471,19.954449047536482,-12.9567242,0.0011570,38.0165291,-0.8306357,-0.0677887,4.0000000,0.8368297,1.0579162,19.1034775,-0.9724070,2.0851283
22,-12,-2.833312651150471,19.954449047536482,-12.9566231,0.0009917,37.1900826,-0.6665077,-0.1217494,4.0000000,0.6936379,1.0579351,19.1117821,-0.9371366,1.7010944
23,-12,-2.825856011150471,19.954449047536482,-12.9565649,0.0009091,36.3636360,-0.3140119,-0.2916906,4.0000000,0.3304456,1.0584531,19.1870480,-0.9138268,1.1203303
24,-12,-2.818399371150471,19.954449047536482,-12.9565248,0.0009091,36.3636360,-0.1776467,-0.3353127,4.0000000,0.2032143,1.0589428,19.2718430,-0.8738397,0.9154906
25,-12,-2.810942731150471,19.954449047536482,-12.9564915,0.0009091,36.3636360,-0.2865737,-0.2637137,4.0000000,0.2918889,1.0587599,19.2772846,-0.8193161,0.9933117
26,-12,-2.803486091150471,19.954449047536482,-12.9564705,0.0009091,36.3636360,-0.3452326,-0.3004417,3.0000000,0.1839269,1.0577569,19.1184387,-0.7848104,1.2416096
