OID_,ClipsFinal_DEM_Large_S3_RegD,X,Y,DEM_Large_S1_15_Band_1,DFME_Band_1,EP_Band_1,GC_Band_1,MeanCurv_Band_1,NUN_Band_1,ProfCurv_Band_1,SAR_Band_1,Slope_Band_1,TanCurv_Band_1,TotCurv_Band_1
1,-13,-5.458049931150471,20.685199767536478,-13.1317863,-0.0039669,28.9256191,-0.7111266,-1.0583090,4.0000000,-2.1090796,1.1418222,28.8913193,-0.0075383,12.3495245
2,-13,-5.450593291150471,20.685199767536478,-13.1330776,-0.0027273,32.2314034,-0.8783817,-1.1326948,4.0000000,-2.3274672,1.1372360,28.4220943,0.0620774,14.1657791
3,-13,-5.443136651150471,20.685199767536478,-13.1341276,-0.0016529,34.7107430,-0.9319778,-0.9401882,4.0000000,-2.0706048,1.1332860,28.0559826,0.1902286,10.8978100
4,-13,-5.435680011150471,20.685199767536478,-13.1350012,-0.0007438,37.1900826,-0.9963170,-0.9342855,4.0000000,-2.1149328,1.1311108,27.8853817,0.2463619,11.0154095
5,-13,-5.428223371150471,20.685199767536478,-13.1357508,0.0000000,38.8429756,-1.2401146,-1.1367419,4.0000000,-2.5766501,1.1295260,27.7217827,0.3031663,15.4100704
6,-13,-5.420766731150471,20.685199767536478,-13.1362581,0.0005785,40.4958687,-1.0046754,-1.1702907,4.0000000,-2.6509345,1.1278682,27.5332432,0.3103530,15.1658516
7,-13,-5.413310091150471,20.685199767536478,-13.1365232,0.0009917,42.1487617,-0.5128852,-0.8514607,4.0000000,-1.9521111,1.1271232,27.4561825,0.2491897,7.9696159
8,-13,-5.405853451150471,20.685199767536478,-13.1366701,0.0013223,42.9752083,-0.1140008,-0.4652209,4.0000000,-1.0389295,1.1269087,27.4354897,0.1084877,2.2274768
9,-13,-5.398396811150471,20.685199767536478,-13.1366978,0.0015702,43.8016510,-0.0393692,-0.1854676,4.0000000,-0.3171059,1.1259863,27.3464546,-0.0538292,0.3897498
10,-13,-5.338743691150472,20.685199767536478,-13.1369896,0.0010744,42.1487617,0.3828647,-1.2438781,4.0000000,-1.5507288,1.1022003,24.8046360,-0.9370273,8.5162601
11,-13,-5.331287051150472,20.685199767536478,-13.1367102,0.0006612,40.4958687,0.1314728,-1.4178635,4.0000000,-2.0751097,1.0990274,24.4623318,-0.7606172,12.4850254
12,-13,-5.472963211150471,20.677743127536477,-13.1325483,-0.0031405,31.4049587,-1.3664702,-0.9765341,4.0000000,-2.0717385,1.1526392,29.7915630,0.1186704,14.0169077
13,-13,-5.465506571150471,20.677743127536477,-13.1341839,-0.0016529,34.7107430,-1.0564114,-0.9549177,4.0000000,-2.0366790,1.1461554,29.2243176,0.1268436,12.1615191
14,-13,-5.458049931150471,20.677743127536477,-13.1356802,-0.0002479,38.0165291,-0.9238975,-0.9810240,4.0000000,-2.0610266,1.1420007,28.8653240,0.0989786,11.8765173
15,-13,-5.450593291150471,20.677743127536477,-13.1369858,0.0009917,41.3223152,-1.0047491,-1.0611113,4.0000000,-2.2476094,1.1377653,28.4669189,0.1253866,13.3867702
16,-13,-5.443136651150471,20.677743127536477,-13.1380377,0.0020661,43.8016510,-0.8881725,-0.8757741,4.0000000,-1.9532366,1.1347603,28.2011356,0.2016884,9.8339787
17,-13,-5.435680011150471,20.677743127536477,-13.1389294,0.0029752,46.2809906,-0.9431297,-0.9181055,4.0000000,-2.0777678,1.1337342,28.1420841,0.2415570,10.7186823
18,-13,-5.428223371150471,20.677743127536477,-13.1397057,0.0036364,47.9338837,-1.1021197,-1.1939713,4.0000000,-2.6627526,1.1324054,28.0253181,0.2748100,16.3021126
19,-13,-5.420766731150471,20.677743127536477,-13.1402025,-0.0057851,24.7933884,-0.9001412,-1.2009509,4.0000000,-2.7012699,1.1304621,27.8420563,0.2993683,15.6796675
20,-13,-5.413310091150471,20.677743127536477,-13.1404686,-0.0053719,25.6198349,-0.4101888,-0.8682420,4.0000000,-1.9468418,1.1292932,27.7269821,0.2103579,7.9379106
21,-13,-5.405853451150471,20.677743127536477,-13.1405907,-0.0050413,26.4462814,-0.1611047,-0.5165237,4.0000000,-1.1499878,1.1284672,27.6730881,0.1169404,2.8451071
22,-13,-5.398396811150471,20.677743127536477,-13.1406116,-0.0047934,27.2727280,-0.1296989,-0.2415035,5.0000000,-0.4992052,1.1272042,27.5410423,0.0161983,0.9066416
23,-13,-5.390940171150472,20.677743127536477,-13.1405869,-0.0046281,27.2727280,-0.2625859,0.0260580,4.0000000,0.0971166,1.1248734,27.2868805,-0.0450005,0.8495496
24,-13,-5.383483531150471,20.677743127536477,-13.1405821,-0.0045455,27.2727280,-0.4533429,0.0701977,3.0000000,0.2207701,1.1217438,26.9479675,-0.0803747,1.4849851
25,-13,-5.376026891150472,20.677743127536477,-13.1406240,-0.0045455,27.2727280,-0.5774148,-0.0162375,4.0000000,0.0808139,1.1181664,26.5642433,-0.1132889,1.8045585
26,-13,-5.368570251150472,20.677743127536477,-13.1406603,-0.0045455,27.2727280,-0.6821020,-0.2012104,4.0000000,-0.2019455,1.1140412,26.1244049,-0.2004753,2.3516552
27,-13,-5.361113611150472,20.677743127536477,-13.1406937,-0.0047107,26.4462814,-0.6923557,-0.4743416,5.0000000,-0.6726118,1.1097050,25.6581764,-0.2760714,3.5972669
28,-13,-5.353656971150472,20.677743127536477,-13.1406879,-0.0048760,25.6198349,-0.5609131,-0.6261674,4.0000000,-0.8945966,1.1056194,25.1847229,-0.3577381,4.2407570
29,-13,-5.346200331150472,20.677743127536477,-13.1405573,-0.0050413,24.7933884,-0.4160387,-0.7715073,4.0000000,-1.1859088,1.1021976,24.8037434,-0.3571056,5.1412902
30,-13,-5.338743691150472,20.677743127536477,-13.1403894,-0.0052893,23.1404953,-0.3575506,-0.9226452,4.0000000,-1.5327632,1.0998859,24.5389805,-0.3125271,6.7073035
31,-13,-5.331287051150472,20.677743127536477,-13.1400414,-0.0057025,21.4876041,-0.6057177,-1.1947168,4.0000000,-2.1356654,1.0984415,24.4018154,-0.2537681,11.4115114
32,-13,-5.323830411150472,20.677743127536477,-13.1395645,0.0038843,47.9338837,-1.0901163,-1.1263150,4.0000000,-2.0368865,1.0976216,24.2981033,-0.2157434,11.7275572
33,-13,-5.487876491150471,20.670286487536480,-13.1325092,-0.0028099,32.2314034,-0.4431944,-0.1622058,4.0000000,-0.6620618,1.1681186,31.2295437,0.3376503,2.0988469
34,-13,-5.480419851150471,20.670286487536480,-13.1345625,-0.0009917,36.3636360,-0.9470167,-0.8154910,4.0000000,-1.7330863,1.1629657,30.7608299,0.1021045,10.2987661
35,-13,-5.472963211150471,20.670286487536480,-13.1364326,0.0007438,40.4958687,-0.8572362,-1.0658481,4.0000000,-2.1637099,1.1547946,30.0182629,0.0320137,13.9145803
36,-13,-5.465506571150471,20.670286487536480,-13.1380310,0.0022314,43.8016510,-0.4592495,-1.0335041,4.0000000,-2.0450311,1.1480184,29.4095802,-0.0219771,11.3213272
